"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Gross domestic product","A191RX1","1,772,204.0","1,769,486.0","1,768,032.0","1,794,842.0","1,823,365.0","1,856,930.0","1,866,913.0","1,869,779.0","1,843,814.0","1,837,080.0","1,857,689.0","1,840,250.0","1,914,632.0","1,972,901.0","2,050,100.0","2,086,170.0","2,112,534.0","2,147,579.0","2,190,372.0","2,194,083.0","2,216,159.0","2,218,603.0","2,233,467.0","2,307,245.0","2,350,414.0","2,368,201.0","2,353,802.0","2,316,544.0","2,305,491.0","2,308,383.0","2,334,410.0","2,381,157.0","2,449,748.0","2,490,274.0","2,523,548.0","2,537,637.0","2,526,058.0","2,545,925.0","2,542,725.0","2,584,276.0","2,600,158.0","2,593,885.0","2,618,873.0","2,591,321.0","2,521,170.0","2,536,645.0","2,596,083.0","2,656,615.0","2,710,349.0","2,778,801.0","2,775,488.0","2,785,204.0","2,847,699.0","2,834,390.0","2,839,022.0","2,802,616.0","2,819,264.0","2,872,005.0","2,918,419.0","2,977,830.0","3,031,241.0","3,064,709.0","3,093,047.0","3,100,563.0","3,141,087.0","3,180,447.0","3,240,332.0","3,264,967.0","3,338,246.0","3,376,587.0","3,422,469.0","3,431,957.0","3,516,251.0","3,563,960.0","3,636,285.0","3,724,014.0","3,815,423.0","3,828,124.0","3,853,301.0","3,884,520.0","3,918,740.0","3,919,556.0","3,950,826.0","3,980,970.0","4,063,013.0","4,131,998.0","4,160,267.0","4,178,293.0","4,244,100.0","4,256,460.0"
"21","2","       Final sales of domestic product","A190RX1","1,787,040.0","1,798,707.0","1,813,270.0","1,813,891.0","1,821,761.0","1,835,009.0","1,838,145.0","1,853,983.0","1,861,560.0","1,885,617.0","1,884,776.0","1,891,667.0","1,922,020.0","1,973,716.0","2,044,797.0","2,022,462.0","2,082,218.0","2,092,089.0","2,161,314.0","2,193,364.0","2,211,380.0","2,247,182.0","2,225,277.0","2,299,071.0","2,348,745.0","2,367,324.0","2,361,535.0","2,348,141.0","2,334,441.0","2,343,922.0","2,367,175.0","2,406,620.0","2,452,585.0","2,484,770.0","2,520,987.0","2,526,360.0","2,520,756.0","2,548,747.0","2,549,757.0","2,593,800.0","2,616,518.0","2,606,907.0","2,626,448.0","2,625,878.0","2,558,685.0","2,571,992.0","2,609,451.0","2,659,851.0","2,714,727.0","2,761,499.0","2,795,072.0","2,784,572.0","2,815,044.0","2,841,856.0","2,837,872.0","2,851,753.0","2,853,992.0","2,884,618.0","2,906,853.0","2,972,978.0","3,009,226.0","3,060,475.0","3,084,254.0","3,105,556.0","3,126,223.0","3,179,236.0","3,235,659.0","3,269,276.0","3,340,794.0","3,380,497.0","3,422,356.0","3,431,266.0","3,485,533.0","3,548,528.0","3,615,233.0","3,713,357.0","3,775,287.0","3,792,414.0","3,823,981.0","3,834,773.0","3,873,586.0","3,914,955.0","3,934,928.0","3,969,779.0","4,052,915.0","4,093,632.0","4,152,246.0","4,178,625.0","4,221,815.0","4,242,588.0"
"22","3","       Change in private inventories","A014RX1","4,852.0","-3,472.0","-13,430.0","-2,201.0","11,442.0","21,430.0","25,026.0","19,413.0","-2,040.0","-17,426.0","-3,861.0","-17,464.0","7,383.0","10,775.0","14,054.0","44,897.0","27,928.0","40,633.0","26,851.0","11,572.0","14,476.0","-3,555.0","15,977.0","16,136.0","12,969.0","12,812.0","7,733.0","-6,692.0","-5,937.0","-9,480.0","-7,558.0","-2,728.0","11,231.0","16,593.0","15,140.0","20,845.0","17,583.0","12,224.0","9,476.0","8,385.0","4,569.0","6,536.0","9,496.0","-8,887.0","-11,141.0","-9,698.0","4,901.0","12,964.0","10,441.0","26,521.0","3,175.0","15,570.0","38,847.0","11,082.0","15,645.0","-18,246.0","-8,320.0","7,186.0","23,828.0","19,766.0","31,223.0","19,651.0","23,035.0","13,646.0","26,681.0","17,743.0","21,147.0","15,436.0","16,387.0","15,744.0","18,883.0","18,025.0","41,442.0","29,753.0","33,500.0","26,904.0","47,146.0","45,446.0","40,359.0","55,614.0","51,441.0","23,162.0","30,811.0","30,123.0","27,265.0","48,865.0","26,064.0","20,965.0","37,013.0","31,210.0"
"23","4","       Residual","A958RX1","-19,700.0","-25,700.0","-31,900.0","-16,900.0","-9,800.0","500.0","3,800.0","-3,600.0","-15,800.0","-31,100.0","-23,200.0","-33,900.0","-14,800.0","-11,600.0","-8,800.0","18,800.0","2,400.0","14,900.0","2,200.0","-10,900.0","-9,700.0","-25,000.0","-7,800.0","-8,000.0","-11,300.0","-11,900.0","-15,400.0","-24,900.0","-23,000.0","-26,000.0","-25,200.0","-22,700.0","-14,100.0","-11,100.0","-12,600.0","-9,600.0","-12,300.0","-15,000.0","-16,600.0","-17,900.0","-20,900.0","-19,500.0","-17,000.0","-25,700.0","-26,400.0","-25,700.0","-18,300.0","-16,300.0","-14,800.0","-9,200.0","-22,800.0","-15,000.0","-6,100.0","-18,600.0","-14,500.0","-31,000.0","-26,400.0","-19,800.0","-12,300.0","-15,000.0","-9,200.0","-15,500.0","-14,300.0","-18,600.0","-11,800.0","-16,500.0","-16,500.0","-19,700.0","-19,000.0","-19,600.0","-18,800.0","-17,300.0","-10,600.0","-14,300.0","-12,400.0","-16,300.0","-7,000.0","-9,700.0","-11,100.0","-5,900.0","-6,300.0","-18,600.0","-14,900.0","-18,900.0","-17,200.0","-10,500.0","-18,000.0","-21,300.0","-14,700.0","-17,300.0"
"24","5","Goods","A353RX1","419,502.0","414,725.0","407,369.0","416,132.0","428,127.0","430,891.0","433,129.0","431,990.0","418,469.0","410,682.0","417,855.0","407,511.0","431,040.0","442,853.0","474,694.0","482,110.0","479,445.0","483,053.0","488,817.0","488,179.0","484,706.0","472,439.0","476,413.0","501,494.0","509,775.0","512,352.0","508,865.0","490,326.0","487,251.0","488,467.0","492,114.0","508,237.0","530,171.0","552,159.0","560,134.0","564,485.0","558,519.0","557,899.0","559,999.0","565,748.0","569,709.0","565,754.0","574,764.0","549,339.0","525,912.0","523,997.0","545,587.0","559,750.0","574,642.0","591,481.0","584,705.0","588,933.0","617,934.0","606,215.0","609,011.0","579,658.0","583,970.0","600,556.0","617,904.0","630,332.0","646,747.0","645,699.0","654,132.0","650,780.0","665,467.0","668,301.0","681,568.0","685,074.0","703,681.0","713,622.0","732,252.0","731,547.0","763,710.0","764,933.0","784,634.0","809,717.0","845,084.0","840,010.0","847,871.0","861,286.0","856,461.0","847,537.0","850,947.0","848,733.0","868,736.0","889,019.0","892,750.0","889,246.0","919,409.0","911,575.0"
"25","6","    Final sales","A325RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"26","7","    Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"27","8","  Durable goods","A354RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"28","9","    Final sales","A326RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"29","10","    Change in private inventories \1\","A355RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"30","11","  Nondurable goods","A356RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"31","12","    Final sales","A334RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"32","13","    Change in private inventories \1\","A357RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"33","14","Services \2\","A341RX1","1,083,547.0","1,099,005.0","1,099,955.0","1,080,900.0","1,082,709.0","1,108,343.0","1,115,112.0","1,133,693.0","1,148,899.0","1,162,645.0","1,153,394.0","1,143,167.0","1,156,307.0","1,179,352.0","1,173,660.0","1,210,353.0","1,268,513.0","1,325,917.0","1,382,792.0","1,391,469.0","1,427,531.0","1,468,169.0","1,477,843.0","1,492,606.0","1,522,195.0","1,540,276.0","1,535,503.0","1,532,379.0","1,515,752.0","1,507,614.0","1,522,195.0","1,531,934.0","1,544,378.0","1,530,371.0","1,560,009.0","1,575,001.0","1,575,191.0","1,599,746.0","1,590,319.0","1,637,259.0","1,647,885.0","1,656,531.0","1,667,538.0","1,701,832.0","1,670,015.0","1,704,048.0","1,712,606.0","1,731,766.0","1,742,652.0","1,781,108.0","1,801,051.0","1,818,444.0","1,809,468.0","1,836,435.0","1,835,792.0","1,861,204.0","1,862,854.0","1,902,291.0","1,905,790.0","1,939,562.0","1,966,672.0","2,004,600.0","2,017,998.0","2,039,436.0","2,050,522.0","2,074,705.0","2,107,563.0","2,128,494.0","2,157,631.0","2,186,604.0","2,197,487.0","2,215,989.0","2,237,344.0","2,279,776.0","2,315,751.0","2,363,412.0","2,382,151.0","2,438,930.0","2,455,759.0","2,486,964.0","2,546,345.0","2,560,110.0","2,585,003.0","2,615,947.0","2,668,872.0","2,700,960.0","2,726,739.0","2,754,233.0","2,757,671.0","2,797,401.0"
"34","15","Structures","A755RX1","244,146.0","241,050.0","263,512.0","293,389.0","294,561.0","311,472.0","312,443.0","302,887.0","294,027.0","296,319.0","312,687.0","330,040.0","352,563.0","379,152.0","397,219.0","391,452.0","383,375.0","369,245.0","360,441.0","359,631.0","369,040.0","373,157.0","373,239.0","388,658.0","397,890.0","398,680.0","393,038.0","398,442.0","407,751.0","416,123.0","428,808.0","438,585.0","460,416.0","467,371.0","462,649.0","455,360.0","456,183.0","462,697.0","461,123.0","458,315.0","459,116.0","453,266.0","451,874.0","453,685.0","452,917.0","447,114.0","461,064.0","488,678.0","512,496.0","524,090.0","519,433.0","502,968.0","517,690.0","505,289.0","504,341.0","512,365.0","522,705.0","509,749.0","523,675.0","540,325.0","542,621.0","556,397.0","559,572.0","558,082.0","563,318.0","589,128.0","604,971.0","609,278.0","633,870.0","630,584.0","632,688.0","628,919.0","638,000.0","661,150.0","673,316.0","680,044.0","693,962.0","665,223.0","661,688.0","634,862.0","635,476.0","647,768.0","657,836.0","675,902.0","683,484.0","693,724.0","697,055.0","703,788.0","713,165.0","709,926.0"
"35","16","Residual","A959RX1","25,100.0","14,700.0","-2,900.0","4,400.0","18,000.0","6,200.0","6,300.0","1,200.0","-17,600.0","-32,500.0","-26,300.0","-40,400.0","-25,300.0","-28,600.0","4,500.0","2,200.0","-18,800.0","-30,600.0","-41,600.0","-45,200.0","-65,000.0","-95,200.0","-93,900.0","-75,600.0","-79,500.0","-83,200.0","-83,600.0","-104,600.0","-105,400.0","-103,800.0","-108,700.0","-97,500.0","-85,300.0","-59,700.0","-59,200.0","-57,300.0","-63,800.0","-74,400.0","-68,700.0","-77,000.0","-76,500.0","-81,700.0","-75,300.0","-113,500.0","-127,600.0","-138,500.0","-123,200.0","-123,700.0","-119,500.0","-117,900.0","-129,700.0","-125,100.0","-97,400.0","-113,500.0","-110,100.0","-150,700.0","-150,300.0","-140,600.0","-129,000.0","-132,400.0","-124,800.0","-142,000.0","-138,700.0","-147,700.0","-138,200.0","-151,700.0","-153,900.0","-157,900.0","-157,000.0","-154,200.0","-140,000.0","-144,400.0","-122,700.0","-141,900.0","-137,400.0","-129,100.0","-105,900.0","-116,000.0","-112,100.0","-98,700.0","-119,600.0","-135,800.0","-142,900.0","-159,500.0","-158,100.0","-151,700.0","-156,300.0","-168,900.0","-146,200.0","-162,400.0"
"36",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
