"","Table 1#1#5# Gross Domestic Product                             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"22","3","  Goods","DGDSRC1","298,845.0","302,664.0","306,617.0","310,588.0","314,093.0","317,558.0","321,724.0","321,802.0","333,881.0","339,822.0","343,865.0","350,898.0","357,742.0","368,369.0","377,676.0","391,474.0","407,267.0","412,682.0","420,716.0","425,878.0","435,503.0","448,598.0","463,992.0","458,056.0","467,992.0","481,542.0","502,751.0","513,052.0","530,733.0","538,969.0","550,451.0","565,061.0","580,396.0","592,927.0","603,898.0","624,307.0","629,245.0","661,000.0","672,364.0","691,665.0","707,868.0","722,167.0","753,280.0","768,437.0","792,001.0","777,829.0","801,864.0","827,481.0","860,091.0","863,785.0","881,052.0","872,542.0","886,290.0","887,949.0","901,827.0","921,095.0","925,912.0","962,633.0","990,799.0","1,015,791.0","1,037,897.0","1,063,642.0","1,066,643.0","1,086,621.0","1,110,395.0","1,126,011.0","1,156,935.0","1,157,099.0","1,170,880.0","1,174,747.0","1,216,749.0","1,220,140.0","1,215,880.0","1,251,383.0","1,281,198.0","1,276,730.0","1,308,828.0","1,326,763.0","1,341,167.0","1,372,484.0","1,388,977.0","1,421,091.0","1,441,929.0","1,443,225.0","1,489,564.0","1,479,261.0","1,496,676.0","1,499,702.0","1,485,838.0","1,497,013.0","1,508,728.0","1,498,153.0","1,533,847.0","1,548,207.0","1,573,142.0","1,597,875.0","1,606,982.0","1,634,170.0","1,649,165.0","1,679,070.0","1,705,669.0","1,726,816.0","1,758,889.0","1,794,840.0","1,788,099.0","1,803,889.0","1,826,231.0","1,843,910.0","1,871,010.0","1,915,884.0","1,925,867.0","1,957,924.0","1,986,709.0","1,974,514.0","2,020,482.0","2,045,357.0","2,045,218.0","2,090,573.0","2,121,783.0","2,182,510.0","2,207,106.0","2,275,625.0","2,314,431.0","2,362,808.0","2,417,876.0","2,442,740.0","2,475,537.0","2,500,382.0","2,506,786.0","2,518,367.0","2,523,993.0","2,586,881.0","2,569,558.0","2,599,243.0","2,631,974.0","2,639,052.0","2,675,105.0","2,682,151.0","2,769,848.0","2,782,517.0","2,835,012.0","2,862,780.0","2,899,404.0","2,971,805.0","2,997,359.0","3,047,262.0","3,124,454.0","3,126,584.0","3,180,830.0","3,206,493.0","3,250,493.0","3,249,080.0","3,293,783.0","3,343,377.0","3,369,755.0","3,423,797.0","3,415,376.0","3,458,687.0","3,450,021.0","3,193,985.0","3,158,401.0","3,175,405.0","3,276,141.0","3,312,925.0","3,379,987.0","3,377,452.0","3,409,049.0"
"23","4","    Durable goods","DDURRC1","90,010.0","90,448.0","90,629.0","90,844.0","89,611.0","91,009.0","92,010.0","87,326.0","98,053.0","100,989.0","103,442.0","107,303.0","110,704.0","114,065.0","117,591.0","123,418.0","131,813.0","131,296.0","130,799.0","128,203.0","126,650.0","130,582.0","136,325.0","127,148.0","131,786.0","136,693.0","146,787.0","153,393.0","163,297.0","165,898.0","169,845.0","175,455.0","183,930.0","189,223.0","193,990.0","200,704.0","198,170.0","216,187.0","216,742.0","222,300.0","223,277.0","222,101.0","230,932.0","229,049.0","232,055.0","211,916.0","225,364.0","236,230.0","246,046.0","240,936.0","251,926.0","236,842.0","246,437.0","249,227.0","252,108.0","264,356.0","268,909.0","289,584.0","302,363.0","319,270.0","331,440.0","341,270.0","342,075.0","353,839.0","368,010.0","373,251.0","396,451.0","383,753.0","391,628.0","407,293.0","445,708.0","441,133.0","418,497.0","439,101.0","460,541.0","449,949.0","470,441.0","473,223.0","470,389.0","486,162.0","486,449.0","493,343.0","505,640.0","491,885.0","515,394.0","498,408.0","493,569.0","480,946.0","471,690.0","475,248.0","484,335.0","477,454.0","496,179.0","500,989.0","512,092.0","523,065.0","527,853.0","547,844.0","556,638.0","573,796.0","588,823.0","598,720.0","609,310.0","631,828.0","621,246.0","626,905.0","642,542.0","652,259.0","659,838.0","676,342.0","679,363.0","689,639.0","705,604.0","696,574.0","722,792.0","737,149.0","737,921.0","769,795.0","785,952.0","826,355.0","821,324.0","856,434.0","873,104.0","878,561.0","923,546.0","905,010.0","915,046.0","919,516.0","930,929.0","923,893.0","928,850.0","1,001,714.0","981,300.0","986,442.0","1,010,381.0","990,286.0","979,445.0","1,007,302.0","1,037,502.0","1,034,952.0","1,045,853.0","1,052,297.0","1,065,048.0","1,083,144.0","1,089,242.0","1,117,911.0","1,122,472.0","1,092,342.0","1,132,503.0","1,125,073.0","1,132,350.0","1,142,178.0","1,149,839.0","1,158,688.0","1,163,198.0","1,166,015.0","1,131,071.0","1,117,111.0","1,080,152.0","1,005,556.0","1,012,234.0","1,004,661.0","1,045,153.0","1,043,918.0","1,060,731.0","1,074,091.0","1,084,065.0"
"24","5","    Nondurable goods","DNDGRC1","208,835.0","212,216.0","215,988.0","219,744.0","224,482.0","226,549.0","229,714.0","234,476.0","235,828.0","238,833.0","240,423.0","243,595.0","247,038.0","254,304.0","260,085.0","268,056.0","275,454.0","281,386.0","289,917.0","297,675.0","308,853.0","318,016.0","327,667.0","330,908.0","336,206.0","344,849.0","355,964.0","359,659.0","367,436.0","373,071.0","380,606.0","389,606.0","396,466.0","403,704.0","409,908.0","423,603.0","431,075.0","444,813.0","455,622.0","469,365.0","484,591.0","500,066.0","522,348.0","539,388.0","559,946.0","565,913.0","576,500.0","591,251.0","614,045.0","622,849.0","629,126.0","635,700.0","639,853.0","638,722.0","649,719.0","656,739.0","657,003.0","673,049.0","688,436.0","696,521.0","706,457.0","722,372.0","724,568.0","732,782.0","742,385.0","752,760.0","760,484.0","773,346.0","779,252.0","767,454.0","771,041.0","779,007.0","797,383.0","812,282.0","820,657.0","826,781.0","838,387.0","853,540.0","870,778.0","886,322.0","902,528.0","927,748.0","936,289.0","951,340.0","974,170.0","980,853.0","1,003,107.0","1,018,756.0","1,014,148.0","1,021,765.0","1,024,393.0","1,020,699.0","1,037,668.0","1,047,218.0","1,061,050.0","1,074,810.0","1,079,129.0","1,086,326.0","1,092,527.0","1,105,274.0","1,116,846.0","1,128,096.0","1,149,579.0","1,163,012.0","1,166,853.0","1,176,984.0","1,183,689.0","1,191,651.0","1,211,172.0","1,239,542.0","1,246,504.0","1,268,285.0","1,281,105.0","1,277,940.0","1,297,690.0","1,308,208.0","1,307,297.0","1,320,778.0","1,335,831.0","1,356,155.0","1,385,782.0","1,419,191.0","1,441,327.0","1,484,247.0","1,494,330.0","1,537,730.0","1,560,491.0","1,580,866.0","1,575,857.0","1,594,474.0","1,595,143.0","1,585,167.0","1,588,258.0","1,612,801.0","1,621,593.0","1,648,766.0","1,695,660.0","1,674,849.0","1,732,346.0","1,747,565.0","1,789,159.0","1,810,483.0","1,834,356.0","1,888,661.0","1,908,117.0","1,929,351.0","2,001,982.0","2,034,242.0","2,048,327.0","2,081,420.0","2,118,143.0","2,106,902.0","2,143,944.0","2,184,689.0","2,206,557.0","2,257,782.0","2,284,305.0","2,341,576.0","2,369,869.0","2,188,429.0","2,146,167.0","2,170,744.0","2,230,988.0","2,269,007.0","2,319,256.0","2,303,361.0","2,324,984.0"
"25","6","  Services","DSERRC1","289,598.0","297,146.0","303,512.0","311,540.0","319,111.0","325,588.0","333,359.0","339,985.0","346,928.0","355,040.0","363,414.0","372,604.0","383,133.0","391,037.0","400,258.0","411,237.0","420,036.0","430,227.0","440,637.0","450,594.0","459,157.0","474,606.0","488,010.0","503,782.0","520,086.0","535,303.0","547,879.0","566,539.0","582,642.0","594,073.0","611,976.0","631,109.0","651,265.0","666,740.0","686,969.0","704,790.0","729,833.0","755,706.0","775,375.0","795,297.0","814,716.0","841,029.0","864,400.0","892,762.0","915,954.0","932,209.0","966,858.0","1,009,110.0","1,032,308.0","1,060,166.0","1,082,372.0","1,105,677.0","1,129,879.0","1,154,730.0","1,188,869.0","1,231,332.0","1,266,329.0","1,293,744.0","1,335,729.0","1,363,370.0","1,387,589.0","1,420,485.0","1,456,115.0","1,485,349.0","1,533,047.0","1,561,409.0","1,598,916.0","1,626,636.0","1,656,357.0","1,684,440.0","1,713,886.0","1,749,774.0","1,788,870.0","1,820,494.0","1,857,066.0","1,896,222.0","1,944,679.0","1,986,257.0","2,039,227.0","2,080,833.0","2,118,747.0","2,148,898.0","2,184,824.0","2,230,283.0","2,269,154.0","2,332,588.0","2,378,531.0","2,396,322.0","2,423,904.0","2,466,279.0","2,499,967.0","2,540,422.0","2,606,300.0","2,645,308.0","2,694,510.0","2,748,371.0","2,777,927.0","2,817,945.0","2,867,112.0","2,901,986.0","2,944,735.0","2,983,032.0","3,027,427.0","3,061,824.0","3,100,551.0","3,153,605.0","3,196,654.0","3,236,177.0","3,285,533.0","3,332,896.0","3,378,544.0","3,426,765.0","3,480,353.0","3,529,467.0","3,592,859.0","3,652,757.0","3,712,300.0","3,779,642.0","3,846,212.0","3,895,703.0","3,950,339.0","4,014,342.0","4,084,444.0","4,162,053.0","4,265,110.0","4,332,911.0","4,406,193.0","4,480,738.0","4,551,353.0","4,600,311.0","4,627,255.0","4,680,285.0","4,739,418.0","4,804,143.0","4,859,229.0","4,914,139.0","4,971,788.0","5,041,685.0","5,112,642.0","5,180,314.0","5,270,314.0","5,346,593.0","5,431,280.0","5,523,110.0","5,612,278.0","5,699,941.0","5,784,379.0","5,883,731.0","5,967,379.0","6,060,118.0","6,141,280.0","6,234,990.0","6,339,037.0","6,409,831.0","6,481,069.0","6,564,615.0","6,650,347.0","6,724,317.0","6,751,938.0","6,773,255.0","6,754,583.0","6,744,708.0","6,764,604.0","6,818,561.0","6,850,851.0","6,907,934.0","6,967,612.0"
"26","7","Gross private domestic investment","A006RC1","155,715.0","155,659.0","160,338.0","154,066.0","150,671.0","153,909.0","156,067.0","148,892.0","171,256.0","178,824.0","183,352.0","179,234.0","193,163.0","206,537.0","212,361.0","218,378.0","232,515.0","246,045.0","241,777.0","257,617.0","244,068.0","252,314.0","245,438.0","255,847.0","218,656.0","216,771.0","237,811.0","247,639.0","274,792.0","291,562.0","296,536.0","304,949.0","326,579.0","354,908.0","378,375.0","385,496.0","396,771.0","430,884.0","451,368.0","472,785.0","481,115.0","492,969.0","497,868.0","499,527.0","505,180.0","470,440.0","443,478.0","497,914.0","563,127.0","551,394.0","592,769.0","582,233.0","526,511.0","530,800.0","528,670.0","482,946.0","496,593.0","542,230.0","577,689.0","640,682.0","709,680.0","735,110.0","753,453.0","744,254.0","720,018.0","735,315.0","727,219.0","762,181.0","763,820.0","752,989.0","732,523.0","736,748.0","764,951.0","767,598.0","769,481.0","837,778.0","797,578.0","820,403.0","825,695.0","842,615.0","884,057.0","878,170.0","870,316.0","867,253.0","879,985.0","882,491.0","866,798.0","814,595.0","787,910.0","784,062.0","805,258.0","834,339.0","810,243.0","865,402.0","876,838.0","906,660.0","931,293.0","942,320.0","943,352.0","996,408.0","1,043,643.0","1,106,920.0","1,092,877.0","1,145,715.0","1,160,622.0","1,132,668.0","1,126,240.0","1,156,651.0","1,170,036.0","1,227,838.0","1,279,781.0","1,283,110.0","1,320,633.0","1,385,032.0","1,414,876.0","1,434,098.0","1,494,945.0","1,471,509.0","1,512,730.0","1,563,952.0","1,617,322.0","1,604,729.0","1,644,498.0","1,699,482.0","1,688,823.0","1,810,936.0","1,791,713.0","1,797,363.0","1,701,288.0","1,699,427.0","1,670,419.0","1,576,574.0","1,627,985.0","1,648,117.0","1,650,381.0","1,661,334.0","1,671,466.0","1,678,554.0","1,745,104.0","1,823,649.0","1,853,603.0","1,956,033.0","2,001,319.0","2,063,247.0","2,130,741.0","2,115,247.0","2,166,619.0","2,276,301.0","2,336,540.0","2,352,136.0","2,333,489.0","2,286,535.0","2,277,395.0","2,329,643.0","2,313,365.0","2,260,441.0","2,198,801.0","2,170,857.0","2,111,342.0","1,905,751.0","1,640,397.0","1,530,221.0","1,548,485.0","1,637,706.0","1,739,743.0","1,841,804.0","1,896,124.0"
"27","8","  Fixed investment","A007RC1","144,226.0","146,437.0","150,144.0","148,279.0","148,848.0","148,828.0","150,984.0","152,876.0","159,002.0","167,949.0","173,164.0","179,529.0","189,936.0","194,539.0","198,646.0","210,887.0","221,965.0","227,839.0","232,016.0","232,624.0","231,549.0","234,898.0","239,860.0","235,401.0","228,684.0","230,725.0","239,199.0","247,291.0","260,099.0","269,114.0","275,729.0","294,431.0","311,757.0","335,439.0","347,491.0","361,375.0","371,318.0","406,627.0","426,402.0","444,298.0","457,263.0","465,568.0","485,737.0","490,974.0","495,281.0","462,690.0","477,333.0","507,032.0","524,372.0","539,681.0","548,809.0","557,426.0","547,977.0","534,966.0","522,872.0","522,766.0","531,653.0","549,902.0","581,893.0","616,750.0","636,698.0","665,789.0","682,115.0","696,275.0","703,788.0","713,669.0","710,916.0","729,062.0","733,472.0","737,317.0","739,524.0","749,484.0","736,974.0","751,088.0","768,466.0","774,684.0","780,577.0","800,723.0","807,520.0","823,542.0","835,886.0","842,128.0","860,361.0","850,648.0","866,060.0","848,778.0","844,922.0","825,925.0","803,438.0","802,088.0","804,413.0","803,208.0","809,999.0","842,205.0","856,330.0","885,298.0","895,364.0","918,214.0","936,756.0","979,786.0","998,310.0","1,025,506.0","1,039,668.0","1,070,532.0","1,099,473.0","1,098,935.0","1,114,943.0","1,138,201.0","1,163,186.0","1,197,370.0","1,228,673.0","1,248,469.0","1,270,805.0","1,296,621.0","1,346,893.0","1,356,323.0","1,389,870.0","1,434,201.0","1,460,282.0","1,503,905.0","1,534,005.0","1,569,676.0","1,603,933.0","1,615,154.0","1,672,764.0","1,720,534.0","1,734,471.0","1,742,890.0","1,731,953.0","1,711,023.0","1,700,510.0","1,657,358.0","1,641,351.0","1,634,898.0","1,632,099.0","1,631,366.0","1,642,822.0","1,681,678.0","1,740,919.0","1,787,854.0","1,802,215.0","1,880,010.0","1,940,551.0","1,991,784.0","2,040,029.0","2,099,371.0","2,155,579.0","2,194,119.0","2,270,578.0","2,279,713.0","2,264,385.0","2,254,204.0","2,260,374.0","2,282,130.0","2,273,986.0","2,247,864.0","2,212,524.0","2,194,140.0","2,140,768.0","2,003,779.0","1,782,251.0","1,709,764.0","1,691,764.0","1,681,921.0","1,689,758.0","1,761,425.0","1,765,914.0"
"28","9","    Nonresidential","A008RC1","101,000.0","103,041.0","106,937.0","107,627.0","108,149.0","109,429.0","110,604.0","107,894.0","110,392.0","113,367.0","114,829.0","118,000.0","123,345.0","126,311.0","129,091.0","136,601.0","144,113.0","152,087.0","156,975.0","159,885.0","162,594.0","167,404.0","172,503.0","175,359.0","170,998.0","170,817.0","174,550.0","178,614.0","183,943.0","188,460.0","195,112.0","201,926.0","214,186.0","223,755.0","232,474.0","244,458.0","250,354.0","276,044.0","290,555.0","305,296.0","318,762.0","324,937.0","342,280.0","349,591.0","361,320.0","350,946.0","361,065.0","376,241.0","393,064.0","410,812.0","428,387.0","447,780.0","443,186.0","432,020.0","419,416.0","411,239.0","400,500.0","402,856.0","419,477.0","445,952.0","460,059.0","484,416.0","500,738.0","513,324.0","520,489.0","528,521.0","522,153.0","533,583.0","527,204.0","517,516.0","513,457.0","521,166.0","506,837.0","518,163.0","534,248.0","537,221.0","546,175.0","562,329.0","567,496.0","579,136.0","591,308.0","601,907.0","621,946.0","615,821.0","626,875.0","617,861.0","626,116.0","618,909.0","608,207.0","601,366.0","594,095.0","589,034.0","585,641.0","607,113.0","619,029.0","636,717.0","642,793.0","660,285.0","667,492.0","695,693.0","704,799.0","720,503.0","734,719.0","765,621.0","797,673.0","805,464.0","811,162.0","825,834.0","841,418.0","860,466.0","888,971.0","910,607.0","930,074.0","949,928.0","995,616.0","998,815.0","1,024,989.0","1,055,810.0","1,066,660.0","1,097,087.0","1,120,728.0","1,147,385.0","1,174,492.0","1,177,006.0","1,223,537.0","1,270,054.0","1,288,427.0","1,292,731.0","1,273,685.0","1,240,634.0","1,219,645.0","1,177,288.0","1,149,496.0","1,128,313.0","1,120,636.0","1,103,291.0","1,097,658.0","1,123,815.0","1,150,814.0","1,170,424.0","1,164,628.0","1,204,414.0","1,243,958.0","1,279,136.0","1,305,210.0","1,334,895.0","1,362,930.0","1,386,264.0","1,457,242.0","1,495,273.0","1,522,709.0","1,546,095.0","1,579,638.0","1,624,947.0","1,660,651.0","1,684,577.0","1,695,409.0","1,697,506.0","1,678,223.0","1,590,103.0","1,415,218.0","1,367,534.0","1,343,750.0","1,330,944.0","1,349,587.0","1,404,199.0","1,438,519.0"
"29","10","      Structures","B009RC1","35,794.0","36,671.0","38,930.0","39,397.0","39,491.0","40,312.0","40,577.0","40,768.0","41,504.0","42,336.0","43,119.0","43,757.0","45,781.0","46,607.0","47,314.0","48,990.0","51,327.0","54,060.0","56,831.0","57,714.0","58,984.0","61,333.0","61,417.0","63,214.0","61,682.0","60,409.0","61,275.0","62,034.0","64,099.0","65,057.0","66,683.0","67,821.0","69,732.0","73,631.0","76,409.0","78,540.0","80,018.0","90,259.0","98,559.0","105,498.0","107,879.0","112,844.0","121,814.0","128,268.0","132,557.0","132,299.0","135,769.0","144,056.0","150,017.0","161,010.0","169,743.0","188,485.0","186,622.0","182,450.0","172,926.0","168,257.0","158,581.0","149,502.0","152,648.0","156,644.0","165,735.0","175,807.0","182,528.0","185,519.0","194,875.0","195,236.0","192,210.0","195,751.0","191,672.0","174,504.0","169,021.0","170,911.0","166,921.0","169,576.0","177,585.0","182,728.0","178,614.0","184,151.0","183,452.0","184,943.0","189,505.0","189,565.0","197,739.0","198,056.0","204,137.0","204,572.0","205,516.0","197,443.0","194,901.0","189,888.0","177,485.0","172,151.0","169,931.0","170,640.0","173,047.0","176,671.0","173,681.0","175,083.0","177,461.0","182,380.0","176,216.0","187,371.0","189,428.0","194,061.0","201,351.0","206,740.0","210,519.0","210,472.0","214,406.0","219,906.0","225,456.0","238,564.0","243,012.0","243,066.0","255,076.0","259,911.0","260,725.0","277,719.0","280,112.0","281,960.0","282,817.0","281,214.0","282,958.0","288,789.0","297,829.0","312,992.0","328,224.0","333,533.0","329,008.0","335,253.0","342,579.0","311,984.0","297,838.0","284,809.0","274,612.0","273,745.0","274,246.0","282,587.0","284,060.0","286,571.0","290,826.0","300,910.0","312,432.0","322,438.0","338,419.0","346,527.0","352,344.0","369,726.0","396,779.0","428,564.0","447,633.0","461,708.0","479,506.0","512,335.0","545,529.0","562,167.0","567,072.0","584,352.0","590,363.0","587,905.0","507,461.0","464,015.0","436,563.0","398,224.0","380,092.0","381,517.0","387,664.0"
"30","11","      Equipment and software","B010RC1","65,206.0","66,370.0","68,007.0","68,230.0","68,658.0","69,117.0","70,027.0","67,126.0","68,888.0","71,031.0","71,710.0","74,243.0","77,564.0","79,704.0","81,777.0","87,611.0","92,786.0","98,027.0","100,144.0","102,171.0","103,610.0","106,071.0","111,086.0","112,145.0","109,316.0","110,408.0","113,275.0","116,580.0","119,844.0","123,403.0","128,429.0","134,105.0","144,454.0","150,124.0","156,065.0","165,918.0","170,336.0","185,785.0","191,996.0","199,798.0","210,883.0","212,093.0","220,466.0","221,323.0","228,763.0","218,647.0","225,296.0","232,185.0","243,047.0","249,802.0","258,644.0","259,295.0","256,564.0","249,570.0","246,490.0","242,982.0","241,919.0","253,354.0","266,829.0","289,308.0","294,324.0","308,609.0","318,210.0","327,805.0","325,614.0","333,285.0","329,943.0","337,832.0","335,532.0","343,012.0","344,436.0","350,255.0","339,916.0","348,587.0","356,663.0","354,493.0","367,561.0","378,178.0","384,044.0","394,193.0","401,803.0","412,342.0","424,207.0","417,765.0","422,738.0","413,289.0","420,600.0","421,466.0","413,306.0","411,478.0","416,610.0","416,883.0","415,710.0","436,473.0","445,982.0","460,046.0","469,112.0","485,202.0","490,031.0","513,313.0","528,583.0","533,132.0","545,291.0","571,560.0","596,322.0","598,724.0","600,643.0","615,362.0","627,012.0","640,560.0","663,515.0","672,043.0","687,062.0","706,862.0","740,540.0","738,904.0","764,264.0","778,091.0","786,548.0","815,127.0","837,911.0","866,171.0","891,534.0","888,217.0","925,708.0","957,062.0","960,203.0","959,198.0","944,677.0","905,381.0","877,066.0","865,304.0","851,658.0","843,504.0","846,024.0","829,546.0","823,412.0","841,228.0","866,754.0","883,853.0","873,802.0","903,504.0","931,526.0","956,698.0","966,791.0","988,368.0","1,010,586.0","1,016,538.0","1,060,463.0","1,066,709.0","1,075,076.0","1,084,387.0","1,100,132.0","1,112,612.0","1,115,122.0","1,122,410.0","1,128,337.0","1,113,154.0","1,087,860.0","1,002,198.0","907,757.0","903,519.0","907,187.0","932,720.0","969,495.0","1,022,682.0","1,050,855.0"
"31","12","    Residential","A011RC1","43,226.0","43,396.0","43,207.0","40,652.0","40,699.0","39,399.0","40,380.0","44,982.0","48,610.0","54,582.0","58,335.0","61,529.0","66,591.0","68,228.0","69,555.0","74,286.0","77,852.0","75,752.0","75,041.0","72,739.0","68,955.0","67,494.0","67,357.0","60,042.0","57,686.0","59,908.0","64,649.0","68,677.0","76,156.0","80,654.0","80,617.0","92,505.0","97,571.0","111,684.0","115,017.0","116,917.0","120,964.0","130,583.0","135,847.0","139,002.0","138,501.0","140,631.0","143,457.0","141,383.0","133,961.0","111,744.0","116,268.0","130,791.0","131,308.0","128,869.0","120,422.0","109,646.0","104,791.0","102,946.0","103,456.0","111,527.0","131,153.0","147,046.0","162,416.0","170,798.0","176,639.0","181,373.0","181,377.0","182,951.0","183,299.0","185,148.0","188,763.0","195,479.0","206,268.0","219,801.0","226,067.0","228,318.0","230,137.0","232,925.0","234,218.0","237,463.0","234,402.0","238,394.0","240,024.0","244,406.0","244,578.0","240,221.0","238,415.0","234,827.0","239,185.0","230,917.0","218,806.0","207,016.0","195,231.0","200,722.0","210,318.0","214,174.0","224,358.0","235,092.0","237,301.0","248,581.0","252,571.0","257,929.0","269,264.0","284,093.0","293,511.0","305,003.0","304,949.0","304,911.0","301,800.0","293,471.0","303,781.0","312,367.0","321,768.0","336,904.0","339,702.0","337,862.0","340,731.0","346,693.0","351,277.0","357,508.0","364,881.0","378,391.0","393,622.0","406,818.0","413,277.0","422,291.0","429,441.0","438,148.0","449,227.0","450,480.0","446,044.0","450,159.0","458,268.0","470,389.0","480,865.0","480,070.0","491,855.0","506,585.0","511,463.0","528,075.0","545,164.0","557,863.0","590,105.0","617,430.0","637,587.0","675,596.0","696,593.0","712,648.0","734,819.0","764,476.0","792,649.0","807,855.0","813,336.0","784,440.0","741,676.0","708,109.0","680,736.0","657,183.0","613,335.0","563,287.0","517,115.0","496,634.0","462,545.0","413,676.0","367,033.0","342,230.0","348,014.0","350,977.0","340,171.0","357,226.0","327,395.0"
"32","13","  Change in private inventories","A014RC1","11,489.0","9,222.0","10,194.0","5,787.0","1,823.0","5,081.0","5,083.0","-3,984.0","12,254.0","10,875.0","10,188.0","-295.0","3,227.0","11,998.0","13,715.0","7,491.0","10,550.0","18,206.0","9,761.0","24,993.0","12,519.0","17,416.0","5,578.0","20,446.0","-10,028.0","-13,954.0","-1,388.0","348.0","14,693.0","22,448.0","20,807.0","10,518.0","14,822.0","19,469.0","30,884.0","24,121.0","25,453.0","24,257.0","24,966.0","28,487.0","23,852.0","27,401.0","12,131.0","8,553.0","9,899.0","7,750.0","-33,855.0","-9,118.0","38,755.0","11,713.0","43,960.0","24,807.0","-21,466.0","-4,166.0","5,798.0","-39,820.0","-35,060.0","-7,672.0","-4,204.0","23,932.0","72,982.0","69,321.0","71,338.0","47,979.0","16,230.0","21,646.0","16,303.0","33,119.0","30,348.0","15,672.0","-7,001.0","-12,736.0","27,977.0","16,510.0","1,015.0","63,094.0","17,001.0","19,680.0","18,175.0","19,073.0","48,171.0","36,042.0","9,955.0","16,605.0","13,925.0","33,713.0","21,876.0","-11,330.0","-15,528.0","-18,026.0","845.0","31,131.0","244.0","23,197.0","20,508.0","21,362.0","35,929.0","24,106.0","6,596.0","16,622.0","45,333.0","81,414.0","53,209.0","75,183.0","61,149.0","33,733.0","11,297.0","18,450.0","6,850.0","30,468.0","51,108.0","34,641.0","49,828.0","88,411.0","67,983.0","77,775.0","105,075.0","37,308.0","52,448.0","60,047.0","83,317.0","35,053.0","40,565.0","84,328.0","16,059.0","90,402.0","57,242.0","54,473.0","-30,665.0","-11,596.0","-30,091.0","-80,784.0","-13,366.0","13,219.0","18,282.0","29,968.0","28,644.0","-3,124.0","4,185.0","35,795.0","51,388.0","76,023.0","60,768.0","71,463.0","90,712.0","15,876.0","11,040.0","82,182.0","65,962.0","72,423.0","69,104.0","32,331.0","17,021.0","47,513.0","39,379.0","12,577.0","-13,723.0","-23,283.0","-29,426.0","-98,028.0","-141,854.0","-179,543.0","-143,279.0","-44,215.0","49,985.0","80,379.0","130,210.0"
