"","Table 1#16# Sources and Uses of Private Enterprise Income       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    Sources of private enterprise income","W259RC1","300,889.0","308,824.0","341,698.0","385,761.0","452,153.0","492,727.0","547,378.0","592,214.0","665,785.0","774,766.0","888,190.0","982,472.0","1,195,660.0","1,285,562.0","1,386,137.0","1,599,352.0","1,722,731.0","1,764,814.0","1,895,730.0","2,128,251.0","2,357,509.0","2,418,165.0","2,384,601.0","2,357,259.0","2,405,815.0","2,649,802.0","2,970,086.0","3,228,920.0","3,540,371.0","3,724,280.0","3,974,504.0","4,402,422.0","4,352,465.0","4,114,747.0","4,131,782.0","4,730,214.0","5,507,627.0","6,409,787.0","6,844,686.0","6,378,706.0","5,678,360.0"
"20","2","Net operating surplus","W260RC1","224,438.0","219,337.0","243,564.0","274,877.0","310,609.0","315,015.0","354,269.0","394,102.0","446,676.0","510,977.0","549,298.0","565,659.0","658,499.0","673,635.0","759,299.0","912,558.0","970,428.0","995,053.0","1,077,972.0","1,196,386.0","1,265,621.0","1,296,998.0","1,311,640.0","1,392,046.0","1,477,995.0","1,632,307.0","1,757,183.0","1,944,656.0","2,120,595.0","2,214,065.0","2,328,539.0","2,435,746.0","2,475,744.0","2,515,267.0","2,618,473.0","2,925,023.0","3,239,444.0","3,543,962.0","3,449,320.0","3,339,492.0","3,308,139.0"
"21","3","Income receipts on assets","W261RC1","76,451.0","89,487.0","98,134.0","110,884.0","141,544.0","177,712.0","193,109.0","198,112.0","219,109.0","263,789.0","338,892.0","416,813.0","537,161.0","611,927.0","626,838.0","686,794.0","752,303.0","769,761.0","817,758.0","931,865.0","1,091,888.0","1,121,167.0","1,072,961.0","965,213.0","927,820.0","1,017,495.0","1,212,903.0","1,284,264.0","1,419,776.0","1,510,215.0","1,645,965.0","1,966,676.0","1,876,721.0","1,599,480.0","1,513,309.0","1,805,191.0","2,268,183.0","2,865,825.0","3,395,366.0","3,039,214.0","2,370,221.0"
"22","4","  Interest","W262RC1","68,404.0","80,831.0","88,353.0","99,133.0","123,969.0","157,314.0","175,203.0","177,174.0","195,319.0","234,788.0","296,332.0","372,968.0","499,083.0","575,258.0","585,735.0","640,691.0","705,498.0","721,043.0","758,835.0","860,285.0","1,016,378.0","1,040,248.0","997,472.0","886,885.0","838,872.0","912,970.0","1,085,539.0","1,144,905.0","1,264,280.0","1,363,429.0","1,469,159.0","1,764,195.0","1,694,141.0","1,395,076.0","1,264,143.0","1,477,019.0","1,884,128.0","2,431,378.0","2,884,772.0","2,467,431.0","1,889,602.0"
"23","5","  Dividend receipts from the rest of the world","B3375C1","4,849.0","5,046.0","6,065.0","6,531.0","8,556.0","11,618.0","8,622.0","11,676.0","14,149.0","14,721.0","19,908.0","21,492.0","20,732.0","23,853.0","19,526.0","19,650.0","20,995.0","27,873.0","27,912.0","45,128.0","47,878.0","43,658.0","41,446.0","44,683.0","39,467.0","59,652.0","58,559.0","69,074.0","79,990.0","83,247.0","92,659.0","86,334.0","87,401.0","92,829.0","101,013.0","135,642.0","363,340.0","186,015.0","248,980.0","299,334.0","206,800.0"
"24","6","  Reinvested earnings on U.S. direct investment abroad","B3475C1","3,198.0","3,610.0","3,716.0","5,220.0","9,019.0","8,780.0","9,284.0","9,262.0","9,641.0","14,280.0","22,652.0","22,353.0","17,346.0","12,816.0","21,577.0","26,453.0","25,810.0","20,845.0","31,011.0","26,452.0","27,632.0","37,261.0","34,043.0","33,645.0","49,481.0","44,873.0","68,805.0","70,285.0","75,506.0","63,539.0","84,147.0","116,147.0","95,179.0","111,575.0","148,153.0","192,530.0","20,715.0","248,432.0","261,614.0","272,449.0","273,819.0"
"25","7","    Uses of private enterprise income","W263RC1","300,889.0","308,823.0","341,697.0","385,761.0","452,153.0","492,727.0","547,379.0","592,215.0","665,785.0","774,765.0","888,192.0","982,472.0","1,195,662.0","1,285,561.0","1,386,137.0","1,599,353.0","1,722,730.0","1,764,814.0","1,895,730.0","2,128,251.0","2,357,509.0","2,418,165.0","2,384,601.0","2,357,260.0","2,405,817.0","2,649,804.0","2,970,086.0","3,228,919.0","3,540,372.0","3,724,280.0","3,974,504.0","4,402,422.0","4,352,466.0","4,114,745.0","4,131,783.0","4,730,216.0","5,507,627.0","6,409,787.0","6,844,684.0","6,378,706.0","5,678,360.0"
"26","8","Income payments on assets","W264RC1","103,073.0","122,247.0","134,433.0","150,226.0","184,147.0","232,937.0","261,686.0","266,765.0","299,823.0","357,135.0","445,757.0","564,356.0","736,407.0","846,350.0","874,890.0","977,357.0","1,067,026.0","1,117,448.0","1,165,396.0","1,292,941.0","1,498,778.0","1,528,656.0","1,458,528.0","1,320,820.0","1,257,916.0","1,351,633.0","1,537,471.0","1,619,536.0","1,799,472.0","1,967,661.0","2,094,322.0","2,463,504.0","2,363,946.0","2,051,157.0","1,943,045.0","2,169,460.0","2,707,674.0","3,439,035.0","3,996,610.0","3,670,182.0","3,000,427.0"
"27","9","  Interest and miscellaneous payments \1\","W265RC1","101,621.0","120,691.0","132,507.0","148,009.0","181,470.0","230,008.0","258,411.0","262,375.0","295,146.0","351,003.0","437,808.0","555,982.0","728,008.0","842,264.0","868,846.0","967,820.0","1,058,326.0","1,108,204.0","1,154,485.0","1,278,345.0","1,490,397.0","1,523,825.0","1,459,508.0","1,315,582.0","1,245,898.0","1,325,074.0","1,503,054.0","1,582,148.0","1,751,532.0","1,923,637.0","2,039,032.0","2,406,647.0","2,351,067.0","2,004,640.0","1,859,630.0","2,046,314.0","2,563,060.0","3,261,429.0","3,836,895.0","3,509,683.0","2,872,097.0"
"28","10","  Dividend payments to the rest of the world","B3376C1","1,013.0","1,110.0","1,375.0","1,637.0","1,756.0","1,853.0","2,066.0","2,717.0","3,070.0","3,537.0","3,867.0","4,744.0","5,287.0","7,468.0","7,381.0","7,358.0","9,152.0","9,990.0","11,207.0","13,234.0","16,278.0","18,684.0","17,119.0","16,649.0","18,885.0","21,486.0","25,787.0","28,683.0","32,780.0","40,977.0","50,962.0","56,917.0","46,539.0","44,750.0","68,918.0","73,325.0","102,479.0","108,114.0","104,206.0","113,185.0","99,535.0"
"29","11","  Reinvested earnings on foreign direct investment in the United States","B3476C1","439.0","446.0","551.0","580.0","921.0","1,076.0","1,209.0","1,673.0","1,607.0","2,595.0","4,082.0","3,630.0","3,112.0","-3,382.0","-1,337.0","2,179.0","-452.0","-746.0","-296.0","1,362.0","-7,897.0","-13,853.0","-18,099.0","-11,411.0","-6,867.0","5,073.0","8,630.0","8,705.0","15,160.0","3,047.0","4,328.0","-60.0","-33,660.0","1,767.0","14,497.0","49,821.0","42,135.0","69,492.0","55,509.0","47,314.0","28,795.0"
"30","12","Business current transfer payments (net)","B029RC1","4,941.0","4,519.0","4,324.0","4,930.0","5,970.0","7,133.0","9,408.0","9,520.0","8,465.0","10,815.0","13,328.0","14,732.0","17,912.0","20,612.0","22,601.0","30,290.0","35,205.0","36,850.0","34,061.0","33,621.0","39,179.0","40,112.0","39,936.0","40,673.0","40,492.0","41,926.0","45,838.0","53,759.0","51,286.0","65,199.0","68,951.0","86,963.0","101,258.0","82,366.0","76,145.0","81,686.0","95,876.0","82,959.0","103,326.0","121,720.0","134,033.0"
"31","13","  To persons (net)","B931RC1","3,331.0","2,926.0","2,696.0","3,112.0","3,940.0","4,738.0","6,844.0","6,694.0","5,090.0","6,463.0","8,225.0","8,630.0","11,175.0","12,386.0","13,796.0","19,727.0","22,260.0","22,948.0","20,228.0","20,596.0","23,171.0","22,193.0","17,636.0","16,287.0","14,054.0","13,255.0","18,728.0","22,878.0","19,446.0","25,995.0","33,972.0","42,434.0","46,768.0","34,194.0","25,701.0","16,942.0","25,836.0","21,373.0","30,538.0","36,669.0","36,046.0"
"32","14","  To government (net)","W061RC1","1,610.0","1,593.0","1,628.0","1,818.0","2,030.0","2,395.0","2,564.0","2,826.0","3,375.0","4,352.0","5,103.0","6,102.0","6,737.0","8,226.0","8,805.0","10,563.0","12,945.0","13,902.0","13,833.0","13,025.0","16,008.0","17,919.0","22,300.0","24,507.0","26,742.0","29,115.0","25,730.0","31,836.0","31,056.0","35,420.0","37,589.0","43,567.0","45,995.0","47,932.0","48,751.0","52,534.0","55,241.0","59,592.0","66,816.0","81,728.0","98,548.0"
"33","15","  To the rest of the world (net)","W237RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-121.0","-304.0","-444.0","1,380.0","-955.0","784.0","3,784.0","-2,610.0","962.0","8,495.0","240.0","1,693.0","12,210.0","14,799.0","1,994.0","5,972.0","3,323.0","-561.0"
"34","16","Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","77,508.0","78,477.0","84,683.0","96,036.0","113,627.0","113,483.0","119,608.0","132,240.0","146,029.0","167,504.0","181,110.0","173,467.0","181,616.0","174,833.0","190,650.0","233,069.0","246,103.0","262,563.0","294,247.0","334,839.0","351,576.0","365,144.0","367,281.0","414,921.0","449,616.0","485,105.0","516,025.0","583,683.0","628,233.0","687,531.0","746,802.0","817,458.0","870,725.0","890,292.0","930,646.0","1,033,756.0","1,069,782.0","1,132,961.0","1,090,362.0","1,101,986.0","1,011,937.0"
"35","17","Rental income of persons with capital consumption adjustment","A048RC1","20,896.0","21,074.0","22,183.0","23,143.0","23,904.0","24,048.0","23,367.0","22,085.0","19,625.0","20,884.0","22,643.0","28,494.0","36,459.0","38,050.0","38,165.0","40,030.0","41,851.0","33,827.0","34,184.0","40,232.0","42,414.0","49,804.0","61,581.0","84,619.0","114,089.0","142,914.0","154,567.0","170,440.0","176,548.0","191,468.0","208,156.0","215,275.0","232,371.0","218,738.0","204,163.0","198,383.0","178,210.0","146,520.0","143,746.0","222,043.0","273,992.0"
"36","18","Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","94,471.0","82,506.0","96,074.0","111,426.0","124,505.0","115,126.0","133,310.0","161,605.0","191,843.0","218,427.0","225,354.0","201,423.0","223,268.0","205,716.0","259,831.0","318,607.0","332,545.0","314,126.0","367,842.0","426,618.0","425,562.0","434,449.0","457,275.0","496,227.0","543,704.0","628,226.0","716,185.0","801,501.0","884,833.0","812,421.0","856,273.0","819,222.0","784,166.0","872,192.0","977,784.0","1,246,931.0","1,456,085.0","1,608,312.0","1,510,640.0","1,262,775.0","1,257,971.0"
"37","19","  Taxes on corporate income","A054RC1","39,977.0","34,757.0","38,165.0","42,341.0","49,973.0","52,785.0","51,646.0","65,288.0","74,441.0","84,858.0","90,016.0","87,190.0","84,339.0","66,499.0","80,648.0","97,531.0","99,406.0","109,675.0","130,441.0","141,630.0","146,068.0","145,424.0","138,591.0","148,688.0","171,034.0","193,141.0","217,838.0","231,469.0","245,421.0","248,366.0","258,784.0","265,092.0","203,296.0","192,336.0","243,767.0","306,093.0","412,384.0","473,267.0","445,465.0","308,363.0","254,872.0"
"38","20","    To government","W025RC1","39,674.0","34,356.0","37,740.0","41,859.0","49,288.0","51,794.0","50,906.0","64,213.0","73,044.0","83,506.0","87,996.0","84,785.0","81,143.0","63,081.0","77,241.0","94,037.0","96,512.0","106,487.0","127,089.0","137,158.0","141,453.0","140,606.0","133,578.0","143,148.0","165,375.0","186,693.0","210,976.0","223,645.0","237,140.0","239,176.0","248,763.0","254,671.0","193,523.0","181,322.0","231,802.0","291,990.0","395,901.0","454,160.0","420,624.0","280,155.0","231,437.0"
"39","21","    To the rest of the world","B930RC1","303.0","401.0","425.0","482.0","685.0","991.0","740.0","1,075.0","1,397.0","1,352.0","2,020.0","2,405.0","3,196.0","3,418.0","3,407.0","3,494.0","2,894.0","3,188.0","3,352.0","4,472.0","4,615.0","4,818.0","5,013.0","5,540.0","5,659.0","6,448.0","6,862.0","7,824.0","8,281.0","9,190.0","10,021.0","10,421.0","9,773.0","11,014.0","11,965.0","14,103.0","16,483.0","19,107.0","24,841.0","28,208.0","23,435.0"
"40","22","  Profits after tax with inventory valuation and capital consumption adjustments","A551RC1","54,494.0","47,749.0","57,909.0","69,085.0","74,532.0","62,341.0","81,664.0","96,317.0","117,402.0","133,569.0","135,338.0","114,233.0","138,929.0","139,217.0","179,183.0","221,076.0","233,139.0","204,451.0","237,401.0","284,988.0","279,494.0","289,025.0","318,684.0","347,539.0","372,670.0","435,085.0","498,347.0","570,032.0","639,412.0","564,055.0","597,489.0","554,130.0","580,870.0","679,856.0","734,017.0","940,838.0","1,043,701.0","1,135,045.0","1,065,175.0","954,412.0","1,003,099.0"
"41","23","    Net dividends","B056RC1","24,239.0","24,307.0","25,027.0","26,836.0","29,907.0","33,219.0","32,960.0","39,014.0","44,769.0","50,793.0","57,520.0","64,070.0","73,756.0","77,714.0","83,464.0","90,807.0","97,552.0","106,180.0","112,312.0","129,919.0","157,974.0","169,062.0","180,683.0","188,027.0","202,930.0","235,723.0","254,404.0","297,722.0","331,205.0","351,454.0","337,397.0","377,873.0","370,918.0","399,256.0","424,861.0","550,335.0","557,320.0","704,778.0","794,497.0","797,673.0","718,897.0"
"42","24","    Undistributed corporate profits with inventory valuation and capital consumption adjustments","A127RC1","30,255.0","23,442.0","32,882.0","42,249.0","44,625.0","29,122.0","48,704.0","57,303.0","72,633.0","82,776.0","77,818.0","50,163.0","65,173.0","61,503.0","95,719.0","130,269.0","135,587.0","98,271.0","125,089.0","155,069.0","121,520.0","119,963.0","138,001.0","159,512.0","169,740.0","199,362.0","243,943.0","272,310.0","308,207.0","212,601.0","260,092.0","176,257.0","209,952.0","280,600.0","309,156.0","390,503.0","486,381.0","430,267.0","270,678.0","156,739.0","284,202.0"
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","1. Includes rent paid by private enterprises to government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
