"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Millions of chained (2005) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2010  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2010 9:59:38 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    Gross domestic product","A191RX1","4,261,800.0","4,269,940.0","4,413,263.0","4,647,730.0","4,917,010.0","4,889,916.0","4,879,519.0","5,141,295.0","5,377,652.0","5,677,624.0","5,855,049.0","5,838,979.0","5,987,189.0","5,870,945.0","6,136,170.0","6,577,116.0","6,849,265.0","7,086,509.0","7,313,277.0","7,613,888.0","7,885,927.0","8,033,908.0","8,015,143.0","8,287,072.0","8,523,449.0","8,870,673.0","9,093,723.0","9,433,894.0","9,854,333.0","10,283,516.0","10,779,849.0","11,225,977.0","11,347,156.0","11,552,973.0","11,840,700.0","12,263,814.0","12,638,375.0","12,976,249.0","13,228,853.0","13,228,848.0","12,880,611.0"
"20","2","Business \1\","A195RX1","2,933,981.0","2,933,268.0","3,045,979.0","3,242,149.0","3,469,364.0","3,417,542.0","3,385,588.0","3,609,203.0","3,810,068.0","4,050,142.0","4,184,580.0","4,137,407.0","4,252,500.0","4,123,743.0","4,345,837.0","4,723,196.0","4,942,546.0","5,126,937.0","5,295,700.0","5,522,736.0","5,727,320.0","5,815,323.0","5,764,302.0","5,991,781.0","6,185,015.0","6,488,211.0","6,670,771.0","6,974,602.0","7,335,678.0","7,702,435.0","8,132,816.0","8,500,913.0","8,569,102.0","8,736,587.0","9,005,895.0","9,379,856.0","9,695,479.0","9,991,716.0","10,194,961.0","10,099,551.0","9,730,773.0"
"21","3","  Nonfarm \2\","A358RX1","2,910,887.0","2,907,725.0","3,018,213.0","3,218,810.0","3,454,782.0","3,404,132.0","3,348,587.0","3,583,367.0","3,783,017.0","4,032,485.0","4,159,664.0","4,114,934.0","4,202,528.0","4,066,943.0","4,328,470.0","4,684,537.0","4,886,419.0","5,076,077.0","5,245,202.0","5,484,461.0","5,678,141.0","5,759,900.0","5,706,966.0","5,921,318.0","6,128,175.0","6,414,214.0","6,617,845.0","6,909,422.0","7,261,364.0","7,633,451.0","8,060,613.0","8,417,804.0","8,491,893.0","8,655,909.0","8,914,750.0","9,281,979.0","9,593,462.0","9,892,312.0","10,104,590.0","9,994,791.0","9,619,832.0"
"22","4","  Farm","B359RX1","27,540.0","28,306.0","29,797.0","29,802.0","29,473.0","28,810.0","34,317.0","32,728.0","34,495.0","33,303.0","36,325.0","35,213.0","46,521.0","48,818.0","31,886.0","43,281.0","52,911.0","50,750.0","51,254.0","45,610.0","52,286.0","56,019.0","56,939.0","66,241.0","57,837.0","70,525.0","56,392.0","65,281.0","72,511.0","69,387.0","72,759.0","83,536.0","77,731.0","81,172.0","91,551.0","97,915.0","102,018.0","99,131.0","90,348.0","102,346.0","108,543.0"
"23","5","Households and institutions","A193RX1","501,165.0","510,248.0","531,661.0","554,759.0","574,632.0","597,731.0","617,942.0","628,211.0","637,484.0","666,377.0","695,313.0","730,947.0","754,139.0","778,870.0","800,988.0","826,804.0","841,217.0","863,368.0","895,799.0","937,230.0","974,808.0","1,009,611.0","1,038,543.0","1,071,410.0","1,106,853.0","1,139,988.0","1,175,538.0","1,199,841.0","1,240,469.0","1,280,237.0","1,325,502.0","1,376,242.0","1,406,971.0","1,417,341.0","1,417,820.0","1,457,434.0","1,506,420.0","1,539,820.0","1,571,920.0","1,630,073.0","1,621,694.0"
"24","6","  Households","B701RX1","285,923.0","292,640.0","305,875.0","319,053.0","330,573.0","344,997.0","354,179.0","360,910.0","364,951.0","387,354.0","404,983.0","430,617.0","444,053.0","452,062.0","460,541.0","476,353.0","487,432.0","493,661.0","506,766.0","525,706.0","542,017.0","555,680.0","572,047.0","589,015.0","603,523.0","631,892.0","651,346.0","665,374.0","687,580.0","703,747.0","740,322.0","774,082.0","793,050.0","789,872.0","787,088.0","821,652.0","864,389.0","897,971.0","914,206.0","959,336.0","952,415.0"
"25","7","  Nonprofit institutions serving households \3\","B702RX1","214,904.0","216,665.0","224,487.0","234,384.0","242,665.0","251,035.0","262,477.0","265,841.0","271,285.0","276,743.0","287,836.0","297,095.0","306,775.0","324,273.0","338,498.0","348,303.0","351,240.0","368,002.0","388,020.0","411,054.0","432,937.0","454,872.0","467,410.0","483,450.0","504,901.0","508,670.0","524,810.0","535,038.0","553,515.0","577,832.0","585,302.0","601,814.0","613,427.0","627,684.0","631,132.0","635,852.0","642,031.0","642,047.0","657,848.0","671,227.0","669,690.0"
