"","Table 1#1#6C# Real Gross Domestic Product, Chained (1972) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"1","[Millions of chained (1972) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1969 To 1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/26/2015 3:53:39 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Gross domestic product","A191CX1","1,171,866.0","1,175,624.0","1,182,983.0","1,177,819.0","1,175,731.0","1,177,812.0","1,188,245.0","1,176,023.0","1,207,512.0","1,214,403.0","1,223,898.0","1,227,472.0","1,249,497.0","1,278,431.0","1,290,213.0","1,311,639.0","1,343,929.0","1,359,166.0","1,351,780.0","1,364,384.0","1,353,051.0","1,356,608.0","1,343,474.0","1,338,100.0","1,321,934.0","1,332,119.0","1,354,133.0","1,372,390.0","1,403,380.0","1,413,984.0","1,421,174.0","1,431,841.0","1,448,500.0","1,476,929.0","1,503,058.0","1,503,216.0","1,508,446.0","1,567,095.0","1,582,420.0","1,603,644.0","1,606,830.0","1,608,776.0","1,620,327.0","1,624,522.0","1,629,777.0","1,596,723.0","1,594,304.0","1,623,850.0","1,657,456.0","1,645,352.0","1,664,233.0","1,644,817.0","1,617,303.0","1,626,114.0","1,620,257.0","1,621,838.0"
"21","2","Personal consumption expenditures","DPCECX1","675,992.0","680,318.0","683,616.0","689,083.0","693,338.0","696,533.0","702,654.0","700,747.0","714,163.0","720,711.0","726,463.0","738,537.0","748,296.0","762,575.0","774,346.0","792,510.0","806,981.0","806,643.0","809,523.0","807,156.0","800,111.0","802,916.0","806,226.0","794,404.0","801,055.0","814,433.0","826,062.0","834,819.0","851,509.0","859,343.0","868,457.0","879,793.0","889,857.0","894,774.0","903,302.0","916,913.0","922,218.0","941,895.0","945,837.0","953,416.0","958,246.0","957,684.0","967,109.0","969,697.0","968,210.0","946,425.0","956,631.0","969,312.0","974,410.0","974,239.0","978,153.0","970,819.0","977,253.0","980,862.0","988,445.0","1,006,476.0"
"22","3","  Goods","DGDSCX1","333,369.0","333,609.0","334,202.0","335,403.0","335,949.0","336,900.0","338,967.0","335,309.0","346,075.0","348,921.0","351,166.0","357,341.0","360,679.0","370,218.0","376,661.0","387,703.0","396,967.0","393,138.0","393,267.0","389,367.0","383,010.0","381,812.0","383,045.0","367,492.0","370,158.0","378,064.0","387,397.0","390,039.0","401,456.0","406,294.0","409,873.0","414,845.0","419,347.0","422,434.0","425,836.0","434,916.0","432,475.0","444,890.0","445,256.0","450,281.0","449,932.0","446,141.0","453,554.0","451,633.0","449,346.0","430,836.0","435,260.0","440,207.0","446,542.0","442,970.0","447,441.0","439,443.0","443,847.0","443,740.0","446,103.0","455,100.0"
"23","4","    Durable goods","DDURCX1","97,107.0","96,845.0","96,569.0","96,198.0","94,722.0","95,816.0","96,167.0","89,779.0","99,411.0","101,673.0","104,380.0","108,837.0","111,329.0","114,127.0","117,061.0","123,261.0","131,109.0","129,562.0","128,409.0","125,409.0","122,471.0","123,129.0","123,841.0","112,055.0","114,447.0","116,672.0","123,959.0","127,566.0","133,945.0","134,548.0","136,076.0","138,220.0","143,289.0","146,670.0","148,827.0","151,954.0","147,926.0","158,955.0","156,815.0","158,053.0","156,184.0","152,653.0","156,907.0","152,866.0","150,461.0","134,232.0","140,186.0","144,460.0","148,560.0","142,779.0","147,123.0","136,555.0","140,930.0","141,445.0","142,589.0","149,097.0"
"24","5","    Nondurable goods","DNDGCX1","236,296.0","236,816.0","237,701.0","239,293.0","241,346.0","241,195.0","242,926.0","245,764.0","246,770.0","247,329.0","246,826.0","248,507.0","249,325.0","256,067.0","259,594.0","264,498.0","266,090.0","263,843.0","265,077.0","264,034.0","260,492.0","258,762.0","259,322.0","254,693.0","255,181.0","260,832.0","263,386.0","262,744.0","268,070.0","272,188.0","274,272.0","277,160.0","276,976.0","276,956.0","278,329.0","284,306.0","285,522.0","287,721.0","289,953.0","293,690.0","294,989.0","294,419.0","297,866.0","299,439.0","299,292.0","295,240.0","294,515.0","295,668.0","298,280.0","299,606.0","300,271.0","301,419.0","301,975.0","301,455.0","302,742.0","305,850.0"
"25","6","  Services","DSERCX1","342,277.0","346,480.0","349,246.0","353,593.0","357,378.0","359,645.0","363,732.0","365,578.0","368,097.0","371,803.0","375,315.0","381,208.0","387,634.0","392,359.0","397,679.0","404,795.0","409,984.0","413,490.0","416,251.0","417,825.0","417,219.0","421,319.0","423,398.0","427,665.0","431,641.0","437,021.0","439,152.0","445,336.0","450,534.0","453,528.0","459,082.0","465,454.0","471,011.0","472,836.0","477,959.0","482,534.0","490,199.0","497,540.0","501,089.0","503,685.0","508,817.0","511,995.0","514,037.0","518,501.0","519,273.0","515,981.0","521,756.0","529,481.0","528,295.0","531,636.0","531,148.0","531,634.0","533,739.0","537,342.0","542,469.0","551,550.0"
"26","7","Gross private domestic investment","A006CX1","199,230.0","198,056.0","202,077.0","192,320.0","186,584.0","186,989.0","190,032.0","179,943.0","200,922.0","206,623.0","209,130.0","203,498.0","216,908.0","229,228.0","232,484.0","233,942.0","247,651.0","258,208.0","248,845.0","257,709.0","242,992.0","242,022.0","229,479.0","230,871.0","193,683.0","187,917.0","202,485.0","208,137.0","228,219.0","237,252.0","238,079.0","239,861.0","250,975.0","268,968.0","282,579.0","275,490.0","280,859.0","299,101.0","307,816.0","314,937.0","315,464.0","315,179.0","309,866.0","304,359.0","302,263.0","276,566.0","258,331.0","282,443.0","308,641.0","295,832.0","312,418.0","301,259.0","271,552.0","271,206.0","268,645.0","247,867.0"
"27","8","  Fixed investment","A007CX1","186,809.0","187,793.0","190,486.0","186,247.0","185,311.0","181,506.0","184,574.0","184,534.0","188,325.0","195,391.0","198,764.0","203,980.0","212,670.0","216,327.0","218,777.0","228,361.0","237,320.0","239,132.0","238,424.0","236,373.0","231,666.0","228,763.0","225,004.0","212,911.0","200,832.0","198,545.0","203,399.0","207,461.0","215,928.0","219,488.0","221,964.0","232,504.0","240,525.0","253,052.0","256,281.0","260,692.0","263,041.0","281,013.0","288,627.0","294,945.0","297,553.0","295,826.0","300,998.0","298,203.0","294,275.0","270,155.0","273,447.0","283,810.0","286,500.0","288,770.0","288,807.0","287,735.0","278,566.0","269,689.0","263,211.0","263,350.0"
"28","9","    Nonresidential","A008CX1","133,706.0","135,163.0","138,237.0","137,514.0","136,545.0","135,651.0","136,127.0","131,457.0","132,541.0","134,345.0","134,935.0","137,695.0","142,083.0","144,402.0","146,519.0","153,535.0","159,974.0","165,922.0","168,478.0","169,744.0","169,569.0","169,278.0","167,551.0","163,149.0","153,842.0","150,145.0","151,743.0","153,555.0","156,843.0","158,926.0","162,401.0","165,540.0","171,571.0","176,313.0","179,831.0","185,304.0","186,925.0","201,407.0","208,243.0","214,972.0","219,920.0","219,709.0","226,195.0","226,806.0","229,262.0","218,668.0","220,122.0","224,756.0","229,376.0","234,032.0","239,380.0","244,793.0","238,417.0","230,833.0","224,116.0","220,237.0"
"29","10","      Structures","B009CX1","45,124.0","45,483.0","47,627.0","47,294.0","46,922.0","46,442.0","46,611.0","46,065.0","45,951.0","45,832.0","45,668.0","45,548.0","46,738.0","46,999.0","47,103.0","47,852.0","49,416.0","50,960.0","52,113.0","51,635.0","51,345.0","51,136.0","48,920.0","48,330.0","45,847.0","44,124.0","44,376.0","44,408.0","45,607.0","45,471.0","45,932.0","46,076.0","45,918.0","47,635.0","48,355.0","48,704.0","48,611.0","53,364.0","56,884.0","59,263.0","58,932.0","59,785.0","62,573.0","64,489.0","65,485.0","64,049.0","64,368.0","66,261.0","66,221.0","68,716.0","70,449.0","75,633.0","73,228.0","70,842.0","66,937.0","65,417.0"
"30","11","      Equipment","Y033CX1","69,802.0","70,529.0","71,446.0","70,848.0","70,344.0","70,042.0","70,473.0","66,755.0","67,882.0","69,532.0","70,016.0","72,432.0","75,178.0","76,886.0","78,725.0","84,750.0","89,425.0","93,557.0","94,709.0","96,235.0","96,309.0","96,132.0","96,593.0","92,666.0","85,926.0","84,145.0","85,192.0","86,458.0","87,581.0","89,229.0","91,666.0","94,250.0","100,306.0","102,867.0","105,426.0","110,424.0","111,999.0","120,785.0","123,127.0","126,425.0","130,970.0","129,082.0","131,915.0","129,856.0","130,799.0","121,442.0","122,368.0","124,179.0","127,570.0","128,624.0","131,462.0","129,676.0","125,345.0","119,909.0","117,481.0","115,247.0"
"31","12","      Intellectual property products","Y001CX1","18,787.0","19,153.0","19,291.0","19,499.0","19,401.0","19,269.0","19,139.0","18,827.0","18,846.0","19,058.0","19,307.0","19,731.0","20,169.0","20,509.0","20,680.0","20,950.0","21,193.0","21,500.0","21,738.0","22,016.0","22,062.0","22,153.0","22,370.0","22,366.0","22,231.0","22,101.0","22,424.0","22,988.0","23,955.0","24,595.0","25,224.0","25,703.0","25,990.0","26,418.0","26,690.0","26,937.0","27,152.0","27,973.0","28,726.0","29,715.0","30,767.0","31,452.0","32,109.0","32,504.0","32,965.0","32,943.0","33,190.0","34,036.0","35,713.0","36,535.0","37,234.0","38,153.0","38,752.0","39,130.0","39,419.0","39,442.0"
"32","13","    Residential","A011CX1","52,875.0","52,379.0","51,964.0","48,392.0","48,420.0","45,456.0","48,078.0","52,923.0","55,670.0","61,011.0","63,816.0","66,274.0","70,598.0","71,936.0","72,254.0","74,807.0","77,305.0","73,299.0","70,156.0","66,975.0","62,621.0","60,092.0","58,080.0","50,518.0","47,667.0","49,010.0","52,240.0","54,478.0","59,643.0","61,115.0","60,160.0","67,442.0","69,449.0","77,070.0","76,841.0","75,931.0","76,639.0","80,306.0","81,233.0","81,080.0","79,111.0","77,715.0","76,767.0","73,698.0","68,027.0","55,413.0","57,115.0","62,442.0","60,915.0","58,975.0","54,397.0","48,717.0","45,907.0","44,424.0","44,380.0","47,895.0"
