"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","      National income without capital consumption adjustment","A422RC1","9,077,219.0","9,115,413.0","9,051,272.0","9,044,193.0","9,124,632.0","9,204,622.0","9,274,733.0","9,409,388.0","9,487,318.0","9,597,594.0","9,749,040.0","9,927,423.0","10,130,446.0","10,311,678.0","10,512,279.0","10,611,680.0","11,061,939.0","11,211,103.0","11,427,848.0","11,654,429.0","11,968,222.0","12,068,576.0","12,184,493.0","12,272,814.0","12,349,061.0","12,447,987.0","12,449,215.0","12,524,179.0","12,409,538.0","12,448,318.0","12,481,099.0","12,122,842.0","11,985,143.0","11,965,100.0","12,089,892.0","12,319,515.0","12,440,628.0","12,608,370.0","12,792,621.0","12,808,964.0","12,844,844.0","13,011,731.0","13,205,337.0","13,344,714.0","13,902,851.0","13,955,029.0","14,034,000.0","14,250,793.0","14,357,673.0","14,498,202.0","14,639,914.0","14,761,783.0","14,981,991.0","15,222,035.0","15,494,008.0","....."
"21","2","Domestic industries","A423RC1","9,036,716.0","9,065,703.0","9,024,445.0","8,954,018.0","9,073,445.0","9,172,077.0","9,227,903.0","9,345,555.0","9,437,242.0","9,533,714.0","9,685,079.0","9,836,885.0","10,021,511.0","10,227,784.0","10,417,644.0","10,542,616.0","10,959,052.0","11,119,349.0","11,325,515.0","11,581,126.0","11,892,786.0","11,998,213.0","12,127,438.0","12,205,264.0","12,280,433.0","12,357,355.0","12,301,076.0","12,329,254.0","12,229,265.0","12,263,815.0","12,278,894.0","12,001,780.0","11,856,728.0","11,840,432.0","11,910,417.0","12,147,881.0","12,237,031.0","12,403,058.0","12,592,897.0","12,593,725.0","12,616,719.0","12,780,655.0","12,949,823.0","13,072,877.0","13,664,329.0","13,724,708.0","13,818,935.0","14,025,252.0","14,148,854.0","14,283,328.0","14,409,148.0","14,518,925.0","14,770,982.0","15,008,562.0","15,264,132.0","....."
"22","3","  Private industries","A736RC1","7,951,766.0","7,964,619.0","7,898,146.0","7,818,437.0","7,911,471.0","7,997,418.0","8,036,358.0","8,137,999.0","8,200,327.0","8,283,020.0","8,424,762.0","8,565,405.0","8,716,999.0","8,907,649.0","9,086,074.0","9,200,679.0","9,591,116.0","9,744,414.0","9,939,884.0","10,186,540.0","10,472,521.0","10,566,905.0","10,680,843.0","10,745,705.0","10,794,071.0","10,860,012.0","10,788,280.0","10,802,276.0","10,675,079.0","10,695,979.0","10,693,877.0","10,405,203.0","10,251,260.0","10,219,860.0","10,281,490.0","10,510,724.0","10,574,203.0","10,717,491.0","10,907,345.0","10,908,426.0","10,929,978.0","11,086,265.0","11,256,394.0","11,387,813.0","11,968,351.0","12,032,760.0","12,125,806.0","12,325,400.0","12,445,292.0","12,577,444.0","12,706,279.0","12,810,315.0","13,055,847.0","13,287,794.0","13,538,493.0","....."
"23","4","    Agriculture, forestry, fishing, and hunting","N5004C1","74,065.0","72,839.0","74,576.0","74,158.0","65,378.0","62,432.0","71,099.0","76,201.0","76,862.0","84,158.0","86,059.0","90,911.0","109,093.0","108,415.0","98,889.0","100,686.0","94,225.0","94,733.0","94,572.0","92,532.0","93,051.0","94,839.0","98,182.0","102,753.0","108,048.0","104,696.0","106,312.0","114,718.0","123,700.0","118,176.0","111,603.0","108,972.0","99,851.0","101,164.0","105,478.0","116,085.0","113,331.0","120,684.0","127,270.0","131,275.0","151,353.0","147,250.0","156,288.0","157,044.0","161,103.0","164,111.0","165,395.0","167,242.0","188,855.0","180,162.0","184,805.0","168,667.0","161,043.0","178,961.0","167,590.0","....."
"24","5","    Mining","N5005C1","111,248.0","110,434.0","102,774.0","85,945.0","80,766.0","84,104.0","87,864.0","95,648.0","106,694.0","107,185.0","110,311.0","110,854.0","122,105.0","126,786.0","127,629.0","140,178.0","154,677.0","163,714.0","175,816.0","205,611.0","213,566.0","206,362.0","210,309.0","206,193.0","188,471.0","206,588.0","207,237.0","217,326.0","242,642.0","274,171.0","286,000.0","235,428.0","175,436.0","137,000.0","126,890.0","154,946.0","193,497.0","177,325.0","180,426.0","187,530.0","188,960.0","239,053.0","247,020.0","216,258.0","239,758.0","237,331.0","232,530.0","243,126.0","237,067.0","244,042.0","239,219.0","244,847.0","273,061.0","261,365.0","273,921.0","....."
"25","6","    Utilities","N5006C1","140,384.0","136,948.0","143,642.0","137,074.0","127,782.0","133,851.0","136,394.0","139,062.0","137,043.0","135,076.0","137,943.0","139,651.0","145,283.0","148,878.0","149,907.0","154,783.0","158,534.0","161,279.0","155,645.0","172,811.0","185,867.0","194,041.0","202,525.0","201,517.0","198,380.0","196,469.0","205,191.0","186,926.0","164,160.0","135,652.0","237,444.0","185,107.0","175,645.0","178,041.0","162,276.0","190,334.0","204,176.0","173,666.0","193,510.0","181,502.0","152,361.0","186,406.0","160,930.0","162,681.0","176,659.0","166,827.0","165,704.0","160,800.0","163,358.0","187,150.0","185,974.0","171,760.0","209,092.0","215,591.0","221,752.0","....."
"26","7","    Construction","N5007C1","507,415.0","511,674.0","511,207.0","504,325.0","509,787.0","510,917.0","512,924.0","519,514.0","523,727.0","520,926.0","527,353.0","544,843.0","548,392.0","570,116.0","595,810.0","607,474.0","616,976.0","639,393.0","657,565.0","681,542.0","719,449.0","711,304.0","698,409.0","684,947.0","692,661.0","683,639.0","671,692.0","668,400.0","648,035.0","634,375.0","615,405.0","596,809.0","561,109.0","539,973.0","542,594.0","539,133.0","528,480.0","527,337.0","521,341.0","516,492.0","520,212.0","531,617.0","543,575.0","546,693.0","579,565.0","584,053.0","589,217.0","604,707.0","618,649.0","627,494.0","634,394.0","641,461.0","660,308.0","670,317.0","681,678.0","....."
"27","8","    Manufacturing","N5008C1","1,172,773.0","1,155,435.0","1,099,802.0","1,025,063.0","1,057,575.0","1,071,407.0","1,071,987.0","1,078,283.0","1,088,082.0","1,082,066.0","1,102,094.0","1,149,886.0","1,152,860.0","1,178,580.0","1,213,677.0","1,229,594.0","1,307,614.0","1,309,728.0","1,331,915.0","1,357,719.0","1,404,699.0","1,424,852.0","1,465,185.0","1,433,441.0","1,455,391.0","1,483,369.0","1,414,691.0","1,463,512.0","1,398,806.0","1,371,622.0","1,416,043.0","1,354,773.0","1,215,556.0","1,196,369.0","1,203,136.0","1,249,978.0","1,268,086.0","1,347,887.0","1,398,102.0","1,386,821.0","1,362,443.0","1,392,802.0","1,436,708.0","1,453,324.0","1,559,668.0","1,577,388.0","1,546,733.0","1,566,261.0","1,556,620.0","1,557,029.0","1,568,077.0","1,630,515.0","1,642,495.0","1,712,801.0","1,742,986.0","....."
"28","9","      Durable goods","N5009C1","698,326.0","667,959.0","612,458.0","560,964.0","596,214.0","614,230.0","619,625.0","621,694.0","622,973.0","623,513.0","623,640.0","648,627.0","648,330.0","661,449.0","679,942.0","685,119.0","734,147.0","746,910.0","759,083.0","772,815.0","812,294.0","788,391.0","831,179.0","830,215.0","828,259.0","825,828.0","811,999.0","836,337.0","805,678.0","764,805.0","787,783.0","722,683.0","640,714.0","637,137.0","645,805.0","681,216.0","708,586.0","747,271.0","776,445.0","778,751.0","760,103.0","766,195.0","791,587.0","823,563.0","890,066.0","895,755.0","882,742.0","889,172.0","884,278.0","896,415.0","914,675.0","913,989.0","950,213.0","975,439.0","1,002,174.0","....."
"29","10","      Nondurable goods","N5010C1","474,447.0","487,478.0","487,344.0","464,100.0","461,361.0","457,177.0","452,361.0","456,589.0","465,111.0","458,550.0","478,458.0","501,259.0","504,530.0","517,133.0","533,734.0","544,477.0","573,468.0","562,821.0","572,833.0","584,905.0","592,405.0","636,460.0","634,008.0","603,226.0","627,132.0","657,540.0","602,692.0","627,177.0","593,126.0","606,819.0","628,259.0","632,089.0","574,842.0","559,231.0","557,331.0","568,763.0","559,499.0","600,616.0","621,657.0","608,068.0","602,342.0","626,606.0","645,121.0","629,762.0","669,603.0","681,634.0","663,989.0","677,089.0","672,341.0","660,614.0","653,400.0","716,526.0","692,281.0","737,361.0","740,808.0","....."
"30","11","    Wholesale trade","N5011C1","557,303.0","556,356.0","562,146.0","578,033.0","570,340.0","571,946.0","560,530.0","563,285.0","564,292.0","576,628.0","592,644.0","599,819.0","608,534.0","627,195.0","642,975.0","632,087.0","668,725.0","691,552.0","681,393.0","699,309.0","722,379.0","729,330.0","747,590.0","753,045.0","766,139.0","776,282.0","771,232.0","753,401.0","731,335.0","738,519.0","762,415.0","792,583.0","728,280.0","695,948.0","691,258.0","702,953.0","719,390.0","749,634.0","755,805.0","724,527.0","736,378.0","764,245.0","790,194.0","789,296.0","834,865.0","851,448.0","849,212.0","875,300.0","887,122.0","890,550.0","894,445.0","890,112.0","908,672.0","917,735.0","944,370.0","....."
"31","12","    Retail trade","N5012C1","692,458.0","695,861.0","701,961.0","711,350.0","721,982.0","722,797.0","728,583.0","736,689.0","750,256.0","760,364.0","763,713.0","770,836.0","783,021.0","784,433.0","788,863.0","795,391.0","821,625.0","859,532.0","856,894.0","889,901.0","897,679.0","894,182.0","909,476.0","920,371.0","914,585.0","922,703.0","898,469.0","889,239.0","851,514.0","846,258.0","837,663.0","826,429.0","826,754.0","837,454.0","837,130.0","858,598.0","861,549.0","874,686.0","876,548.0","876,031.0","879,604.0","878,272.0","895,924.0","919,967.0","960,394.0","961,559.0","959,372.0","992,548.0","999,011.0","1,017,539.0","1,020,803.0","1,017,496.0","1,029,772.0","1,047,985.0","1,055,101.0","....."
"32","13","    Transportation and warehousing","N5013C1","276,293.0","277,605.0","255,052.0","262,024.0","260,977.0","260,341.0","263,767.0","270,146.0","272,890.0","269,179.0","280,403.0","286,789.0","292,881.0","305,734.0","304,915.0","305,655.0","323,845.0","329,949.0","335,293.0","344,358.0","358,487.0","364,031.0","362,166.0","362,702.0","358,121.0","366,222.0","360,736.0","357,452.0","357,404.0","363,483.0","360,836.0","364,934.0","347,002.0","334,914.0","336,144.0","350,657.0","356,745.0","371,968.0","378,297.0","366,565.0","364,143.0","373,381.0","374,951.0","388,552.0","417,247.0","418,141.0","414,094.0","413,165.0","428,537.0","430,837.0","433,476.0","446,992.0","465,581.0","478,144.0","479,825.0","....."
"33","14","    Information","N5014C1","308,105.0","319,089.0","303,978.0","289,428.0","302,656.0","308,089.0","308,015.0","322,340.0","324,015.0","323,822.0","335,116.0","326,209.0","338,059.0","376,232.0","390,706.0","379,517.0","386,792.0","418,815.0","440,370.0","446,066.0","435,618.0","442,113.0","439,882.0","444,866.0","453,830.0","449,212.0","462,948.0","485,865.0","448,381.0","464,949.0","450,425.0","453,551.0","484,332.0","407,692.0","400,205.0","448,471.0","442,706.0","433,073.0","448,752.0","446,241.0","445,164.0","424,272.0","451,640.0","445,223.0","499,546.0","488,258.0","519,572.0","481,430.0","532,624.0","499,227.0","504,993.0","540,043.0","560,509.0","580,257.0","574,936.0","....."
"34","15","    Finance, insurance, real estate, rental, and leasing","N5015C1","1,623,764.0","1,623,961.0","1,623,942.0","1,624,559.0","1,626,163.0","1,633,257.0","1,615,816.0","1,628,072.0","1,633,023.0","1,673,824.0","1,710,516.0","1,710,013.0","1,738,094.0","1,756,598.0","1,781,996.0","1,835,072.0","1,953,589.0","1,922,043.0","1,982,402.0","2,018,223.0","2,072,157.0","2,090,728.0","2,087,086.0","2,124,809.0","2,132,713.0","2,115,671.0","2,105,967.0","2,035,213.0","2,006,326.0","2,007,317.0","1,862,762.0","1,851,642.0","1,976,875.0","2,151,982.0","2,227,708.0","2,183,622.0","2,127,443.0","2,122,831.0","2,146,184.0","2,173,726.0","2,180,536.0","2,147,756.0","2,134,880.0","2,253,388.0","2,339,022.0","2,390,201.0","2,446,745.0","2,482,232.0","2,500,848.0","2,576,730.0","2,663,630.0","2,650,073.0","2,638,031.0","2,642,799.0","2,794,053.0","....."
"35","16","    Professional and business services \1\","N5016C1","1,139,699.0","1,138,923.0","1,136,348.0","1,129,601.0","1,150,754.0","1,169,864.0","1,183,884.0","1,190,225.0","1,203,741.0","1,215,997.0","1,223,778.0","1,247,503.0","1,257,930.0","1,274,600.0","1,312,494.0","1,341,473.0","1,386,026.0","1,397,203.0","1,454,651.0","1,474,614.0","1,524,984.0","1,540,440.0","1,569,848.0","1,589,366.0","1,586,207.0","1,604,820.0","1,621,432.0","1,640,820.0","1,708,493.0","1,715,475.0","1,719,160.0","1,592,601.0","1,619,647.0","1,572,313.0","1,566,152.0","1,605,634.0","1,645,200.0","1,676,433.0","1,718,433.0","1,749,635.0","1,756,099.0","1,784,726.0","1,820,240.0","1,800,864.0","1,875,117.0","1,864,035.0","1,897,763.0","1,962,987.0","1,944,435.0","1,956,287.0","1,951,292.0","1,973,664.0","2,026,831.0","2,064,459.0","2,066,429.0","....."
"36","17","    Educational services, health care, and social assistance","N5017C1","728,434.0","742,752.0","758,486.0","776,318.0","794,006.0","813,387.0","830,762.0","844,194.0","853,391.0","862,185.0","874,224.0","893,300.0","908,557.0","928,307.0","948,140.0","951,211.0","965,163.0","984,871.0","996,267.0","1,007,406.0","1,032,334.0","1,050,531.0","1,061,114.0","1,078,518.0","1,089,634.0","1,098,451.0","1,114,242.0","1,132,232.0","1,152,448.0","1,182,799.0","1,195,268.0","1,213,037.0","1,226,901.0","1,246,938.0","1,256,341.0","1,279,280.0","1,276,474.0","1,292,685.0","1,302,558.0","1,307,650.0","1,321,066.0","1,332,978.0","1,346,254.0","1,348,148.0","1,378,691.0","1,380,540.0","1,386,987.0","1,409,786.0","1,415,650.0","1,426,657.0","1,435,756.0","1,439,946.0","1,461,836.0","1,484,334.0","1,494,574.0","....."
"37","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1","350,415.0","351,300.0","351,250.0","348,318.0","354,007.0","362,119.0","367,033.0","373,647.0","371,677.0","374,845.0","381,583.0","391,318.0","402,641.0","409,313.0","413,786.0","409,407.0","422,216.0","435,433.0","439,197.0","452,106.0","458,411.0","463,448.0","465,842.0","475,095.0","480,949.0","482,236.0","481,471.0","487,501.0","479,397.0","484,341.0","480,984.0","468,207.0","458,795.0","460,175.0","466,358.0","466,451.0","474,570.0","482,248.0","488,092.0","488,393.0","496,497.0","505,253.0","514,614.0","519,849.0","547,513.0","547,191.0","547,942.0","555,662.0","560,202.0","568,699.0","573,306.0","574,855.0","593,909.0","605,048.0","609,420.0","....."
"38","19","    Other services, except government","N5019C1","269,408.0","271,439.0","272,986.0","272,242.0","289,296.0","292,905.0","297,699.0","300,697.0","294,635.0","296,781.0","299,019.0","303,473.0","309,543.0","312,455.0","316,289.0","318,145.0","331,106.0","336,164.0","337,903.0","344,332.0","353,833.0","360,697.0","363,228.0","368,084.0","368,932.0","369,645.0","366,671.0","369,669.0","362,451.0","358,848.0","357,868.0","361,106.0","355,074.0","359,897.0","359,815.0","364,585.0","362,554.0","367,033.0","372,026.0","372,040.0","375,159.0","378,254.0","383,178.0","386,525.0","399,196.0","401,678.0","404,544.0","410,153.0","412,312.0","415,041.0","416,113.0","419,888.0","424,703.0","427,997.0","431,855.0","....."
"39","20","  Government","B436RC1","1,084,950.0","1,101,084.0","1,126,299.0","1,135,581.0","1,161,974.0","1,174,659.0","1,191,545.0","1,207,556.0","1,236,915.0","1,250,694.0","1,260,317.0","1,271,480.0","1,304,512.0","1,320,135.0","1,331,570.0","1,341,937.0","1,367,936.0","1,374,935.0","1,385,631.0","1,394,586.0","1,420,265.0","1,431,308.0","1,446,595.0","1,459,559.0","1,486,362.0","1,497,343.0","1,512,796.0","1,526,978.0","1,554,186.0","1,567,836.0","1,585,017.0","1,596,577.0","1,605,468.0","1,620,572.0","1,628,927.0","1,637,157.0","1,662,828.0","1,685,567.0","1,685,552.0","1,685,299.0","1,686,741.0","1,694,390.0","1,693,429.0","1,685,064.0","1,695,978.0","1,691,948.0","1,693,129.0","1,699,852.0","1,703,562.0","1,705,884.0","1,702,869.0","1,708,610.0","1,715,135.0","1,720,768.0","1,725,639.0","....."
"40","21","Rest of the world","A192RC1","40,503.0","49,710.0","26,827.0","90,175.0","51,187.0","32,545.0","46,830.0","63,833.0","50,076.0","63,880.0","63,961.0","90,538.0","108,935.0","83,894.0","94,635.0","69,064.0","102,887.0","91,754.0","102,333.0","73,303.0","75,436.0","70,363.0","57,055.0","67,550.0","68,628.0","90,632.0","148,139.0","194,925.0","180,273.0","184,503.0","202,205.0","121,062.0","128,415.0","124,668.0","179,475.0","171,634.0","203,597.0","205,312.0","199,724.0","215,239.0","228,125.0","231,076.0","255,514.0","271,837.0","238,522.0","230,321.0","215,065.0","225,541.0","208,819.0","214,874.0","230,766.0","242,858.0","211,009.0","213,473.0","229,876.0","....."
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
