"","Table 5#2#5# Gross and Net Domestic Investment by Major Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","      Gross domestic investment","W170RC1","233,101.0","229,843.0","255,336.0","288,836.0","332,570.0","350,689.0","341,650.0","412,862.0","489,770.0","583,944.0","659,756.0","666,050.0","778,575.0","737,980.0","808,681.0","1,013,271.0","1,049,521.0","1,087,228.0","1,146,818.0","1,195,359.0","1,270,132.0","1,283,820.0","1,238,436.0","1,309,131.0","1,398,715.0","1,550,654.0","1,625,158.0","1,752,008.0","1,925,138.0","2,076,731.0","2,252,661.0","2,424,004.0","2,342,272.0","2,368,560.0","2,493,203.0","2,765,139.0","3,040,750.0","3,232,996.0","3,235,951.0","3,059,436.0","2,525,145.0","2,752,629.0","2,877,761.0","3,098,587.0","3,244,307.0"
"20","2","      Less: Consumption of fixed capital","A262RC1","124,863.0","136,783.0","148,865.0","160,897.0","178,080.0","206,168.0","237,537.0","259,209.0","288,334.0","325,063.0","371,133.0","426,007.0","485,046.0","534,316.0","560,546.0","594,334.0","636,653.0","682,163.0","727,952.0","782,387.0","836,110.0","886,829.0","931,125.0","959,725.0","1,003,598.0","1,055,572.0","1,122,783.0","1,176,020.0","1,239,955.0","1,310,271.0","1,400,861.0","1,514,240.0","1,603,979.0","1,662,068.0","1,727,220.0","1,831,699.0","1,981,956.0","2,136,019.0","2,264,350.0","2,363,373.0","2,368,382.0","2,381,591.0","2,450,643.0","2,530,185.0","2,627,240.0"
"21","3","      Equals: Net domestic investment","W171RC1","108,238.0","93,060.0","106,471.0","127,939.0","154,490.0","144,521.0","104,113.0","153,653.0","201,436.0","258,881.0","288,623.0","240,043.0","293,529.0","203,664.0","248,135.0","418,937.0","412,868.0","405,065.0","418,866.0","412,972.0","434,022.0","396,991.0","307,311.0","349,406.0","395,117.0","495,082.0","502,375.0","575,988.0","685,183.0","766,460.0","851,800.0","909,764.0","738,293.0","706,492.0","765,983.0","933,440.0","1,058,794.0","1,096,977.0","971,601.0","696,063.0","156,763.0","371,038.0","427,118.0","568,402.0","617,067.0"
"22","4","Gross private domestic investment","A006RC1","173,560.0","170,050.0","196,827.0","228,145.0","266,930.0","274,527.0","257,253.0","323,222.0","396,612.0","478,377.0","539,656.0","530,098.0","631,230.0","581,031.0","637,516.0","820,093.0","829,649.0","849,144.0","892,177.0","936,964.0","999,701.0","993,453.0","944,344.0","1,013,014.0","1,106,829.0","1,256,483.0","1,317,478.0","1,432,057.0","1,595,606.0","1,735,330.0","1,884,195.0","2,033,750.0","1,928,638.0","1,924,988.0","2,027,947.0","2,276,678.0","2,527,109.0","2,680,649.0","2,643,745.0","2,424,810.0","1,878,116.0","2,100,812.0","2,239,879.0","2,479,163.0","2,647,989.0"
"23","5","Less: Consumption of fixed capital","A024RC1","89,433.0","98,258.0","107,635.0","117,491.0","131,489.0","153,158.0","178,791.0","196,512.0","221,124.0","252,114.0","290,731.0","334,975.0","381,930.0","420,392.0","438,786.0","463,517.0","496,411.0","531,572.0","566,307.0","608,301.0","650,083.0","688,983.0","722,354.0","744,159.0","779,967.0","824,325.0","882,581.0","931,035.0","990,071.0","1,054,941.0","1,135,914.0","1,236,574.0","1,317,695.0","1,368,015.0","1,422,369.0","1,509,299.0","1,635,298.0","1,765,009.0","1,864,974.0","1,936,872.0","1,925,653.0","1,923,533.0","1,971,064.0","2,034,225.0","2,120,826.0"
"24","6","Equals: Net private domestic investment","A557RC1","84,127.0","71,792.0","89,192.0","110,654.0","135,441.0","121,369.0","78,462.0","126,710.0","175,488.0","226,263.0","248,925.0","195,123.0","249,300.0","160,639.0","198,730.0","356,576.0","333,238.0","317,572.0","325,870.0","328,663.0","349,618.0","304,470.0","221,990.0","268,855.0","326,862.0","432,158.0","434,897.0","501,022.0","605,535.0","680,389.0","748,281.0","797,176.0","610,943.0","556,973.0","605,578.0","767,379.0","891,811.0","915,640.0","778,771.0","487,938.0","-47,537.0","177,279.0","268,815.0","444,938.0","527,163.0"
"25","7","  Fixed investment","A007RC1","164,387.0","168,049.0","188,571.0","219,038.0","251,052.0","260,537.0","263,509.0","306,106.0","374,288.0","452,586.0","521,672.0","536,429.0","601,421.0","595,945.0","643,267.0","754,688.0","807,825.0","842,573.0","865,028.0","918,482.0","972,008.0","978,906.0","944,738.0","996,686.0","1,086,015.0","1,192,699.0","1,286,305.0","1,401,257.0","1,524,666.0","1,671,611.0","1,823,379.0","1,979,205.0","1,966,921.0","1,906,487.0","2,008,661.0","2,212,818.0","2,467,530.0","2,613,677.0","2,609,293.0","2,456,806.0","2,025,686.0","2,039,284.0","2,198,116.0","2,414,300.0","2,573,928.0"
"26","8","  Less: Consumption of fixed capital","A024RC1","89,433.0","98,258.0","107,635.0","117,491.0","131,489.0","153,158.0","178,791.0","196,512.0","221,124.0","252,114.0","290,731.0","334,975.0","381,930.0","420,392.0","438,786.0","463,517.0","496,411.0","531,572.0","566,307.0","608,301.0","650,083.0","688,983.0","722,354.0","744,159.0","779,967.0","824,325.0","882,581.0","931,035.0","990,071.0","1,054,941.0","1,135,914.0","1,236,574.0","1,317,695.0","1,368,015.0","1,422,369.0","1,509,299.0","1,635,298.0","1,765,009.0","1,864,974.0","1,936,872.0","1,925,653.0","1,923,533.0","1,971,064.0","2,034,225.0","2,120,826.0"
"27","9","  Equals: Net fixed investment","A560RC1","74,954.0","69,791.0","80,936.0","101,547.0","119,563.0","107,379.0","84,718.0","109,594.0","153,164.0","200,472.0","230,941.0","201,454.0","219,491.0","175,553.0","204,481.0","291,171.0","311,414.0","311,001.0","298,721.0","310,181.0","321,925.0","289,923.0","222,384.0","252,527.0","306,048.0","368,374.0","403,724.0","470,222.0","534,595.0","616,670.0","687,465.0","742,631.0","649,226.0","538,472.0","586,292.0","703,519.0","832,232.0","848,668.0","744,319.0","519,934.0","100,033.0","115,751.0","227,052.0","380,075.0","453,102.0"
"28","10","    Nonresidential","A008RC1","120,012.0","124,638.0","130,418.0","146,639.0","172,730.0","191,069.0","196,776.0","219,344.0","259,059.0","314,576.0","373,831.0","406,909.0","472,939.0","485,097.0","482,154.0","564,324.0","607,748.0","607,761.0","615,238.0","662,282.0","715,993.0","739,237.0","723,585.0","741,945.0","799,206.0","868,852.0","962,237.0","1,043,196.0","1,149,081.0","1,252,804.0","1,361,613.0","1,493,773.0","1,453,876.0","1,348,893.0","1,371,717.0","1,463,147.0","1,611,470.0","1,776,288.0","1,920,615.0","1,940,954.0","1,633,443.0","1,658,221.0","1,812,077.0","1,971,973.0","2,054,006.0"
"29","11","    Less: Consumption of fixed capital","A753RC1","72,373.0","79,889.0","87,263.0","94,650.0","105,235.0","122,814.0","144,514.0","158,674.0","177,536.0","200,836.0","230,942.0","266,757.0","307,178.0","341,241.0","356,664.0","376,443.0","403,664.0","430,642.0","456,273.0","490,229.0","524,249.0","557,450.0","586,780.0","604,360.0","631,290.0","666,272.0","715,217.0","755,423.0","805,267.0","858,469.0","924,455.0","1,007,368.0","1,069,171.0","1,104,396.0","1,135,427.0","1,189,754.0","1,276,388.0","1,371,954.0","1,458,318.0","1,536,101.0","1,542,752.0","1,546,565.0","1,596,308.0","1,656,988.0","1,721,858.0"
"30","12","    Equals: Net nonresidential","A593RC1","47,639.0","44,749.0","43,155.0","51,989.0","67,495.0","68,255.0","52,262.0","60,670.0","81,523.0","113,740.0","142,889.0","140,152.0","165,761.0","143,856.0","125,490.0","187,881.0","204,084.0","177,119.0","158,965.0","172,053.0","191,744.0","181,787.0","136,805.0","137,585.0","167,916.0","202,580.0","247,020.0","287,773.0","343,814.0","394,335.0","437,158.0","486,405.0","384,705.0","244,497.0","236,290.0","273,393.0","335,082.0","404,334.0","462,297.0","404,853.0","90,691.0","111,656.0","215,769.0","314,985.0","332,148.0"
"31","13","      Structures","B009RC1","37,698.0","40,287.0","42,679.0","47,173.0","54,983.0","61,237.0","61,350.0","65,915.0","74,578.0","93,584.0","117,701.0","136,170.0","167,314.0","177,564.0","154,344.0","177,397.0","194,517.0","176,527.0","174,202.0","182,789.0","193,716.0","202,917.0","183,605.0","172,572.0","177,152.0","186,768.0","207,271.0","224,582.0","250,265.0","275,129.0","283,945.0","318,140.0","329,747.0","282,903.0","281,830.0","301,805.0","345,645.0","415,586.0","496,929.0","552,387.0","438,211.0","362,041.0","381,644.0","446,919.0","457,169.0"
"32","14","      Less: Consumption of fixed capital","B188RC1","16,006.0","17,584.0","19,446.0","21,431.0","24,624.0","29,192.0","33,785.0","36,260.0","40,557.0","45,872.0","53,010.0","60,026.0","71,778.0","81,248.0","81,175.0","83,972.0","88,717.0","92,001.0","93,361.0","99,987.0","105,932.0","111,566.0","115,931.0","116,475.0","121,062.0","126,387.0","133,498.0","138,949.0","147,470.0","157,791.0","164,403.0","173,908.0","188,525.0","201,075.0","210,843.0","229,334.0","262,956.0","299,675.0","322,111.0","343,861.0","337,765.0","333,729.0","343,789.0","353,810.0","368,306.0"
"33","15","      Equals: Net structures","A594RC1","21,692.0","22,703.0","23,233.0","25,742.0","30,359.0","32,045.0","27,565.0","29,655.0","34,021.0","47,712.0","64,691.0","76,144.0","95,536.0","96,316.0","73,169.0","93,425.0","105,800.0","84,526.0","80,841.0","82,802.0","87,784.0","91,351.0","67,674.0","56,097.0","56,090.0","60,381.0","73,773.0","85,633.0","102,795.0","117,338.0","119,542.0","144,232.0","141,222.0","81,828.0","70,987.0","72,471.0","82,689.0","115,911.0","174,818.0","208,526.0","100,446.0","28,312.0","37,855.0","93,109.0","88,863.0"
"34","16","      Equipment","Y033RC1","65,163.0","66,404.0","69,059.0","78,885.0","95,062.0","104,316.0","107,615.0","121,242.0","148,665.0","180,634.0","208,062.0","216,386.0","240,852.0","234,862.0","246,470.0","291,874.0","307,905.0","317,693.0","320,919.0","346,816.0","372,160.0","371,891.0","360,849.0","381,699.0","425,141.0","476,380.0","528,128.0","565,309.0","610,859.0","660,014.0","713,626.0","766,088.0","711,517.0","659,640.0","668,971.0","719,193.0","790,695.0","856,134.0","885,773.0","825,149.0","644,308.0","731,832.0","838,236.0","904,063.0","949,719.0"
"35","17","      Less: Consumption of fixed capital","Y080RC1","43,374.0","47,631.0","51,724.0","55,827.0","61,413.0","71,603.0","85,984.0","95,535.0","107,546.0","122,269.0","140,745.0","163,772.0","185,851.0","203,894.0","213,056.0","222,695.0","237,112.0","253,059.0","268,519.0","285,420.0","302,775.0","318,265.0","329,450.0","337,178.0","347,727.0","366,545.0","392,798.0","413,801.0","434,972.0","455,425.0","482,475.0","516,800.0","537,980.0","546,972.0","554,392.0","574,252.0","605,456.0","639,121.0","676,871.0","706,076.0","707,184.0","702,838.0","724,677.0","750,658.0","775,875.0"
"36","18","      Equals: Net equipment","Y081RC1","21,789.0","18,773.0","17,335.0","23,058.0","33,649.0","32,713.0","21,631.0","25,707.0","41,119.0","58,365.0","67,317.0","52,614.0","55,001.0","30,968.0","33,414.0","69,179.0","70,793.0","64,634.0","52,400.0","61,396.0","69,385.0","53,626.0","31,399.0","44,521.0","77,414.0","109,835.0","135,330.0","151,508.0","175,887.0","204,589.0","231,151.0","249,288.0","173,537.0","112,668.0","114,579.0","144,941.0","185,239.0","217,013.0","208,902.0","119,073.0","-62,876.0","28,994.0","113,559.0","153,405.0","173,844.0"
"37","19","      Intellectual property products","Y001RC1","17,151.0","17,947.0","18,680.0","20,581.0","22,685.0","25,516.0","27,811.0","32,187.0","35,816.0","40,358.0","48,068.0","54,353.0","64,773.0","72,671.0","81,340.0","95,053.0","105,326.0","113,541.0","120,117.0","132,677.0","150,117.0","164,429.0","179,131.0","187,674.0","196,913.0","205,704.0","226,838.0","253,305.0","287,957.0","317,661.0","364,042.0","409,545.0","412,612.0","406,350.0","420,916.0","442,149.0","475,130.0","504,568.0","537,913.0","563,418.0","550,924.0","564,348.0","592,197.0","620,991.0","647,118.0"
"38","20","      Less: Consumption of fixed capital","Y083RC1","12,993.0","14,674.0","16,093.0","17,392.0","19,198.0","22,019.0","24,745.0","26,879.0","29,433.0","32,695.0","37,187.0","42,959.0","49,549.0","56,099.0","62,433.0","69,776.0","77,835.0","85,582.0","94,393.0","104,822.0","115,542.0","127,619.0","141,399.0","150,707.0","162,501.0","173,340.0","188,921.0","202,673.0","222,825.0","245,253.0","277,577.0","316,660.0","342,666.0","356,349.0","370,192.0","386,168.0","407,976.0","433,158.0","459,336.0","486,164.0","497,803.0","509,998.0","527,842.0","552,520.0","577,677.0"
"39","21","      Equals: Net intellectual property products","Y084RC1","4,158.0","3,273.0","2,587.0","3,189.0","3,487.0","3,497.0","3,066.0","5,308.0","6,383.0","7,663.0","10,881.0","11,394.0","15,224.0","16,572.0","18,907.0","25,277.0","27,491.0","27,959.0","25,724.0","27,855.0","34,575.0","36,810.0","37,732.0","36,967.0","34,412.0","32,364.0","37,917.0","50,632.0","65,132.0","72,408.0","86,465.0","92,885.0","69,946.0","50,001.0","50,724.0","55,981.0","67,154.0","71,410.0","78,577.0","77,254.0","53,121.0","54,350.0","64,355.0","68,471.0","69,441.0"
"40","22","    Residential","A011RC1","44,375.0","43,411.0","58,153.0","72,399.0","78,322.0","69,468.0","66,733.0","86,762.0","115,229.0","138,010.0","147,841.0","129,520.0","128,482.0","110,848.0","161,113.0","190,364.0","200,077.0","234,812.0","249,790.0","256,200.0","256,015.0","239,669.0","221,153.0","254,741.0","286,809.0","323,847.0","324,068.0","358,061.0","375,585.0","418,807.0","461,766.0","485,432.0","513,045.0","557,594.0","636,944.0","749,671.0","856,060.0","837,389.0","688,678.0","515,852.0","392,243.0","381,063.0","386,039.0","442,327.0","519,922.0"
"41","23","    Less: Consumption of fixed capital","A754RC1","17,059.0","18,371.0","20,372.0","22,844.0","26,257.0","30,345.0","34,277.0","37,838.0","43,592.0","51,278.0","59,791.0","68,220.0","74,754.0","79,151.0","82,124.0","87,072.0","92,746.0","100,931.0","110,036.0","118,069.0","125,834.0","131,532.0","135,575.0","139,798.0","148,675.0","158,054.0","167,364.0","175,615.0","184,802.0","196,474.0","211,460.0","229,207.0","248,527.0","263,619.0","286,941.0","319,547.0","358,908.0","393,055.0","406,659.0","400,772.0","382,899.0","376,967.0","374,756.0","377,236.0","398,971.0"
"42","24","    Equals: Net residential","A748RC1","27,316.0","25,040.0","37,781.0","49,555.0","52,065.0","39,123.0","32,456.0","48,924.0","71,637.0","86,732.0","88,050.0","61,300.0","53,728.0","31,697.0","78,989.0","103,292.0","107,331.0","133,881.0","139,754.0","138,131.0","130,181.0","108,137.0","85,578.0","114,943.0","138,134.0","165,793.0","156,704.0","182,446.0","190,783.0","222,333.0","250,306.0","256,225.0","264,518.0","293,975.0","350,003.0","430,124.0","497,152.0","444,334.0","282,019.0","115,080.0","9,344.0","4,096.0","11,283.0","65,091.0","120,951.0"
"43","25","  Change in private inventories","A014RC1","9,173.0","2,001.0","8,256.0","9,107.0","15,878.0","13,990.0","-6,256.0","17,116.0","22,324.0","25,791.0","17,984.0","-6,331.0","29,809.0","-14,914.0","-5,751.0","65,405.0","21,824.0","6,571.0","27,149.0","18,482.0","27,693.0","14,547.0","-394.0","16,328.0","20,814.0","63,784.0","31,173.0","30,800.0","70,940.0","63,719.0","60,816.0","54,545.0","-38,283.0","18,501.0","19,286.0","63,860.0","59,579.0","66,972.0","34,452.0","-31,996.0","-147,570.0","61,528.0","41,763.0","64,863.0","74,061.0"
"44","26","Gross government investment \1\","A782RC1","59,541.0","59,793.0","58,509.0","60,691.0","65,640.0","76,162.0","84,397.0","89,640.0","93,158.0","105,567.0","120,100.0","135,952.0","147,345.0","156,949.0","171,165.0","193,178.0","219,872.0","238,084.0","254,641.0","258,395.0","270,431.0","290,367.0","294,092.0","296,117.0","291,886.0","294,171.0","307,680.0","319,951.0","329,532.0","341,401.0","368,466.0","390,254.0","413,634.0","443,572.0","465,256.0","488,461.0","513,641.0","552,347.0","592,206.0","634,626.0","647,029.0","651,817.0","637,882.0","619,424.0","596,318.0"
"45","27","Less: Consumption of fixed capital","A264RC1","35,430.0","38,525.0","41,230.0","43,406.0","46,591.0","53,010.0","58,746.0","62,697.0","67,210.0","72,949.0","80,402.0","91,032.0","103,116.0","113,924.0","121,760.0","130,817.0","140,242.0","150,591.0","161,645.0","174,086.0","186,027.0","197,846.0","208,771.0","215,566.0","223,631.0","231,247.0","240,202.0","244,985.0","249,884.0","255,330.0","264,947.0","277,666.0","286,284.0","294,053.0","304,851.0","322,400.0","346,658.0","371,010.0","399,376.0","426,501.0","442,729.0","458,058.0","479,579.0","495,960.0","506,414.0"
"46","28","Equals: Net government investment","A889RC1","24,111.0","21,268.0","17,279.0","17,285.0","19,049.0","23,152.0","25,651.0","26,943.0","25,948.0","32,618.0","39,698.0","44,920.0","44,229.0","43,025.0","49,405.0","62,361.0","79,630.0","87,493.0","92,996.0","84,309.0","84,404.0","92,521.0","85,321.0","80,551.0","68,255.0","62,924.0","67,478.0","74,966.0","79,648.0","86,071.0","103,519.0","112,588.0","127,350.0","149,519.0","160,405.0","166,061.0","166,983.0","181,337.0","192,830.0","208,125.0","204,300.0","193,759.0","158,303.0","123,464.0","89,904.0"
"47","29","    Federal","A890RC1","4,947.0","2,879.0","-1,200.0","-731.0","-83.0","985.0","2,062.0","4,120.0","5,470.0","7,284.0","9,989.0","12,361.0","15,152.0","17,288.0","23,376.0","29,187.0","39,176.0","41,570.0","44,905.0","31,680.0","27,056.0","27,056.0","18,893.0","14,968.0","5,399.0","-2,950.0","-4,216.0","-2,610.0","-9,323.0","-5,914.0","-1,942.0","-4,112.0","549.0","15,246.0","26,039.0","32,384.0","33,517.0","37,344.0","38,621.0","49,437.0","49,441.0","54,634.0","39,981.0","23,661.0","464.0"
"48","30","      National defense","B891RC1","-890.0","-2,393.0","-6,278.0","-6,010.0","-5,255.0","-4,285.0","-3,706.0","-2,466.0","-2,049.0","-2,171.0","321.0","2,043.0","5,477.0","10,423.0","17,301.0","22,818.0","31,722.0","33,986.0","35,461.0","23,541.0","17,659.0","15,093.0","4,919.0","-901.0","-10,498.0","-15,017.0","-16,842.0","-15,615.0","-20,487.0","-18,932.0","-16,863.0","-15,978.0","-11,314.0","-205.0","9,040.0","16,153.0","17,941.0","20,236.0","22,798.0","32,282.0","30,342.0","28,429.0","16,398.0","5,352.0","-9,746.0"
"49","31","      Nondefense","B892RC1","5,837.0","5,272.0","5,078.0","5,279.0","5,172.0","5,270.0","5,768.0","6,586.0","7,519.0","9,455.0","9,668.0","10,318.0","9,675.0","6,865.0","6,075.0","6,369.0","7,454.0","7,584.0","9,444.0","8,139.0","9,397.0","11,963.0","13,974.0","15,869.0","15,897.0","12,067.0","12,626.0","13,005.0","11,164.0","13,018.0","14,921.0","11,866.0","11,863.0","15,451.0","16,999.0","16,231.0","15,576.0","17,108.0","15,823.0","17,155.0","19,099.0","26,205.0","23,583.0","18,309.0","10,210.0"
"50","32","    State and local","A893RC1","19,164.0","18,388.0","18,480.0","18,016.0","19,132.0","22,166.0","23,589.0","22,823.0","20,479.0","25,333.0","29,709.0","32,559.0","29,078.0","25,737.0","26,030.0","33,175.0","40,454.0","45,923.0","48,091.0","52,629.0","57,346.0","65,465.0","66,428.0","65,583.0","62,855.0","65,874.0","71,694.0","77,576.0","88,973.0","91,986.0","105,461.0","116,701.0","126,802.0","134,272.0","134,368.0","133,676.0","133,467.0","143,993.0","154,208.0","158,688.0","154,860.0","139,124.0","118,322.0","99,804.0","89,442.0"
"51","33","  Structures","A760RC1","28,959.0","29,167.0","31,239.0","31,605.0","34,356.0","40,317.0","44,529.0","44,877.0","44,287.0","51,491.0","57,814.0","65,309.0","66,357.0","64,983.0","65,719.0","72,504.0","81,116.0","88,986.0","95,509.0","98,998.0","101,968.0","112,621.0","116,981.0","119,744.0","121,075.0","124,685.0","134,748.0","144,381.0","155,556.0","160,157.0","175,790.0","189,735.0","205,777.0","221,937.0","228,554.0","235,697.0","246,775.0","268,479.0","292,522.0","310,343.0","318,921.0","313,162.0","301,145.0","283,997.0","273,325.0"
"52","34","  Less: Consumption of fixed capital","A894RC1","10,198.0","11,445.0","12,746.0","13,850.0","15,589.0","19,068.0","21,455.0","22,260.0","23,523.0","25,174.0","28,277.0","32,456.0","36,676.0","39,536.0","40,358.0","41,209.0","42,716.0","44,943.0","47,597.0","49,841.0","52,110.0","54,797.0","56,777.0","58,393.0","61,144.0","64,213.0","68,144.0","71,472.0","74,783.0","78,422.0","82,933.0","88,467.0","93,555.0","98,235.0","102,872.0","111,113.0","124,405.0","137,481.0","152,661.0","163,826.0","169,119.0","171,977.0","181,200.0","189,948.0","195,979.0"
"53","35","  Equals: Net structures","A895RC1","18,761.0","17,722.0","18,493.0","17,755.0","18,767.0","21,249.0","23,074.0","22,617.0","20,764.0","26,317.0","29,537.0","32,853.0","29,681.0","25,447.0","25,361.0","31,295.0","38,400.0","44,043.0","47,912.0","49,157.0","49,858.0","57,824.0","60,204.0","61,351.0","59,931.0","60,472.0","66,604.0","72,909.0","80,773.0","81,735.0","92,857.0","101,268.0","112,222.0","123,702.0","125,682.0","124,584.0","122,370.0","130,998.0","139,861.0","146,517.0","149,802.0","141,185.0","119,945.0","94,049.0","77,346.0"
