"","Table 3#11#5# National Defense Consumption Expenditures and Gros","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175"
"22","3","  Gross output of general government","W085RC1","88,732.0","89,560.0","85,392.0","86,624.0","87,424.0","88,872.0","86,788.0","89,016.0","90,528.0","93,256.0","92,680.0","96,152.0","97,640.0","98,204.0","97,632.0","99,936.0","99,732.0","101,944.0","101,172.0","103,804.0","105,696.0","108,396.0","109,652.0","111,120.0","113,700.0","116,224.0","118,160.0","120,096.0","123,124.0","126,852.0","125,624.0","133,680.0","138,552.0","142,980.0","146,116.0","155,552.0","161,052.0","165,940.0","168,644.0","179,144.0","183,824.0","187,444.0","193,276.0","200,492.0","201,664.0","206,144.0","207,168.0","211,212.0","217,112.0","221,296.0","223,200.0","225,676.0","231,260.0","234,800.0","243,824.0","248,968.0","248,108.0","257,072.0","262,336.0","255,460.0","261,832.0","268,200.0","272,732.0","275,340.0","281,024.0","283,600.0","284,272.0","291,548.0","285,664.0","296,840.0","297,764.0","298,948.0","306,000.0","306,612.0","303,136.0","315,844.0","326,748.0","325,752.0","323,096.0","315,832.0","315,984.0","318,144.0","326,080.0","320,720.0","312,184.0","311,540.0","316,556.0","314,456.0","304,976.0","308,500.0","315,688.0","306,768.0","304,804.0","305,964.0","304,536.0","297,920.0","298,304.0","306,436.0","304,680.0","306,600.0","298,996.0","309,512.0","302,716.0","306,064.0","291,356.0","300,756.0","304,088.0","303,500.0","302,360.0","305,980.0","316,324.0","326,260.0","311,256.0","326,356.0","322,176.0","323,068.0","334,488.0","336,276.0","341,288.0","345,368.0","362,188.0","367,488.0","375,000.0","391,936.0","401,980.0","433,720.0","426,968.0","441,520.0","454,172.0","460,664.0","475,588.0","466,412.0","487,296.0","491,652.0","507,612.0","493,852.0","517,124.0","519,152.0","519,124.0","531,060.0","529,932.0","540,848.0","557,552.0","563,604.0","583,256.0","593,164.0","623,440.0","623,616.0","613,136.0","632,456.0","648,344.0","652,236.0","661,140.0","673,508.0","689,188.0","683,272.0","675,172.0","694,120.0","703,136.0","680,660.0","679,004.0","674,640.0","699,768.0","660,912.0","647,984.0","645,852.0","647,720.0","631,616.0","636,064.0","635,640.0","666,244.0","638,272.0"
"23","4","    Value added","W086RC1","67,892.0","67,248.0","67,256.0","69,140.0","68,752.0","68,688.0","68,816.0","70,352.0","70,748.0","71,368.0","72,240.0","74,848.0","75,516.0","75,916.0","76,452.0","78,420.0","78,808.0","79,148.0","79,700.0","81,804.0","82,372.0","83,004.0","83,504.0","86,580.0","87,832.0","88,896.0","90,084.0","92,480.0","93,152.0","93,984.0","95,144.0","99,332.0","100,552.0","102,072.0","104,300.0","112,536.0","114,404.0","116,336.0","118,848.0","126,864.0","128,540.0","131,004.0","133,228.0","137,584.0","139,480.0","140,232.0","142,648.0","144,600.0","150,340.0","152,868.0","155,264.0","157,900.0","162,808.0","164,044.0","166,540.0","170,852.0","172,332.0","174,356.0","176,628.0","179,156.0","180,656.0","183,392.0","186,484.0","188,508.0","192,812.0","195,220.0","197,236.0","197,700.0","202,456.0","204,636.0","206,940.0","207,516.0","210,736.0","212,736.0","213,656.0","216,628.0","224,100.0","223,408.0","223,168.0","221,916.0","224,952.0","226,284.0","225,340.0","222,736.0","221,984.0","220,812.0","220,816.0","219,264.0","218,976.0","219,148.0","217,632.0","216,880.0","218,868.0","216,488.0","215,088.0","213,304.0","214,648.0","213,312.0","212,188.0","210,368.0","212,252.0","211,180.0","210,616.0","209,424.0","210,376.0","208,844.0","208,852.0","207,708.0","210,652.0","210,848.0","211,344.0","211,196.0","215,260.0","215,344.0","217,412.0","217,248.0","220,660.0","220,792.0","222,568.0","224,728.0","234,964.0","235,868.0","237,064.0","245,340.0","258,008.0","262,280.0","264,364.0","265,156.0","276,048.0","277,772.0","281,124.0","282,972.0","297,392.0","298,924.0","301,944.0","303,596.0","312,588.0","313,408.0","315,072.0","317,884.0","326,680.0","329,592.0","333,272.0","335,900.0","344,928.0","350,968.0","357,272.0","360,612.0","368,728.0","370,880.0","375,336.0","378,864.0","390,960.0","394,992.0","397,748.0","400,856.0","405,560.0","408,708.0","411,528.0","412,504.0","412,248.0","410,896.0","410,176.0","407,752.0","406,064.0","405,508.0","399,608.0","404,208.0","404,244.0","404,552.0","404,552.0","403,712.0"
"24","5","      Compensation of general government employees","B237RC1","45,624.0","45,020.0","44,956.0","46,792.0","46,152.0","45,792.0","45,648.0","46,940.0","46,892.0","47,068.0","47,276.0","49,372.0","49,696.0","49,752.0","49,980.0","51,504.0","51,496.0","51,388.0","51,364.0","52,892.0","53,064.0","53,196.0","53,416.0","55,900.0","56,464.0","56,892.0","57,524.0","59,568.0","59,744.0","59,908.0","60,220.0","63,644.0","64,052.0","64,532.0","65,624.0","72,728.0","73,496.0","74,096.0","75,472.0","82,320.0","82,680.0","83,744.0","84,804.0","88,076.0","88,812.0","88,552.0","89,524.0","90,200.0","94,144.0","95,276.0","96,344.0","97,648.0","101,140.0","101,132.0","102,148.0","105,048.0","105,196.0","105,664.0","106,552.0","107,380.0","107,536.0","108,964.0","110,504.0","110,828.0","113,256.0","113,996.0","114,544.0","113,544.0","116,904.0","117,736.0","118,736.0","118,144.0","120,076.0","120,988.0","120,832.0","122,924.0","129,084.0","127,308.0","126,052.0","124,584.0","127,604.0","128,484.0","127,204.0","123,728.0","122,756.0","121,292.0","121,028.0","118,916.0","118,780.0","118,672.0","116,716.0","115,304.0","116,640.0","114,632.0","113,288.0","111,980.0","113,348.0","112,400.0","111,732.0","110,564.0","112,552.0","111,440.0","111,152.0","110,516.0","112,140.0","110,628.0","110,812.0","109,504.0","112,552.0","112,548.0","113,120.0","112,408.0","116,084.0","116,016.0","117,908.0","117,724.0","121,372.0","121,656.0","123,712.0","126,084.0","136,348.0","137,196.0","138,024.0","145,864.0","157,788.0","160,984.0","161,828.0","161,524.0","171,112.0","171,296.0","173,156.0","173,208.0","185,788.0","185,476.0","186,732.0","186,280.0","193,388.0","192,436.0","192,416.0","193,372.0","199,892.0","200,772.0","202,276.0","203,080.0","209,444.0","212,964.0","216,752.0","218,388.0","225,392.0","226,636.0","230,444.0","232,752.0","242,728.0","244,468.0","245,888.0","246,992.0","249,336.0","250,772.0","252,336.0","252,816.0","250,640.0","248,732.0","247,488.0","245,444.0","243,624.0","242,588.0","236,224.0","239,924.0","238,948.0","238,564.0","238,068.0","236,636.0"
"25","6","        Military","B4080C1","30,456.0","29,736.0","29,564.0","30,880.0","30,560.0","30,116.0","29,892.0","30,736.0","30,680.0","30,644.0","30,608.0","31,848.0","31,848.0","31,804.0","31,724.0","32,624.0","32,500.0","32,396.0","32,348.0","33,248.0","33,256.0","33,268.0","33,332.0","34,896.0","34,900.0","34,936.0","35,316.0","36,640.0","36,616.0","36,688.0","36,880.0","39,376.0","39,620.0","39,816.0","40,556.0","46,144.0","46,540.0","46,928.0","47,620.0","53,988.0","53,816.0","54,140.0","54,568.0","57,028.0","57,656.0","57,300.0","57,916.0","58,396.0","61,088.0","61,712.0","62,200.0","62,976.0","65,356.0","65,108.0","65,996.0","68,448.0","68,700.0","69,112.0","69,672.0","70,248.0","71,580.0","71,704.0","72,512.0","73,020.0","74,916.0","74,664.0","74,996.0","74,612.0","76,500.0","76,364.0","76,700.0","76,552.0","78,080.0","77,976.0","77,976.0","80,152.0","85,188.0","82,800.0","80,864.0","80,552.0","82,508.0","82,200.0","80,608.0","78,172.0","76,544.0","75,508.0","74,720.0","73,572.0","73,212.0","72,256.0","71,360.0","70,024.0","70,820.0","70,020.0","68,984.0","68,224.0","68,424.0","67,852.0","67,552.0","67,128.0","68,316.0","67,680.0","67,728.0","67,416.0","68,508.0","67,956.0","68,016.0","67,592.0","69,896.0","69,532.0","69,904.0","69,876.0","72,128.0","72,024.0","73,676.0","73,688.0","77,472.0","77,424.0","78,256.0","80,336.0","86,372.0","87,996.0","88,780.0","95,640.0","104,732.0","108,552.0","108,512.0","107,948.0","114,080.0","113,676.0","113,680.0","114,252.0","124,064.0","123,068.0","123,060.0","123,168.0","128,664.0","127,544.0","127,464.0","127,708.0","131,992.0","132,608.0","133,948.0","134,160.0","138,684.0","141,504.0","144,512.0","146,396.0","150,620.0","152,044.0","152,976.0","152,368.0","160,128.0","160,068.0","159,288.0","158,780.0","160,348.0","160,748.0","160,984.0","160,332.0","160,016.0","158,584.0","157,552.0","156,028.0","154,140.0","153,616.0","153,060.0","152,032.0","151,880.0","151,536.0","150,616.0","148,980.0"
"26","7","        Civilian","W090RC1","15,168.0","15,284.0","15,392.0","15,912.0","15,592.0","15,676.0","15,756.0","16,204.0","16,212.0","16,424.0","16,668.0","17,524.0","17,848.0","17,948.0","18,256.0","18,880.0","18,996.0","18,992.0","19,016.0","19,644.0","19,808.0","19,928.0","20,084.0","21,004.0","21,564.0","21,956.0","22,208.0","22,928.0","23,128.0","23,220.0","23,340.0","24,268.0","24,432.0","24,716.0","25,068.0","26,584.0","26,956.0","27,168.0","27,852.0","28,332.0","28,864.0","29,604.0","30,236.0","31,048.0","31,156.0","31,252.0","31,608.0","31,804.0","33,056.0","33,564.0","34,144.0","34,672.0","35,784.0","36,024.0","36,152.0","36,600.0","36,496.0","36,552.0","36,880.0","37,132.0","35,956.0","37,260.0","37,992.0","37,808.0","38,340.0","39,332.0","39,548.0","38,932.0","40,404.0","41,372.0","42,036.0","41,592.0","41,996.0","43,012.0","42,856.0","42,772.0","43,896.0","44,508.0","45,188.0","44,032.0","45,096.0","46,284.0","46,596.0","45,556.0","46,212.0","45,784.0","46,308.0","45,344.0","45,568.0","46,416.0","45,356.0","45,280.0","45,820.0","44,612.0","44,304.0","43,756.0","44,924.0","44,548.0","44,180.0","43,436.0","44,236.0","43,760.0","43,424.0","43,100.0","43,632.0","42,672.0","42,796.0","41,912.0","42,656.0","43,016.0","43,216.0","42,532.0","43,956.0","43,992.0","44,232.0","44,036.0","43,900.0","44,232.0","45,456.0","45,748.0","49,976.0","49,200.0","49,244.0","50,224.0","53,056.0","52,432.0","53,316.0","53,576.0","57,032.0","57,620.0","59,476.0","58,956.0","61,724.0","62,408.0","63,672.0","63,112.0","64,724.0","64,892.0","64,952.0","65,664.0","67,900.0","68,164.0","68,328.0","68,920.0","70,760.0","71,460.0","72,240.0","71,992.0","74,772.0","74,592.0","77,468.0","80,384.0","82,600.0","84,400.0","86,600.0","88,212.0","88,988.0","90,024.0","91,352.0","92,484.0","90,624.0","90,148.0","89,936.0","89,416.0","89,484.0","88,972.0","83,164.0","87,892.0","87,068.0","87,028.0","87,452.0","87,656.0"
"27","8","      Consumption of general government fixed capital \2\","B432RC1","22,268.0","22,228.0","22,300.0","22,348.0","22,600.0","22,896.0","23,168.0","23,412.0","23,856.0","24,300.0","24,964.0","25,476.0","25,820.0","26,164.0","26,472.0","26,916.0","27,312.0","27,760.0","28,336.0","28,912.0","29,308.0","29,808.0","30,088.0","30,680.0","31,368.0","32,004.0","32,560.0","32,912.0","33,408.0","34,076.0","34,924.0","35,688.0","36,500.0","37,540.0","38,676.0","39,808.0","40,908.0","42,240.0","43,376.0","44,544.0","45,860.0","47,260.0","48,424.0","49,508.0","50,668.0","51,680.0","53,124.0","54,400.0","56,196.0","57,592.0","58,920.0","60,252.0","61,668.0","62,912.0","64,392.0","65,804.0","67,136.0","68,692.0","70,076.0","71,776.0","73,120.0","74,428.0","75,980.0","77,680.0","79,556.0","81,224.0","82,692.0","84,156.0","85,552.0","86,900.0","88,204.0","89,372.0","90,660.0","91,748.0","92,824.0","93,704.0","95,016.0","96,100.0","97,116.0","97,332.0","97,348.0","97,800.0","98,136.0","99,008.0","99,228.0","99,520.0","99,788.0","100,348.0","100,196.0","100,476.0","100,916.0","101,576.0","102,228.0","101,856.0","101,800.0","101,324.0","101,300.0","100,912.0","100,456.0","99,804.0","99,700.0","99,740.0","99,464.0","98,908.0","98,236.0","98,216.0","98,040.0","98,204.0","98,100.0","98,300.0","98,224.0","98,788.0","99,176.0","99,328.0","99,504.0","99,524.0","99,288.0","99,136.0","98,856.0","98,644.0","98,616.0","98,672.0","99,040.0","99,476.0","100,220.0","101,296.0","102,536.0","103,632.0","104,936.0","106,476.0","107,968.0","109,764.0","111,604.0","113,448.0","115,212.0","117,316.0","119,200.0","120,972.0","122,656.0","124,512.0","126,788.0","128,820.0","130,996.0","132,820.0","135,484.0","138,004.0","140,520.0","142,224.0","143,336.0","144,244.0","144,892.0","146,112.0","148,232.0","150,524.0","151,860.0","153,864.0","156,224.0","157,936.0","159,192.0","159,688.0","161,608.0","162,164.0","162,688.0","162,308.0","162,440.0","162,920.0","163,384.0","164,284.0","165,296.0","165,988.0","166,484.0","167,076.0"
"28","9","    Intermediate goods and services purchased \3\","W087RC1","20,840.0","22,312.0","18,136.0","17,484.0","18,672.0","20,184.0","17,972.0","18,664.0","19,780.0","21,888.0","20,440.0","21,304.0","22,124.0","22,288.0","21,180.0","21,516.0","20,924.0","22,796.0","21,472.0","22,000.0","23,324.0","25,392.0","26,148.0","24,540.0","25,868.0","27,328.0","28,076.0","27,616.0","29,972.0","32,868.0","30,480.0","34,348.0","38,000.0","40,908.0","41,816.0","43,016.0","46,648.0","49,604.0","49,796.0","52,280.0","55,284.0","56,440.0","60,048.0","62,908.0","62,184.0","65,912.0","64,520.0","66,612.0","66,772.0","68,428.0","67,936.0","67,776.0","68,452.0","70,756.0","77,284.0","78,116.0","75,776.0","82,716.0","85,708.0","76,304.0","81,176.0","84,808.0","86,248.0","86,832.0","88,212.0","88,380.0","87,036.0","93,848.0","83,208.0","92,204.0","90,824.0","91,432.0","95,264.0","93,876.0","89,480.0","99,216.0","102,648.0","102,344.0","99,928.0","93,916.0","91,032.0","91,860.0","100,740.0","97,984.0","90,200.0","90,728.0","95,740.0","95,192.0","86,000.0","89,352.0","98,056.0","89,888.0","85,936.0","89,476.0","89,448.0","84,616.0","83,656.0","93,124.0","92,492.0","96,232.0","86,744.0","98,332.0","92,100.0","96,640.0","80,980.0","91,912.0","95,236.0","95,792.0","91,708.0","95,132.0","104,980.0","115,064.0","95,996.0","111,012.0","104,764.0","105,820.0","113,828.0","115,484.0","118,720.0","120,640.0","127,224.0","131,620.0","137,936.0","146,596.0","143,972.0","171,440.0","162,604.0","176,364.0","178,124.0","182,892.0","194,464.0","183,440.0","189,904.0","192,728.0","205,668.0","190,256.0","204,536.0","205,744.0","204,052.0","213,176.0","203,252.0","211,256.0","224,280.0","227,704.0","238,328.0","242,196.0","266,168.0","263,004.0","244,408.0","261,576.0","273,008.0","273,372.0","270,180.0","278,516.0","291,440.0","282,416.0","269,612.0","285,412.0","291,608.0","268,156.0","266,756.0","263,744.0","289,592.0","253,160.0","241,920.0","240,344.0","248,112.0","227,408.0","231,820.0","231,088.0","261,692.0","234,560.0"
"29","10","      Durable goods","A998RC1","5,884.0","5,944.0","5,268.0","5,068.0","5,552.0","5,664.0","4,892.0","5,168.0","4,764.0","5,400.0","4,400.0","5,376.0","5,612.0","5,716.0","5,816.0","6,076.0","5,244.0","6,216.0","5,344.0","6,060.0","7,032.0","8,484.0","7,236.0","7,808.0","8,512.0","9,336.0","9,116.0","9,216.0","9,684.0","11,148.0","10,440.0","11,868.0","11,988.0","12,356.0","12,964.0","11,864.0","14,316.0","15,976.0","15,284.0","17,320.0","16,768.0","18,484.0","19,444.0","21,628.0","23,328.0","24,752.0","24,804.0","25,444.0","26,724.0","27,664.0","25,108.0","26,952.0","26,748.0","28,140.0","30,984.0","30,012.0","28,000.0","32,636.0","34,076.0","32,056.0","31,772.0","32,916.0","35,564.0","34,284.0","33,528.0","32,852.0","32,580.0","34,760.0","31,860.0","33,284.0","32,496.0","30,468.0","31,920.0","31,372.0","31,004.0","31,976.0","31,524.0","31,988.0","30,868.0","29,504.0","28,588.0","27,588.0","28,576.0","28,764.0","26,244.0","30,600.0","24,532.0","24,264.0","22,896.0","22,472.0","24,316.0","22,036.0","21,688.0","19,600.0","23,556.0","18,928.0","19,592.0","22,160.0","21,804.0","19,724.0","20,416.0","21,988.0","20,308.0","20,752.0","19,896.0","20,360.0","22,040.0","21,480.0","20,012.0","22,700.0","24,240.0","21,948.0","22,444.0","22,272.0","22,384.0","21,436.0","20,908.0","22,732.0","24,100.0","21,428.0","21,824.0","23,044.0","24,632.0","23,440.0","22,792.0","26,224.0","26,888.0","27,088.0","27,428.0","28,624.0","30,332.0","28,996.0","28,332.0","29,232.0","30,340.0","30,356.0","31,400.0","31,972.0","33,292.0","35,144.0","33,724.0","35,196.0","37,556.0","38,672.0","39,592.0","42,008.0","44,528.0","45,344.0","41,644.0","45,592.0","48,700.0","47,292.0","43,624.0","45,968.0","48,164.0","50,332.0","42,000.0","44,492.0","45,812.0","47,624.0","43,336.0","43,632.0","45,392.0","43,896.0","38,168.0","39,516.0","39,128.0","37,828.0","35,008.0","34,732.0","33,900.0","36,600.0"
"30","11","        Aircraft","B999RC1","2,980.0","2,924.0","2,472.0","2,232.0","2,556.0","2,376.0","2,288.0","2,244.0","1,932.0","2,220.0","1,520.0","2,136.0","2,168.0","1,752.0","2,340.0","2,052.0","1,768.0","2,208.0","1,720.0","2,324.0","2,916.0","3,684.0","3,268.0","3,284.0","3,232.0","3,548.0","3,320.0","3,880.0","3,924.0","5,240.0","4,464.0","5,472.0","5,492.0","5,352.0","5,716.0","5,656.0","7,196.0","7,564.0","7,024.0","9,216.0","8,760.0","9,620.0","10,588.0","11,832.0","12,952.0","13,500.0","13,784.0","14,268.0","14,068.0","14,388.0","13,400.0","14,224.0","14,456.0","14,720.0","16,300.0","16,068.0","14,808.0","18,388.0","18,392.0","17,292.0","17,188.0","15,924.0","19,632.0","19,964.0","18,644.0","17,680.0","17,140.0","17,972.0","16,944.0","16,860.0","16,172.0","15,588.0","15,000.0","14,596.0","13,804.0","15,712.0","14,080.0","13,676.0","13,396.0","13,440.0","12,628.0","12,320.0","11,596.0","12,104.0","10,600.0","13,076.0","9,148.0","9,964.0","8,912.0","8,704.0","9,716.0","9,504.0","10,008.0","7,032.0","10,412.0","7,956.0","8,624.0","8,840.0","9,136.0","8,676.0","9,196.0","10,248.0","8,500.0","9,504.0","9,116.0","9,632.0","9,964.0","10,844.0","9,524.0","10,856.0","11,484.0","9,976.0","10,460.0","9,552.0","10,184.0","9,108.0","8,804.0","9,616.0","11,212.0","9,376.0","9,192.0","9,856.0","10,184.0","9,940.0","9,612.0","11,600.0","11,652.0","12,160.0","11,492.0","11,720.0","12,580.0","12,084.0","10,720.0","10,688.0","10,588.0","10,980.0","10,636.0","10,408.0","10,808.0","12,688.0","10,300.0","11,020.0","11,916.0","12,800.0","11,520.0","12,408.0","13,436.0","13,976.0","13,512.0","14,288.0","14,936.0","15,984.0","13,808.0","15,364.0","16,312.0","18,956.0","15,648.0","17,576.0","18,868.0","19,932.0","18,468.0","18,624.0","19,876.0","20,520.0","17,104.0","17,760.0","18,476.0","18,368.0","16,448.0","16,392.0","15,292.0","16,780.0"
"31","12","        Missiles","B277RC1","1,004.0","940.0","1,136.0","960.0","1,084.0","1,120.0","988.0","1,180.0","1,092.0","1,036.0","1,060.0","1,216.0","1,188.0","1,360.0","1,284.0","1,572.0","1,076.0","1,660.0","1,444.0","1,212.0","1,264.0","1,552.0","1,308.0","1,296.0","1,704.0","2,072.0","1,736.0","1,740.0","1,700.0","1,804.0","1,728.0","1,808.0","1,860.0","1,952.0","2,060.0","1,720.0","2,104.0","2,308.0","2,416.0","2,368.0","2,308.0","2,876.0","2,560.0","2,764.0","2,856.0","3,340.0","3,156.0","3,616.0","3,524.0","3,652.0","3,040.0","4,300.0","3,252.0","3,268.0","4,172.0","4,604.0","3,964.0","4,676.0","4,812.0","4,268.0","4,456.0","5,204.0","4,572.0","4,296.0","4,524.0","4,952.0","4,428.0","6,072.0","4,656.0","5,384.0","5,236.0","4,616.0","5,764.0","4,744.0","5,536.0","4,864.0","5,008.0","5,676.0","5,556.0","5,020.0","4,556.0","4,548.0","5,080.0","4,464.0","4,528.0","3,824.0","4,636.0","3,900.0","3,796.0","3,444.0","3,916.0","3,040.0","2,376.0","3,040.0","3,316.0","2,628.0","2,412.0","2,940.0","2,856.0","2,268.0","2,200.0","2,420.0","2,316.0","2,332.0","2,112.0","1,848.0","3,120.0","2,076.0","2,152.0","2,160.0","2,280.0","2,336.0","2,240.0","2,464.0","2,416.0","2,676.0","2,704.0","2,632.0","2,640.0","2,424.0","2,324.0","2,160.0","2,732.0","2,684.0","2,164.0","2,312.0","2,308.0","2,720.0","2,376.0","2,496.0","2,868.0","2,604.0","2,932.0","3,344.0","3,156.0","3,660.0","3,920.0","4,324.0","3,940.0","4,248.0","4,304.0","4,304.0","4,564.0","4,820.0","4,772.0","4,612.0","4,680.0","4,720.0","4,148.0","4,312.0","5,384.0","4,256.0","4,044.0","4,512.0","4,648.0","4,696.0","3,816.0","3,568.0","3,612.0","3,584.0","3,552.0","3,192.0","3,516.0","3,236.0","2,840.0","3,732.0","3,424.0","3,092.0","2,944.0","3,160.0","3,376.0","3,892.0"
"32","13","        Ships","B278RC1","96.0","188.0","148.0","156.0","172.0","184.0","140.0","140.0","128.0","140.0","164.0","172.0","160.0","204.0","200.0","236.0","208.0","232.0","188.0","392.0","688.0","696.0","336.0","596.0","828.0","804.0","620.0","676.0","784.0","944.0","876.0","896.0","928.0","940.0","912.0","424.0","584.0","896.0","984.0","692.0","556.0","852.0","980.0","1,120.0","1,252.0","1,352.0","1,276.0","1,096.0","1,456.0","1,288.0","1,368.0","788.0","896.0","768.0","888.0","660.0","728.0","864.0","868.0","636.0","732.0","1,088.0","1,376.0","680.0","996.0","1,000.0","988.0","1,240.0","884.0","1,176.0","1,052.0","1,056.0","1,444.0","1,784.0","1,656.0","1,888.0","1,672.0","1,968.0","2,180.0","1,868.0","2,020.0","1,928.0","2,120.0","2,416.0","1,944.0","3,624.0","1,680.0","1,800.0","1,652.0","1,608.0","1,588.0","1,404.0","1,128.0","1,276.0","1,544.0","708.0","676.0","1,268.0","908.0","752.0","960.0","968.0","984.0","872.0","936.0","816.0","852.0","848.0","1,028.0","1,260.0","1,344.0","1,140.0","1,336.0","1,396.0","1,336.0","1,204.0","1,184.0","1,336.0","1,308.0","1,068.0","1,216.0","1,300.0","1,456.0","1,160.0","1,228.0","1,308.0","1,324.0","1,248.0","1,240.0","1,512.0","1,636.0","1,336.0","1,336.0","1,412.0","1,568.0","1,204.0","1,600.0","1,356.0","1,316.0","1,356.0","1,460.0","1,404.0","832.0","876.0","748.0","888.0","852.0","744.0","708.0","784.0","816.0","572.0","748.0","776.0","824.0","776.0","672.0","736.0","744.0","744.0","692.0","740.0","760.0","736.0","668.0","776.0","720.0","760.0","544.0","648.0","772.0","676.0"
"33","14","        Vehicles","B288RC1","372.0","516.0","340.0","412.0","320.0","524.0","296.0","304.0","328.0","440.0","260.0","348.0","492.0","600.0","612.0","680.0","604.0","576.0","504.0","652.0","596.0","784.0","724.0","904.0","876.0","976.0","1,284.0","1,112.0","1,140.0","840.0","1,160.0","1,320.0","1,136.0","1,564.0","1,620.0","1,380.0","1,376.0","1,868.0","1,568.0","1,824.0","1,844.0","1,380.0","1,704.0","1,888.0","2,268.0","2,324.0","2,292.0","2,224.0","2,924.0","3,148.0","2,592.0","2,352.0","2,736.0","3,160.0","2,920.0","2,624.0","2,824.0","3,176.0","3,436.0","3,412.0","3,184.0","3,664.0","2,952.0","2,516.0","2,308.0","2,708.0","2,876.0","2,216.0","1,940.0","2,072.0","1,768.0","1,740.0","1,524.0","1,832.0","1,812.0","1,816.0","1,712.0","2,452.0","1,692.0","1,492.0","1,360.0","1,428.0","1,440.0","1,556.0","1,356.0","1,596.0","1,100.0","1,004.0","948.0","940.0","904.0","888.0","1,084.0","1,132.0","1,208.0","836.0","912.0","928.0","1,032.0","932.0","1,180.0","1,316.0","1,124.0","1,100.0","952.0","936.0","904.0","840.0","724.0","764.0","720.0","748.0","552.0","760.0","664.0","652.0","652.0","692.0","780.0","712.0","728.0","700.0","672.0","748.0","680.0","740.0","756.0","764.0","736.0","720.0","808.0","904.0","924.0","1,024.0","1,268.0","1,312.0","1,432.0","1,604.0","1,828.0","1,932.0","1,992.0","2,396.0","2,484.0","2,660.0","2,660.0","3,028.0","2,964.0","3,724.0","2,316.0","3,632.0","3,952.0","4,140.0","3,740.0","3,612.0","3,156.0","3,392.0","2,916.0","3,084.0","2,812.0","2,988.0","2,356.0","2,620.0","2,648.0","2,352.0","1,716.0","1,700.0","1,696.0","1,492.0","1,732.0","1,516.0","936.0","1,444.0"
"34","15","        Electronics","B388RC1","944.0","844.0","724.0","844.0","832.0","844.0","680.0","840.0","748.0","1,004.0","688.0","852.0","928.0","1,020.0","644.0","844.0","728.0","756.0","632.0","620.0","728.0","820.0","728.0","932.0","992.0","1,024.0","1,104.0","884.0","980.0","1,092.0","1,060.0","1,212.0","1,232.0","1,388.0","1,528.0","1,448.0","1,612.0","1,792.0","1,752.0","1,740.0","1,872.0","1,940.0","1,984.0","2,200.0","2,292.0","2,416.0","2,416.0","2,420.0","2,528.0","2,732.0","2,408.0","2,940.0","3,020.0","3,136.0","3,464.0","3,224.0","3,128.0","3,344.0","3,396.0","3,528.0","3,608.0","3,772.0","3,692.0","3,640.0","3,628.0","3,684.0","3,420.0","3,876.0","3,720.0","3,748.0","4,176.0","3,632.0","4,108.0","3,444.0","4,244.0","3,412.0","3,680.0","3,976.0","3,308.0","2,852.0","3,200.0","3,132.0","3,588.0","3,364.0","3,620.0","3,960.0","3,500.0","3,036.0","3,268.0","3,152.0","3,124.0","2,636.0","2,616.0","2,400.0","2,688.0","2,160.0","2,240.0","2,852.0","2,712.0","2,240.0","2,424.0","2,524.0","2,592.0","2,316.0","2,440.0","2,336.0","2,376.0","2,252.0","2,384.0","2,704.0","2,908.0","2,608.0","2,888.0","3,056.0","2,720.0","2,960.0","2,840.0","3,008.0","2,956.0","2,992.0","3,076.0","3,288.0","3,432.0","3,172.0","3,436.0","3,780.0","4,164.0","3,564.0","3,980.0","4,456.0","4,452.0","4,596.0","4,616.0","5,104.0","6,068.0","5,700.0","5,964.0","6,104.0","6,836.0","6,620.0","7,188.0","7,688.0","8,472.0","8,032.0","9,712.0","10,628.0","11,652.0","11,576.0","10,260.0","11,360.0","11,956.0","11,556.0","10,596.0","11,040.0","11,536.0","11,048.0","8,432.0","8,924.0","8,912.0","9,244.0","7,544.0","7,972.0","7,904.0","7,432.0","6,176.0","6,676.0","5,888.0","5,676.0","5,068.0","4,832.0","4,744.0","4,816.0"
