"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 27, 2015 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/26/2015 4:02:09 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","      Government consumption expenditures \1\","A955RX1","1,968,155.0","1,998,431.0","2,069,138.0","2,149,166.0","2,187,831.0","2,221,694.0","2,239,465.0","2,264,125.0","2,295,732.0","2,353,884.0","2,442,062.0","2,444,861.0","2,379,985.0","2,365,886.0","2,335,181.0","2,344,056.0"
"20","2","        Gross output of general government","W101RX1","2,338,356.0","2,388,295.0","2,480,114.0","2,569,054.0","2,610,856.0","2,648,322.0","2,672,828.0","2,706,450.0","2,740,303.0","2,798,542.0","2,891,963.0","2,902,051.0","2,840,794.0","2,827,284.0","2,799,820.0","2,810,657.0"
"21","3","          Value added","W102RX1","1,653,789.0","1,680,884.0","1,711,172.0","1,743,478.0","1,765,185.0","1,777,826.0","1,794,109.0","1,809,048.0","1,834,658.0","1,872,931.0","1,907,619.0","1,919,475.0","1,911,647.0","1,904,632.0","1,901,867.0","1,910,236.0"
"22","4","            Compensation of general government employees","A194RX1","1,357,861.0","1,379,372.0","1,403,641.0","1,429,746.0","1,443,649.0","1,446,632.0","1,452,314.0","1,455,765.0","1,469,202.0","1,494,645.0","1,517,365.0","1,519,385.0","1,503,252.0","1,490,479.0","1,484,541.0","1,487,466.0"
"23","5","            Consumption of general government fixed capital \2\","A265RX1","297,230.0","302,706.0","308,657.0","314,833.0","322,350.0","331,712.0","342,135.0","353,465.0","365,542.0","378,313.0","390,254.0","400,183.0","408,719.0","414,608.0","417,846.0","423,360.0"
"24","6","          Intermediate goods and services purchased \3\","W104RX1","688,066.0","710,505.0","770,402.0","826,349.0","846,403.0","871,225.0","879,460.0","898,024.0","906,333.0","926,300.0","984,344.0","982,592.0","929,818.0","923,396.0","899,284.0","901,719.0"
"25","7","            Durable goods","W105RX1","44,659.0","46,047.0","47,957.0","49,650.0","51,754.0","55,355.0","56,247.0","59,913.0","64,030.0","70,535.0","74,389.0","74,935.0","71,564.0","70,329.0","64,711.0","61,194.0"
"26","8","            Nondurable goods","W106RX1","193,817.0","204,048.0","220,579.0","230,263.0","231,151.0","237,664.0","240,121.0","243,664.0","248,614.0","247,524.0","262,908.0","253,894.0","242,171.0","243,259.0","243,531.0","246,069.0"
"27","9","            Services","W107RX1","449,823.0","461,095.0","503,079.0","547,392.0","563,762.0","578,137.0","583,000.0","594,177.0","593,086.0","608,236.0","647,047.0","654,082.0","616,162.0","609,374.0","589,324.0","592,247.0"
"28","10","        Less: Own-account investment \4\","W108RX1","53,140.0","55,086.0","60,308.0","62,485.0","63,145.0","63,299.0","65,106.0","67,229.0","69,223.0","70,523.0","70,987.0","69,330.0","69,747.0","70,299.0","67,923.0","66,271.0"
"29","11","        Less: Sales to other sectors \5\","W109RX1","317,943.0","335,684.0","351,326.0","357,957.0","360,413.0","363,890.0","368,805.0","375,686.0","375,799.0","374,286.0","378,914.0","387,857.0","391,117.0","391,162.0","396,609.0","400,146.0"
"30","12","Federal consumption expenditures \1\","A957RX1","643,146.0","645,853.0","670,785.0","712,312.0","758,726.0","790,315.0","799,728.0","813,471.0","821,760.0","876,473.0","933,702.0","975,213.0","949,662.0","938,878.0","889,957.0","883,554.0"
"31","13","      Gross output of general government","W110RX1","675,593.0","680,880.0","706,744.0","749,319.0","797,077.0","828,869.0","842,157.0","855,890.0","863,400.0","919,719.0","978,061.0","1,020,437.0","997,503.0","984,440.0","932,670.0","925,098.0"
"32","14","        Value added","W111RX1","498,048.0","500,856.0","503,011.0","511,625.0","525,266.0","533,434.0","540,787.0","545,294.0","553,128.0","574,161.0","603,629.0","624,258.0","630,881.0","630,735.0","618,592.0","618,196.0"
"33","15","          Compensation of general government employees","B568RX1","319,902.0","322,600.0","323,714.0","331,208.0","341,353.0","343,830.0","344,315.0","341,190.0","341,289.0","354,082.0","375,491.0","389,196.0","389,851.0","385,930.0","372,536.0","368,619.0"
"34","16","          Consumption of general government fixed capital \2\","B995RX1","178,247.0","178,617.0","179,585.0","181,149.0","184,870.0","190,268.0","196,829.0","204,196.0","211,825.0","220,063.0","228,138.0","235,052.0","241,097.0","244,940.0","246,297.0","249,873.0"
