"","Table 5#7#6A# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"19","1","    Change in private inventories","A014RX1","33,346.0","6,156.0","27,501.0","28,250.0","42,933.0","32,024.0","-14,075.0","37,707.0","47,461.0","50,150.0","30,822.0","-10,324.0","42,885.0","-21,729.0","-8,612.0","85,716.0","27,591.0","9,026.0","36,287.0","23,810.0","33,251.0","17,937.0","-1,963.0","19,452.0","24,077.0","75,388.0","34,560.0","33,834.0","84,806.0"
"20","2","Farm \1\","B018RX1","24.0","-2,687.0","4,627.0","469.0","2,019.0","-4,938.0","6,485.0","-1,773.0","8,159.0","2,328.0","4,786.0","-8,085.0","11,336.0","8,464.0","-19,655.0","7,125.0","7,932.0","-2,555.0","-10,268.0","-14,789.0","-15.0","2,870.0","-2,088.0","8,060.0","-8,477.0","15,550.0","-14,765.0","9,455.0","4,097.0"
"21","3","Nonfarm","B015RX1","33,962.0","9,471.0","22,649.0","29,299.0","44,484.0","42,840.0","-23,494.0","41,292.0","39,176.0","49,275.0","26,106.0","-496.0","30,952.0","-30,116.0","11,600.0","78,903.0","19,839.0","11,126.0","44,821.0","38,522.0","33,403.0","15,051.0","16.0","11,812.0","32,295.0","60,493.0","47,773.0","24,943.0","80,451.0"
"22","4","  Manufacturing","A150RX1","13,991.0","-41.0","-3,803.0","8,545.0","23,729.0","25,973.0","-9,307.0","17,221.0","10,586.0","17,849.0","15,623.0","461.0","5,647.0","-19,167.0","-546.0","35,574.0","-7,791.0","-4,621.0","10,346.0","20,742.0","17,390.0","10,874.0","-8,275.0","-5,806.0","4,437.0","14,810.0","17,210.0","12,400.0","26,962.0"
"23","5","    Durable goods","C624RX1","9,467.0","-1,554.0","-5,596.0","6,256.0","19,922.0","14,481.0","-9,401.0","8,970.0","4,737.0","14,153.0","14,728.0","-1.0","2,056.0","-14,086.0","-2,455.0","24,705.0","-6,453.0","-5,781.0","5,814.0","13,511.0","11,351.0","5,388.0","-10,376.0","-8,789.0","4,138.0","10,045.0","12,023.0","10,687.0","16,464.0"
"24","6","    Nondurable goods","C625RX1","3,681.0","2,337.0","3,711.0","1,505.0","724.0","11,530.0","1,586.0","8,526.0","6,341.0","1,940.0","-1,620.0","558.0","3,986.0","-3,749.0","2,840.0","8,667.0","-326.0","2,821.0","4,533.0","6,316.0","5,309.0","5,774.0","4,361.0","5,194.0","-335.0","4,146.0","4,504.0","838.0","10,146.0"
"25","7","  Wholesale trade","A658RX1","9,332.0","10,295.0","7,699.0","6,900.0","4,350.0","15,396.0","-7,800.0","11,469.0","14,939.0","15,951.0","10,679.0","5,968.0","6,590.0","-3,010.0","-1,223.0","18,293.0","6,746.0","9,354.0","8,508.0","10,444.0","3,596.0","9,579.0","4,350.0","9,688.0","6,688.0","17,513.0","14,433.0","2,610.0","31,829.0"
"26","8","    Durable goods","A661RX1","5,763.0","4,210.0","5,356.0","5,886.0","5,377.0","9,617.0","-3,156.0","6,444.0","7,832.0","12,313.0","6,527.0","4,677.0","5,180.0","-3,838.0","-3,113.0","11,533.0","437.0","3,483.0","4,382.0","5,731.0","1,154.0","3,311.0","-592.0","3,143.0","3,527.0","11,238.0","11,865.0","3,135.0","19,280.0"
"27","9","    Nondurable goods","A664RX1","3,353.0","6,377.0","1,989.0","435.0","-1,327.0","5,583.0","-4,637.0","4,918.0","7,065.0","2,946.0","3,979.0","1,161.0","1,253.0","1,120.0","2,295.0","6,390.0","7,226.0","6,545.0","4,301.0","4,754.0","2,767.0","6,989.0","6,017.0","7,389.0","3,236.0","5,694.0","1,222.0","-1,062.0","10,792.0"
"28","10","      Merchant wholesalers","A151RX1","7,679.0","9,764.0","8,339.0","6,573.0","2,939.0","12,756.0","-8,269.0","9,645.0","15,103.0","17,246.0","9,570.0","8,123.0","4,563.0","-2,400.0","-758.0","16,144.0","8,266.0","9,144.0","9,350.0","8,962.0","2,651.0","8,520.0","4,501.0","9,935.0","6,579.0","15,296.0","11,031.0","1,774.0","28,724.0"
"29","11","        Durable goods","C626RX1","4,870.0","4,539.0","6,337.0","5,572.0","4,396.0","8,760.0","-3,664.0","4,653.0","9,135.0","11,958.0","5,747.0","5,604.0","3,809.0","-3,549.0","-2,795.0","10,507.0","1,111.0","3,759.0","4,739.0","4,829.0","641.0","3,039.0","-337.0","4,021.0","3,237.0","9,813.0","9,650.0","2,489.0","17,467.0"
"30","12","        Nondurable goods","C627RX1","2,677.0","5,268.0","1,712.0","716.0","-1,379.0","3,921.0","-4,458.0","4,911.0","5,825.0","4,987.0","3,736.0","2,403.0","644.0","1,420.0","2,381.0","5,392.0","8,101.0","5,948.0","4,915.0","4,289.0","2,316.0","6,124.0","5,821.0","6,531.0","3,556.0","5,186.0","381.0","-1,134.0","11,099.0"
"31","13","      Nonmerchant wholesalers","A152RX1","1,636.0","597.0","-537.0","352.0","1,370.0","2,560.0","385.0","1,794.0","8.0","-985.0","1,185.0","-1,561.0","1,852.0","-591.0","-428.0","2,248.0","-1,206.0","324.0","-712.0","1,495.0","935.0","1,087.0","-113.0","-206.0","119.0","2,238.0","3,465.0","853.0","3,127.0"
"32","14","        Durable goods","C628RX1","842.0","-67.0","-481.0","439.0","888.0","946.0","263.0","1,516.0","-704.0","649.0","778.0","-553.0","1,183.0","-328.0","-330.0","1,109.0","-499.0","-118.0","-166.0","854.0","440.0","292.0","-224.0","-681.0","308.0","1,409.0","2,114.0","615.0","1,861.0"
"33","15","        Nondurable goods","C629RX1","718.0","1,082.0","235.0","-427.0","235.0","1,888.0","64.0","-234.0","1,307.0","-2,582.0","306.0","-1,120.0","628.0","-260.0","-36.0","1,169.0","-795.0","706.0","-752.0","519.0","519.0","1,004.0","246.0","982.0","-416.0","555.0","1,026.0","99.0","1,064.0"
"34","16","  Retail trade","A153RX1","7,729.0","77.0","16,147.0","10,479.0","11,726.0","-2,336.0","-7,792.0","11,350.0","9,125.0","11,183.0","-120.0","-5,084.0","9,633.0","-4,180.0","14,599.0","23,646.0","16,768.0","3,728.0","23,100.0","8,325.0","15,784.0","-1,773.0","592.0","5,038.0","16,804.0","22,353.0","13,272.0","8,073.0","14,330.0"
"35","17","    Durable goods","C630RX1","3,653.0","-2,776.0","9,981.0","5,537.0","8,052.0","936.0","-3,242.0","6,784.0","6,291.0","5,719.0","-356.0","-7,775.0","2,894.0","-3,517.0","7,480.0","10,738.0","10,308.0","96.0","15,595.0","5,270.0","7,022.0","-1,256.0","-4,847.0","1,242.0","9,119.0","13,293.0","8,957.0","4,792.0","8,720.0"
"36","18","      Motor vehicle dealers \2\","C631RX1","2,368.0","-3,906.0","8,983.0","986.0","6,775.0","215.0","-3,576.0","4,016.0","6,044.0","3,343.0","93.0","-7,792.0","309.0","-2,550.0","4,439.0","6,722.0","7,687.0","-1,545.0","11,195.0","2,024.0","4,739.0","-1,567.0","-3,959.0","1,383.0","3,916.0","7,343.0","5,514.0","2,481.0","4,261.0"
"37","19","      Other \2\","A632RX1","1,381.0","575.0","1,764.0","4,098.0","1,825.0","653.0","-55.0","2,831.0","723.0","2,419.0","-390.0","-707.0","2,397.0","-1,050.0","3,091.0","4,115.0","2,812.0","1,512.0","4,603.0","3,187.0","2,351.0","238.0","-986.0","-101.0","5,149.0","5,930.0","3,425.0","2,300.0","4,537.0"
"38","20","    Nondurable goods","C633RX1","3,959.0","3,319.0","5,487.0","4,688.0","3,290.0","-3,409.0","-4,504.0","4,212.0","2,391.0","5,247.0","292.0","3,775.0","6,972.0","-258.0","6,795.0","12,708.0","5,650.0","4,012.0","6,003.0","2,617.0","8,656.0","-404.0","6,499.0","3,979.0","7,159.0","7,971.0","3,346.0","2,897.0","5,328.0"
"39","21","  Other","A154RX1","3,080.0","700.0","2,297.0","3,247.0","3,541.0","4,721.0","2,059.0","838.0","6,017.0","5,161.0","-66.0","-1,520.0","10,080.0","-3,082.0","-1,140.0","1,426.0","5,528.0","3,790.0","2,711.0","-1,650.0","-4,824.0","-3,947.0","3,963.0","3,109.0","3,745.0","5,321.0","2,714.0","1,934.0","7,814.0"
"40","22","    Durable goods","C636RX1","-14.0","-256.0","-1,033.0","515.0","1,556.0","78.0","-328.0","-171.0","305.0","1,185.0","-41.0","-397.0","292.0","1,231.0","-1,041.0","163.0","-586.0","-1,089.0","354.0","-426.0","705.0","-58.0","-503.0","681.0","363.0","776.0","56.0","479.0","1,244.0"
"41","23","    Nondurable goods","C637RX1","3,180.0","991.0","3,477.0","2,750.0","1,875.0","4,732.0","2,422.0","1,031.0","5,811.0","4,020.0","-27.0","-1,176.0","9,847.0","-4,034.0","-314.0","1,294.0","6,028.0","4,768.0","2,405.0","-1,259.0","-5,539.0","-3,921.0","4,444.0","2,498.0","3,432.0","4,601.0","2,695.0","1,482.0","6,700.0"
"42","24","Residual","A969RX1","0.0","-3,300.0","-1,700.0","600.0","800.0","-6,900.0","1,100.0","-700.0","-2,400.0","700.0","2,400.0","-2,800.0","-500.0","-2,900.0","-1,500.0","2,000.0","-3,000.0","-3,400.0","3,100.0","2,200.0","1,800.0","-800.0","-4,800.0","-4,300.0","2,100.0","2,100.0","4,700.0","1,000.0","500.0"
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Prior to 1981, inventories of auto and home supply stores are included in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","motor vehicle dealers. Beginning with 1981, these inventories are included in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","""other durable goods.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Note. Estimates for nonfarm industries other than manufacturing and trade for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1986 and earlier periods are based on the 1972 Standard Industrial Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","(SIC). Manufacturing estimates for 1981 and earlier periods and trade estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","for for 1966 and earlier periods are based on the 1972 SIC; later estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","for these industries are based on the 1987 SIC. The resulting discontinuities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","are small.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Note. Chained (2009) dollar series for real change in private inventories are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","calculated as the period-to-period change in chained-dollar end-of-period inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Quarterly changes in end-of-period inventories are stated at annual rates. Because the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","formula for the chain-type quantity indexes uses weights of  more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
