"","Table 1#3#5# Gross Value Added by Sector                        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"21","2","Business \1\","A195RC1","767,793.0","778,551.0","791,071.0","794,655.0","801,359.0","813,183.0","826,472.0","824,137.0","861,165.0","877,232.0","892,978.0","900,290.0","932,094.0","964,018.0","982,675.0","1,013,291.0","1,056,356.0","1,087,224.0","1,100,446.0","1,134,315.0","1,142,500.0","1,174,074.0","1,194,586.0","1,222,801.0","1,229,602.0","1,257,348.0","1,306,504.0","1,349,395.0","1,401,268.0","1,427,605.0","1,454,669.0","1,493,430.0","1,540,252.0","1,598,270.0","1,649,147.0","1,681,457.0","1,714,438.0","1,827,295.0","1,874,668.0","1,942,576.0","1,981,638.0","2,037,798.0","2,097,965.0","2,139,673.0","2,189,235.0","2,175,090.0","2,217,847.0","2,326,838.0","2,448,776.0","2,469,764.0","2,547,737.0","2,546,465.0","2,521,264.0","2,565,154.0","2,584,264.0","2,607,451.0","2,666,381.0","2,756,679.0","2,851,077.0","2,939,887.0","3,036,793.0","3,124,020.0","3,175,862.0","3,217,774.0","3,291,430.0","3,341,535.0","3,415,032.0","3,453,912.0","3,500,061.0","3,521,255.0","3,567,818.0","3,597,985.0","3,645,170.0","3,711,410.0","3,768,091.0","3,856,215.0","3,903,684.0","3,995,842.0","4,065,726.0","4,151,419.0","4,241,438.0","4,319,356.0","4,378,076.0","4,406,593.0","4,504,428.0","4,559,311.0","4,585,586.0","4,560,523.0","4,563,538.0","4,634,725.0","4,691,707.0","4,730,516.0","4,807,314.0","4,890,715.0","4,964,685.0","5,057,042.0","5,083,329.0","5,148,197.0","5,203,663.0","5,316,327.0","5,395,169.0","5,506,784.0","5,568,384.0","5,673,071.0","5,714,214.0","5,756,863.0","5,844,367.0","5,919,596.0","5,993,072.0","6,145,353.0","6,225,726.0","6,334,830.0","6,425,121.0","6,553,329.0","6,669,125.0","6,741,150.0","6,817,937.0","6,893,934.0","7,014,936.0","7,162,698.0","7,251,778.0","7,325,593.0","7,453,640.0","7,628,318.0","7,688,226.0","7,902,399.0","7,947,485.0","8,027,848.0","8,027,004.0","8,117,793.0","8,078,423.0","8,104,753.0","8,191,321.0","8,258,430.0","8,331,911.0","8,363,865.0","8,436,867.0","8,547,335.0","8,774,666.0","8,920,753.0","9,046,840.0","9,194,877.0","9,335,068.0","9,497,598.0","9,694,303.0","9,819,458.0","10,012,262.0","10,153,612.0","10,366,214.0","10,475,187.0","10,546,765.0","10,667,930.0","10,785,975.0","10,951,059.0","11,062,307.0","11,126,775.0","11,042,652.0","11,138,685.0","11,119,892.0","10,778,237.0","10,598,916.0","10,525,968.0","10,553,697.0","10,711,442.0","10,810,463.0","10,982,785.0","11,141,500.0","11,303,930.0","11,287,912.0","11,481,202.0","11,590,231.0","11,786,479.0","11,926,200.0","12,058,243.0","12,213,143.0","12,248,680.0","12,389,398.0","12,484,598.0","12,715,043.0","12,890,472.0","12,823,093.0","13,078,925.0","13,319,177.0","13,391,519.0"
"22","3","  Nonfarm \2\","A358RC1","746,852.0","756,173.0","767,764.0","769,981.0","777,222.0","790,169.0","802,291.0","800,731.0","836,584.0","852,278.0","867,860.0","873,460.0","907,558.0","936,450.0","952,749.0","976,711.0","1,019,575.0","1,042,604.0","1,052,884.0","1,076,228.0","1,093,409.0","1,133,492.0","1,152,144.0","1,177,935.0","1,187,505.0","1,214,261.0","1,258,721.0","1,299,857.0","1,356,228.0","1,385,025.0","1,412,709.0","1,450,924.0","1,496,499.0","1,556,301.0","1,609,503.0","1,632,695.0","1,666,851.0","1,775,424.0","1,821,590.0","1,892,209.0","1,921,346.0","1,979,259.0","2,036,842.0","2,079,211.0","2,136,815.0","2,135,096.0","2,166,208.0","2,265,418.0","2,386,907.0","2,406,064.0","2,476,498.0","2,483,466.0","2,460,096.0","2,505,001.0","2,522,618.0","2,548,769.0","2,609,399.0","2,709,918.0","2,815,982.0","2,898,990.0","2,974,299.0","3,059,533.0","3,112,471.0","3,151,540.0","3,224,279.0","3,277,889.0","3,353,737.0","3,391,192.0","3,443,584.0","3,465,007.0","3,503,520.0","3,535,443.0","3,584,065.0","3,650,286.0","3,706,229.0","3,792,131.0","3,835,025.0","3,934,639.0","4,000,809.0","4,100,656.0","4,164,398.0","4,246,755.0","4,307,252.0","4,331,280.0","4,424,433.0","4,480,855.0","4,507,862.0","4,485,571.0","4,493,489.0","4,562,707.0","4,624,781.0","4,658,020.0","4,729,018.0","4,809,284.0","4,882,256.0","4,979,768.0","5,015,750.0","5,073,225.0","5,140,372.0","5,237,083.0","5,303,677.0","5,420,542.0","5,487,363.0","5,597,450.0","5,648,675.0","5,693,729.0","5,776,929.0","5,842,098.0","5,902,257.0","6,043,556.0","6,137,845.0","6,244,766.0","6,329,937.0","6,470,695.0","6,580,335.0","6,655,215.0","6,737,219.0","6,816,675.0","6,939,101.0","7,080,391.0","7,170,414.0","7,254,544.0","7,386,809.0","7,563,826.0","7,617,646.0","7,823,273.0","7,871,120.0","7,949,745.0","7,948,752.0","8,041,603.0","7,999,505.0","8,025,740.0","8,122,266.0","8,193,152.0","8,254,412.0","8,279,564.0","8,352,611.0","8,454,525.0","8,680,288.0","8,819,789.0","8,922,891.0","9,071,173.0","9,222,465.0","9,382,222.0","9,588,344.0","9,713,114.0","9,907,282.0","10,052,842.0","10,270,535.0","10,377,225.0","10,446,871.0","10,564,056.0","10,673,726.0","10,843,130.0","10,951,646.0","11,003,481.0","10,905,187.0","11,008,400.0","10,999,081.0","10,661,417.0","10,496,468.0","10,421,158.0","10,443,551.0","10,589,636.0","10,690,403.0","10,857,103.0","11,008,370.0","11,163,902.0","11,120,373.0","11,319,217.0","11,421,182.0","11,620,055.0","11,762,093.0","11,895,232.0","12,055,600.0","12,087,651.0","12,188,054.0","12,292,614.0","12,520,418.0","12,710,096.0","12,657,837.0","12,891,608.0","13,146,054.0","13,220,781.0"
"23","4","  Farm","B359RC1","20,941.0","22,378.0","23,307.0","24,674.0","24,137.0","23,014.0","24,181.0","23,406.0","24,581.0","24,954.0","25,118.0","26,830.0","24,536.0","27,568.0","29,926.0","36,580.0","36,781.0","44,620.0","47,562.0","58,087.0","49,091.0","40,582.0","42,442.0","44,866.0","42,097.0","43,087.0","47,783.0","49,538.0","45,040.0","42,580.0","41,960.0","42,506.0","43,753.0","41,969.0","39,644.0","48,762.0","47,587.0","51,871.0","53,078.0","50,367.0","60,292.0","58,539.0","61,123.0","60,462.0","52,420.0","39,994.0","51,639.0","61,420.0","61,869.0","63,700.0","71,239.0","62,999.0","61,168.0","60,153.0","61,646.0","58,682.0","56,982.0","46,761.0","35,095.0","40,897.0","62,494.0","64,487.0","63,391.0","66,234.0","67,151.0","63,646.0","61,295.0","62,720.0","56,477.0","56,248.0","64,298.0","62,542.0","61,105.0","61,124.0","61,862.0","64,084.0","68,659.0","61,203.0","64,917.0","50,763.0","77,040.0","72,601.0","70,824.0","75,313.0","79,995.0","78,456.0","77,724.0","74,952.0","70,049.0","72,018.0","66,926.0","72,496.0","78,296.0","81,431.0","82,429.0","77,274.0","67,579.0","74,972.0","63,291.0","79,244.0","91,492.0","86,242.0","81,021.0","75,621.0","65,539.0","63,134.0","67,438.0","77,498.0","90,815.0","101,797.0","87,881.0","90,064.0","95,184.0","82,634.0","88,790.0","85,935.0","80,718.0","77,259.0","75,835.0","82,307.0","81,364.0","71,049.0","66,831.0","64,492.0","70,580.0","79,126.0","76,365.0","78,103.0","78,252.0","76,190.0","78,918.0","79,013.0","69,055.0","65,278.0","77,499.0","84,301.0","84,256.0","92,810.0","94,378.0","100,964.0","123,949.0","123,704.0","112,603.0","115,376.0","105,959.0","106,344.0","104,980.0","100,770.0","95,679.0","97,962.0","99,894.0","103,874.0","112,249.0","107,929.0","110,661.0","123,294.0","137,465.0","130,285.0","120,811.0","116,820.0","102,448.0","104,810.0","110,146.0","121,806.0","120,060.0","125,682.0","133,130.0","140,028.0","167,539.0","161,985.0","169,049.0","166,424.0","164,107.0","163,011.0","157,543.0","161,029.0","201,344.0","191,984.0","194,625.0","180,376.0","165,256.0","187,317.0","173,123.0","170,738.0"
"24","5","Households and institutions","A193RC1","84,080.0","86,308.0","88,733.0","91,220.0","92,380.0","93,953.0","96,022.0","98,496.0","101,616.0","103,855.0","106,273.0","109,116.0","111,508.0","113,657.0","115,717.0","118,341.0","120,891.0","123,972.0","127,030.0","130,399.0","133,257.0","136,490.0","139,895.0","143,580.0","147,363.0","150,900.0","154,840.0","158,728.0","161,918.0","164,829.0","167,879.0","170,941.0","173,470.0","178,365.0","184,345.0","189,868.0","190,776.0","200,854.0","209,477.0","216,829.0","220,361.0","224,605.0","231,393.0","239,213.0","247,631.0","256,091.0","264,921.0","273,956.0","281,681.0","289,283.0","297,576.0","307,195.0","314,759.0","320,563.0","329,863.0","337,065.0","344,013.0","351,434.0","358,802.0","368,848.0","375,421.0","381,664.0","392,220.0","401,413.0","403,609.0","411,121.0","419,365.0","429,121.0","439,184.0","447,882.0","456,114.0","463,376.0","475,450.0","485,305.0","499,243.0","521,262.0","526,630.0","540,933.0","552,326.0","567,239.0","575,844.0","587,036.0","597,764.0","609,103.0","621,281.0","636,380.0","652,947.0","659,210.0","668,918.0","678,780.0","688,002.0","700,098.0","708,172.0","723,805.0","735,057.0","747,699.0","764,352.0","775,343.0","786,615.0","797,894.0","812,423.0","825,003.0","839,861.0","852,473.0","868,224.0","880,528.0","890,314.0","903,871.0","914,731.0","925,169.0","936,786.0","949,552.0","962,139.0","975,945.0","991,602.0","1,007,670.0","1,020,782.0","1,039,747.0","1,058,909.0","1,078,449.0","1,092,946.0","1,115,989.0","1,128,179.0","1,151,148.0","1,174,342.0","1,191,037.0","1,212,429.0","1,233,151.0","1,248,488.0","1,269,418.0","1,290,223.0","1,309,394.0","1,330,298.0","1,350,659.0","1,365,702.0","1,382,109.0","1,401,813.0","1,414,869.0","1,429,405.0","1,462,100.0","1,473,392.0","1,498,838.0","1,528,030.0","1,543,293.0","1,567,050.0","1,589,233.0","1,610,596.0","1,631,276.0","1,659,279.0","1,683,459.0","1,699,630.0","1,715,278.0","1,727,729.0","1,736,069.0","1,752,396.0","1,782,303.0","1,814,648.0","1,842,601.0","1,867,148.0","1,896,606.0","1,895,475.0","1,909,577.0","1,917,607.0","1,931,800.0","1,918,311.0","1,926,324.0","1,932,675.0","1,937,866.0","1,953,860.0","1,970,571.0","1,983,275.0","1,989,730.0","2,007,474.0","2,013,725.0","2,027,911.0","2,046,522.0","2,067,985.0","2,082,226.0","2,103,678.0","2,124,363.0","2,148,134.0","2,166,463.0","2,187,730.0","2,208,522.0"
"25","6","  Households","B701RC1","55,778.0","57,029.0","58,240.0","59,419.0","60,153.0","60,936.0","62,140.0","63,858.0","65,495.0","66,898.0","68,670.0","70,267.0","71,724.0","72,805.0","73,968.0","75,273.0","76,912.0","78,468.0","80,229.0","82,214.0","84,067.0","85,513.0","87,368.0","89,514.0","91,843.0","93,902.0","95,923.0","98,252.0","100,415.0","102,393.0","104,215.0","105,778.0","107,238.0","110,570.0","114,402.0","117,123.0","121,880.0","125,071.0","128,314.0","133,296.0","136,322.0","139,059.0","143,586.0","149,004.0","153,649.0","158,591.0","163,562.0","169,258.0","173,671.0","178,540.0","183,741.0","189,955.0","194,105.0","196,907.0","202,204.0","206,061.0","210,338.0","214,509.0","218,017.0","224,163.0","227,534.0","229,842.0","237,456.0","244,046.0","244,478.0","249,488.0","254,257.0","260,164.0","266,079.0","271,025.0","275,438.0","279,242.0","285,316.0","290,405.0","299,572.0","306,517.0","313,488.0","317,910.0","324,211.0","333,128.0","337,447.0","343,842.0","349,603.0","355,300.0","361,105.0","369,040.0","377,713.0","381,349.0","385,535.0","388,262.0","393,180.0","399,884.0","403,462.0","410,670.0","417,418.0","423,810.0","435,064.0","440,518.0","446,678.0","454,116.0","464,473.0","473,648.0","483,870.0","491,939.0","500,778.0","509,409.0","515,886.0","524,898.0","530,905.0","537,074.0","543,869.0","550,805.0","558,544.0","566,453.0","576,018.0","585,608.0","592,357.0","602,638.0","612,762.0","623,407.0","634,467.0","646,864.0","657,394.0","668,474.0","682,304.0","693,444.0","706,368.0","721,414.0","733,760.0","747,768.0","761,112.0","769,860.0","778,689.0","788,089.0","793,018.0","802,295.0","815,902.0","822,022.0","828,146.0","847,554.0","857,352.0","872,374.0","886,653.0","901,771.0","922,416.0","937,608.0","951,361.0","964,751.0","981,462.0","996,788.0","1,008,450.0","1,015,592.0","1,018,260.0","1,021,013.0","1,029,135.0","1,046,563.0","1,064,308.0","1,082,129.0","1,094,748.0","1,105,131.0","1,107,553.0","1,107,260.0","1,112,135.0","1,113,399.0","1,114,473.0","1,112,005.0","1,108,457.0","1,110,690.0","1,121,158.0","1,128,944.0","1,133,162.0","1,138,521.0","1,140,671.0","1,143,856.0","1,151,626.0","1,159,224.0","1,173,922.0","1,182,976.0","1,198,358.0","1,212,170.0","1,224,159.0","1,236,840.0","1,248,908.0","1,258,467.0"
"26","7","  Nonprofit institutions serving households \3\","B702RC1","28,302.0","29,279.0","30,493.0","31,801.0","32,227.0","33,017.0","33,882.0","34,638.0","36,121.0","36,957.0","37,603.0","38,849.0","39,784.0","40,852.0","41,749.0","43,068.0","43,979.0","45,504.0","46,801.0","48,185.0","49,190.0","50,977.0","52,527.0","54,066.0","55,520.0","56,998.0","58,917.0","60,476.0","61,503.0","62,436.0","63,664.0","65,163.0","66,232.0","67,795.0","69,943.0","72,745.0","68,896.0","75,783.0","81,163.0","83,533.0","84,039.0","85,546.0","87,807.0","90,209.0","93,982.0","97,500.0","101,359.0","104,698.0","108,010.0","110,743.0","113,835.0","117,240.0","120,654.0","123,656.0","127,659.0","131,004.0","133,675.0","136,925.0","140,785.0","144,685.0","147,887.0","151,822.0","154,764.0","157,367.0","159,131.0","161,633.0","165,108.0","168,957.0","173,105.0","176,857.0","180,676.0","184,134.0","190,134.0","194,900.0","199,671.0","214,745.0","213,142.0","223,023.0","228,115.0","234,111.0","238,397.0","243,194.0","248,161.0","253,803.0","260,176.0","267,340.0","275,234.0","277,861.0","283,383.0","290,518.0","294,822.0","300,214.0","304,710.0","313,135.0","317,639.0","323,889.0","329,288.0","334,825.0","339,937.0","343,778.0","347,950.0","351,355.0","355,991.0","360,534.0","367,446.0","371,119.0","374,428.0","378,973.0","383,826.0","388,095.0","392,917.0","398,747.0","403,595.0","409,492.0","415,584.0","422,062.0","428,425.0","437,109.0","446,147.0","455,042.0","458,479.0","469,125.0","470,785.0","482,674.0","492,038.0","497,593.0","506,061.0","511,737.0","514,728.0","521,650.0","529,111.0","539,534.0","551,609.0","562,570.0","572,684.0","579,814.0","585,911.0","592,847.0","601,259.0","614,546.0","616,040.0","626,464.0","641,377.0","641,522.0","644,634.0","651,625.0","659,235.0","666,525.0","677,817.0","686,671.0","691,180.0","699,686.0","709,469.0","715,056.0","723,261.0","735,740.0","750,340.0","760,472.0","772,400.0","791,475.0","787,922.0","802,317.0","805,472.0","818,401.0","803,838.0","814,319.0","824,218.0","827,176.0","832,702.0","841,627.0","850,113.0","851,209.0","866,803.0","869,869.0","876,285.0","887,298.0","894,063.0","899,250.0","905,320.0","912,193.0","923,975.0","929,623.0","938,822.0","950,055.0"
"27","8","General government \4\","A765RC1","143,546.0","146,502.0","152,212.0","154,866.0","159,789.0","162,974.0","165,967.0","168,829.0","175,031.0","178,268.0","181,062.0","184,179.0","190,205.0","192,447.0","195,445.0","200,391.0","203,433.0","206,399.0","209,337.0","214,355.0","218,897.0","223,656.0","228,915.0","236,623.0","242,588.0","248,200.0","252,468.0","257,744.0","261,323.0","264,510.0","267,952.0","274,042.0","278,812.0","283,530.0","288,895.0","297,391.0","303,474.0","308,414.0","314,721.0","322,754.0","329,556.0","333,506.0","341,030.0","351,819.0","359,657.0","368,757.0","377,276.0","392,731.0","401,342.0","408,204.0","415,890.0","429,876.0","437,786.0","445,564.0","452,945.0","463,294.0","469,927.0","475,731.0","482,378.0","487,386.0","500,560.0","509,316.0","519,296.0","528,419.0","541,971.0","549,641.0","560,166.0","570,072.0","577,099.0","586,108.0","595,695.0","608,035.0","615,611.0","624,744.0","633,175.0","645,193.0","660,301.0","670,932.0","681,434.0","694,055.0","710,070.0","722,037.0","735,716.0","747,748.0","765,126.0","778,974.0","790,971.0","803,599.0","822,411.0","830,107.0","838,716.0","848,682.0","865,312.0","877,779.0","886,806.0","892,812.0","900,501.0","906,054.0","913,944.0","918,623.0","928,667.0","938,060.0","944,010.0","951,117.0","962,858.0","967,532.0","971,850.0","976,026.0","985,343.0","991,013.0","996,531.0","1,002,696.0","1,014,800.0","1,022,666.0","1,031,029.0","1,039,500.0","1,051,013.0","1,061,057.0","1,072,676.0","1,084,503.0","1,102,379.0","1,115,423.0","1,130,461.0","1,146,635.0","1,168,463.0","1,184,904.0","1,197,531.0","1,211,286.0","1,232,629.0","1,251,173.0","1,270,840.0","1,287,170.0","1,312,826.0","1,325,663.0","1,339,444.0","1,357,860.0","1,391,398.0","1,408,449.0","1,421,066.0","1,433,974.0","1,468,171.0","1,487,683.0","1,504,646.0","1,521,272.0","1,552,376.0","1,565,392.0","1,582,587.0","1,596,741.0","1,623,411.0","1,641,148.0","1,662,103.0","1,683,162.0","1,719,522.0","1,735,185.0","1,754,972.0","1,776,252.0","1,811,145.0","1,831,688.0","1,855,943.0","1,875,106.0","1,889,494.0","1,904,872.0","1,912,841.0","1,923,269.0","1,952,289.0","1,979,491.0","1,983,485.0","1,988,412.0","1,996,599.0","2,009,153.0","2,013,619.0","2,009,103.0","2,022,825.0","2,022,696.0","2,027,881.0","2,037,298.0","2,045,020.0","2,052,341.0","2,053,613.0","2,063,459.0","2,072,762.0","2,082,853.0","2,092,846.0","2,101,226.0"
"28","9","  Federal","A766RC1","74,412.0","75,264.0","78,740.0","79,184.0","81,456.0","82,100.0","82,704.0","83,336.0","86,372.0","87,136.0","87,480.0","88,676.0","91,632.0","91,344.0","91,648.0","94,328.0","94,664.0","94,964.0","95,460.0","97,988.0","99,220.0","100,432.0","101,848.0","105,668.0","107,232.0","108,492.0","109,592.0","112,804.0","114,048.0","114,928.0","116,164.0","119,676.0","120,988.0","122,268.0","123,396.0","127,884.0","130,216.0","132,108.0","133,996.0","137,856.0","139,156.0","140,576.0","142,308.0","148,116.0","150,764.0","154,252.0","157,148.0","167,128.0","170,024.0","172,592.0","176,112.0","185,272.0","187,664.0","190,648.0","194,120.0","199,572.0","201,576.0","203,128.0","206,452.0","208,540.0","216,096.0","219,476.0","222,936.0","225,908.0","232,664.0","234,368.0","236,896.0","241,396.0","243,200.0","245,824.0","248,648.0","251,620.0","253,316.0","256,136.0","260,184.0","264,216.0","270,980.0","274,384.0","278,104.0","280,224.0","286,644.0","288,820.0","291,640.0","293,116.0","299,228.0","303,332.0","305,080.0","309,732.0","320,860.0","320,828.0","321,700.0","321,920.0","326,572.0","328,320.0","328,272.0","327,668.0","329,456.0","329,340.0","330,608.0","329,612.0","331,324.0","331,916.0","329,684.0","329,516.0","333,800.0","331,996.0","330,872.0","328,708.0","332,248.0","331,180.0","330,036.0","328,580.0","332,764.0","332,688.0","332,432.0","331,368.0","334,320.0","334,384.0","335,056.0","336,320.0","342,568.0","342,684.0","343,640.0","345,812.0","355,412.0","359,688.0","359,880.0","359,972.0","365,116.0","367,212.0","370,488.0","373,856.0","391,020.0","393,420.0","395,620.0","404,540.0","426,136.0","432,164.0","434,664.0","435,112.0","452,792.0","455,608.0","459,404.0","462,364.0","482,876.0","485,080.0","489,548.0","492,324.0","505,832.0","508,084.0","510,796.0","513,800.0","529,620.0","533,852.0","538,944.0","542,740.0","558,700.0","566,832.0","574,988.0","580,704.0","595,272.0","602,132.0","606,008.0","611,104.0","631,260.0","645,788.0","646,800.0","650,540.0","658,232.0","663,200.0","666,780.0","668,228.0","669,820.0","668,712.0","667,772.0","666,020.0","665,448.0","664,788.0","659,380.0","664,736.0","666,744.0","668,264.0","669,636.0","670,088.0"
"29","10","  State and local","A767RC1","69,134.0","71,238.0","73,472.0","75,682.0","78,333.0","80,874.0","83,263.0","85,493.0","88,659.0","91,132.0","93,582.0","95,503.0","98,573.0","101,103.0","103,797.0","106,063.0","108,769.0","111,435.0","113,877.0","116,367.0","119,677.0","123,224.0","127,067.0","130,955.0","135,356.0","139,708.0","142,876.0","144,940.0","147,275.0","149,582.0","151,788.0","154,366.0","157,824.0","161,262.0","165,499.0","169,507.0","173,258.0","176,306.0","180,725.0","184,898.0","190,400.0","192,930.0","198,722.0","203,703.0","208,893.0","214,505.0","220,128.0","225,603.0","231,318.0","235,612.0","239,778.0","244,604.0","250,122.0","254,916.0","258,825.0","263,722.0","268,351.0","272,603.0","275,926.0","278,846.0","284,464.0","289,840.0","296,360.0","302,511.0","309,307.0","315,273.0","323,270.0","328,676.0","333,899.0","340,284.0","347,047.0","356,415.0","362,295.0","368,608.0","372,991.0","380,977.0","389,321.0","396,548.0","403,330.0","413,831.0","423,426.0","433,217.0","444,076.0","454,632.0","465,898.0","475,642.0","485,891.0","493,867.0","501,551.0","509,279.0","517,016.0","526,762.0","538,740.0","549,459.0","558,534.0","565,144.0","571,045.0","576,714.0","583,336.0","589,011.0","597,343.0","606,144.0","614,326.0","621,601.0","629,058.0","635,536.0","640,978.0","647,318.0","653,095.0","659,833.0","666,495.0","674,116.0","682,036.0","689,978.0","698,597.0","708,132.0","716,693.0","726,673.0","737,620.0","748,183.0","759,811.0","772,739.0","786,821.0","800,823.0","813,051.0","825,216.0","837,651.0","851,314.0","867,513.0","883,961.0","900,352.0","913,314.0","921,806.0","932,243.0","943,824.0","953,320.0","965,262.0","976,285.0","986,402.0","998,862.0","1,015,379.0","1,032,075.0","1,045,242.0","1,058,908.0","1,069,500.0","1,080,312.0","1,093,039.0","1,104,417.0","1,117,579.0","1,133,064.0","1,151,307.0","1,169,362.0","1,189,902.0","1,201,333.0","1,216,028.0","1,233,512.0","1,252,445.0","1,264,856.0","1,280,955.0","1,294,402.0","1,294,222.0","1,302,740.0","1,306,833.0","1,312,165.0","1,321,029.0","1,333,703.0","1,336,685.0","1,337,872.0","1,338,367.0","1,345,953.0","1,346,839.0","1,340,875.0","1,353,005.0","1,353,984.0","1,360,109.0","1,371,278.0","1,379,572.0","1,387,553.0","1,394,233.0","1,398,723.0","1,406,018.0","1,414,589.0","1,423,210.0","1,431,138.0"
"30",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","11","  Gross housing value added","A2009C1","71,155.0","72,766.0","74,445.0","75,991.0","77,145.0","78,409.0","80,021.0","82,032.0","83,966.0","86,039.0","88,210.0","90,275.0","92,221.0","93,770.0","95,488.0","97,308.0","99,343.0","101,223.0","103,240.0","105,472.0","107,876.0","109,995.0","112,570.0","115,703.0","118,800.0","121,217.0","123,748.0","126,565.0","128,773.0","130,923.0","133,500.0","136,366.0","139,876.0","143,939.0","147,771.0","151,701.0","157,282.0","160,854.0","163,593.0","168,493.0","172,568.0","176,438.0","182,314.0","189,731.0","195,511.0","202,216.0","209,960.0","218,064.0","223,765.0","229,828.0","236,249.0","245,438.0","251,976.0","255,485.0","263,570.0","270,094.0","275,452.0","280,893.0","286,501.0","292,249.0","296,299.0","300,408.0","309,434.0","321,217.0","324,273.0","331,171.0","342,168.0","351,264.0","358,435.0","367,549.0","372,495.0","377,462.0","386,920.0","392,051.0","402,124.0","409,873.0","419,376.0","425,146.0","432,767.0","442,531.0","447,037.0","454,141.0","461,170.0","468,806.0","476,898.0","487,205.0","498,540.0","504,233.0","510,639.0","515,726.0","523,070.0","532,220.0","539,108.0","548,214.0","556,256.0","564,007.0","574,756.0","580,847.0","587,489.0","596,214.0","608,513.0","619,248.0","631,644.0","642,031.0","653,613.0","664,458.0","672,700.0","683,091.0","689,868.0","696,885.0","704,806.0","712,592.0","722,072.0","731,814.0","743,195.0","754,396.0","762,346.0","774,090.0","786,242.0","798,922.0","812,088.0","826,569.0","838,862.0","851,674.0","866,948.0","879,766.0","894,958.0","912,517.0","928,567.0","945,946.0","962,332.0","974,035.0","984,706.0","994,211.0","998,295.0","1,005,973.0","1,017,371.0","1,022,203.0","1,028,415.0","1,048,898.0","1,060,831.0","1,078,774.0","1,095,870.0","1,113,348.0","1,137,221.0","1,155,446.0","1,172,048.0","1,187,756.0","1,207,383.0","1,226,770.0","1,244,023.0","1,257,658.0","1,267,363.0","1,276,151.0","1,289,088.0","1,311,051.0","1,332,192.0","1,354,229.0","1,372,911.0","1,390,139.0","1,399,669.0","1,405,173.0","1,413,890.0","1,417,320.0","1,421,047.0","1,422,359.0","1,423,599.0","1,431,647.0","1,450,061.0","1,465,274.0","1,476,683.0","1,488,644.0","1,496,224.0","1,503,952.0","1,515,462.0","1,526,632.0","1,543,424.0","1,554,859.0","1,573,113.0","1,589,769.0","1,605,124.0","1,621,812.0","1,638,064.0","1,651,440.0"
