"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"21","2","Net saving","W201RC1","109,483.0","107,682.0","111,809.0","103,938.0","95,008.0","94,593.0","92,851.0","83,285.0","94,046.0","95,692.0","98,780.0","100,672.0","107,211.0","106,430.0","117,290.0","136,121.0","146,036.0","149,384.0","158,500.0","175,086.0","162,293.0","144,472.0","135,719.0","129,916.0","102,299.0","94,638.0","119,221.0","126,732.0","141,772.0","143,643.0","140,732.0","135,004.0","136,027.0","170,144.0","189,433.0","189,467.0","192,953.0","221,740.0","231,260.0","246,441.0","257,725.0","247,796.0","237,655.0","227,500.0","211,720.0","186,144.0","188,794.0","231,835.0","246,896.0","242,323.0","284,815.0","266,756.0","221,298.0","233,483.0","192,322.0","127,343.0","142,221.0","147,159.0","143,435.0","202,885.0","277,672.0","286,509.0","302,403.0","294,333.0","273,044.0","259,817.0","226,762.0","229,591.0","234,297.0","197,730.0","154,016.0","156,559.0","192,269.0","207,762.0","230,437.0","266,396.0","271,284.0","297,058.0","310,698.0","311,833.0","335,549.0","280,072.0","260,555.0","233,791.0","239,305.0","258,834.0","217,079.0","207,756.0","288,479.0","220,647.0","191,185.0","206,921.0","214,124.0","223,645.0","166,253.0","167,692.0","149,510.0","175,749.0","138,081.0","193,686.0","202,920.0","254,929.0","248,875.0","267,537.0","300,494.0","281,069.0","308,044.0","337,456.0","366,441.0","394,166.0","416,308.0","444,330.0","487,612.0","539,645.0","571,954.0","575,179.0","630,084.0","617,403.0","641,057.0","599,914.0","675,334.0","601,665.0","561,963.0","570,171.0","659,268.0","615,288.0","614,193.0","531,301.0","573,089.0","528,964.0","430,888.0","324,232.0","369,883.0","340,857.0","294,500.0","308,198.0","239,809.0","259,068.0","249,511.0","303,864.0","287,566.0","330,870.0","367,161.0","276,746.0","341,125.0","325,772.0","327,313.0","411,456.0","580,803.0","521,363.0","478,127.0","460,639.0","335,547.0","314,550.0","180,262.0","115,583.0","42,835.0","-70,201.0","-128,406.0","-202,064.0","-274,729.0","-336,836.0","-361,457.0","-210,360.0","-241,030.0","-177,025.0","-40,266.0","-45,979.0","-102,560.0","-87,794.0","18,827.0","111,267.0","264,426.0","274,439.0","247,226.0","395,388.0","344,571.0","410,193.0","434,554.0","437,993.0","302,146.0","425,855.0","470,151.0","....."
"22","3","  Net private saving","W202RC1","103,568.0","105,275.0","115,887.0","112,191.0","112,961.0","123,497.0","129,397.0","127,083.0","139,594.0","147,576.0","150,286.0","152,695.0","150,502.0","146,617.0","155,385.0","176,418.0","173,643.0","180,388.0","186,373.0","200,790.0","192,214.0","178,503.0","169,085.0","185,914.0","184,950.0","232,990.0","213,484.0","221,634.0","222,677.0","218,001.0","217,882.0","210,813.0","202,917.0","229,263.0","251,721.0","255,031.0","259,232.0","262,537.0","273,666.0","282,483.0","288,683.0","279,250.0","273,209.0","274,811.0","268,364.0","271,583.0","284,889.0","317,148.0","310,307.0","313,307.0","363,105.0","380,787.0","357,958.0","376,958.0","373,740.0","344,702.0","359,937.0","348,765.0","354,555.0","387,371.0","438,312.0","451,848.0","479,507.0","476,903.0","418,219.0","455,149.0","403,343.0","413,916.0","410,195.0","402,472.0","361,683.0","337,171.0","379,939.0","329,797.0","372,263.0","419,239.0","420,723.0","439,468.0","440,669.0","451,434.0","453,348.0","424,666.0","416,880.0","411,942.0","432,077.0","463,936.0","421,726.0","434,723.0","493,466.0","489,747.0","483,514.0","525,719.0","570,257.0","591,053.0","553,296.0","537,773.0","538,092.0","522,200.0","494,513.0","498,329.0","498,938.0","521,355.0","523,749.0","552,821.0","583,966.0","567,145.0","585,203.0","580,292.0","605,353.0","590,932.0","596,244.0","592,555.0","613,140.0","644,705.0","634,201.0","640,290.0","638,767.0","615,177.0","605,154.0","556,873.0","615,705.0","534,991.0","481,694.0","473,272.0","461,072.0","446,714.0","453,954.0","392,631.0","467,790.0","489,713.0","637,581.0","465,430.0","715,207.0","730,650.0","687,492.0","745,737.0","728,055.0","797,622.0","829,017.0","794,698.0","843,787.0","855,633.0","849,420.0","743,838.0","720,628.0","706,471.0","705,051.0","758,861.0","849,818.0","786,984.0","761,825.0","708,055.0","615,391.0","621,872.0","542,039.0","520,152.0","569,128.0","831,176.0","718,454.0","719,591.0","1,032,504.0","1,264,565.0","1,265,066.0","1,337,517.0","1,371,202.0","1,424,292.0","1,500,528.0","1,463,726.0","1,348,959.0","1,425,837.0","1,476,912.0","1,528,287.0","1,572,755.0","1,610,519.0","1,583,416.0","1,661,567.0","1,308,723.0","1,192,524.0","1,414,237.0","1,208,904.0","1,103,151.0","1,251,542.0","1,297,953.0","....."
"23","4","    Domestic business","A127RC1","38,052.0","35,780.0","34,010.0","28,960.0","25,687.0","29,558.0","28,419.0","25,054.0","33,750.0","35,214.0","38,352.0","42,502.0","45,046.0","46,322.0","49,115.0","51,657.0","55,364.0","51,734.0","54,032.0","52,908.0","48,008.0","43,461.0","33,392.0","33,942.0","41,026.0","49,472.0","59,702.0","66,810.0","72,331.0","69,859.0","69,931.0","68,023.0","72,642.0","86,586.0","97,262.0","89,802.0","89,174.0","103,652.0","107,020.0","111,825.0","104,156.0","104,266.0","101,448.0","95,905.0","78,670.0","65,542.0","66,790.0","78,197.0","84,548.0","85,507.0","95,790.0","91,750.0","78,422.0","91,247.0","87,932.0","84,969.0","99,364.0","113,353.0","118,632.0","131,271.0","144,127.0","144,486.0","151,460.0","158,101.0","153,779.0","157,562.0","168,281.0","150,522.0","130,874.0","113,865.0","100,760.0","88,576.0","98,298.0","120,247.0","135,161.0","139,211.0","143,440.0","146,011.0","136,277.0","147,592.0","117,524.0","115,128.0","115,004.0","93,141.0","104,016.0","118,598.0","87,275.0","100,776.0","137,126.0","134,553.0","128,808.0","128,415.0","143,185.0","139,909.0","128,161.0","137,012.0","126,566.0","138,188.0","153,885.0","163,938.0","181,420.0","187,083.0","197,408.0","205,290.0","199,329.0","221,207.0","239,734.0","244,642.0","261,092.0","249,265.0","242,968.0","250,902.0","269,390.0","279,042.0","294,019.0","281,132.0","202,829.0","199,783.0","202,574.0","189,505.0","241,430.0","239,732.0","213,451.0","199,582.0","153,238.0","132,774.0","130,923.0","108,772.0","144,890.0","189,103.0","180,187.0","206,486.0","284,634.0","296,248.0","312,674.0","365,048.0","345,165.0","389,128.0","392,786.0","387,463.0","445,614.0","425,452.0","456,225.0","325,358.0","466,041.0","478,932.0","494,406.0","499,889.0","479,281.0","455,711.0","461,938.0","391,633.0","274,816.0","306,236.0","253,465.0","223,693.0","160,300.0","193,686.0","258,562.0","56,846.0","362,706.0","475,399.0","651,597.0","721,888.0","791,846.0","771,974.0","850,523.0","833,252.0","621,923.0","724,812.0","756,591.0","832,112.0","751,763.0","747,543.0","783,132.0","561,107.0","728,966.0","545,671.0","761,464.0","656,022.0","477,066.0","595,915.0","669,811.0","....."
"24","5","      Undistributed corporate profits","B057RC1","35,270.0","33,251.0","31,294.0","29,931.0","27,423.0","27,438.0","28,312.0","25,622.0","31,664.0","34,212.0","38,012.0","40,427.0","43,453.0","44,197.0","46,716.0","52,464.0","63,431.0","65,553.0","66,149.0","69,869.0","74,972.0","76,743.0","81,680.0","68,696.0","56,295.0","61,358.0","77,795.0","85,219.0","90,766.0","92,639.0","93,004.0","91,239.0","101,271.0","108,847.0","113,603.0","113,411.0","117,367.0","134,678.0","138,683.0","148,307.0","148,886.0","155,137.0","158,204.0","152,196.0","149,836.0","118,142.0","126,582.0","131,431.0","131,506.0","115,354.0","116,464.0","110,795.0","90,655.0","93,134.0","88,197.0","80,464.0","81,193.0","99,358.0","107,891.0","110,658.0","116,063.0","114,360.0","104,913.0","104,273.0","91,177.0","90,692.0","94,057.0","94,862.0","54,858.0","48,669.0","46,710.0","51,119.0","61,820.0","87,816.0","98,830.0","103,684.0","111,175.0","122,127.0","114,330.0","119,596.0","105,901.0","90,887.0","75,366.0","69,294.0","76,140.0","89,203.0","93,514.0","99,403.0","106,607.0","108,514.0","111,168.0","114,565.0","125,656.0","135,202.0","115,987.0","120,582.0","115,984.0","126,204.0","132,588.0","143,585.0","160,762.0","165,059.0","178,794.0","185,746.0","196,992.0","214,193.0","213,343.0","209,324.0","218,768.0","208,183.0","192,761.0","195,262.0","199,095.0","209,055.0","222,867.0","217,039.0","131,100.0","125,803.0","122,544.0","111,111.0","148,537.0","165,761.0","159,176.0","164,392.0","121,234.0","101,994.0","91,790.0","74,225.0","120,648.0","151,930.0","108,224.0","86,251.0","119,966.0","165,308.0","216,724.0","283,695.0","278,480.0","279,247.0","297,065.0","312,056.0","386,399.0","396,567.0","429,762.0","324,981.0","629,197.0","634,829.0","674,930.0","702,691.0","665,422.0","673,393.0","674,145.0","595,271.0","488,870.0","519,144.0","451,757.0","476,139.0","335,661.0","399,804.0","388,669.0","-65,211.0","363,005.0","535,437.0","746,532.0","868,936.0","928,372.0","893,979.0","923,028.0","879,292.0","692,282.0","741,335.0","711,335.0","751,199.0","894,793.0","842,226.0","897,821.0","661,980.0","858,551.0","661,916.0","891,711.0","793,805.0","832,125.0","939,858.0","996,204.0","....."
"25","6","      Inventory valuation adjustment, corporate","B058RC1","-4,932.0","-5,220.0","-4,936.0","-8,392.0","-8,792.0","-4,580.0","-6,248.0","-6,588.0","-3,608.0","-4,668.0","-5,608.0","-4,452.0","-5,816.0","-5,848.0","-5,820.0","-8,956.0","-15,828.0","-21,052.0","-18,680.0","-22,716.0","-31,768.0","-36,744.0","-50,016.0","-34,356.0","-12,352.0","-6,980.0","-11,728.0","-11,116.0","-10,744.0","-14,900.0","-15,216.0","-15,592.0","-21,448.0","-15,324.0","-9,452.0","-16,568.0","-20,804.0","-23,200.0","-23,312.0","-27,520.0","-35,068.0","-39,984.0","-44,120.0","-41,380.0","-53,456.0","-34,028.0","-42,296.0","-38,752.0","-37,428.0","-24,308.0","-18,164.0","-18,604.0","-12,900.0","-4,744.0","-6,396.0","-5,980.0","2,248.0","-7,064.0","-15,152.0","-9,812.0","-6,592.0","-9,808.0","288.0","196.0","552.0","344.0","7,168.0","-7,980.0","19,736.0","13,924.0","5,436.0","-10,852.0","-13,876.0","-19,172.0","-15,724.0","-16,184.0","-18,304.0","-25,480.0","-26,148.0","-18,764.0","-33,740.0","-18,892.0","-432.0","-12,328.0","-3,572.0","2,020.0","-30,196.0","-19,820.0","11,436.0","8,600.0","1,376.0","-1,704.0","2,216.0","-10,596.0","-3,352.0","448.0","-6,088.0","-6,324.0","404.0","-4,076.0","-8,256.0","-10,176.0","-15,676.0","-15,636.0","-32,536.0","-28,208.0","-9,832.0","-2,560.0","2,136.0","-1,652.0","4,692.0","7,108.0","18,512.0","15,700.0","15,108.0","7,040.0","14,416.0","15,372.0","19,092.0","14,092.0","24,192.0","3,776.0","-14,508.0","-29,276.0","-25,240.0","-21,048.0","-9,084.0","-11,864.0","-18,352.0","-1,084.0","16,780.0","34,832.0","46,120.0","13,460.0","-14,372.0","-20,664.0","-18,252.0","6,076.0","-5,048.0","-21,008.0","-23,404.0","-45,208.0","-38,504.0","-50,696.0","-38,724.0","-18,444.0","-32,372.0","-38,988.0","-32,280.0","-53,976.0","-38,496.0","-17,948.0","-38,644.0","-32,236.0","-16,688.0","-70,524.0","-123,044.0","-149,880.0","-64,892.0","189,984.0","93,504.0","21,600.0","-20,240.0","-68,224.0","-40,092.0","-20,608.0","-18,068.0","-85,260.0","-143,904.0","-89,464.0","-32,560.0","-7,228.0","-32,296.0","11,304.0","-13,900.0","-3,104.0","-1,720.0","15,172.0","2,848.0","-2,972.0","-24,608.0","-12,688.0","4,004.0","....."
"26","7","      Capital consumption adjustment, corporate","A059RC1","7,714.0","7,749.0","7,652.0","7,421.0","7,056.0","6,700.0","6,355.0","6,020.0","5,694.0","5,670.0","5,948.0","6,527.0","7,409.0","7,973.0","8,219.0","8,149.0","7,761.0","7,233.0","6,563.0","5,755.0","4,804.0","3,462.0","1,728.0","-398.0","-2,917.0","-4,906.0","-6,365.0","-7,293.0","-7,691.0","-7,880.0","-7,857.0","-7,624.0","-7,181.0","-6,937.0","-6,889.0","-7,041.0","-7,389.0","-7,826.0","-8,351.0","-8,962.0","-9,662.0","-10,887.0","-12,636.0","-14,911.0","-17,710.0","-18,572.0","-17,496.0","-14,482.0","-9,530.0","-5,539.0","-2,510.0","-441.0","667.0","2,857.0","6,131.0","10,485.0","15,923.0","21,059.0","25,893.0","30,425.0","34,656.0","39,934.0","46,259.0","53,632.0","62,050.0","66,526.0","67,056.0","63,640.0","56,280.0","51,272.0","48,614.0","48,309.0","50,354.0","51,603.0","52,055.0","51,711.0","50,569.0","49,364.0","48,095.0","46,760.0","45,363.0","43,133.0","40,070.0","36,175.0","31,448.0","27,375.0","23,957.0","21,193.0","19,083.0","17,439.0","16,264.0","15,554.0","15,313.0","15,303.0","15,526.0","15,982.0","16,670.0","18,308.0","20,893.0","24,429.0","28,914.0","32,200.0","34,290.0","35,180.0","34,873.0","35,222.0","36,223.0","37,878.0","40,188.0","42,734.0","45,515.0","48,532.0","51,783.0","54,287.0","56,044.0","57,053.0","57,313.0","58,608.0","60,938.0","64,302.0","68,701.0","70,195.0","68,783.0","64,466.0","57,244.0","51,828.0","48,217.0","46,411.0","42,594.0","38,257.0","55,183.0","85,403.0","118,548.0","117,480.0","110,322.0","102,017.0","84,937.0","103,805.0","100,769.0","96,415.0","82,619.0","74,093.0","64,967.0","51,073.0","-124,432.0","-137,453.0","-148,152.0","-163,814.0","-153,861.0","-163,706.0","-173,711.0","-185,690.0","-175,410.0","-180,672.0","-181,604.0","-181,922.0","-52,317.0","-56,238.0","-65,215.0","-67,927.0","-93,803.0","-81,638.0","-74,695.0","-78,824.0","-96,434.0","-101,397.0","-54,437.0","39,220.0","73,545.0","72,941.0","77,816.0","88,141.0","-110,734.0","-105,987.0","-100,789.0","-97,769.0","-127,865.0","-131,417.0","-133,095.0","-134,811.0","-330,451.0","-331,255.0","-330,397.0","-326,318.0"
"27","8","    Households and institutions","W986RC1","65,516.0","69,495.0","81,877.0","83,231.0","87,274.0","93,939.0","100,978.0","102,029.0","105,844.0","112,362.0","111,934.0","110,193.0","105,456.0","100,295.0","106,270.0","124,761.0","118,279.0","128,654.0","132,341.0","147,882.0","144,206.0","135,042.0","135,693.0","151,972.0","143,924.0","183,518.0","153,782.0","154,824.0","150,346.0","148,142.0","147,951.0","142,790.0","130,275.0","142,677.0","154,459.0","165,229.0","170,058.0","158,885.0","166,646.0","170,658.0","184,527.0","174,984.0","171,761.0","178,906.0","189,694.0","206,041.0","218,099.0","238,951.0","225,759.0","227,800.0","267,315.0","289,037.0","279,536.0","285,711.0","285,808.0","259,733.0","260,573.0","235,412.0","235,923.0","256,100.0","294,185.0","307,362.0","328,047.0","318,802.0","264,440.0","297,587.0","235,062.0","263,394.0","279,321.0","288,607.0","260,923.0","248,595.0","281,641.0","209,550.0","237,102.0","280,028.0","277,283.0","293,457.0","304,392.0","303,842.0","335,824.0","309,538.0","301,876.0","318,801.0","328,061.0","345,338.0","334,451.0","333,947.0","356,340.0","355,194.0","354,706.0","397,304.0","427,072.0","451,144.0","425,135.0","400,761.0","411,526.0","384,012.0","340,628.0","334,391.0","317,518.0","334,272.0","326,341.0","347,531.0","384,637.0","345,938.0","345,469.0","335,650.0","344,261.0","341,667.0","353,276.0","341,653.0","343,750.0","365,663.0","340,182.0","359,158.0","435,938.0","415,394.0","402,580.0","367,368.0","374,275.0","295,259.0","268,243.0","273,690.0","307,834.0","313,940.0","323,031.0","283,859.0","322,900.0","300,610.0","457,394.0","258,944.0","430,573.0","434,402.0","374,818.0","380,689.0","382,890.0","408,494.0","436,231.0","407,235.0","398,173.0","430,181.0","393,195.0","418,480.0","254,587.0","227,539.0","210,645.0","258,972.0","370,537.0","331,273.0","299,887.0","316,422.0","340,575.0","315,636.0","288,574.0","296,459.0","408,828.0","637,490.0","459,892.0","662,745.0","669,798.0","789,166.0","613,469.0","615,629.0","579,356.0","652,318.0","650,005.0","630,474.0","727,036.0","701,025.0","720,321.0","696,175.0","820,992.0","862,976.0","800,284.0","1,100,460.0","579,757.0","646,853.0","652,773.0","552,882.0","626,085.0","655,627.0","628,142.0","613,997.0"
"28","9","      Personal saving","A071RC1","65,516.0","69,495.0","81,877.0","83,231.0","87,274.0","93,939.0","100,978.0","102,029.0","105,844.0","112,362.0","111,934.0","110,193.0","105,456.0","100,295.0","106,270.0","124,761.0","118,279.0","128,654.0","132,341.0","147,882.0","144,206.0","135,042.0","135,693.0","151,972.0","143,924.0","183,518.0","153,782.0","154,824.0","150,346.0","148,142.0","147,951.0","142,790.0","130,275.0","142,677.0","154,459.0","165,229.0","170,058.0","158,885.0","166,646.0","170,658.0","184,527.0","174,984.0","171,761.0","178,906.0","189,694.0","206,041.0","218,099.0","238,951.0","225,759.0","227,800.0","267,315.0","289,037.0","279,536.0","285,711.0","285,808.0","259,733.0","260,573.0","235,412.0","235,923.0","256,100.0","294,185.0","307,362.0","328,047.0","318,802.0","264,440.0","297,587.0","235,062.0","263,394.0","279,321.0","288,607.0","260,923.0","248,595.0","281,641.0","209,550.0","237,102.0","280,028.0","277,283.0","293,457.0","304,392.0","303,842.0","335,824.0","309,538.0","301,876.0","318,801.0","328,061.0","345,338.0","334,451.0","333,947.0","356,340.0","355,194.0","354,706.0","397,304.0","427,072.0","451,144.0","425,135.0","400,761.0","411,526.0","384,012.0","340,628.0","334,391.0","317,518.0","334,272.0","326,341.0","347,531.0","384,637.0","345,938.0","345,469.0","335,650.0","344,261.0","341,667.0","353,276.0","341,653.0","343,750.0","365,663.0","340,182.0","359,158.0","435,938.0","415,394.0","402,580.0","367,368.0","374,275.0","295,259.0","268,243.0","273,690.0","307,834.0","313,940.0","323,031.0","283,859.0","322,900.0","300,610.0","457,394.0","258,944.0","430,573.0","434,402.0","374,818.0","380,689.0","382,890.0","408,494.0","436,231.0","407,235.0","398,173.0","430,181.0","393,195.0","418,480.0","254,587.0","227,539.0","210,645.0","258,972.0","370,537.0","331,273.0","299,887.0","316,422.0","340,575.0","315,636.0","288,574.0","296,459.0","408,828.0","637,490.0","459,892.0","662,745.0","669,798.0","789,166.0","613,469.0","615,629.0","579,356.0","652,318.0","650,005.0","630,474.0","727,036.0","701,025.0","720,321.0","696,175.0","820,992.0","862,976.0","800,284.0","1,100,460.0","579,757.0","646,853.0","652,773.0","552,882.0","626,085.0","655,627.0","628,142.0","613,997.0"
"29","10","  Net government saving","A922RC1","5,915.0","2,407.0","-4,078.0","-8,253.0","-17,953.0","-28,904.0","-36,546.0","-43,798.0","-45,548.0","-51,884.0","-51,506.0","-52,023.0","-43,291.0","-40,187.0","-38,095.0","-40,297.0","-27,607.0","-31,004.0","-27,873.0","-25,704.0","-29,921.0","-34,031.0","-33,366.0","-55,998.0","-82,651.0","-138,352.0","-94,263.0","-94,902.0","-80,905.0","-74,358.0","-77,150.0","-75,809.0","-66,890.0","-59,119.0","-62,288.0","-65,564.0","-66,279.0","-40,797.0","-42,406.0","-36,042.0","-30,958.0","-31,454.0","-35,554.0","-47,311.0","-56,644.0","-85,439.0","-96,095.0","-85,313.0","-63,411.0","-70,984.0","-78,290.0","-114,031.0","-136,660.0","-143,475.0","-181,418.0","-217,359.0","-217,716.0","-201,606.0","-211,120.0","-184,486.0","-160,640.0","-165,339.0","-177,104.0","-182,570.0","-145,175.0","-195,332.0","-176,581.0","-184,325.0","-175,898.0","-204,742.0","-207,667.0","-180,612.0","-187,670.0","-122,035.0","-141,826.0","-152,843.0","-149,439.0","-142,410.0","-129,971.0","-139,601.0","-117,799.0","-144,594.0","-156,325.0","-178,151.0","-192,772.0","-205,102.0","-204,647.0","-226,967.0","-204,987.0","-269,100.0","-292,329.0","-318,798.0","-356,133.0","-367,408.0","-387,043.0","-370,081.0","-388,582.0","-346,451.0","-356,432.0","-304,643.0","-296,018.0","-266,426.0","-274,874.0","-285,284.0","-283,472.0","-286,076.0","-277,159.0","-242,836.0","-238,912.0","-196,766.0","-179,936.0","-148,225.0","-125,528.0","-105,060.0","-62,247.0","-65,111.0","-8,683.0","2,226.0","35,903.0","43,041.0","59,629.0","66,674.0","80,269.0","96,899.0","198,196.0","168,574.0","160,239.0","138,670.0","105,299.0","39,251.0","-206,693.0","-141,198.0","-345,324.0","-389,793.0","-392,992.0","-437,539.0","-488,246.0","-538,554.0","-579,506.0","-490,834.0","-556,221.0","-524,763.0","-482,259.0","-467,092.0","-379,503.0","-380,699.0","-377,738.0","-347,405.0","-269,015.0","-265,621.0","-283,698.0","-247,416.0","-279,844.0","-307,322.0","-361,777.0","-404,569.0","-526,293.0","-901,377.0","-846,860.0","-921,655.0","-1,307,233.0","-1,601,401.0","-1,626,523.0","-1,547,877.0","-1,612,232.0","-1,601,317.0","-1,540,794.0","-1,509,705.0","-1,451,519.0","-1,513,631.0","-1,458,085.0","-1,417,020.0","-1,308,329.0","-1,336,080.0","-1,336,190.0","-1,266,179.0","-964,152.0","-782,331.0","-979,683.0","-770,911.0","-801,005.0","-825,687.0","-827,802.0","....."
"30","11","    Federal","A923RC1","2,239.0","-1,493.0","-8,630.0","-12,548.0","-22,249.0","-32,608.0","-39,509.0","-44,680.0","-45,502.0","-52,407.0","-51,708.0","-53,677.0","-45,671.0","-51,389.0","-40,656.0","-57,828.0","-40,046.0","-40,751.0","-36,590.0","-33,369.0","-35,302.0","-37,860.0","-36,164.0","-53,258.0","-75,137.0","-132,418.0","-89,702.0","-90,651.0","-80,756.0","-76,173.0","-79,490.0","-82,997.0","-72,187.0","-66,335.0","-73,122.0","-75,984.0","-78,157.0","-58,895.0","-53,082.0","-49,165.0","-39,613.0","-39,238.0","-44,846.0","-54,379.0","-63,516.0","-87,403.0","-100,347.0","-93,740.0","-71,824.0","-75,568.0","-82,585.0","-113,286.0","-133,183.0","-139,326.0","-175,824.0","-210,174.0","-206,953.0","-200,837.0","-217,340.0","-194,904.0","-179,758.0","-189,014.0","-195,355.0","-205,224.0","-167,799.0","-217,125.0","-196,065.0","-201,468.0","-201,455.0","-224,161.0","-229,927.0","-195,100.0","-194,724.0","-141,553.0","-153,335.0","-163,058.0","-163,821.0","-155,754.0","-151,191.0","-158,605.0","-136,311.0","-158,223.0","-163,541.0","-168,497.0","-195,282.0","-201,709.0","-196,744.0","-209,943.0","-184,115.0","-244,056.0","-269,289.0","-287,371.0","-324,713.0","-331,407.0","-343,930.0","-330,572.0","-340,600.0","-305,993.0","-317,187.0","-283,457.0","-266,493.0","-236,810.0","-254,595.0","-256,835.0","-254,088.0","-241,755.0","-245,213.0","-222,303.0","-223,108.0","-179,858.0","-169,636.0","-141,420.0","-120,694.0","-102,495.0","-68,700.0","-72,770.0","-22,620.0","-8,755.0","21,696.0","20,551.0","47,466.0","62,757.0","71,537.0","84,788.0","176,161.0","146,367.0","153,696.0","149,820.0","129,972.0","92,783.0","-130,188.0","-34,748.0","-228,004.0","-266,475.0","-276,863.0","-310,598.0","-333,395.0","-401,809.0","-472,463.0","-403,841.0","-441,039.0","-402,182.0","-373,117.0","-380,539.0","-312,922.0","-310,020.0","-307,873.0","-288,125.0","-242,530.0","-244,278.0","-234,015.0","-187,297.0","-213,831.0","-251,925.0","-286,903.0","-309,932.0","-409,043.0","-780,501.0","-663,633.0","-682,785.0","-1,040,119.0","-1,334,713.0","-1,340,934.0","-1,279,612.0","-1,351,915.0","-1,338,378.0","-1,319,221.0","-1,305,335.0","-1,236,402.0","-1,313,171.0","-1,231,223.0","-1,195,771.0","-1,073,190.0","-1,098,048.0","-1,102,236.0","-1,043,083.0","-746,135.0","-561,199.0","-749,819.0","-539,357.0","-560,096.0","-598,566.0","-611,027.0","....."
"31","12","    State and local","A924RC1","3,676.0","3,900.0","4,552.0","4,295.0","4,296.0","3,704.0","2,963.0","882.0","-46.0","523.0","202.0","1,654.0","2,380.0","11,202.0","2,561.0","17,531.0","12,439.0","9,747.0","8,717.0","7,665.0","5,381.0","3,829.0","2,798.0","-2,740.0","-7,514.0","-5,934.0","-4,561.0","-4,251.0","-149.0","1,815.0","2,340.0","7,188.0","5,297.0","7,216.0","10,834.0","10,420.0","11,878.0","18,098.0","10,676.0","13,123.0","8,655.0","7,784.0","9,292.0","7,068.0","6,872.0","1,964.0","4,252.0","8,427.0","8,413.0","4,584.0","4,295.0","-745.0","-3,477.0","-4,149.0","-5,594.0","-7,185.0","-10,763.0","-769.0","6,220.0","10,418.0","19,118.0","23,675.0","18,251.0","22,654.0","22,624.0","21,793.0","19,484.0","17,143.0","25,557.0","19,419.0","22,260.0","14,488.0","7,054.0","19,518.0","11,509.0","10,215.0","14,382.0","13,344.0","21,220.0","19,004.0","18,512.0","13,629.0","7,216.0","-9,654.0","2,510.0","-3,393.0","-7,903.0","-17,024.0","-20,872.0","-25,044.0","-23,040.0","-31,427.0","-31,420.0","-36,001.0","-43,113.0","-39,509.0","-47,982.0","-40,458.0","-39,245.0","-21,186.0","-29,525.0","-29,616.0","-20,279.0","-28,449.0","-29,384.0","-44,321.0","-31,946.0","-20,533.0","-15,804.0","-16,908.0","-10,300.0","-6,805.0","-4,834.0","-2,565.0","6,453.0","7,659.0","13,937.0","10,981.0","14,207.0","22,490.0","12,163.0","3,917.0","8,732.0","12,111.0","22,035.0","22,207.0","6,543.0","-11,150.0","-24,673.0","-53,532.0","-76,505.0","-106,450.0","-117,320.0","-123,318.0","-116,129.0","-126,941.0","-154,851.0","-136,745.0","-107,043.0","-86,993.0","-115,182.0","-122,581.0","-109,142.0","-86,553.0","-66,581.0","-70,679.0","-69,865.0","-59,280.0","-26,485.0","-21,343.0","-49,683.0","-60,119.0","-66,013.0","-55,397.0","-74,874.0","-94,637.0","-117,250.0","-120,876.0","-183,227.0","-238,870.0","-267,114.0","-266,688.0","-285,589.0","-268,265.0","-260,317.0","-262,939.0","-221,573.0","-204,370.0","-215,117.0","-200,460.0","-226,862.0","-221,249.0","-235,139.0","-238,032.0","-233,954.0","-223,096.0","-218,017.0","-221,132.0","-229,864.0","-231,554.0","-240,909.0","-227,121.0","-216,775.0","....."
