"","Table 2#5#3 Real Personal Consumption Expenditures by Function, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2009 9:57:56 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Personal consumption expenditures","DPCERA3",8.352,7.904,7.657,6.97,6.816,7.302,7.748,8.537,8.853,8.71,9.197,9.673,10.359,10.114,10.397,10.693,11.355,12.767,13.012,13.305,13.674,14.551,14.78,15.246,15.974,16.31,17.513,18.026,18.473,18.634,19.692,20.233,20.65,21.671,22.564,23.908,25.42,26.862,27.667,29.263,30.359,31.071,32.255,34.239,35.935,35.637,36.445,38.475,40.094,41.862,42.857,42.705,43.353,43.958,46.471,48.935,51.484,53.572,55.225,57.451,59.075,60.281,60.371,62.43,64.647,67.115,68.931,71.336,73.97,77.849,82.106,86.27,88.603,90.962,93.52,96.754,100,102.886,105.612,105.351
"9","2","Household consumption expenditures \1\","DPHCRA3",8.563,8.089,7.828,7.124,6.977,7.493,7.961,8.782,9.116,8.96,9.467,9.955,10.671,10.408,10.689,10.986,11.675,13.143,13.414,13.717,14.101,15.015,15.256,15.722,16.476,16.817,18.071,18.587,19.049,19.203,20.265,20.794,21.221,22.277,23.197,24.56,26.121,27.61,28.427,30.062,31.199,31.915,33.122,35.159,36.926,36.627,37.469,39.555,41.238,43.05,44.065,43.869,44.483,44.988,47.483,49.912,52.487,54.526,56.163,58.311,59.833,60.845,60.771,62.642,64.809,67.222,69.013,71.382,74.188,78.011,82.247,86.364,88.593,90.797,93.298,96.625,100,102.711,105.395,104.882
"10","3","  Food and beverages purchased for off-premises consumption","DFXARA3",21.3,20.77,20.654,19.151,20.005,21.955,23.11,26.277,27.003,27.574,27.928,29.102,30.08,29.942,29.168,30.431,32.078,35.94,35.944,35.651,35.823,36.577,36.778,37.781,39.218,40.268,42.211,43.611,44.65,44.837,46.691,47.025,47.68,47.996,48.389,50.037,52.542,54.593,55.841,58.317,59.925,61.6,62.333,63.577,62.47,61.21,62.314,65.369,66.336,66.047,66.966,67.655,67.426,68.734,70.471,71.888,74.01,75.521,75.038,77.02,77.981,79.597,79.497,79.188,79.834,82.059,82.482,83.31,84.036,85.043,88.326,90.314,91.368,91.581,93.593,96.122,100,103.192,105.363,105.371
"11","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRA3",25.383,24.69,24.371,22.423,22.847,22.087,22.541,25.327,26.074,27.301,27.612,29.033,29.891,29.355,28.16,29.686,31.321,35.76,35.965,36.46,36.944,37.649,38.162,39.491,41.214,42.731,45.04,46.699,48.214,48.498,50.508,51,51.784,51.929,52.259,54.078,57.006,59.202,60.579,63.007,64.294,65.624,65.767,66.666,64.816,62.847,64.025,67.243,67.831,67.38,68.082,68.596,68.179,69.477,71.267,72.993,75.056,76.606,76.28,78.518,79.447,80.837,81.652,81.967,82.467,84.443,84.606,85.091,85.532,86.272,89.538,91.152,92.089,92.291,94.286,96.455,100,102.527,104.389,104.208
"12","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRA3",NA,NA,NA,NA,1.135,9.785,13.374,17.138,17.752,16.152,16.373,16.8,18.324,19.521,19.524,20.413,21.663,23.197,23.633,20.898,20.523,21.586,20.834,20.694,21.425,20.805,21.392,21.883,21.549,21.611,22.848,22.977,23.168,24.58,25.327,26.343,27.305,28.829,29.649,32.309,35.3,38.217,41.548,44.171,46.684,48.516,49.436,51.509,54.673,55.908,58.382,60.286,61.229,62.834,64.299,64.037,66.554,67.919,66.877,67.389,68.694,71.833,66.365,62.601,64.115,67.721,69.679,72.557,75.027,77.593,81.014,85.263,87.062,87.306,89.47,94.156,100,107.108,111.213,112.402
"13","6","    Food produced and consumed on farms","DFFDRA3",2494.487,2488.001,2649.447,2636.834,2849.453,2721.161,2518.632,2570.526,2559.354,2591.067,2658.096,2602.599,2483.316,2442.594,2597.914,2460.252,2531.606,2600.797,2335.564,2242.588,2095.917,2049.429,1978.076,1928.705,1803.656,1747.799,1686.536,1627.075,1474.277,1399.681,1354.908,1224.904,1196.23,1052.645,1005.499,942.504,829.93,764.906,710.984,657.331,609.16,638.109,602.996,612.377,585.931,700.952,650.642,664.848,648.882,530.489,489.415,466.065,461.367,416.578,408.539,380.478,369.862,352.689,267.835,259.469,226.079,199.578,197.483,194.524,178.924,182.336,171.178,158.455,138.663,143.647,137.533,118.369,99.755,110.571,95.416,90.594,100,125.197,107.999,106.345
"14","7","  Clothing, footwear, and related services","DCAFRA3",12,10.826,10.517,9.233,8.322,8.823,9.551,10.43,10.404,10.5,11.26,11.685,12.641,13.216,14.499,14.12,14.662,15.175,14.571,14.696,14.722,15.033,14.938,15.673,15.824,15.855,16.54,16.92,16.786,16.878,17.694,17.808,18.089,18.828,19.13,20.5,21.324,22.607,22.724,23.565,23.957,23.612,24.377,26.003,27.621,26.943,27.469,28.588,30.007,32.908,34.571,35.426,37.394,37.838,40.367,43.621,45.493,48.786,50.617,52.291,55.053,54.754,54.569,57.358,59.615,62.789,65.359,68.374,70.776,74.981,79.732,83.407,83.956,86.214,90.459,94.524,100,104.876,109.257,108.757
"15","8","    Clothing","DCLTRA3",11.078,10.063,9.697,8.274,7.457,7.822,8.632,9.409,9.258,9.382,10.231,10.651,11.524,12.023,13.517,13.171,13.564,13.859,13.414,13.621,13.6,13.807,13.993,14.796,14.928,15.006,15.576,16.011,15.911,15.873,16.731,16.848,17.15,17.897,18.261,19.574,20.429,21.716,21.815,22.55,22.836,22.671,23.489,25.068,26.639,26.138,26.735,27.895,29.277,32.052,33.654,34.577,36.46,37.191,39.731,43.155,44.933,48.157,49.972,51.732,54.378,53.861,53.92,56.919,59.197,62.19,64.67,67.521,69.939,74.021,78.507,82.169,82.838,85.368,89.791,94.03,100,104.93,109.609,109.25
