"","Table 6#3D# Wage and Salary Accruals by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2009 5:56:01 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Wage and salary accruals","A034RC0",4180916,4465176,4827698,4952202,4997306,5154598,5410691,5705982,6070143,6402635,6540849
"9","2","Domestic industries","A4102C0",4185479,4470389,4832388,4957417,5002880,5160302,5416839,5712389,6076756,6409735,6548174
"10","3","  Private industries","A4103C0",3484241,3736700,4052677,4135533,4129767,4246977,4464031,4720900,5041605,5320634,5406904
"11","4","    Agriculture, forestry, fishing, and hunting","N4104C0",24232,24820,25910,26622,26796,26754,28639,29659,32609,33231,34301
"12","5","      Farms \1\","N4105C0",15883,16169,16974,17926,17919,17586,19109,19597,20005,20033,20721
"13","6","      Forestry, fishing, and related activities","N4106C0",8349,8651,8937,8697,8876,9168,9530,10062,12604,13198,13580
"14","7","    Mining","N4107C0",29233,28583,29602,32010,30718,31260,34856,40228,48049,53842,62277
"15","8","      Oil and gas extraction","N4108C0",10151,10115,10850,11502,11306,11505,13078,14548,17407,19047,23153
"16","9","      Mining, except oil and gas","N4109C0",11091,10961,10583,10779,10397,10248,10964,11974,13048,13513,14234
"17","10","      Support activities for mining","N4110C0",7992,7507,8169,9729,9015,9507,10814,13707,17594,21282,24889
"18","11","    Utilities","N4111C0",34761,35914,38359,39739,39868,39378,40998,41920,43603,46064,47833
"19","12","    Construction","N4112C0",211424,233394,256775,272368,274383,282328,294818,323143,356631,372275,367953
"20","13","    Manufacturing","N4113C0",679708,705954,744582,712816,679631,673720,693088,710377,738674,753539,741984
"21","14","      Durable goods","N4114C0",447448,467616,498775,472964,444026,438195,454442,468568,493143,502214,492031
"22","15","        Wood products","N4115C0",16929,17865,18270,17442,17406,17399,18745,19773,19921,18794,16741
"23","16","        Nonmetallic mineral products","N4116C0",19215,20159,21412,21185,20902,20752,21525,22596,23699,23823,22241
"24","17","        Primary metals","N4117C0",27084,27399,27914,25752,23474,22944,24028,24508,25762,26028,26116
"25","18","        Fabricated metal products","N4118C0",61278,62441,65507,63437,60368,59447,62477,65466,69769,72932,74351
"26","19","        Machinery","N4119C0",62917,63273,66465,62384,57305,56072,58551,61260,64931,67795,68896
"27","20","        Computer and electronic products","N4120C0",98471,106999,125221,114292,98802,95042,97688,101706,107969,110201,106599
"28","21","        Electrical equipment, appliance, and components","N4121C0",21239,22255,23456,22621,20833,20385,20840,20920,21961,22545,23072
"29","22","        Motor vehicles, bodies and trailers, and parts","N4122C0",57443,61879,63557,58544,58878,60047,60504,59163,59698,57142,50090
"30","23","        Other transportation equipment","N4123C0",39739,40039,39455,40377,39887,39516,41773,44216,48587,51016,53125
"31","24","        Furniture and related products","N4124C0",17713,18865,19829,19136,18562,18322,18950,19230,19756,19498,18144
"32","25","        Miscellaneous manufacturing","N4125C0",25420,26441,27690,27793,27609,28268,29361,29730,31089,32440,32658
"33","26","      Nondurable goods","N4126C0",232260,238338,245807,239852,235605,235525,238646,241809,245531,251325,249952
"34","27","        Food and beverage and tobacco products","N4127C0",53854,56156,58603,59794,60593,61799,62505,63535,65417,67896,69669
"35","28","        Textile mills and textile product mills","N4129C0",17308,17094,17070,15458,14701,13780,13488,12759,12164,11669,10770
"36","29","        Apparel and leather and allied products","N4130C0",14734,13622,13054,11728,10457,9762,9604,9131,8921,8561,8294
"37","30","        Paper products","N4132C0",26364,26955,27388,26580,25974,25597,25328,25213,25241,25339,25004
"38","31","        Printing and related support activities","N4133C0",28224,28899,29636,28427,27051,26387,26694,26772,27296,27514,26444
"39","32","        Petroleum and coal products","N4134C0",7224,7504,7452,7604,7684,7832,8293,9072,9699,10702,10835
"40","33","        Chemical products","N4135C0",54050,55951,59195,58508,57561,58977,60675,62884,63565,66895,66839
"41","34","        Plastics and rubber products","N4136C0",30503,32157,33408,31752,31584,31390,32059,32444,33229,32750,32097
"42","35","    Wholesale trade","N4137C0",241156,259550,282285,284855,282241,289700,307256,325119,349582,371780,376745
"43","36","      Durable goods","N4138C0",149887,162697,177518,176280,171183,174032,184816,196359,211869,225037,227041
"44","37","      Nondurable goods","N4139C0",91269,96853,104767,108575,111057,115668,122439,128760,137713,146743,149705
"45","38","    Retail trade","N4140C0",301780,322360,345443,354109,359328,367356,380488,393625,408389,421686,417374
"46","39","      Motor vehicle and parts dealers","N4141C0",58470,63406,67262,70327,72426,73861,75896,78251,80087,81314,76404
"47","40","      Food and beverage stores","N4142C0",50620,52656,55263,56916,57631,58410,59071,59455,61134,63466,65630
"48","41","      General merchandise stores","N4143C0",40810,42901,46486,48247,50317,53103,55152,58021,60591,63325,64565
"49","42","      Other retail \2\","N4144C0",151879,163397,176433,178618,178955,181982,190368,197899,206578,213581,210775
"50","43","    Transportation and warehousing","N4145C0",145915,154753,164611,167412,165098,166849,176601,183949,194415,205128,206346
"51","44","      Air transportation","N4146C0",26030,28047,30513,32831,31064,28911,28805,27111,27274,29631,29163
"52","45","      Rail transportation","N4147C0",12687,12706,12524,12215,11971,12265,12955,13720,14416,14884,14747
"53","46","      Water transportation","N4148C0",2526,2617,2666,2828,2896,2974,3257,3619,3942,4413,4693
"54","47","      Truck transportation","N4149C0",44328,46895,49337,49364,48870,49701,53250,56744,60267,62149,61395
"55","48","      Transit and ground passenger transportation","N4150C0",7997,8588,8876,8985,9210,9454,9925,10381,11281,11867,12507
"56","49","      Pipeline transportation","N4151C0",3090,3227,4239,4232,3274,3186,3172,3185,3593,4063,4082
"57","50","      Other transportation and support activities \3\","N4152C0",35001,37569,40085,40215,40266,41682,44591,46853,49754,52333,53277
"58","51","      Warehousing and storage","N4153C0",14256,15104,16370,16742,17545,18676,20646,22336,23888,25788,26482
"59","52","    Information","N4154C0",160847,187961,213399,209312,190213,186299,192337,195325,204232,213921,215147
"60","53","      Publishing industries (includes software)","N4155C0",51948,60544,66097,63817,58229,58314,58301,60192,64220,71859,72243
"61","54","      Motion picture and sound recording industries","N4156C0",16622,16635,17667,19184,18341,18328,19862,20213,20860,21547,22379
"62","55","      Broadcasting and telecommunications","N4157C0",72063,84296,93666,92076,85578,82662,85275,84989,87094,95340,95317
"63","56","      Information and data processing services","N4158C0",20215,26486,35968,34236,28066,26995,28899,29931,32059,25174,25208
"64","57","    Finance and insurance","N4159C0",295161,319773,348852,375057,371066,393620,420023,454521,492371,521318,513586
"65","58","      Federal Reserve banks, credit intermediation, and related activities","N4160C0",105041,110618,113878,127128,134961,150217,156778,167745,174237,178293,168028
"66","59","      Securities, commodity contracts, and investments","N4161C0",83841,97158,117145,124516,109468,108541,119021,136515,158023,176115,176524
"67","60","      Insurance carriers and related activities","N4162C0",101631,106749,111663,117634,120888,128887,136887,142522,151900,158325,160652
"68","61","      Funds, trusts, and other financial vehicles","N4163C0",4648,5248,6165,5779,5749,5975,7336,7739,8211,8586,8383
"69","62","    Real estate and rental and leasing","N4164C0",58180,62607,67859,70279,72400,75592,81648,87571,95024,97877,95734
"70","63","      Real estate","N4165C0",39990,43260,46851,48861,51289,54167,59074,63950,69664,71311,69559
"71","64","      Rental and leasing services and lessors of intangible assets \4\","N4166C0",18190,19347,21008,21419,21110,21425,22574,23620,25360,26566,26174
"72","65","    Professional, scientific, and technical services","N4167C0",315400,352515,404283,412697,401947,410003,437094,473747,519882,564603,595749
"73","66","      Legal services","N4168C0",55594,59007,64484,68962,72091,76198,80091,83584,88053,92947,95768
"74","67","      Computer systems design and related services","N4169C0",67810,82305,100617,97953,86093,84719,90873,98030,109409,122354,130307
