"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2009 9:56:38 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Personal consumption expenditures","DPCERA3",8.352,7.904,7.657,6.97,6.816,7.302,7.748,8.537,8.853,8.71,9.197,9.673,10.359,10.114,10.397,10.693,11.355,12.767,13.012,13.305,13.674,14.551,14.78,15.246,15.974,16.31,17.513,18.026,18.473,18.634,19.692,20.233,20.65,21.671,22.564,23.908,25.42,26.862,27.667,29.263,30.359,31.071,32.255,34.239,35.935,35.637,36.445,38.475,40.094,41.862,42.857,42.705,43.353,43.958,46.471,48.935,51.484,53.572,55.225,57.451,59.075,60.281,60.371,62.43,64.647,67.115,68.931,71.336,73.97,77.849,82.106,86.27,88.603,90.962,93.52,96.754,100,102.886,105.612,105.351
"9","2","Goods","DGDSRA3",8.744,8.052,7.759,6.851,6.8,7.422,8.031,9.099,9.37,9.161,9.795,10.403,11.229,10.364,10.263,10.34,11.046,13.089,13.469,13.74,14.153,15.249,15.068,15.406,16.204,16.377,17.885,18.153,18.465,18.276,19.425,19.767,19.892,20.915,21.75,23.047,24.679,26.245,26.758,28.415,29.283,29.514,30.749,32.76,34.457,33.2,33.425,35.766,37.301,38.842,39.464,38.464,38.919,39.19,41.684,44.688,47.039,49.67,50.564,52.442,53.766,54.099,53.025,54.696,56.969,59.973,61.765,64.53,67.607,72.175,77.924,82.034,84.611,88.05,92.06,96.141,100,103.251,106.499,104.296
"10","3","  Durable goods","DDURRA3",3.123,2.586,2.234,1.698,1.654,1.893,2.291,2.799,2.945,2.441,2.892,3.31,3.819,2.424,2.176,2.006,2.229,4.026,4.722,5.032,5.441,6.597,6.048,5.917,6.608,6.579,7.983,7.685,7.755,7.164,8.008,8.17,7.896,8.798,9.608,10.505,11.807,12.787,12.977,14.418,14.957,14.561,16.024,18.015,19.899,18.623,18.667,20.993,22.848,24.047,23.926,22.02,22.24,22.203,25.374,28.998,31.899,34.959,35.641,37.683,38.51,38.344,36.277,38.361,41.236,44.524,46.282,49.736,53.797,60.352,68.185,74.167,78.193,84.13,89.203,95.073,100,104.064,108.543,103.692
"11","4","    Motor vehicles and parts","DMOTRA3",6.807,4.736,3.695,2.363,2.816,3.504,4.854,5.994,6.091,3.94,5.368,6.764,7.689,1.232,1.265,1.17,1.449,4.882,7.078,7.998,10.252,13.256,11.185,10.071,12.522,11.942,16.351,13.917,14.567,12.061,14.373,15.265,13.738,16.312,18.349,19.369,22.437,22.805,22.253,25.736,26.677,23.883,28.517,32.48,35.603,29.717,29.559,35.559,39.325,41.097,38.645,33.687,34.448,35.363,42.16,49.072,55.414,59.461,57.061,60.367,60.246,59.286,52.218,56.508,59.654,63.382,62.398,65.424,69.849,77.153,84.254,86.935,91.378,96.189,98.934,100.408,100,96.823,98.225,84.82
"12","5","      New motor vehicles (55)","DNMVRA3",5.847,3.816,2.769,1.615,2.201,2.773,4.154,5.269,5.343,3.124,4.402,5.701,6.342,0.255,0.257,0.084,0.08,4.118,7.016,7.948,10.844,14.345,11.631,9.792,13.381,12.85,18.152,14.525,14.905,11.158,14.44,15.536,13.367,16.773,19.399,20.658,24.709,24.981,23.67,28.379,28.858,24.5,30.643,35.555,39.12,30.335,30.358,38.559,43.869,45.812,41.626,34.157,35.098,36.711,46.143,53.929,61.689,67.266,62.773,66.308,65.351,61.846,49.905,54.59,58.159,61.077,58.117,59.14,62.299,69.243,77.278,81.49,89.444,96.275,100.912,101.921,100,94.24,95.336,76.55
"13","6","      Net purchases of used motor vehicles (56)","DNPVRA3",9.194,7.459,5.426,3.733,4.149,5.169,6.923,9.112,9.514,7.01,8.566,9.256,10.099,9.377,8.284,7.732,7.332,5.919,9.679,14.005,18.011,20.898,22.269,24.185,21.054,18.328,21.623,22.696,24.93,26.109,23,22.568,21.719,21.23,22.007,21.82,23.626,23.635,25.286,25.306,26.522,25.078,25.339,26.772,27.249,25.956,25.203,28.603,28.925,29.518,29.383,28.601,28.001,26.862,27.683,34.565,40.093,42.306,43.813,45.893,47.682,51.279,54.177,58.882,59.634,63.917,65.759,72.477,80.02,90.401,96.538,96.287,95.965,98.533,97.169,98.797,100,100.629,103.164,97.677
"14","7","      Motor vehicle parts and accessories (58)","DMVPRA3",3.601,3.124,3.025,2.382,2.082,2.499,2.636,2.866,2.934,2.751,3.39,3.919,4.906,1.928,2.262,2.593,3.759,7.836,7.53,7.01,6.498,8.034,6.936,7.53,6.834,6.298,7.54,8.161,9.211,9.873,11.159,12.013,12.782,14.026,14.715,15.804,16.228,17.349,17.996,20.014,22.706,24.415,27.606,30.759,35.105,35.134,34.858,35.967,38.171,40.835,42.157,41.624,43.256,44.073,49.105,52.634,54.255,54.558,55.032,59.556,59.768,62.404,60.862,62.476,68.088,75.012,78.362,83.554,87.32,88.832,92.866,94.16,90.74,90.083,92.669,96.25,100,101.139,101.53,96.385
"15","8","    Furnishings and durable household equipment","DFDHRA3",5.809,4.805,4.683,3.868,3.629,3.941,4.469,5.517,5.708,5.161,5.778,6.332,7.343,6.087,4.814,4.264,4.625,7.821,9.092,9.621,9.409,10.845,10.312,10.27,10.582,10.582,11.925,12.506,12.268,12.115,12.903,12.713,12.791,13.508,14.394,16.026,17.075,18.56,18.982,20.123,20.546,20.519,21.437,23.663,26.179,26.075,24.715,26.232,28.615,30.12,31.355,30.15,29.572,28.26,30.677,33.753,35.562,38.477,40.106,41.57,43.69,43.093,42.085,43.519,45.755,48.196,50.412,52.596,55.06,59.601,66.511,72.925,76.633,82.219,87.394,94.474,100,105.326,107.476,104.398
