"","Table 6#6D# Wage and Salary Accruals Per Full-Time Equivalent Em","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Dollars]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2009 5:57:11 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Wage and salary accruals per full-time equivalent employee","A4401C0",35504,37108,39243,40201,40957,42450,44152,45729,47780,49844,51108
"9","2","Domestic industries","A4402C0",35422,37016,39157,40068,40819,42291,43977,45537,47575,49619,50868
"10","3","  Private industries","A4403C0",35032,36661,38862,39647,40204,41577,43207,44717,46777,48828,49935
"11","4","    Agriculture, forestry, fishing, and hunting","N4404C0",20658,20712,22154,23809,24183,23877,26875,28600,29079,29521,30769
"12","5","      Farms \1\","N4405C0",21652,20888,22574,23960,23992,23180,27049,29316,31051,31167,33054
"13","6","      Forestry, fishing, and related activities","N4406C0",18998,20390,21398,23505,24579,25338,26533,27301,26417,27329,27834
"14","7","    Mining","N4407C0",52346,54933,57983,60763,61242,63535,68014,73161,79354,83212,88558
"15","8","      Oil and gas extraction","N4408C0",73752,79566,88496,93826,93910,97440,109436,117479,131482,133023,145963
"16","9","      Mining, except oil and gas","N4409C0",45959,47543,48437,49634,50119,52018,54356,57102,60054,62237,64448
"17","10","      Support activities for mining","N4410C0",44520,46155,48213,52014,51887,53734,56537,63359,68768,74221,76880
"18","11","    Utilities","N4411C0",58138,60459,64742,67173,68771,70492,74093,77409,80338,84570,86306
"19","12","    Construction","N4412C0",35138,36612,38563,39897,40603,41745,41878,43948,46611,48817,51189
"20","13","    Manufacturing","N4413C0",39412,41402,43933,44216,45382,47393,49423,50909,53152,55345,56409
"21","14","      Durable goods","N4414C0",41502,43746,46559,46493,47563,49710,51828,53124,55803,57977,59020
"22","15","        Wood products","N4415C0",28407,29115,30350,31125,31625,32868,34570,36003,36294,37072,37603
"23","16","        Nonmetallic mineral products","N4416C0",36117,37450,38987,39708,41005,42331,43710,45741,46940,47984,48776
"24","17","        Primary metals","N4417C0",42578,44384,45714,46186,47047,49115,52302,53287,56249,58373,60127
"25","18","        Fabricated metal products","N4418C0",35545,36350,37748,38512,39613,40917,42633,43660,45822,47734,49406
"26","19","        Machinery","N4419C0",42561,44046,46577,46359,47564,49570,52247,53650,56016,58018,58977
"27","20","        Computer and electronic products","N4420C0",54494,61784,70397,65992,66821,71258,75204,78666,83932,87649,86458
"28","21","        Electrical equipment, appliances, and components","N4421C0",36213,38555,40204,41280,42558,44861,47611,48883,51299,53451,55656
"29","22","        Motor vehicles, bodies and trailers, and parts","N4422C0",45657,47596,48846,48671,51347,54195,54606,54026,56385,58058,57272
"30","23","        Other transportation equipment","N4423C0",49626,51569,53341,56070,59080,61421,64276,65931,70596,72053,73464
"31","24","        Furniture and related products","N4424C0",27648,28490,29571,30318,31359,32788,33862,34770,36077,37538,38525
"32","25","        Miscellaneous manufacturing","N4425C0",35209,36827,38724,40029,41463,43758,46320,46725,48992,51837,53369
"33","26","      Nondurable goods","N4426C0",35927,37462,39423,40322,41771,43611,45411,47103,48523,50742,51891
"34","27","        Food and beverage and tobacco products","N4427C0",31286,32353,33922,34982,35867,37279,38188,39271,40363,41720,42946
"35","28","        Textile mills and textile product mills","N4428C0",26966,28074,29012,29919,31120,31762,33463,34280,35422,36490,36906
