"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 27, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2009 5:33:03 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Gross domestic product","A191RX1",9093.7,9433.9,9854.3,10283.5,10779.8,11226,11347.2,11553,11840.7,12263.8,12638.4,12976.2,13254.1,13312.2
"9","2","Personal consumption expenditures","DPCERX1",6079,6291.2,6523.4,6865.5,7240.9,7608.1,7813.9,8021.9,8247.6,8532.7,8819,9073.5,9313.9,9290.9
"10","3","  Goods","DGDSRX1",1898.6,1983.6,2078.2,2218.6,2395.3,2521.7,2600.9,2706.6,2829.9,2955.3,3073.9,3173.9,3273.7,3206
"11","4","    Durable goods","DDURRX1",511.6,549.8,594.7,667.2,753.8,819.9,864.4,930,986.1,1051,1105.5,1150.4,1199.9,1146.3
"12","5","      Motor vehicles and parts","DMOTRX1",255.6,268,286.1,316.1,345.1,356.1,374.3,394,405.3,411.3,409.6,396.6,402.4,347.5
"13","6","      Furnishings and durable household equipment","DFDHRX1",133,138.8,145.3,157.3,175.5,192.4,202.2,217,230.6,249.3,263.9,277.9,283.6,275.5
"14","7","      Recreational goods and vehicles","DREQRX1",75.6,87.3,100.9,121.2,147,172.7,189.8,212.9,237,269.4,303.4,343.2,382.4,403
"15","8","      Other durable goods","DODGRX1",70.2,74.9,78.6,86.4,96.7,105.3,103,109.8,115.5,121.7,128.6,133.4,134.5,128
"16","9","    Nondurable goods","DNDGRX1",1437.8,1479.4,1522.9,1580.3,1660.9,1714.7,1745.6,1780.2,1845.6,1904.6,1968.4,2023.6,2074.8,2057.3
"17","10","      Food and beverages purchased for off-premises consumption","DFXARX1",548.5,554,558.9,565.5,587.4,600.6,607.6,609,622.4,639.2,665,686.2,700.7,700.7
"18","11","      Clothing and footwear","DCLORX1",201,210.8,217.7,231,246.2,258.1,260.5,268.5,283.4,297.3,315.5,331.5,345.9,345
"19","12","      Gasoline and other energy goods","DGOERX1",264.3,268.5,273.9,283.8,292.5,287.1,289.2,294,302.2,306.5,304.8,298.4,300.7,287.4
"20","13","      Other nondurable goods","DONGRX1",443,462.6,488.1,514.4,546.3,574.2,592.9,612.5,640.1,662.6,683,708.4,729.4,728.7
"21","14","  Services","DSERRX1",4208.2,4331.4,4465,4661.8,4852.8,5093.3,5218.7,5318.1,5418.4,5577.6,5745.1,5899.7,6040.8,6083.1
"22","15","    Household consumption expenditures (for services)","DHCERX1",4068.6,4183.3,4327.2,4510.6,4690.4,4917.8,5028.8,5109.3,5199,5359.3,5531,5664.4,5796.1,5817.6
"23","16","      Housing and utilities","DHUTRX1",1234.9,1261.7,1290.4,1329.8,1371.8,1413.7,1451.5,1462,1480.2,1512.8,1582.8,1616.7,1631.8,1647.2
"24","17","      Health care","DHLCRX1",947.5,967.1,997.1,1029.5,1045.6,1081.5,1135.4,1202.3,1229.4,1268.6,1316,1340,1375.5,1416.4
"25","18","      Transportation services","DTRSRX1",213.8,231.4,248.8,259.2,273.5,286.2,283.6,275.8,276.7,283.2,285.9,285,288.3,273.8
"26","19","      Recreation services","DRCARX1",245.3,256.3,264.5,273.3,286.6,295.2,294.9,296.7,305.5,320.7,326.8,337.5,350,349.8
"27","20","      Food services and accommodations","DFSARX1",416,418.8,428,439.2,450,470.5,469.9,477.2,493.6,508.8,525.3,541.6,547.7,545.4
"28","21","      Financial services and insurance","DIFSRX1",489.4,507.8,525.2,558.6,605.6,665.4,660.7,658.3,657.8,691.8,712.6,735.4,772.3,759.8
"29","22","      Other services","DOTSRX1",524.3,541.9,574.1,621.7,656.7,704.2,732.6,737,755.7,773.5,781.6,808.3,831,825.7
"30","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1",142.3,150.9,140.6,153.9,165,177.8,191.4,209,219.3,218.3,214.1,235.4,244.9,266.6
"31","24","      Gross output of nonprofit institutions \2\","DNPERX1",636.4,653.4,663.8,696.7,721,749,785.3,831.1,844,860.6,874.6,901,924.6,956.7
"32","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX1",497.1,505.4,526.8,546,558.6,573,595.2,622.5,624.5,642.3,660.6,665.8,680,691
"33","26","Gross private domestic investment","A006RX1",1258.9,1370.3,1540.8,1695.1,1844.3,1970.3,1831.9,1807,1871.6,2058.2,2172.2,2230.4,2146.2,1989.4
"34","27","  Fixed investment","A007RX1",1235.7,1346.5,1470.8,1630.4,1782.1,1913.8,1877.6,1798.1,1856.2,1992.5,2122.3,2171.3,2126.3,2018.4
"35","28","    Nonresidential","A008RX1",792.2,866.2,970.8,1087.4,1200.9,1318.5,1281.8,1180.2,1191,1263,1347.3,1453.9,1544.3,1569.7
"36","29","      Structures","B009RX1",342,361.4,387.9,407.7,408.2,440,433.3,356.6,343,346.7,351.8,384,441.4,486.8
"37","30","      Equipment and software","B010RX1",493,545.4,620.4,710.4,810.9,895.8,866.9,830.3,851.4,917.3,995.6,1069.6,1097,1068.6
"38","31","        Information processing equipment and software","A679RX1",149.5,179.1,220.8,271.1,332,391.9,390.2,379.3,405,443.1,475.3,514.8,555.7,588.8
"39","32","          Computers and peripheral equipment \4\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","33","          Software \5\","B985RX1",66.9,78.5,101.7,122.8,151.5,172.4,173.7,173.4,185.6,204.6,218,227.1,241.5,257
"41","34","          Other","A937RX1",93.7,102.7,111.5,125.5,139.9,168.4,163.2,148.4,156.4,168.1,178.4,191.2,202.3,211.1
"42","35","        Industrial equipment","A680RX1",145.5,150.9,154.1,160.8,161.8,175.8,162.8,151.9,151.6,147.4,159.6,172.9,180.9,174.7
"43","36","        Transportation equipment","A681RX1",131.5,136.8,148.2,162,190.3,186.2,169.6,154.2,140.4,162.3,181.7,196.5,177.4,128.9
"44","37","        Other equipment","A862RX1",110.6,114.8,125.9,138.8,142.4,150.4,149.3,148.2,155,164.4,178.9,185.5,184.1,180.3
"45","38","    Residential","A011RX1",456.1,492.5,501.8,540.4,574.2,580,583.3,613.8,664.3,729.5,775,718.2,585,451.1
"46","39","  Change in private inventories","A014RX1",32.1,31.2,77.4,71.6,68.5,60.2,-41.8,12.8,17.3,66.3,50,59.4,19.5,-25.9
"47","40","    Farm","B018RX1",-13,8.3,3.7,1.6,-3.7,-1.8,0.1,-3.1,0.1,7.9,0.1,-3.7,-0.8,-5.3
"48","41","    Nonfarm","A015RX1",44.3,23.2,73.6,69.5,70.8,61.2,-41.5,15.6,17.2,58.3,49.8,63.2,20.4,-20.4
"49","42","Net exports of goods and services","A019RX1",-98.8,-110.7,-139.8,-252.6,-356.6,-451.6,-472.1,-548.8,-603.9,-688,-722.7,-729.2,-647.7,-494.3
"50","43","  Exports","B020RX1",845.7,916,1025.1,1048.5,1094.3,1188.3,1121.6,1099.2,1116.8,1222.8,1305.1,1422,1546.1,1629.3
"51","44","    Goods","A253RX1",575.4,626.2,716.2,732.2,760,844.3,792,763.5,777.2,842.9,906.1,991.4,1064.8,1127.5
"52","45","    Services","A646RX1",272.6,291.7,308.9,316.4,334.6,343.5,329.3,335.6,339.6,380,399,430.6,481.3,501.7
"53","46","  Imports","B021RX1",944.5,1026.7,1165,1301.1,1450.9,1639.9,1593.8,1648,1720.7,1910.8,2027.8,2151.2,2193.8,2123.5
"54","47","    Goods","A255RX1",766.1,837.9,958.7,1072.3,1206,1367.9,1324.2,1373.4,1440.9,1599.7,1708,1808.8,1839.6,1767.3
"55","48","    Services","B656RX1",180.9,190.3,206.9,229.4,244.9,271.7,269.6,274.5,279.8,311,319.8,342.4,354.2,356.5
"56","49","Government consumption expenditures and gross investment","A822RX1",1888.9,1907.9,1943.8,1985,2056.1,2097.8,2178.3,2279.6,2330.5,2362,2369.9,2402.1,2443.1,2518.1
"57","50","  Federal","A823RX1",704.1,696,689.1,681.4,694.6,698.1,726.5,779.5,831.1,865,876.3,894.9,906.4,975.9
"58","51","    National defense","A824RX1",476.8,470.4,457.2,447.5,455.8,453.5,470.7,505.3,549.2,580.4,589,598.4,611.5,659.4
"59","52","      Consumption expenditures","A997RX1",424.5,418.5,412.2,401.2,407.6,403.9,418.5,445.8,484.1,509.4,514.8,519.1,527.4,561.6
"60","53","      Gross investment","A788RX1",52.8,52.3,46.8,47.5,49.3,50.3,52.7,59.6,65.3,71.1,74.2,79.4,84.3,98.4
"61","54","    Nondefense","A825RX1",227.5,225.7,231.9,233.7,238.7,244.4,255.5,273.9,281.7,284.6,287.3,296.6,294.9,316.4
"62","55","      Consumption expenditures","A542RX1",201.2,196.2,203.2,201.2,202.9,212.4,224.2,239.7,247.1,250.2,251,257.5,255.2,273.5
"63","56","      Gross investment","A798RX1",27.1,29.3,29,32,34.8,31.6,31.3,34.2,34.6,34.4,36.3,39.1,39.7,43
"64","57","  State and local","A829RX1",1183.6,1211.1,1254.3,1303.8,1361.8,1400.1,1452.3,1500.6,1499.7,1497.1,1493.6,1507.2,1536.7,1543.7
"65","58","    Consumption expenditures","A991RX1",983,1001,1027.7,1070.8,1109.5,1133.7,1172.6,1211.3,1207.5,1207.4,1212,1220.7,1242.6,1251.5
"66","59","    Gross investment","A799RX1",201.9,211.1,227.1,233.7,252.7,266.6,279.7,289.4,292.2,289.8,281.6,286.4,294,292.3
"67","60","Residual","AR05RX1",-287.4,-246.1,-195.8,-148,-89.6,-46.6,-46.8,-31,-18.1,-5.5,0.2,-4.1,-8.7,-1.2
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","4. The quantity index for computers can be used to accurately measure the real growth of this",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","component.  However, because computers exhibit rapid changes in prices relative to other prices in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","economy, the chained-dollar estimates should not be used to measure the component's relative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","importance or its contribution to the growth rate of more aggregate series; accurate estimates of these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","contributions are shown in table 1.5.2 and real growth rates are shown in table 1.5.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","5. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Note. The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
