"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 27, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2009 5:44:10 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Government consumption expenditures \1\","A955RA3",6.411,6.829,7.09,7.11,7.291,8.053,8.188,8.894,8.784,9.333,10.131,10.688,15.142,32.943,52.517,63.402,60.528,24.983,20.48,20.987,22.358,22.229,28.879,34.432,36.647,33.999,33.32,33.333,35.126,35.614,36.064,36.532,37.746,40.287,41.708,42.672,44.171,48.084,52.153,54.612,55.404,54.671,54.54,54.803,54.265,55.373,56.668,56.8,57.898,59.064,59.643,60.686,61.755,63.214,65.024,66.058,69.727,73.498,74.739,75.982,77.844,79.75,80.733,81.036,80.889,81.161,81.334,81.697,83.084,84.61,86.972,88.509,91.814,95.921,98.026,99.445,100,100.98,102.395,105.464
"9","2","        Gross output of general government","W101RA3",6.192,6.645,6.918,6.906,7.548,8.826,9.022,10.705,10.039,11.123,11.627,11.757,15.515,31.036,48.236,58.315,57.152,25.304,19.295,19.657,20.915,20.967,27.036,31.866,33.854,31.596,31.373,31.216,33.041,33.605,34.091,34.505,35.669,38.129,39.607,40.622,42.209,46.033,49.725,52.154,52.997,52.475,52.628,53.274,52.976,54.046,55.106,55.312,56.472,57.773,58.602,59.58,60.668,62.093,63.857,64.845,68.326,71.896,73.149,74.432,76.323,78.183,79.362,79.944,80.168,80.842,81.196,81.709,83.169,84.884,87.099,89.06,92.533,96.212,98.013,99.359,100,100.919,102.439,105.437
"10","3","          Value added","W102RA3",11.994,12.559,12.778,12.611,13.31,15.024,16.019,18.754,17.884,19.288,19.654,20.587,25.297,38.682,63.513,76.972,77.238,41.874,32.993,31.599,31.482,31.92,38.146,41.361,42.137,42.19,42.355,43.152,44.061,44.504,45.115,46.676,48.327,50.213,51.711,53.49,55.29,58.749,61.869,64.297,65.936,66.189,66.298,66.179,66.476,67.83,68.926,69.526,70.253,71.601,72.363,73.403,73.808,74.561,75.037,75.969,78.143,80.066,81.819,83.945,85.948,88.147,89.064,89.363,89.561,89.582,89.645,89.79,90.472,91.498,92.33,93.936,95.63,97.56,98.731,99.328,100,100.592,102.019,104.247
"11","4","            Compensation of general government employees","A194RA3",16.284,17.051,17.255,16.881,17.888,20.472,21.868,25.98,24.419,26.423,26.772,27.981,34.345,51.163,82.182,94.267,90.106,39.95,30.293,30.843,32.338,34.052,43.117,46.707,46.623,45.81,45.655,46.539,47.577,47.97,48.402,50.085,51.952,53.981,55.487,57.44,59.51,63.712,67.307,70.04,71.919,72.121,72.376,72.428,72.941,74.69,75.98,76.551,77.286,78.814,79.523,80.502,80.635,81.171,81.235,81.705,83.577,85.048,86.329,88.177,89.896,91.834,92.29,92.134,91.996,91.771,91.63,91.545,92.066,92.928,93.457,94.905,96.519,98.412,99.415,99.655,100,100.189,101.303,103.272
"12","5","            Consumption of general government fixed capital \2\","A265RA3",3.152,3.302,3.466,3.613,3.718,3.856,4.064,4.318,4.53,4.784,5.056,5.371,6.64,11.531,20.886,31.523,37.819,36.183,30.692,26.249,23.374,21.434,21.344,23.218,25.368,27.004,27.743,28.219,28.704,29.158,30.023,31.047,31.937,33.178,34.404,35.484,36.347,37.437,38.886,40.174,40.947,41.309,40.985,40.37,39.981,40.012,40.419,41.038,41.663,42.324,43.175,44.299,45.497,46.833,48.557,50.942,54.034,57.502,60.95,64.066,67.128,70.323,73.155,75.432,77.123,78.257,79.247,80.449,81.882,83.678,86.005,88.393,90.491,92.608,94.725,97.403,100,102.96,106.23,109.98
"13","6","          Intermediate goods and services purchased \3\","W104RA3",1.795,2.054,2.267,2.331,2.777,3.511,3.28,4.008,3.619,4.26,4.698,4.41,6.658,18.424,26.953,32.496,30.776,8.159,5.405,7.046,9.13,8.881,13.699,18.873,21.463,17.778,17.29,16.395,18.665,19.24,19.564,18.861,19.425,22.147,23.444,23.589,24.805,28.656,32.631,34.862,34.764,33.389,33.586,35.161,34.11,34.786,35.752,35.47,37.111,38.298,39.169,40.022,41.833,43.966,47.182,48.195,53.22,58.859,59.4,59.492,61.184,62.527,64.054,65.039,65.3,66.944,67.734,68.799,71.434,74.202,78.589,81.107,87.409,93.947,96.8,99.41,100,101.463,103.137,107.395
"14","7","            Durable goods","W105RA3",1.067,1.078,1.179,1.076,1.618,2.585,2.855,3.984,3.533,4.396,4.352,4.015,17.406,83.499,152.698,166.113,181.832,8.119,5.466,9.642,11.305,17.776,39.539,68.355,76.255,56.427,48.102,45.887,48.366,49.912,36.737,31.912,27.306,33.535,34.444,30.707,32.724,44.774,44.188,50.293,43.933,40.839,33.23,40.628,39.044,35.981,37.234,35.462,41.76,45.555,48.593,50.286,56.293,60.442,69.885,71.489,76.266,81.595,86.292,88.737,87.313,85.981,84.152,79.319,75.324,69.499,67.555,68.458,70.785,74.518,80.261,82.684,86.135,89.152,92.608,98.561,100,105.538,112.792,125.976
"15","8","            Nondurable goods","W106RA3",3.221,3.848,4.357,4.626,5.367,6.672,6.034,7.665,6.827,8.218,9.477,8.733,9.507,25.498,31.966,38.747,27.964,7.734,6.876,9.086,14.229,10.641,12.598,15.497,25.701,20.892,17.306,12.78,13.946,15.17,22.916,18.193,18.096,22.958,22.191,23.256,24.95,26.881,36.11,41.36,42.993,37.213,37.121,38.86,35.444,36.023,36.918,38.518,40.908,41.981,41.875,42.516,45.527,44.461,46.868,45.252,49.505,57.224,53.736,50.008,56.46,56.816,59.472,61.577,64.191,65.663,68.225,69.622,73.497,78.914,82.112,86.239,93.286,97.25,97.028,98.977,100,99.929,101.827,103.804
