"","Table 5#4#5# Private Fixed Investment in Structures by Type     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2009 5:52:14 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Private fixed investment in structures","A349RC1",9.4,6.7,4.3,2.1,1.7,2.1,2.7,3.5,4.7,4.2,5.2,6,7.2,4.4,3.2,3.7,5,15,19.9,24.8,23.5,30.1,30,30.4,32.6,34.6,39.7,41.3,40.7,39.5,45.7,45.3,45.6,49.2,52.7,57.4,61.9,62.9,63.2,71.4,79.3,80.5,97.2,115.3,128.6,125.3,122.2,146.3,182.5,222.4,255.5,256,286.3,279.6,303,353.3,377.6,391.1,402.1,416,427.1,420.9,383,403,437,482.6,503.8,552.3,593,654.4,702.4,759.3,794.1,784,851,978.1,1116.9,1185.2,1154,1076.7
"9","2","Nonresidential","B009RC1",5.5,4.4,2.6,1.4,1.1,1.2,1.4,1.9,2.7,2.1,2.2,2.6,3.3,2.2,1.8,2.4,3.3,7.4,8.1,9.5,9.2,10,12,12.2,13.6,13.9,15.2,18.2,19,17.6,18.1,19.6,19.7,20.8,21.2,23.7,28.3,31.3,31.5,33.6,37.7,40.3,42.7,47.2,55,61.2,61.4,65.9,74.6,93.6,117.7,136.2,167.3,177.6,154.3,177.4,194.5,176.5,174.2,182.8,193.7,202.9,183.6,172.6,177.2,186.8,207.3,224.6,250.3,275.1,283.9,318.1,329.7,282.8,281.9,306.7,351.8,433.7,535.4,609.5
"10","3","  Commercial and health care","W001RC1",1.2,1,0.5,0.3,0.1,0.2,0.2,0.3,0.4,0.3,0.3,0.4,0.5,0.2,0,0.1,0.2,1.2,1.1,1.5,1.4,1.8,1.9,1.6,2.1,2.6,3.4,4.2,4.1,4.2,4.6,4.8,5.5,6.2,6.1,6.8,8.2,8.3,8.2,9.4,11.7,12.5,14.9,17.6,19.8,20.6,17.7,18.1,20.3,25.3,33.5,41,48.3,55.8,55.8,70.6,84.1,80.9,80.8,86.3,88.3,87.5,68.9,64.5,69.4,75.4,83.1,91.5,104.3,116,125.4,139.3,137.3,119.4,115.1,125.3,135.9,156.4,181.9,185.2
"11","4","    Office \1\","W031RC1",0.5,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0,0,0.1,0.5,0.4,0.6,0.5,0.6,0.7,0.5,0.8,1,1.3,1.7,1.6,1.6,1.7,1.8,2.1,2.3,2.2,2.4,3,3,3,3.4,4.1,4.3,5.2,5.4,6.2,6.5,5.4,5.4,6,7.8,11.2,15.7,20.5,26.8,24.7,31.1,38,34.9,32.5,34.2,34.6,33,26.2,22.2,23,24.6,28.3,30.9,37.7,46.4,51.8,60.2,57.2,40.6,35.1,37.8,42.8,52.5,61.8,65.6
"12","5","    Health care","W032RC1",0.2,0.2,0.1,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0,0,0,0,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.7,0.8,0.8,0.8,1,1.3,1.3,1.6,1.7,1.8,1.7,2,2.7,3.2,3.7,4.1,4.3,4.5,4.4,4.7,4.8,5.2,5.9,7.3,9.1,12.5,13.4,13.9,13.9,13.3,13.8,15.7,15.9,16.9,15.4,15.4,16.7,16.6,15.9,16.8,19.6,20,20.7,21.9,22,25.2,27.3,29.6,32.1,36,40.1,44
"13","6","      Hospitals and special care","C311RC1",0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.5,0.6,0.6,0.6,0.8,1,1,1.3,1.4,1.4,1.3,1.6,2.2,2.6,3.1,3.5,3.6,3.7,3.8,4.1,4.1,4.3,4.6,5.4,6.6,9.2,10.4,10.2,9.3,9.1,9.9,11.6,11.8,13,12.2,12.8,13.9,13.7,12.5,13.1,15.1,15.4,15.2,16.2,16.7,19.7,20.4,21,23,28,31.1,33.9
"14","7","        Hospitals","W033RC1",0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.8,0.8,1,1.1,1.1,1.1,1.3,1.8,2.1,2.5,2.8,2.9,3,3.1,3.3,3.3,3.4,3.7,4.4,5.3,7.4,8.4,8.2,7.5,7.4,8,9.4,9.5,10.5,9.8,10.3,11.2,11.2,9.9,9.4,11.2,10.7,10.7,11.5,12.7,15.7,17.1,18.2,20.5,24.7,27.6,29.7
"15","8","        Special care","W034RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,1,1.3,1.8,2,2,1.8,1.8,1.9,2.3,2.3,2.5,2.4,2.5,2.7,2.4,2.7,3.8,3.9,4.7,4.5,4.7,4,4,3.3,2.8,2.5,3.3,3.5,4.1
"16","9","      Medical buildings","W035RC1",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.6,0.6,0.7,0.9,1.3,1.9,2.5,3.3,3,3.8,4.6,4.2,3.9,4.1,4.1,3.9,3.2,2.6,2.7,2.9,3.3,3.6,4.5,4.6,5.5,5.7,5.2,5.5,6.8,8.6,9,8.1,9,10.1
