"","Table 3#9#6# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 27, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2009 5:43:34 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Government consumption expenditures and gross investment","A822RX1",1888.9,1907.9,1943.8,1985,2056.1,2097.8,2178.3,2279.6,2330.5,2362,2369.9,2402.1,2443.1,2518.1
"9","2","      Consumption expenditures \1\","A955RX1",1608.7,1615.9,1643.3,1673.5,1720.2,1750.6,1816,1897.2,1938.8,1966.9,1977.9,1997.2,2025.2,2085.9
"10","3","      Gross investment \2\","A782RX1",283.9,294.6,302.7,313.3,336.5,347.5,362.5,382.5,391.6,395.1,392,404.8,417.8,432.1
"11","4","        Structures","A760RX1",201.3,209.6,219.3,219.1,232,239.4,251.1,263,265.9,259,246.5,247.7,255.8,255.4
"12","5","        Equipment and software","A871RX1",85.6,88.5,88.5,96.7,106.3,109.8,113.5,121.4,127.2,136.6,145.5,157.3,162.3,178.7
"13","6","Federal","A823RX1",704.1,696,689.1,681.4,694.6,698.1,726.5,779.5,831.1,865,876.3,894.9,906.4,975.9
"14","7","    Consumption expenditures","A957RX1",625.5,614.6,615.3,602.4,610.4,616.4,642.9,685.8,731.3,759.5,765.8,776.5,782.6,835.1
"15","8","    Gross investment","A787RX1",79.9,81.7,75.8,79.5,84.1,82,84.1,93.8,99.9,105.5,110.5,118.5,124,141.4
"16","9","      Structures","A801RX1",25.8,25.1,22.5,22.6,21.2,17.2,16.4,18.7,20.4,17.7,15.7,16.3,18.9,20.9
"17","10","      Equipment and software","A872RX1",57.1,59.1,55.4,58.9,64.3,65.2,68,75.5,80,87.9,94.7,102.2,104.9,120.5
"18","11","  National defense","A824RX1",476.8,470.4,457.2,447.5,455.8,453.5,470.7,505.3,549.2,580.4,589,598.4,611.5,659.4
"19","12","    Consumption expenditures","A997RX1",424.5,418.5,412.2,401.2,407.6,403.9,418.5,445.8,484.1,509.4,514.8,519.1,527.4,561.6
"20","13","    Gross investment","A788RX1",52.8,52.3,46.8,47.5,49.3,50.3,52.7,59.6,65.3,71.1,74.2,79.4,84.3,98.4
"21","14","      Structures","A808RX1",10.1,9.2,8.7,8.1,7.2,6.9,6.5,7,8.5,7.8,7.5,7.5,9.1,11
"22","15","      Equipment and software","A873RX1",43.7,43.8,38.9,40.1,42.4,43.6,46.3,52.7,57,63.3,66.8,71.9,75,87.2
"23","16","  Nondefense","A825RX1",227.5,225.7,231.9,233.7,238.7,244.4,255.5,273.9,281.7,284.6,287.3,296.6,294.9,316.4
"24","17","    Consumption expenditures","A542RX1",201.2,196.2,203.2,201.2,202.9,212.4,224.2,239.7,247.1,250.2,251,257.5,255.2,273.5
"25","18","    Gross investment","A798RX1",27.1,29.3,29,32,34.8,31.6,31.3,34.2,34.6,34.4,36.3,39.1,39.7,43
"26","19","      Structures","A830RX1",15.7,15.9,13.8,14.5,14,10.4,9.8,11.8,11.9,9.9,8.3,8.8,9.8,9.9
"27","20","      Equipment and software","B880RX1",13.7,15.5,16.6,18.7,21.7,21.5,21.6,22.7,23,24.6,28,30.3,29.9,33.2
"28","21","State and local","A829RX1",1183.6,1211.1,1254.3,1303.8,1361.8,1400.1,1452.3,1500.6,1499.7,1497.1,1493.6,1507.2,1536.7,1543.7
"29","22","  Consumption expenditures","A991RX1",983,1001,1027.7,1070.8,1109.5,1133.7,1172.6,1211.3,1207.5,1207.4,1212,1220.7,1242.6,1251.5
"30","23","  Gross investment","A799RX1",201.9,211.1,227.1,233.7,252.7,266.6,279.7,289.4,292.2,289.8,281.6,286.4,294,292.3
"31","24","    Structures","A842RX1",175.4,184.3,196.7,196.5,210.9,222.2,234.8,244.2,245.5,241.3,230.8,231.4,236.9,234.6
"32","25","    Equipment and software","B881RX1",29.1,29.9,33.1,37.7,41.8,44.3,45.3,45.8,47.2,48.6,50.8,55.2,57.4,58
"33","26","Residual","A979RX1",-7.5,-6.4,-7.1,-3.8,-1.9,-1.1,-1.3,-1.4,-1.3,-0.5,-0.1,-0.3,-0.2,-2.4
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity index and the 2005 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference between ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
