"","Table 7#1# Selected Per Capita Product and Income Series in Curr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253"
"11","2","  Gross national product","A791RC0",1663,1679,1700,1761,1795,1836,1873,1873,1830,1797,1798,1773,1832,1888,1996,2062,2155,2199,2234,2253,2264,2261,2291,2362,2397,2412,2394,2350,2338,2332,2352,2395,2466,2506,2547,2574,2579,2603,2621,2659,2704,2706,2735,2691,2637,2651,2718,2781,2829,2892,2886,2896,2949,2934,2938,2897,2910,2959,3003,3062,3124,3154,3178,3187,3223,3258,3314,3352,3428,3465,3514,3526,3624,3679,3753,3852,3963,3999,4054,4113,4157,4169,4234,4301,4428,4540,4605,4676,4789,4853,4938,4963,5015,5079,5146,5136,5347,5434,5511,5556,5730,5885,5986,6148,6372,6534,6619,6799,6867,7028,7140,7294,7348,7497,7746,7977,8226,8361,8495,8690,8929,9211,9461,9627,9792,10318,10569,10916,11104,11373,11693,11923,12181,12155,12363,12873,13453,13560,13937,13998,13920,14152,14234,14359,14622,15037,15451,15853,16317,16705,16958,17144,17434,17652,17934,18154,18369,18470,18716,18859,19112,19401,19672,20118,20368,20769,21047,21445,21845,22171,22440,22600,23051,23341,23453,23444,23460,23666,23850,24031,24342,24667,24931,25252,25406,25606,25794,26134,26481,26875,27111,27467,27655,27768,27989,28283,28592,29080,29317,29723,30033,30488,30846,31075,31373,31633,32025,32585,32978,33280,33709,34367,34626,35402,35532,35919,35910,36331,36170,36534,36755,36968,37271,37467,37762,38138,38894,39443,40050,40497,41021,41495,42324,42664,43352,43735,44548,44985,45174,45616,46099,46704,47395,47949,47924,48094,48241,47295,46622,46440
"12","3","  Personal income","A792RC0",1310,1290,1340,1357,1387,1422,1457,1451,1404,1389,1378,1377,1468,1468,1520,1575,1627,1668,1681,1708,1714,1732,1768,1798,1821,1839,1831,1818,1811,1801,1805,1830,1858,1898,1934,1955,1978,2005,2025,2060,2075,2093,2108,2096,2091,2096,2134,2150,2178,2218,2221,2243,2261,2279,2282,2279,2292,2316,2344,2382,2409,2441,2456,2477,2496,2514,2541,2580,2622,2661,2700,2736,2783,2823,2885,2942,2997,3038,3096,3153,3198,3226,3285,3333,3422,3511,3591,3656,3719,3799,3889,3949,3991,4083,4128,4153,4233,4331,4380,4447,4572,4639,4750,4952,5040,5172,5289,5457,5526,5637,5799,5902,5968,6093,6249,6409,6559,6674,6831,6982,7109,7302,7489,7741,7894,8148,8368,8588,8818,8987,9256,9532,9772,9864,10168,10618,10856,11040,11443,11565,11678,11852,11988,12139,12266,12455,12674,12995,13371,13703,14012,14223,14452,14584,14687,14917,15128,15269,15443,15583,15798,15986,16247,16607,16859,17109,17403,17690,18163,18322,18483,18719,19059,19340,19524,19566,19587,19781,19897,20115,20426,20694,20866,21260,20925,21359,21453,21829,21761,22219,22442,22770,23012,23151,23335,23541,23939,24374,24588,24851,25231,25434,25756,26164,26724,27130,27445,27699,27907,28084,28369,28920,29788,30164,30568,30708,31170,31173,31088,31119,31280,31497,31465,31568,31736,32102,32358,32828,33112,33612,34047,34724,34705,35133,35689,36151,37034,37547,37894,38354,38939,39237,39541,39953,40007,40420,40301,40028,39030,39061
"13","4","  Disposable personal income","A229RC0",1176,1155,1203,1213,1241,1293,1333,1326,1284,1275,1269,1272,1358,1352,1396,1427,1468,1497,1501,1517,1516,1529,1562,1589,1610,1629,1624,1613,1623,1616,1621,1644,1666,1701,1733,1749,1767,1789,1806,1836,1848,1865,1880,1871,1870,1879,1911,1926,1946,1980,1980,1998,2009,2024,2025,2023,2038,2060,2087,2121,2143,2167,2176,2192,2209,2226,2253,2290,2340,2402,2432,2460,2488,2522,2592,2644,2683,2704,2751,2795,2839,2868,2914,2952,3029,3104,3133,3181,3211,3277,3376,3430,3478,3567,3638,3661,3757,3846,3889,3942,3999,4050,4159,4348,4442,4562,4657,4799,4856,4940,5076,5168,5233,5532,5543,5678,5813,5898,6026,6149,6250,6414,6590,6800,6939,7145,7309,7483,7688,7822,8037,8272,8519,8582,8846,9227,9414,9551,9896,10041,10158,10304,10484,10612,10766,10921,11204,11485,11840,12136,12391,12556,12636,12955,12923,13128,13353,13485,13622,13698,13937,13879,14238,14529,14807,15079,15342,15591,15927,16035,16182,16391,16727,16966,17135,17184,17294,17474,17582,17775,18131,18335,18481,18794,18553,18891,18933,19255,19202,19576,19817,20114,20299,20362,20534,20682,20972,21275,21485,21683,21932,22092,22335,22656,23123,23443,23695,23870,24046,24173,24379,24823,25506,25817,26170,26283,26604,26594,27204,26832,27558,27863,27837,27965,28211,28596,29111,29343,29660,30108,30421,31019,30758,31100,31559,31931,32596,33056,33367,33708,34085,34320,34574,34928,34960,36059,35586,35335,35153,35529
"14","5","  Personal consumption expenditures","A794RC0",1092,1114,1133,1156,1170,1191,1206,1206,1193,1200,1190,1201,1214,1235,1320,1297,1366,1333,1344,1363,1366,1387,1397,1442,1459,1465,1463,1453,1459,1470,1479,1501,1533,1558,1576,1593,1595,1605,1616,1640,1659,1666,1685,1687,1678,1689,1710,1724,1761,1789,1810,1814,1819,1845,1837,1840,1835,1855,1863,1895,1916,1940,1953,1979,1991,2007,2036,2053,2097,2132,2170,2176,2225,2255,2295,2359,2406,2426,2465,2487,2503,2542,2572,2602,2687,2749,2822,2859,2914,2963,3006,3056,3103,3142,3189,3211,3293,3351,3400,3468,3542,3622,3701,3809,3917,3982,4059,4121,4197,4322,4446,4480,4593,4715,4858,4979,5123,5203,5324,5464,5613,5727,5852,6009,6130,6373,6494,6651,6793,6956,7176,7347,7532,7520,7755,8031,8258,8377,8525,8567,8713,8808,8992,9235,9387,9641,9917,10118,10295,10522,10660,10842,11122,11283,11541,11629,11787,11895,12162,12296,12416,12666,12908,13019,13323,13538,13778,14040,14232,14452,14642,14790,15099,15265,15464,15492,15499,15661,15784,15848,16199,16353,16581,16828,16928,17135,17323,17515,17733,17907,18139,18349,18421,18627,18812,18968,19206,19494,19637,19870,20121,20199,20532,20777,20940,21292,21579,21911,22141,22556,22873,23254,23757,24027,24335,24620,24833,24986,25034,25375,25464,25735,25975,26125,26395,26601,27081,27291,27726,28022,28366,28854,29183,29587,30059,30327,30725,31054,31392,31617,32126,32398,32656,33081,33262,33521,33522,32752,32613,32576
"15","6","    Goods","AGDSRC0",NA,683,695,713,721,732,740,736,723,727,719,728,734,744,816,785,832,794,798,810,805,815,813,848,855,851,840,832,831,833,832,847,870,890,902,904,898,900,902,915,928,928,939,931,920,920,931,940,964,977,983,974,974,989,980,974,962,969,973,989,1000,1009,1014,1028,1036,1041,1054,1056,1082,1101,1125,1115,1151,1163,1186,1227,1259,1258,1280,1281,1280,1303,1309,1320,1372,1401,1445,1453,1480,1495,1511,1526,1539,1551,1566,1561,1615,1639,1653,1682,1711,1757,1797,1858,1928,1950,1983,2002,2043,2100,2167,2133,2175,2233,2324,2366,2442,2475,2521,2581,2645,2696,2738,2822,2838,2974,3016,3094,3158,3213,3342,3398,3493,3421,3516,3618,3753,3761,3826,3779,3830,3829,3879,3952,3965,4113,4223,4320,4405,4505,4507,4580,4672,4728,4845,4834,4881,4887,5050,5052,5024,5160,5270,5238,5359,5422,5466,5580,5636,5753,5821,5811,5984,5924,5972,5963,5890,5916,5941,5879,6001,6037,6112,6187,6204,6289,6326,6420,6504,6565,6666,6781,6738,6778,6840,6885,6969,7116,7129,7225,7312,7246,7390,7458,7439,7583,7672,7868,7936,8160,8273,8421,8595,8662,8754,8818,8820,8839,8836,9033,8952,9035,9126,9128,9234,9237,9516,9537,9698,9772,9872,10094,10160,10307,10542,10523,10683,10746,10865,10832,10997,11078,11144,11388,11358,11426,11359,10561,10442,10399
"16","7","      Durable goods","A795RC0",145,148,151,162,162,164,172,169,165,177,183,189,194,197,246,218,232,200,195,196,197,198,187,213,222,220,216,210,204,208,204,214,234,247,256,249,237,237,235,245,250,247,244,240,228,222,226,232,248,257,261,247,253,257,254,246,231,236,242,252,257,263,265,275,279,285,288,293,304,310,319,308,336,334,343,354,369,355,367,368,359,375,375,379,404,414,436,436,446,447,446,446,439,445,448,424,474,487,497,514,529,544,559,586,624,620,616,603,594,611,637,592,613,634,679,707,751,762,778,801,838,860,879,907,894,973,972,994,996,988,1024,1013,1023,932,988,1033,1074,1049,1094,1026,1065,1075,1084,1134,1151,1237,1289,1358,1407,1446,1445,1492,1548,1567,1660,1603,1633,1694,1850,1826,1729,1811,1894,1846,1926,1934,1917,1977,1974,1997,2041,1980,2070,1996,1970,1912,1870,1878,1907,1874,1941,1954,1990,2025,2038,2109,2135,2194,2245,2276,2309,2387,2341,2356,2407,2435,2458,2512,2515,2545,2597,2556,2644,2688,2684,2792,2842,2979,2953,3071,3121,3131,3283,3209,3236,3243,3275,3243,3252,3498,3419,3429,3503,3425,3381,3469,3564,3547,3578,3592,3626,3679,3692,3781,3787,3677,3804,3770,3785,3808,3835,3833,3844,3872,3775,3704,3570,3337,3348,3295
"17","8","      Nondurable goods","A796RC0",523,535,544,551,559,568,568,567,558,550,537,539,540,547,570,567,600,594,602,614,607,617,626,635,634,631,624,622,627,625,628,632,636,643,645,655,661,663,667,671,678,682,695,690,692,697,705,708,716,719,722,726,721,732,727,728,730,732,731,736,743,745,749,754,757,756,766,763,778,791,806,808,815,829,843,873,889,903,913,913,921,927,933,941,968,987,1009,1017,1034,1048,1064,1079,1100,1107,1118,1138,1141,1152,1156,1168,1181,1213,1237,1272,1304,1329,1366,1399,1449,1489,1530,1541,1563,1599,1646,1659,1691,1713,1743,1780,1807,1835,1858,1915,1944,2001,2044,2099,2162,2225,2317,2385,2469,2489,2528,2585,2680,2712,2732,2753,2765,2754,2795,2818,2813,2876,2934,2962,2998,3060,3062,3089,3124,3161,3185,3231,3249,3193,3200,3225,3295,3349,3376,3392,3433,3488,3549,3603,3662,3756,3780,3830,3913,3928,4003,4051,4020,4038,4034,4005,4060,4084,4122,4161,4166,4181,4191,4226,4259,4289,4357,4394,4397,4422,4433,4449,4511,4604,4614,4680,4715,4690,4747,4770,4755,4791,4830,4889,4983,5089,5152,5290,5312,5453,5518,5575,5544,5597,5584,5535,5533,5606,5623,5703,5853,5768,5952,5990,6120,6180,6246,6415,6468,6526,6755,6847,6880,6975,7080,7024,7162,7245,7299,7516,7583,7722,7789,7223,7094,7105
"18","9","    Services","A797RC0",424,431,438,443,449,459,466,470,471,472,471,473,479,491,505,512,533,539,546,553,561,572,584,594,604,614,623,621,628,637,647,654,663,668,675,689,697,704,715,725,731,738,746,756,758,769,779,784,797,812,827,840,845,856,857,866,874,887,890,906,917,931,939,950,955,966,982,997,1015,1031,1045,1061,1074,1092,1109,1131,1147,1168,1184,1206,1222,1240,1263,1282,1315,1348,1378,1406,1434,1468,1495,1530,1564,1590,1623,1649,1678,1712,1747,1786,1832,1865,1904,1951,1989,2033,2077,2118,2154,2222,2279,2346,2417,2482,2533,2613,2681,2728,2803,2883,2968,3031,3114,3186,3292,3400,3478,3557,3635,3742,3835,3948,4039,4100,4239,4413,4505,4616,4700,4788,4883,4979,5113,5283,5422,5528,5694,5798,5889,6017,6153,6261,6450,6556,6696,6795,6905,7008,7113,7244,7392,7507,7638,7780,7963,8117,8311,8460,8597,8699,8821,8980,9115,9341,9492,9529,9609,9746,9844,9969,10197,10316,10469,10641,10724,10846,10997,11095,11229,11341,11473,11568,11683,11849,11972,12083,12237,12378,12507,12645,12809,12953,13142,13319,13502,13709,13907,14044,14205,14395,14600,14833,15162,15365,15581,15802,16013,16147,16199,16342,16512,16700,16849,16997,17161,17364,17565,17755,18029,18250,18493,18760,19023,19280,19517,19803,20042,20309,20527,20786,21129,21320,21512,21694,21904,22095,22164,22192,22172,22176
"19",NA,"Chained (2005) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","10","  Gross domestic product","A939RX0",12380,12305,12239,12367,12509,12689,12702,12663,12433,12338,12424,12251,12692,13032,13484,13660,13777,13950,14163,14120,14203,14163,14197,14599,14815,14872,14715,14414,14285,14245,14340,14556,14913,15099,15232,15243,15109,15166,15077,15247,15275,15176,15254,15025,14563,14597,14874,15151,15396,15724,15638,15624,15847,15717,15677,15406,15437,15665,15852,16106,16336,16459,16547,16520,16681,16836,17088,17151,17482,17627,17802,17788,18175,18371,18681,19070,19490,19504,19572,19670,19795,19750,19852,19948,20316,20613,20698,20732,21015,21028,21102,20941,20857,20830,20944,20650,21155,21213,21317,21310,21640,22101,22255,22562,23089,23304,23122,23286,23034,23044,22758,22610,22290,22406,22716,22954,23425,23551,23606,23714,23934,24351,24717,24642,24668,25574,25749,26014,25991,25948,26055,26046,26057,25451,25328,25727,26208,25940,26184,25790,25313,25394,25232,25189,25451,25970,26417,26900,27369,27785,27987,28147,28359,28539,28911,29057,29278,29334,29544,29616,29722,29975,30160,30601,30698,31027,31106,31443,31675,31840,32004,31987,32248,32276,32161,31767,31516,31628,31648,31664,31917,32149,32361,32589,32553,32662,32722,33049,33281,33637,33745,34016,34008,33984,34160,34293,34442,34938,35127,35398,35576,36000,36331,36496,36746,36976,37347,37879,38120,38313,38677,39254,39257,39923,39846,39973,39748,39913,39698,39736,39989,40111,40209,40119,40198,40429,41005,41275,41486,41690,41893,42153,42486,42577,42794,42909,43379,43440,43339,43541,43573,43819,44094,44215,44043,44111,43706,43001,42206,42013
"21","11","  Gross national product","A791RX0",12447,12375,12309,12440,12589,12773,12786,12746,12513,12415,12498,12319,12764,13108,13572,13748,13861,14048,14264,14226,14303,14263,14295,14695,14910,14972,14804,14503,14380,14339,14435,14662,15021,15205,15338,15351,15227,15283,15195,15352,15397,15306,15378,15125,14665,14700,14974,15249,15493,15821,15742,15733,15952,15824,15787,15521,15558,15780,15969,16225,16454,16587,16676,16667,16821,16971,17224,17292,17634,17773,17951,17927,18332,18533,18832,19207,19631,19645,19710,19814,19936,19888,20003,20093,20465,20765,20854,20886,21170,21177,21244,21083,21002,20979,21091,20785,21313,21379,21467,21468,21803,22262,22428,22734,23286,23514,23365,23530,23320,23314,23003,22821,22467,22584,22908,23182,23646,23780,23836,23950,24202,24613,24976,24871,24933,25794,25989,26288,26271,26261,26428,26415,26431,25796,25652,25990,26488,26204,26463,26103,25608,25725,25512,25458,25716,26251,26703,27196,27643,28060,28258,28387,28551,28743,29078,29243,29442,29451,29674,29704,29821,30099,30281,30732,30862,31177,31241,31591,31820,31979,32154,32170,32419,32452,32309,32038,31720,31772,31774,31829,32080,32309,32504,32736,32737,32811,32900,33150,33416,33752,33848,34116,34153,34141,34251,34435,34612,35068,35242,35535,35675,36133,36430,36567,36855,37073,37389,37928,38216,38429,38781,39399,39383,40062,39968,40191,39910,40106,39802,40081,40184,40237,40389,40364,40391,40672,41246,41609,41883,41995,42234,42403,42853,42905,43153,43168,43642,43684,43537,43770,43774,44057,44525,44783,44565,44500,44185,43323,42509,42335
"22","12","  Disposable personal income","A229RX0",8512,8293,8484,8346,8446,8705,8841,8824,8606,8598,8612,8634,9237,9155,9257,9300,9266,9373,9390,9363,9318,9398,9543,9687,9779,9878,9793,9686,9701,9667,9731,9876,9981,10181,10326,10395,10458,10518,10514,10629,10601,10629,10632,10524,10395,10424,10593,10678,10718,10863,10798,10834,10882,10903,10866,10811,10866,10987,11091,11261,11327,11413,11432,11480,11537,11610,11696,11844,12043,12331,12445,12545,12650,12755,13063,13284,13376,13372,13500,13613,13782,13861,13954,14017,14231,14435,14425,14481,14476,14588,14843,14907,14945,15160,15312,15209,15464,15651,15672,15789,15850,15962,16246,16848,17002,17132,17175,17343,17041,16859,16869,16749,16650,17386,17100,17229,17445,17551,17664,17744,17717,17875,18093,18405,18476,18640,18737,18829,18987,18805,18855,18947,18947,18629,18765,19101,19018,18978,19346,19334,19316,19408,19443,19463,19577,19679,19926,20289,20693,21007,21282,21433,21340,21718,21528,21697,21912,22114,22175,22135,22228,21940,22278,22538,22776,22942,23059,23209,23425,23277,23363,23478,23601,23683,23616,23374,23374,23477,23443,23515,23800,23902,23935,24192,23767,24063,24033,24310,24147,24487,24588,24838,24932,24864,24969,25040,25244,25443,25576,25635,25796,25915,26125,26405,26937,27247,27447,27565,27682,27669,27760,28111,28629,28850,29076,29041,29190,29041,29701,29279,30003,30100,29920,29918,29965,30351,30698,30799,30876,31113,31244,31600,31149,31298,31406,31499,32020,32230,32297,32633,32697,32664,32716,32642,32379,33075,32270,32460,32413,32651
"23","13","  Personal consumption expenditures","A794RX0",7904,7999,7988,7953,7959,8019,7997,8023,8001,8091,8075,8156,8256,8362,8754,8452,8622,8345,8404,8413,8397,8528,8533,8794,8865,8886,8825,8725,8720,8798,8876,9019,9183,9321,9394,9466,9441,9434,9412,9494,9519,9497,9529,9491,9327,9367,9480,9561,9699,9810,9870,9838,9853,9942,9861,9830,9788,9896,9902,10058,10128,10217,10260,10364,10399,10465,10567,10614,10790,10946,11106,11098,11314,11408,11565,11851,11996,11996,12096,12109,12150,12286,12314,12355,12623,12788,12993,13017,13136,13190,13216,13283,13331,13351,13422,13339,13553,13637,13704,13889,14041,14275,14458,14758,14996,14955,14971,14891,14730,14750,14773,14519,14611,14819,14986,15106,15375,15483,15606,15768,15911,15961,16068,16264,16320,16627,16648,16733,16775,16722,16835,16828,16751,16325,16451,16625,16682,16644,16666,16497,16569,16592,16676,16938,17070,17373,17637,17874,17993,18213,18309,18506,18784,18916,19225,19219,19342,19506,19798,19870,19801,20024,20198,20196,20493,20599,20707,20899,20933,20980,21139,21185,21304,21308,21313,21073,20948,21041,21046,20965,21263,21318,21474,21661,21685,21827,21988,22113,22300,22399,22506,22659,22625,22745,22875,22965,23118,23313,23376,23492,23666,23694,24017,24216,24394,24746,24996,25303,25488,25819,26046,26334,26666,26850,27038,27203,27248,27285,27332,27689,27723,27802,27919,27949,28036,28234,28557,28646,28863,28956,29133,29395,29554,29776,29913,29917,30182,30278,30386,30609,30818,30835,30901,30917,30806,30747,30399,30087,30071,29937
"24","14","    Goods","AGDSRX0",NA,2879,2885,2883,2875,2889,2874,2879,2863,2914,2916,2968,3012,3034,3247,3062,3117,2947,2966,2976,2949,3003,2987,3124,3153,3148,3107,3074,3059,3076,3094,3165,3249,3327,3358,3366,3336,3318,3289,3319,3336,3311,3323,3282,3192,3189,3236,3283,3346,3386,3398,3355,3362,3397,3361,3326,3281,3318,3326,3385,3413,3434,3447,3487,3508,3526,3548,3546,3617,3681,3753,3713,3823,3840,3906,4043,4109,4078,4124,4103,4103,4165,4141,4145,4268,4322,4416,4397,4447,4440,4435,4438,4434,4433,4445,4382,4509,4533,4548,4614,4646,4757,4828,4956,5063,5003,4993,4931,4841,4815,4818,4611,4635,4723,4825,4845,4976,5026,5057,5105,5148,5174,5201,5297,5254,5392,5380,5425,5407,5348,5420,5381,5338,5104,5141,5185,5249,5196,5234,5127,5167,5155,5169,5260,5277,5421,5528,5645,5710,5826,5815,5892,5972,6014,6158,6106,6186,6283,6462,6442,6298,6405,6486,6412,6550,6570,6552,6639,6635,6658,6735,6694,6769,6675,6636,6509,6433,6448,6464,6371,6496,6507,6554,6618,6624,6710,6756,6820,6917,6959,7000,7113,7058,7086,7149,7194,7234,7354,7382,7448,7528,7501,7672,7752,7792,7975,8072,8293,8375,8550,8625,8749,8860,8886,8957,9012,9014,9019,9063,9369,9329,9353,9449,9452,9500,9643,9882,9907,9987,10007,10100,10202,10279,10402,10454,10399,10565,10559,10617,10743,10823,10803,10859,10912,10748,10712,10475,10177,10220,10112
"25","15","      Durable goods","A795RX0",351,356,360,381,378,379,384,376,368,398,416,430,445,447,550,480,493,421,411,408,409,415,389,454,467,463,458,443,427,446,446,471,511,537,552,535,508,507,495,509,516,502,496,488,454,445,452,467,490,507,514,488,499,509,503,488,459,467,476,497,506,518,520,541,550,559,564,571,591,605,623,601,655,655,675,701,733,701,722,720,704,733,725,725,768,783,816,809,822,818,814,808,794,800,801,745,822,839,858,892,910,931,953,1000,1062,1047,1035,1008,983,986,989,893,910,925,980,1006,1054,1057,1066,1080,1117,1140,1154,1175,1141,1223,1203,1209,1192,1162,1190,1156,1135,1010,1051,1080,1109,1063,1093,1011,1042,1043,1049,1094,1103,1181,1223,1281,1326,1354,1352,1392,1438,1452,1541,1484,1511,1561,1690,1660,1558,1619,1681,1632,1706,1703,1676,1715,1704,1723,1757,1699,1767,1703,1680,1628,1578,1581,1600,1568,1625,1631,1660,1687,1698,1748,1761,1798,1836,1850,1864,1923,1878,1892,1939,1967,1983,2041,2048,2082,2132,2119,2207,2256,2269,2378,2439,2576,2576,2693,2749,2775,2924,2864,2906,2919,2962,2953,2981,3223,3179,3205,3291,3239,3236,3355,3481,3495,3527,3544,3605,3655,3672,3767,3802,3697,3836,3818,3851,3894,3937,3949,3989,4032,3931,3866,3738,3523,3550,3491
"26","16","      Nondurable goods","A796RX0",2965,3002,3002,2949,2946,2963,2932,2957,2955,2951,2913,2947,2972,2996,3034,2954,2996,2941,2989,3009,2972,3029,3069,3100,3107,3110,3068,3058,3074,3053,3078,3114,3134,3179,3186,3235,3257,3236,3223,3233,3238,3237,3268,3232,3191,3207,3252,3281,3311,3325,3324,3329,3311,3336,3302,3289,3296,3327,3316,3347,3362,3364,3377,3382,3390,3390,3408,3391,3438,3493,3548,3542,3567,3591,3632,3755,3773,3799,3814,3792,3825,3844,3830,3837,3904,3943,3995,3985,4021,4020,4024,4039,4064,4049,4064,4097,4101,4099,4078,4093,4097,4197,4244,4313,4330,4284,4293,4266,4200,4163,4161,4077,4076,4156,4185,4164,4239,4295,4317,4351,4338,4327,4336,4417,4425,4448,4469,4514,4522,4502,4541,4551,4536,4462,4438,4443,4473,4483,4480,4486,4485,4467,4475,4509,4515,4559,4617,4662,4665,4757,4749,4774,4794,4822,4849,4880,4932,4965,4963,4992,4989,5016,5008,5002,5045,5075,5097,5137,5150,5146,5183,5228,5209,5199,5189,5119,5105,5119,5109,5048,5108,5113,5124,5158,5148,5173,5206,5226,5282,5308,5336,5377,5381,5392,5394,5405,5427,5481,5502,5529,5548,5535,5606,5627,5655,5709,5733,5794,5886,5925,5934,6038,5970,6075,6099,6142,6092,6106,6120,6157,6168,6162,6164,6227,6280,6296,6403,6414,6462,6465,6496,6547,6608,6635,6653,6700,6730,6741,6767,6850,6886,6856,6874,6888,6821,6844,6729,6629,6646,6595
"27","17","    Services","A797RX0",4703,4749,4717,4671,4701,4756,4761,4786,4796,4801,4771,4763,4802,4906,4961,4970,5085,5099,5139,5128,5170,5230,5277,5328,5362,5406,5414,5349,5376,5447,5516,5556,5598,5616,5649,5733,5764,5795,5829,5876,5873,5900,5917,5954,5926,5989,6043,6052,6105,6172,6228,6276,6282,6330,6296,6328,6366,6434,6427,6512,6550,6625,6656,6713,6718,6769,6861,6928,7018,7094,7160,7232,7295,7385,7461,7563,7623,7686,7725,7786,7839,7895,7980,8025,8133,8243,8327,8396,8454,8538,8582,8662,8733,8760,8829,8843,8877,8940,8997,9110,9244,9335,9437,9581,9683,9743,9783,9796,9762,9836,9859,9933,10005,10105,10124,10240,10337,10383,10483,10600,10701,10717,10803,10875,11023,11161,11208,11234,11319,11360,11371,11434,11414,11306,11397,11536,11491,11541,11500,11479,11497,11547,11626,11791,11922,12049,12192,12287,12324,12403,12534,12646,12851,12940,13081,13153,13172,13219,13293,13404,13536,13636,13718,13824,13963,14054,14204,14297,14342,14363,14434,14544,14574,14710,14771,14678,14643,14726,14710,14746,14909,14954,15065,15187,15205,15249,15366,15420,15498,15554,15617,15639,15672,15769,15830,15871,15986,16047,16080,16123,16212,16275,16414,16529,16670,16828,16979,17046,17146,17293,17445,17606,17827,17989,18106,18215,18258,18292,18292,18327,18405,18460,18478,18505,18542,18593,18674,18739,18877,18950,19033,19194,19275,19375,19459,19518,19618,19719,19769,19867,19996,20032,20044,20008,20056,20033,19918,19895,19840,19809
