"","Table 5#6#5BU2# Change in Book Value by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 28, 2005 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/25/2005 12:36:31 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","B     Nonfarm industries","XNF0",23532,64048,44320,64332,75736,32004,31000,30464,51792,36808,74768,122780,73484,112824,68772,60688,-14756,-14984,-64496,-118376,-30144,19888,35096,43196,56712,-21228,276,31652,82020,119192,73780,119252
"10","2","D Mining, utilities, and construction","XCMU0",-904,1364,3960,792,1140,6780,2536,7520,832,6320,1888,-2500,4048,4852,2132,3260,5276,3880,-1964,8560,776,2248,-4596,3056,16584,-8552,-268,3300,4140,5412,6172,14440
"11","3","D Manufacturing industries","X300",5512,15080,14812,18056,19972,9004,-1368,-5948,-1168,1976,18072,36988,14364,26280,12900,15700,-5552,-26136,-40620,-41912,-27524,-12496,4344,1980,3844,-10188,-17636,1024,22988,34120,32116,35260
"12",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","4","D     Durable goods industries","X30D0",5552,11264,9940,8756,21220,13424,3708,-816,-720,-4760,9220,18944,3340,14456,6876,14908,-6164,-18592,-32900,-31848,-25268,-12636,-6408,3396,-9028,-12896,-17612,5372,10580,21708,24060,21848
"14","5","D       Wood product manufacturing","X3210",156,500,1532,284,-428,256,600,552,792,392,-184,1464,412,-348,-640,740,-1056,688,-504,-1792,824,-344,-364,-496,156,-764,-488,1224,1368,548,388,-900
"15","6","D       Nonmetallic mineral product manufacturing","X3270",340,672,-304,112,244,-64,-8,-36,-220,8,1064,756,56,484,484,1060,484,-296,-584,-1036,-996,-52,80,436,1032,624,-668,-2008,-64,-120,800,788
"16","7","D       Primary metal manufacturing","X3310",1332,-732,-12,964,-960,672,620,-2032,-2324,-100,-84,2524,1796,532,-896,-1876,-1448,-3764,-2840,-2732,-2904,-120,548,1208,908,-3876,-3496,-460,2916,2888,4836,6712
"17","8","D       Fabricated metal product manufacturing","X3320",888,1692,208,2404,184,3152,-532,-1000,-1340,-148,1416,2404,780,4136,376,-144,-36,-1296,-2108,-4316,-2084,-1728,776,-424,-292,-860,-2272,528,2100,5092,5660,4688
"18","9","D       Machinery manufacturing","X3330",-640,4080,-132,2352,3668,-180,3196,-1740,548,-1476,-536,2744,392,4176,2920,4964,-552,-4848,-6576,-6488,-3428,-4540,-1672,684,-3868,-1688,-2484,916,3460,4716,4316,4420
"19","10","D       Computer and electronic product manufacturing","X3340",1064,3512,5872,1492,2144,-3248,-4988,-5828,4120,548,2668,3756,1868,13196,7848,17872,1204,-4924,-16900,-13088,-5228,-7348,-1968,-3932,-8236,-5696,-3196,3584,-2492,3896,3500,2008
"20","11","D       Electrical equipment, appliance, and component manufacturing","X3350",552,1860,276,-696,360,-1120,172,500,-876,520,420,-80,152,1140,1576,1104,200,-1508,-1720,-1044,-1624,-748,-1192,-1564,-80,-532,-948,416,-332,944,1572,-132
"21","12","D       Transportation equipment manufacturing","X3360",2100,-772,2744,48,14992,13444,4296,9688,-2148,-5584,3204,3636,-4476,-10292,-7012,-8544,-5648,-1800,-664,64,-9064,508,-3508,7016,332,52,-3828,868,2280,1348,636,2564
"22","13","D         Motor vehicle and parts manufacturing","X336MV0",1552,4,1936,-2484,2844,-1092,-2524,2644,2108,-736,-128,4104,380,1184,768,-1604,-3072,-940,-3032,-3476,-1260,2428,1516,64,-700,-1060,-1616,804,3316,2008,1544,-896
"23","14","D         Other transportation equipment manufacturing","X336OT0",548,-776,808,2532,12148,14536,6820,7044,-4256,-4848,3332,-468,-4856,-11476,-7780,-6940,-2576,-860,2368,3540,-7804,-1920,-5024,6952,1032,1112,-2212,64,-1036,-660,-908,3460
"24","15","D       Furniture and related product manufacturing","X3370",-40,636,-152,220,216,232,-64,-92,312,252,152,820,716,620,232,-452,428,-384,-676,-1356,-716,164,-20,148,164,28,-676,-540,236,1824,832,796
"25","16","D       Miscellaneous durable goods manufacturing","X3390",-200,-184,-92,1576,800,280,416,-828,416,828,1100,920,1644,812,1988,184,260,-460,-328,-60,-48,1572,912,320,856,-184,444,844,1108,572,1520,904
"26","17","D     Nondurable goods industries","X30N0",-40,3816,4872,9300,-1248,-4420,-5076,-5132,-448,6736,8852,18044,11024,11824,6024,792,612,-7544,-7720,-10064,-2256,140,10752,-1416,12872,2708,-24,-4348,12408,12412,8056,13412
"27","18","D       Food manufacturing","X3110",-440,992,-12,2148,-740,-904,-928,-328,-20,96,2544,2308,4344,80,-492,1000,56,1240,-780,-580,-408,2300,1148,-308,3236,-536,904,-1424,1556,2188,-788,-77
"28","19","D       Beverage and tobacco product manufacturing","X3120",-200,1184,1520,1040,1044,-1268,-476,1128,-908,32,-1368,1736,732,372,528,-976,776,32,1104,188,520,-32,148,-1132,-180,444,1124,-1352,528,264,1608,-1493
