"","Table 3#21# Local Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 11, 2014 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2014 5:16:34 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Current receipts","W830RC1",70.1,81.4,90.9,101.9,114,123.8,137.7,150.8,165.3,180.5,191.3,208.3,226.9,244.4,262.5,289.9,318.4,342.5,360.1,387.9,420,446.2,475.9,501.1,522.2,556.9,584.6,617.4,652.4,690.4,739.5,791.8,825.4,865.1,915.7,957.8,1016.4,1089.2,1154.8,1164.4,1171.2,1184.5,1200.4,1204.4
"9","2","Current tax receipts","W831RC1",38.4,43.2,47.9,52,56.1,60.2,65.5,71.9,78.6,80.8,83.1,89.1,100.2,110.8,120.4,131.9,142.8,155.6,168.5,183.3,199.6,213.6,230.1,241,247.7,263.8,270.7,283.7,300.8,314.2,332.5,353.1,367.5,394.8,419.8,451.5,490.2,526.4,561.6,565.3,580,585.7,593.1,600.3
"10","3","  Personal current taxes","W832RC1",2,2.3,2.5,3,3,3.4,3.7,4.1,4.5,4.9,5.1,5.1,6.2,6.9,7.2,7.8,8.2,8.9,9.1,11.7,12.3,12.9,13.5,14.7,14.8,15.9,17.2,17.8,19.3,20.9,21.9,23.2,22.9,22.7,24.4,27.1,30,31.5,34.6,33.8,31.2,33,33.8,35.1
"11","4","    Income taxes","W833RC1",1.1,1.3,1.5,2,2,2.3,2.5,2.8,3.2,3.4,3.6,3.5,4.3,4.9,5.1,5.6,6,6.8,6.8,9.1,9.4,10,10.3,11.4,11.3,12,13.3,13.7,14.9,16.2,17.1,18.1,17.6,17.1,18.3,20.3,22.5,23.6,26.5,26.1,23.3,25,25.7,26.9
"12","5","    Other","W834RC1",0.9,0.9,1,1,1,1.1,1.2,1.3,1.3,1.5,1.5,1.7,1.8,2,2.1,2.2,2.2,2.1,2.3,2.6,2.8,3,3.2,3.3,3.5,3.8,3.9,4.1,4.3,4.6,4.8,5,5.3,5.6,6.2,6.9,7.5,7.9,8.1,7.7,7.9,8,8.1,8.2
"13","6","  Taxes on production and imports","W8735C1",36.1,40.6,45.2,48.8,52.7,56.4,61.4,67.3,73.6,75.3,77.3,83.3,93,103,112.1,122.7,133.1,144.7,157.3,169.4,185.6,198.7,214.5,224.2,230.5,245.4,251,262.9,278.4,290,307.1,326.5,341.6,366.2,389,416.4,449.8,483.6,516,522.6,541.6,544.9,550.9,556.7
"14","7","    Sales taxes","W836RC1",2.9,3.5,4,4.6,5.2,6.1,7,7.9,9,10.2,11.5,12.8,14.3,15.9,17.7,20.1,22.1,24.1,25.7,27.2,30.1,31.8,33.2,34.6,37,39.7,42.2,44.4,47.4,50.6,55.6,61.3,61.9,63.1,66.8,70.5,76.8,85.2,90,90.4,88.3,91.2,93.8,95.7
"15","8","    Property taxes","W837RC1",31.9,35.7,39.5,42.2,45.2,47.9,51.9,56.7,61.7,61.8,62.1,66.2,74.4,82.5,88.9,96.3,104,112.6,122.7,132.7,145.6,157,171.1,178.6,181.3,192.4,195.3,204.2,215.5,222.5,233.7,246.9,260,281.6,297.9,317.9,342.3,365.3,394.1,404,424.7,424.4,427.1,430.3
"16","9","    Other","W838RC1",1.4,1.5,1.8,2,2.3,2.4,2.5,2.7,2.9,3.3,3.7,4.2,4.3,4.6,5.5,6.3,7,8.1,8.9,9.4,10,9.9,10.2,11,12.1,13.3,13.4,14.4,15.6,16.9,17.8,18.3,19.8,21.5,24.2,28,30.7,33.1,32,28.1,28.6,29.3,30.1,30.7
"17","10","  Taxes on corporate income","W839RC1",0.3,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,1,1,1,1.4,1.5,2,2.1,2.3,1.8,2,2.1,2.1,2.4,2.5,2.5,3.1,3.1,3.4,3.5,3.5,3,5.9,6.5,7.9,10.4,11.3,11,9,7.2,7.8,8.4,8.5
"18","11","Contributions for government social insurance","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","12","Income receipts on assets","W841RC1",2.2,2.6,2.8,3,3.9,5.2,5.6,5.1,5.6,7.2,9.8,12.9,16.4,19.2,21.9,25.2,29.5,31.4,30.1,30.4,33.8,34.5,33.2,30.4,28.7,29.6,32.2,34.3,36.3,38,38.6,44.6,42.6,36.2,31.9,32.4,38,48,52.9,45.6,35.7,31.3,29.3,28.4
"20","13","  Interest receipts","W842RC1",1.8,2.2,2.3,2.4,3.3,4.5,4.9,4.4,4.9,6.5,8.9,11.8,15.3,17.8,19.8,22.8,26.7,27.9,27.4,28.6,32.1,32.7,31.2,28.4,26.6,27.6,30.3,32.4,34.3,35.8,36.1,42,39.8,33.2,28.6,29,34.2,44,48.9,41.4,31.4,26.7,24.5,23.4
"21","14","  Dividends","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","  Rents and royalties","W844RC1",0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.9,1.1,1.1,1.4,2.1,2.4,2.7,3.5,2.7,1.7,1.7,1.8,1.9,2,2.1,2,2,2,2.1,2.2,2.5,2.7,2.8,2.9,3.2,3.4,3.8,3.9,4,4.2,4.2,4.6,4.8,5
"23","16","Current transfer receipts","W845RC1",28.8,34.8,39.5,46,53.2,57.9,66.4,73.5,80.9,92.3,98.8,107.3,112.2,115.6,120.4,131.7,144,153.7,159.2,170.5,181.9,193.4,207.7,224.8,240,257.6,273.2,288.7,305.4,330,358.7,385.8,409.1,430.7,464.4,478.3,492.8,520.8,550.4,566,567.7,577.8,585.4,581
