"","Table 1#5#5# Gross Domestic Product, Expanded Detail","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 29, 2014      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2014 5:06:42 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","    Gross domestic product","A191RC1",1019.9,1075.9,1167.8,1282.4,1428.5,1548.8,1688.9,1877.6,2086,2356.6,2632.1,2862.5,3210.9,3345,3638.1,4040.7,4346.7,4590.1,4870.2,5252.6,5657.7,5979.6,6174,6539.3,6878.7,7308.7,7664,8100.2,8608.5,9089.1,9665.7,10289.7,10625.3,10980.2,11512.2,12277,13095.4,13857.9,14480.3,14720.3,14417.9,14958.3,15533.8,16244.6,16799.7
"9","2","Personal consumption expenditures","DPCERC1",604.5,647.7,701,769.4,851.1,932,1032.8,1150.2,1276.7,1426.2,1589.5,1754.6,1937.5,2073.9,2286.5,2498.2,2722.7,2898.4,3092.1,3346.9,3592.8,3825.6,3960.2,4215.7,4471,4741,4984.2,5268.1,5560.7,5903,6316.9,6801.6,7106.9,7385.3,7764.4,8257.8,8790.3,9297.5,9744.4,10005.5,9842.9,10201.9,10711.8,11149.6,11501.5
"10","3","  Goods","DGDSRC1",304.7,318.8,342.1,373.8,416.6,451.5,491.3,546.3,600.4,663.6,737.9,799.8,869.4,899.3,973.8,1063.7,1137.6,1195.6,1256.3,1337.3,1423.8,1491.3,1497.4,1563.3,1642.3,1746.6,1815.5,1917.7,2006.8,2108.7,2286.8,2452.9,2525.2,2598.6,2721.6,2900.3,3080.3,3235.8,3361.6,3375.7,3198.4,3362.8,3602.7,3769.7,3885.9
