"","Table 3#15#2# Contributions to Percent Change in Real Government","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 14, 2014 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2014 5:15:35 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Government","A822RL1",0.2,-2,-1.8,-0.5,-0.3,2.3,2.2,0.5,1.2,2.9,1.9,1.9,1,1.8,3.8,3.6,6.8,5.4,3,1.3,2.9,3.2,1.2,0.5,-0.8,0.1,0.5,1,1.9,2.1,3.4,1.9,3.8,4.4,2.2,1.6,0.6,1.5,1.6,2.8,3.2,0.1,-3.2,-1
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","General public service","W575RZ2",0.7,0.25,0.5,0.47,0.4,0.66,0.51,-0.03,0.24,0.03,0.02,-0.01,-0.38,0.21,0.27,0.14,0.67,0.51,0.33,-0.04,0.25,0.43,0.22,0.27,-0.23,0.12,0.19,-0.14,0.47,0.49,0.43,-0.01,0.51,0.61,-0.13,0.21,0.04,0.02,0.02,0.12,0.44,-0.12,-0.36,0.06
"12","3","National defense","A824RZ2",-1.83,-3.46,-4.03,-2.54,-1.79,-0.31,-0.31,-0.15,0.3,0.25,0.81,1.16,1.91,2.33,2.48,1.85,3.12,2.47,1.8,-0.09,-0.09,0.09,-0.32,-1.41,-1.51,-1.39,-1.08,-0.4,-0.68,-0.5,0.35,-0.2,0.74,1.49,1.86,1.41,0.48,0.49,0.6,1.82,1.35,0.82,-0.61,-0.85
"13","4","Public order and safety","W579RZ2",0.19,0.26,0.33,0.28,0.19,0.31,0.24,0.14,0.07,0.15,0.25,0.13,0.11,0.32,0.07,0.22,0.38,0.39,0.31,0.36,0.48,0.38,0.33,0.27,0.41,0.3,0.36,0.46,0.24,0.45,0.44,0.3,0.45,0.5,-0.08,0.08,0.1,0.23,0.34,0.33,0.23,-0.21,-0.15,0.04
"14","5","Economic affairs","W584RZ2",0.05,-0.45,0.16,0.2,-0.33,-0.22,0.37,0.19,0.52,1.67,0.68,0.31,-0.01,-0.83,0.58,0.26,1.17,0.49,-0.32,-0.48,0.73,0.84,0.02,0.59,0.16,0.08,-0.25,0.05,0.46,0.17,0.75,0.46,0.44,0.17,0.1,-0.3,-0.42,0,0.06,0.01,0.49,0.26,-0.83,-0.13
