"","Table 5#9#5A# Gross Government Fixed Investment by Type         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2014 5:21:10 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
"8","1","      Gross government fixed investment \1\","A782RC1",59.5,59.8,58.5,60.7,65.6,76.2,84.4,89.6,93.2,105.6,120.1,136,147.3,156.9,171.2,193.2,219.9,238.1,254.6,258.4,270.4,290.4,294.1,296.1,291.9,294.2,307.7,320,329.5
"9","2","        Federal","A787RC1",30.7,30.5,27.8,29.3,31.7,35.7,39.8,44.7,49.2,54.7,61.7,70.3,80.4,90,102.3,115.6,132.5,141.9,152.4,148,151.2,158.2,156.8,156.4,150.7,145.4,147.7,149.8,143.7
"10","3","          National defense","A788RC1",19.5,18.9,15.7,16.3,17.8,20.4,22.6,25.6,27.9,30,34.8,40.2,48.2,58.2,69.8,81.1,95.4,103.4,110.8,105.4,105.2,107.3,101.3,97.2,89.2,85.8,85,85,79
"11","4","          Nondefense","A798RC1",11.3,11.5,12.1,13.1,13.9,15.3,17.2,19.1,21.3,24.7,26.9,30.1,32.2,31.8,32.6,34.5,37.1,38.5,41.7,42.5,46.1,50.9,55.5,59.2,61.5,59.6,62.7,64.8,64.7
"12","5","        State and local","A799RC1",28.8,29.3,30.7,31.3,34,40.5,44.6,44.9,44,50.8,58.4,65.7,66.9,67,68.8,77.6,87.3,96.2,102.2,110.4,119.2,132.2,137.3,139.7,141.2,148.8,160,170.2,185.8
"13","6","Structures \2\","A760RC1",29,29.2,31.2,31.6,34.4,40.3,44.5,44.9,44.3,51.5,57.8,65.3,66.4,65,65.7,72.5,81.1,89,95.5,99,102,112.6,117,119.7,121.1,124.7,134.7,144.4,155.6
"14","7","  Federal","A801RC1",3.4,3.4,4.3,4.5,5.2,5.6,6.4,6.7,7.4,8.6,8.8,10.3,10.9,10.7,11.5,12,13.6,14.8,16.7,14.2,13.2,14.1,13.8,15.5,16.6,16,17.5,17.5,16
"15","8","    National defense","A808RC1",1.5,1.3,1.8,1.8,2.1,2.2,2.3,2.1,2.4,2.5,2.5,3.2,3.2,4,4.8,4.9,6.2,6.8,7.7,7.4,6.4,6.1,4.6,5.2,5.3,5.8,6.7,6.3,6.1
"16","9","      New","A814RC1",1.6,1.3,1.6,1.5,1.8,2,2.6,2.4,2.4,2.5,2.5,3.2,3.2,4,4.8,4.9,6.2,6.8,7.7,7.4,6.4,6.1,4.6,5.2,5.4,5.8,6.7,6.3,6.1
"17","10","        Buildings","A815RC1",0.4,0.3,0.4,0.5,0.5,0.6,0.8,0.7,0.7,0.7,0.8,1.1,1.3,1.6,2,2,2.6,2.5,2.7,2.5,2.4,2.6,2.3,2,1.9,2,2.1,2,1.9
"18","11","          Residential","B816RC1",0.2,0.1,0.1,0.3,0.4,0.5,0.6,0.6,0.5,0.5,0.5,0.7,0.7,0.9,1.2,1.2,1.5,1.6,1.9,1.7,1.7,1.8,1.2,1.1,1.2,1.4,1.5,1.4,1.4
"19","12","          Industrial","B817RC1",0.2,0.2,0.3,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.7,0.8,0.8,1.1,1,0.8,0.8,0.7,0.8,1.1,0.9,0.7,0.6,0.6,0.6,0.5
"20","13","        Military facilities \3\","B818RC1",1.2,1,1.1,1,1.3,1.4,1.8,1.7,1.7,1.8,1.8,2.2,2,2.3,2.8,3,3.6,4.3,5,4.9,4,3.5,2.4,3.2,3.4,3.7,4.6,4.3,4.2
"21","14","      Net purchases of used structures","B819RC1",-0.1,0,0.2,0.3,0.3,0.2,-0.3,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","15","    Nondefense","A830RC1",1.9,2.1,2.5,2.7,3.1,3.4,4.1,4.6,5,6.1,6.3,7.1,7.7,6.8,6.7,7,7.3,8,9,6.8,6.9,8,9.2,10.3,11.2,10.2,10.8,11.3,9.9
"23","16","      New","A831RC1",1.9,2,2.5,2.7,3.1,3.4,4.1,4.6,5.1,6.1,6.4,7.1,7.6,6.8,6.8,7,7.1,6.9,8.1,7.4,7.3,8.2,9.5,10.6,10.9,10.9,11.4,11.3,10.2
"24","17","        Buildings","A832RC1",0.4,0.4,0.4,0.5,0.7,0.8,1,1.3,1.4,1.6,1.8,2.1,2.3,1.9,2.1,2.4,2.5,2.4,3.1,2.7,2.6,3.4,4.4,4.6,4.5,3.8,4.6,4.7,4.7
"25","18","          Residential","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","19","          Industrial","B834RC1",0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,1,1.1,0.9,1,0.9,0.8,0.6,0.5,0.5,0.5,0.5,0.7,0.9,0.9,0.8,0.9,0.7,0.4
"27","20","          Educational \4\","B835RC1",0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
