"","Table 6#5C# Full-Time Equivalent Employees by Industry          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Thousands]                                                                                                                                                                                                                                               ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2014 5:22:19 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Full-time equivalent employees \1\","A4301C0",97302,100136,102755,103892,102403,102514,104026,106778,109754,111897,114723,117758,120328,122988
"9","2","Domestic industries","A4302C0",97368,100211,102838,103974,102485,102592,104391,107189,110163,112274,115127,118159,120769,123384
"10","3","  Private industries \2\","A4303C0",80131,82569,84793,85602,84063,84254,86110,88899,91767,93867,96595,99458,101925,104283
"11","4","    Agriculture, forestry, and fishing","A4304C0",1455,1550,1506,1493,1485,1451,1482,1521,1590,1605,1650,1767,1844,1846
"12","5","      Farms","B4305C0",826,859,795,788,779,742,735,719,743,712,750,753,790,762
"13","6","      Agricultural services, forestry, and fishing","B4306C0",629,691,711,706,706,709,748,802,846,893,901,1013,1053,1084
"14","7","    Mining","A4307C0",706,715,691,707,686,631,604,596,578,571,587,579,526,526
"15","8","      Metal mining","B4308C0",45,52,58,60,57,55,52,50,52,54,54,49,44,40
"16","9","      Coal mining","B4309C0",159,150,144,145,135,125,111,111,104,96,94,90,83,76
"17","10","      Oil and gas extraction","B4310C0",394,402,377,391,390,349,340,333,317,315,332,332,289,300
"18","11","      Nonmetallic minerals, except fuels","B4311C0",109,112,111,110,103,101,101,102,105,106,107,108,109,110
"19","12","    Construction","B4312C0",4755,4919,4986,4933,4501,4341,4502,4811,5102,5355,5650,5959,6339,6645
"20","13","    Manufacturing","A4313C0",18570,18912,18954,18648,17980,17642,17632,17974,18146,18121,18291,18431,18212,18097
"21","14","      Durable goods","A4314C0",10981,11219,11220,10939,10401,10113,10060,10316,10537,10642,10851,11054,10967,10970
"22","15","        Lumber and wood products","B4315C0",733,749,735,713,661,667,696,745,757,767,777,798,825,808
"23","16","        Furniture and fixtures","B4316C0",501,511,510,492,456,458,471,493,501,496,502,521,537,547
"24","17","        Stone, clay, and glass products","B4317C0",545,559,562,550,515,502,511,527,529,532,542,556,559,570
"25","18","        Primary metal industries","B4318C0",735,765,767,751,718,683,675,694,699,704,706,711,692,694
"26","19","        Fabricated metal products","B4319C0",1376,1405,1415,1398,1327,1308,1318,1371,1421,1426,1462,1492,1507,1522
"27","20","        Industrial machinery and equipment","B4320C0",2010,2074,2089,2051,1975,1894,1903,1962,2049,2072,2132,2171,2099,2078
"28","21","        Electronic and other electric equipment","B4321C0",1756,1748,1729,1663,1580,1517,1511,1563,1605,1644,1674,1687,1646,1698
"29","22","        Motor vehicles and equipment","B4322C0",844,843,844,815,775,812,827,891,960,958,973,987,1015,1012
"30","23","        Other transportation equipment","B4323C0",1161,1178,1189,1172,1090,1010,910,845,810,816,851,892,866,829
"31","24","        Instruments and related products","B4324C0",957,1012,1004,975,947,905,872,846,827,842,851,858,836,831
"32","25","        Miscellaneous manufacturing industries","B4325C0",364,375,376,359,356,356,365,381,381,384,381,381,383,382
"33","26","      Nondurable goods","A4326C0",7589,7694,7735,7709,7579,7530,7572,7658,7609,7479,7440,7377,7245,7126
"34","27","        Food and kindred products","B4327C0",1550,1566,1572,1591,1600,1588,1606,1630,1638,1651,1648,1645,1654,1656
"35","28","        Tobacco products","B4328C0",54,54,51,51,49,47,45,43,41,40,40,39,36,34
"36","29","        Textile mill products","B4329C0",710,711,703,680,651,656,663,668,653,623,610,590,551,527
"37","30","        Apparel and other textile products","B4330C0",1055,1048,1038,996,962,956,948,955,914,841,799,740,671,594
"38","31","        Paper and allied products","B4331C0",671,678,686,689,682,680,684,686,686,677,676,673,663,651
"39","32","        Printing and publishing","B4332C0",1393,1441,1467,1472,1439,1401,1407,1441,1440,1428,1444,1455,1447,1446
"40","33","        Chemicals and allied products","B4333C0",1014,1052,1062,1075,1069,1065,1059,1038,1028,1022,1017,1020,1022,1022
"41","34","        Petroleum and coal products","B4334C0",159,156,153,155,156,154,149,145,142,139,135,134,130,125
"42","35","        Rubber and miscellaneous plastics products","B4335C0",844,849,869,872,852,867,897,942,963,965,985,999,995,1003
"43","36","        Leather and leather products","B4336C0",139,138,134,129,119,115,114,111,104,92,88,82,74,69
