"","Table 3#15#6# Real Government Consumption Expenditures and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 14, 2014 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2014 5:15:52 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      Government","A822RX1",2451.7,2498.2,2592.4,2705.8,2764.3,2808.2,2826.2,2869.3,2914.4,2994.8,3089.1,3091.4,2992.3,2963.1
"9","2","General public service","W575RX1",214.6,214.4,227,242.9,239.3,245.1,246.3,247,247.5,251,264,260.4,249.2,250.9
"10","3","National defense","A824RX1",516.9,512.3,530,567.3,615.4,652.7,665.5,678.8,695.6,748.1,788.3,813.5,794.6,769.1
"11","4","Public order and safety","W579RX1",283.9,291.2,302.4,315.3,313.3,315.5,318.4,324.9,334.7,344.4,351.4,344.8,340.1,341.3
"12","5","Economic affairs","W584RX1",422.5,434.6,446.3,451.1,454.2,445.1,432.4,432.3,434.3,434.4,449,457.1,431.5,427.7
"13","6","  Transportation","W589RX1",261,268.5,282,293.2,298,291.1,280.9,277.9,270.6,270.3,277.2,276.3,267.5,266.8
"14","7","  Space","W595RX1",28.1,27.5,27.9,29.4,29.6,30.1,29.8,29,30.6,31.7,32.1,31.3,29.2,26.5
"15","8","  Other economic affairs","W596RX1",132,137.4,136.2,129.5,127.9,124.9,122.5,125.9,133.1,132.4,139.6,149.5,134.8,134.3
"16","9","Housing and community services","W597RX1",52.3,47.9,53,57.5,58.4,57,56.2,61.2,60.3,59.9,60.5,61.8,54.3,50.1
"17","10","Health","W598RX1",134.2,138.1,142.3,158.1,170.5,173,179.3,179.3,189.7,198.7,209.5,212.7,212.7,223.1
"18","11","Recreation and culture","W599RX1",36.7,39.2,41.3,43.6,42,41.4,41.4,40.6,41.9,42,43.3,42.3,39.7,39
"19","12","Education","W600RX1",716.3,744.1,768.4,777.7,777.2,785.7,789.3,801.2,816,823,828.4,804.7,780.9,773.7
"20","13","Income security","W605RX1",83,86.3,91.8,100.2,99.4,95.7,98.6,104.9,95,93.4,94.7,94.2,89.4,88.4
"21","14","      Federal","A823RX1",815.3,817.7,849.8,910.8,973,1017.1,1034.8,1060.9,1078.7,1152.3,1217.7,1270.7,1237.9,1220.3
"22","15","General public service","W611RX1",35.4,32.1,38.3,43.7,44.3,52.5,52.7,53.7,55.5,59.8,64.4,67,65,67.8
"23","16","National defense","A824RX1",516.9,512.3,530,567.3,615.4,652.7,665.5,678.8,695.6,748.1,788.3,813.5,794.6,769.1
"24","17","Public order and safety","W615RX1",30.5,33.2,34.9,40.8,42.6,44.6,45.5,47.5,49.1,54.9,58.1,58.2,58.2,58.8
"25","18","Economic affairs","W620RX1",130.8,133,131.2,130.8,133.3,130.8,128.4,130.3,133.8,137.9,144.9,160.4,147.1,143.4
"26","19","  Transportation","W625RX1",25.3,25.1,26.7,33.2,37.3,35.5,35.5,36.4,35.1,37.9,38.5,40.3,41.1,41.9
"27","20","  Space","W631RX1",28.1,27.5,27.9,29.4,29.6,30.1,29.8,29,30.6,31.7,32.1,31.3,29.2,26.5
"28","21","  Other economic affairs","W632RX1",77.2,80.4,76.6,68.1,66.4,65.1,63,65,68.1,68.4,74.2,88.7,76.8,75.1
"29","22","Housing and community services","W633RX1",1.9,-0.2,1,1.4,1.6,1,1.7,1.3,1.6,1.9,1.8,2.1,2.3,2.2
"30","23","Health","W634RX1",78.1,84.1,90.5,97.9,106.2,106.4,107.1,108.5,111.7,119.3,128.6,135,139.7,147.9
"31","24","Recreation and culture","W635RX1",3.9,4.4,4.4,5.1,5.2,5.2,5.1,4.8,4.7,5,5.2,5.9,5.4,5.3
"32","25","Education","W636RX1",6.9,7.3,8.1,9.1,8.9,8.9,9.2,8.3,7.9,8,8.3,8.3,8.7,8.7
"33","26","Income security","W640RX1",10.6,11,11,14.5,15.4,15.2,19.7,27.7,18.8,17.5,18,20.1,17,17
"34","27","      State and local","A829RX1",1643.6,1689.1,1751.5,1802.4,1795.3,1792.8,1792.3,1808.8,1836.1,1842.4,1871.4,1820.8,1754.5,1742.8
