"","Table 2#3#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 29, 2014      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/29/2014 9:25:06 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","    Personal consumption expenditures (PCE)","DPCERG3",21.326,22.325,23.274,24.07,25.367,28.008,30.347,32.012,34.091,36.479,39.713,43.977,47.907,50.552,52.728,54.723,56.66,57.886,59.649,61.973,64.64,67.439,69.651,71.493,73.277,74.802,76.354,77.98,79.326,79.934,81.109,83.128,84.731,85.872,87.573,89.703,92.26,94.728,97.099,100.063,100,101.654,104.086,106.009,107.211
"9","2","Goods","DGDSRG3",32.908,34.164,35.19,36.091,38.244,43.017,46.492,48.311,50.89,54.014,59.122,65.742,70.626,72.551,73.862,75.259,76.466,76.109,78.557,80.627,83.729,87.158,89.289,90.366,91.151,92.078,92.939,93.96,93.851,92.44,92.925,94.769,94.697,93.806,93.703,95.03,96.951,98.277,99.403,102.362,100,101.637,105.345,106.666,106.189
"10","3","  Durable goods","DDURRG3",58.996,60.269,62.35,63.037,63.97,68.17,74.271,78.333,81.843,86.424,92.152,100.15,106.847,111.015,113.27,114.945,116.162,117.439,120.818,122.811,125.049,126.291,128.143,129.028,130.298,132.848,133.817,132.467,129.574,125.912,122.52,120.339,117.982,115.034,110.885,108.752,107.669,105.915,103.764,101.758,100,98.622,97.649,96.467,94.725
