"","Table 6#2D# Compensation of Employees by Industry               ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2014 5:21:47 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      Compensation of employees","A033RC0",5077823,5410309,5856581,6046546,6141911,6365393,6740484,7087759,7503178,7899138,8079199,7787813,7967302,8278491,8611627
"9","2","Domestic industries","A4002C0",5082386,5417479,5863146,6053751,6149710,6372705,6748776,7097917,7513697,7908768,8089958,7795654,7975340,8286577,8619970
"10","3","  Private industries","A4003C0",4146921,4429103,4811250,4934348,4958067,5106160,5405910,5693783,6047461,6367782,6472467,6129492,6251865,6553265,6877214
"11","4","    Agriculture, forestry, fishing, and hunting","N4004C0",27922,29574,30274,31373,31656,31661,34954,34668,38033,41498,42180,42234,41356,41119,42740
"12","5","      Farms \1\","N4005C0",18213,18908,19718,20877,20789,20488,22179,22033,21886,25013,25728,25616,24181,23139,23148
"13","6","      Forestry, fishing, and related activities","N4006C0",9709,10666,10556,10496,10867,11173,12775,12635,16148,16486,16453,16618,17175,17980,19592
"14","7","    Mining","N4007C0",35866,34789,35992,38611,35731,37080,41466,47133,56974,62673,72780,64690,69809,80289,90283
"15","8","      Oil and gas extraction","N4008C0",12344,12338,13358,14096,13240,13640,15562,17181,20894,22573,27287,25873,28055,30536,34634
"16","9","      Mining, except oil and gas","N4009C0",14066,13638,13117,13240,12355,12510,13451,14370,15759,16259,17524,16017,16952,18316,19020
"17","10","      Support activities for mining","N4010C0",9456,8813,9517,11275,10135,10930,12453,15582,20321,23841,27968,22800,24802,31437,36628
"18","11","    Utilities","N4011C0",43093,47188,50214,53904,54653,52916,55608,56111,60888,63089,66298,66840,70701,71917,71031
"19","12","    Construction","N4012C0",252934,278146,307581,325403,327032,335721,357933,387464,421439,439767,433348,369137,342388,351251,369162
"20","13","    Manufacturing","N4013C0",834443,870204,918025,881901,846949,847444,874045,895803,924685,944355,932602,836018,857330,889734,925876
"21","14","      Durable goods","N4014C0",549537,576748,615870,582760,553159,549959,573406,590549,615633,628173,616226,540088,553119,580977,607216
"22","15","        Wood products","N4015C0",20456,21716,22190,21577,21533,21748,23241,24822,24818,23600,21235,16317,15882,16268,16875
"23","16","        Nonmetallic mineral products","N4016C0",23369,24557,26049,26171,25873,25902,26682,28176,29254,29683,27777,22712,22424,23005,23836
"24","17","        Primary metals","N4017C0",33266,33678,34422,31666,29306,28556,30027,30685,31982,32497,33007,25598,27093,30390,31980
"25","18","        Fabricated metal products","N4018C0",74259,76190,80195,77112,74062,73464,77141,81034,85399,88903,90489,77518,78269,84317,90411
"26","19","        Machinery","N4019C0",74947,76056,80170,74924,69544,68656,71810,75417,79313,82795,84198,73950,74962,83190,88071
"27","20","        Computer and electronic products","N4020C0",118402,128596,149631,136219,120011,115796,119584,123147,129609,131838,128174,118625,123885,129277,131475
"28","21","        Electrical equipment, appliances, and components","N4021C0",28107,29501,31274,30044,28027,27693,28545,29087,30297,31037,30870,28569,29653,30225,31460
"29","22","        Motor vehicles, bodies and trailers, and parts","N4022C0",71421,77205,80210,73361,74489,76389,76958,76104,76195,73253,64475,48767,53309,53880,57847
"30","23","        Other transportation equipment","N4023C0",49954,50967,50461,51390,50768,51054,56061,57098,61789,65778,68294,66797,64872,68143,70524
"31","24","        Furniture and related products","N4024C0",21261,22711,23926,22919,22468,22347,23212,23590,23985,23775,22170,17720,16717,16946,17459
"32","25","        Miscellaneous manufacturing","N4025C0",34094,35571,37341,37378,37078,38354,40147,41390,42993,45014,45538,43517,46053,45336,47276
"33","26","      Nondurable goods","N4026C0",284907,293456,302155,299141,293791,297485,300638,305254,309052,316183,316376,295931,304210,308757,318660
"34","27","        Food and beverage and tobacco products","N4027C0",66630,69389,71894,73543,74826,77592,78908,79910,81190,84276,86056,85509,89061,89001,93045
"35","28","        Textile mills and textile product mills","N4029C0",20730,20552,20387,18541,17557,16792,16498,15558,14766,14429,13476,10879,11004,11144,11340
"36","29","        Apparel and leather and allied products","N4030C0",17793,16587,15874,14395,12731,12057,11884,11308,10965,10651,10451,8585,8584,8329,8371
"37","30","        Paper products","N4032C0",31893,32706,33240,32608,31974,31813,31305,31297,31079,31378,31216,28472,28801,29343,29485
"38","31","        Printing and related support activities","N4033C0",33419,34283,35198,34321,32706,32162,32271,32634,32975,33337,32255,27257,26074,26070,25899
"39","32","        Petroleum and coal products","N4034C0",10656,11065,11084,12081,11224,12152,12512,13452,15607,15772,16348,16465,16804,18627,19440
"40","33","        Chemical products","N4035C0",67012,70098,74173,74758,74053,76044,77999,80757,81484,85724,86589,84267,87295,88082,91425
"41","34","        Plastics and rubber products","N4036C0",36774,38777,40306,38893,38718,38873,39260,40336,40986,40616,39983,34498,36586,38162,39654
"42","35","    Wholesale trade","N4037C0",289049,302267,327888,330201,329037,336984,357147,379273,404717,429179,435519,405295,413145,437132,458235
"43","36","      Durable goods","N4038C0",179724,189427,206100,204443,199585,202412,214880,229181,245464,259726,262366,237795,241333,257816,270303
"44","37","      Nondurable goods","N4039C0",109325,112840,121788,125758,129452,134572,142267,150092,159252,169452,173152,167501,171812,179316,187932
"45","38","    Retail trade","N4040C0",362715,380569,405728,416679,428406,444680,459158,477532,492287,506077,500490,474527,479744,497961,512789
"46","39","      Motor vehicle and parts dealers","N4041C0",69610,73962,77750,81630,84828,87987,89997,93130,94789,96193,90021,78062,81657,87508,92703
"47","40","      Food and beverage stores","N4042C0",61884,63387,66019,68167,69900,71926,72655,73657,75051,77391,80550,79338,80005,80737,82897
"48","41","      General merchandise stores","N4043C0",49405,51250,55834,57800,61377,65429,68174,72214,75069,77958,79855,82223,81332,85220,85239
"49","42","      Other retail \2\","N4044C0",181816,191971,206125,209081,212301,219339,228332,238530,247378,254535,250065,234904,236750,244496,251950
"50","43","    Transportation and warehousing","N4045C0",180705,191671,204266,207964,206238,209575,221939,231536,241051,255815,255464,241257,246449,261363,274900
"51","44","      Air transportation","N4046C0",33336,36976,39610,41788,40770,38856,38382,36518,36860,39901,38369,35252,36812,39429,40748
"52","45","      Rail transportation","N4047C0",16414,17029,16656,16406,16057,16361,16979,17896,18702,19285,20394,18829,18558,20767,21556
"53","46","      Water transportation","N4048C0",3040,3232,3265,3584,3694,3811,4188,4670,5090,5746,6082,5889,5981,6538,6786
"54","47","      Truck transportation","N4049C0",53236,58116,60383,61212,61175,62428,65786,70113,74059,76796,74915,68011,69593,74777,78995
"55","48","      Transit and ground passenger transportation","N4050C0",9209,10235,10486,10760,11092,11458,12235,12725,13567,14274,14823,15001,15424,16386,16973
"56","49","      Pipeline transportation","N4051C0",3562,3844,4915,4882,3782,3721,3719,3766,4231,4733,4775,4909,5292,5698,6678
"57","50","      Other transportation and support activities \3\","N4052C0",43544,44857,48965,49171,49108,51121,55223,58017,59973,63827,64118,61018,62104,64589,67602
"58","51","      Warehousing and storage","N4053C0",18363,17382,19984,20161,20560,21818,25426,27831,28569,31251,31988,32346,32685,33179,35561
"59","52","    Information","N4054C0",189515,219617,245982,247207,228397,230443,237912,241382,248776,260446,257780,251554,247323,259731,271239
"60","53","      Publishing industries (includes software)","N4055C0",61169,70609,76136,76059,69606,71567,72154,74251,78129,86013,86148,82596,81959,87715,92791
"61","54","      Motion picture and sound recording industries","N4056C0",19214,19437,20404,22415,21716,22261,24153,24441,24988,26351,27186,26831,28009,29154,30468
"62","55","      Broadcasting and telecommunications","N4057C0",85379,98764,108584,108254,103598,103288,106193,106058,106895,117105,113951,112141,106345,108774,110495
"63","56","      Information and data processing services","N4058C0",23753,30806,40859,40478,33477,33325,35413,36631,38764,30977,30495,29985,31010,34088,37485
"64","57","    Finance and insurance","N4059C0",350353,375539,411892,445619,443986,460524,498494,535378,579775,618202,612921,549013,572469,610113,633597
"65","58","      Federal Reserve banks, credit intermediation, and related activities","N4060C0",123372,130432,134484,150827,161044,175987,183805,196393,207545,209897,199819,184876,186553,199336,212105
"66","59","      Securities, commodity contracts, and investments","N4061C0",95836,107718,132728,141912,125799,119677,138399,153157,175907,204467,204589,164272,180293,190910,191083
"67","60","      Insurance carriers and related activities","N4062C0",121899,127383,133478,141671,145977,153466,163202,171682,181418,188336,192599,185998,191160,203894,214086
"68","61","      Funds, trusts, and other financial vehicles","N4063C0",9246,10006,11202,11209,11166,11395,13089,14147,14905,15502,15914,13867,14463,15973,16323
"69","62","    Real estate and rental and leasing","N4064C0",67702,73093,78990,81225,85997,87408,94948,101397,107907,111799,109856,103430,103647,106727,114224
"70","63","      Real estate","N4065C0",46816,50650,54648,56601,60939,62584,68599,73929,78952,81295,79715,75555,76198,78251,83845
