"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184"
"11","3","       Change in private inventories","A014RX1",40.1,33.5,38.7,21,3.8,17.8,17.9,-14.9,42.1,35.8,34.1,-2,12.3,40.3,43.1,17.3,28.4,55.5,26.5,61.4,29.9,39.3,12.6,46.3,-18.7,-32.7,-5.2,0.3,34.6,52,47,17.2,29.3,43.7,76.6,40.3,48.2,47.2,48.1,57.2,43.3,49,18,13,14.3,12.2,-52.9,-15,61.1,15.3,63.1,32.1,-30.1,-5.9,6.6,-57.5,-53.5,-8.4,-2.9,30.4,96.9,91.1,95.1,59.9,18.5,27.1,22.8,41.9,37.2,18.1,-10.4,-8.8,40.1,22.5,-1.9,84.5,18.6,25.8,21.4,29.5,58.2,44.6,12.3,17.9,16.4,41.1,26.9,-12.6,-20,-23.7,1,34.8,2.6,25.3,23.2,26.6,46,31,2.1,17.3,54.7,98.7,61.6,86.6,72.4,41.3,9.4,15.1,2,29.6,65.5,38.2,51.4,112.9,80.9,94,127.9,49.6,67.4,71.1,97.5,45.3,51.5,107.5,23.6,108.7,68.7,63.9,-37.9,-12.8,-36.9,-97.4,-3.8,26.5,32.4,35.1,36.3,-0.2,7.6,46.6,56.4,81.9,71.1,76.2,111.3,33,18.2,94.8,78.6,84.4,81.9,41.4,19.6,49.4,50.2,23,-20.2,-26.4,-20.7,-67.4,-144.5,-190.1,-206.1,-49.6,9.8,48.8,116.2,58.1,22,42.9,-11,80.6,89.2,56.8,77.2,7.3,42.2,56.6,115.7,111.7,49
"12","4","       Residual","A958RX1",-15.6,-18,-17.9,-22.5,-24.8,-21.8,-22.2,-29.6,-18.1,-17.4,-19.3,-27,-22.7,-16.6,-16.4,-23.8,-16.5,-8.8,-14.4,-5.4,-13.8,-15.5,-24.7,-3.2,-41.3,-41.4,-29,-28.3,-15.6,-10.3,-12,-18.9,-18.6,-11.4,-1.6,-13.8,-9,-8.4,-5.1,-11.4,-6.6,-6.1,-20.2,-26.8,-19.9,-23.4,-51.1,-30.6,-6.6,-25.1,-2.4,-14.4,-39.3,-26.6,-21.9,-46.3,-39.7,-32.9,-31.7,-15.2,4.8,5.1,5.5,-3.7,-15.3,-17.7,-17.8,-10.9,-10.9,-18.3,-23.2,-31.9,-17.1,-20.8,-21.3,-7.8,-17.9,-18.5,-12.7,-15.7,-5.9,-9.8,-18,-15.4,-16.8,-11,-14.1,-20.1,-20.1,-20.5,-20.3,-11.8,-20.7,-11.2,-14.1,-15.1,-10.4,-13.1,-18,-14.7,-10.5,-5.6,-10,-4.7,-7.1,-11.9,-14.3,-11,-14.8,-12.1,-4,-6.5,-12.9,-3.6,-4.1,-3.3,-2,-6.8,-6.3,-6.5,-6.4,-4.5,-4.7,-2.1,-4.4,0.4,-1.3,-0.3,-0.6,-2.6,-1.1,0.2,-2,-3.9,-2.5,-2.3,-0.5,-0.3,0.1,-1.1,-1,0.1,0.1,0.3,-1,1.3,1.9,2.3,-1.2,-1.1,0.5,1.8,3.2,3.7,2.4,-1.3,0.3,-3.1,1.7,-5.6,-7.8,-0.2,3.4,4.6,3.6,2.9,4.8,2.5,0.1,6.6,0.4,10.2,13.5,10.1,11.9,4,5.3,6.9,12.5,15.6,13.7
"13","5","Goods","A353RX1",1057.7,1049.8,1057.4,1048.1,1042.7,1052.1,1056,1016.2,1070.6,1066.8,1076.8,1064.2,1086.4,1139.7,1156.3,1181.9,1234.1,1264.3,1245.8,1274.1,1254.5,1255.1,1233.2,1225.8,1180.2,1189.9,1231.2,1246.5,1288.7,1309.9,1319,1310.5,1326.7,1358,1403.1,1395.5,1386.4,1468,1478.9,1512.3,1520,1513.2,1534.1,1529.2,1543.6,1505.2,1485.7,1523.6,1600.6,1559.2,1617.5,1565.3,1507.6,1535.5,1515.2,1482.5,1492.2,1555.5,1585.9,1670.4,1726.4,1763.2,1782,1795.2,1790.8,1801.4,1834.4,1844,1862,1859.2,1884.6,1892,1898.4,1931.1,1956.6,2009.6,2021.5,2059.8,2062.5,2101.5,2145,2175,2191.1,2177.9,2208.1,2211,2206.6,2165.9,2145.8,2155.9,2176.7,2182.8,2192.1,2235.4,2262.6,2290.8,2299.7,2322.7,2307.3,2362.8,2415.3,2463,2471.5,2542.4,2549.4,2539.1,2558.2,2603.1,2615,2683.1,2742.1,2766.7,2805.7,2883.4,2941.9,2969.7,3020.7,3001.6,3061.2,3156.8,3205.2,3237.9,3289.7,3377.8,3355,3465.3,3450.1,3456.7,3388.4,3398.9,3358.6,3385.3,3425.2,3440.1,3473,3436.9,3478.8,3502.7,3631.9,3700.1,3708.7,3736.6,3789.2,3837.9,3916.2,3927.5,3962.6,4012.6,4123.7,4141.5,4162.4,4239.9,4234.5,4308,4369.4,4422.7,4353.5,4407.5,4356.6,4091.5,3997.6,4002,4041.6,4198.4,4303.3,4353,4454.8,4519.8,4509.3,4573.9,4570,4737.6,4802.6,4810.4,4866.9,4852.4,4917.4,4965.1,5093,5179.1,5063.4
"14","6","    Final sales","A325RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3125.4,3198,3245,3286,3332.9,3369.9,3388.6,3398.3,3414.3,3405.3,3384,3460.2,3423.3,3414.2,3441,3402.3,3441.4,3497,3618.6,3653.2,3653,3657.1,3719.3,3763.1,3810.1,3891.8,3940,3917.5,4047.2,4059.4,4081.1,4196.3,4210.9,4254.8,4316.6,4400.6,4372.9,4436.4,4374.6,4164.4,4150.1,4192.4,4244.5,4242.9,4288.8,4299.8,4331.2,4457.7,4486.2,4523,4580.3,4644.2,4697.1,4741.5,4775.3,4840.4,4868.1,4899.3,4960.1,5047.2,4999
"15","7","    Change in private inventories","A014RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.5,45.3,51.5,107.5,23.6,108.7,68.7,63.9,-37.9,-12.8,-36.9,-97.4,-3.8,26.5,32.4,35.1,36.3,-0.2,7.6,46.6,56.4,81.9,71.1,76.2,111.3,33,18.2,94.8,78.6,84.4,81.9,41.4,19.6,49.4,50.2,23,-20.2,-26.4,-20.7,-67.4,-144.5,-190.1,-206.1,-49.6,9.8,48.8,116.2,58.1,22,42.9,-11,80.6,89.2,56.8,77.2,7.3,42.2,56.6,115.7,111.7,49
"16","8","  Durable goods","A354RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1729.8,1746.7,1806,1845.5,1871.1,1921,1909.4,1914.6,1872.9,1869.1,1833.8,1853,1884.2,1893,1922.6,1896.6,1909.1,1946.7,2018.3,2077.6,2080.4,2102.9,2137.7,2160.4,2223.2,2240.5,2287,2297.1,2339.5,2371.3,2402.2,2410.1,2438.5,2476.4,2521.1,2601.4,2520.3,2512.1,2505.9,2339.5,2184,2178.2,2220.6,2284.5,2400.6,2443.7,2495.8,2524.1,2570.3,2608.9,2640.5,2692.4,2742.2,2755.3,2784.6,2788.5,2793.5,2822,2868,2904.5,2866.5
"17","9","    Final sales","A326RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1679.7,1732.3,1778,1786.5,1851.1,1863.6,1875.4,1878.2,1909.1,1887.6,1860.8,1918,1872.6,1872.9,1904,1863.1,1878,1939.4,2020.6,2039.2,2042,2050.7,2096.3,2125,2155.3,2216.6,2264,2234.1,2310.9,2325.2,2349.1,2393.5,2420.6,2470.6,2504.9,2571.1,2536.3,2555.9,2510.7,2362.7,2324.4,2324.3,2355.5,2331.2,2374.6,2404.4,2425.1,2490.5,2519.5,2558,2598.5,2642.8,2669.6,2682,2704.8,2747.2,2769.5,2789.3,2802.2,2826.9,2827.9
"18","10","    Change in private inventories \1\","A355RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,13.1,29.5,67.3,19.3,64.6,36.1,38.9,-49.5,-27.8,-38,-84.2,8.9,19,17.1,34.9,32,3.3,-8.5,38.8,38.4,54,41.4,34.9,70.7,22.1,21.1,64.8,27.2,46,53.4,15.6,17.1,4.2,14.5,28.3,-18.7,-45.1,-7.9,-25.3,-140.6,-145.5,-134.2,-47.8,22.3,34.8,64.6,29.2,45.4,45.3,36.9,43.9,65,65.8,72.1,36.3,20.4,28.5,59.4,70.2,34.4
"19","11","  Nondurable goods","A356RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1491.4,1507.6,1492.4,1543.5,1485.7,1548.9,1546.2,1547.3,1521.5,1537.7,1535.1,1541.7,1548.9,1554.9,1556.2,1547,1578.1,1560.6,1618.4,1624.8,1630.9,1635.8,1653.1,1679.6,1693.3,1686.2,1672.1,1713.8,1784.7,1768.5,1756.9,1829.1,1793,1828.9,1845,1815.7,1829.8,1893.8,1847.9,1749.6,1812.7,1823.7,1821.3,1914.7,1903.1,1909.8,1959.5,1995.9,1940.7,1966.6,1932.5,2046.3,2062.1,2057.2,2084.3,2066.8,2124.7,2144,2224.2,2273.1,2197.1
"20","12","    Final sales","A334RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1464.1,1480.9,1477.2,1513.5,1486.1,1512.6,1519.5,1527.1,1507.2,1523.3,1531.5,1547.9,1560.9,1550.4,1543.3,1548.6,1573.9,1563.4,1602.1,1618.3,1615,1609.8,1625.4,1640.2,1656.6,1675.3,1674.3,1683.4,1736,1733.2,1730,1802.5,1788.4,1780.7,1808.3,1825.2,1833.5,1878.3,1862.1,1800.9,1825.5,1868.1,1889.1,1911.9,1914.3,1895.4,1906.2,1967.2,1967.1,1965.7,1982.8,2002.9,2028.8,2060.3,2071.6,2094.6,2100.5,2112,2158.6,2219.4,2172.1
"21","13","    Change in private inventories \1\","A357RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,33.6,20.5,36.2,2.7,41.2,31.7,23.4,16.2,18.1,4.3,-6.6,-14.3,6.4,15,-2.1,2.7,-3.9,17.1,6.6,17.1,26.9,29,41.3,39.3,10.6,-3.3,29.7,51.7,38.2,27.9,26,2.1,45.3,35.5,-5,-1.6,16.4,-12.3,-41.2,-4.1,-44.6,-71.8,-1.9,-11.8,14.5,52.2,29.4,-20.4,0.3,-43.5,37.5,27.7,-4,9.9,-24.5,22.1,28.6,57.7,44.2,16.4
"22","14","Services \2\","A341RX1",2982.2,3026.1,3044.4,3073,3080.4,3087.8,3112.1,3126.4,3149.8,3168,3182.9,3218.4,3255.8,3282.3,3304.2,3334.4,3359.7,3388.3,3403.4,3422.3,3432.7,3460.1,3475.6,3515.1,3554.3,3603,3597.6,3634.4,3655.7,3673,3704.1,3744.6,3778.1,3799.2,3838.2,3863.2,3910.9,3957.6,3981.2,4004.4,4038.7,4055.3,4051.2,4087.7,4106.7,4116.6,4143.6,4174.3,4182.8,4222.2,4224.1,4229.6,4248.7,4262.4,4298.8,4356.7,4415.6,4458.5,4512.2,4498.7,4524.1,4576.7,4615.9,4656.1,4734.4,4784.9,4862.9,4904.4,4941.3,4999.2,5051.2,5090.4,5146.1,5188.9,5219.2,5276.2,5338.7,5382.2,5444,5504.6,5535.9,5582.1,5620.1,5671.1,5712.2,5771.2,5805.3,5818,5833.1,5891.8,5912.4,5939.4,6021.2,6060.4,6125.8,6168.7,6179.3,6198.7,6257.4,6282.7,6319.2,6364.5,6418.5,6438.4,6468.5,6529.1,6582.5,6590.6,6630,6693.8,6705.3,6771.9,6794.5,6863,6918.9,6977.5,7021.2,7120,7171.4,7234.6,7282.3,7343.5,7432.3,7522.7,7574,7675,7705.9,7765.8,7820.5,7846.9,7872.2,7898.8,7968.6,8031.6,8068.7,8107.5,8117.3,8198.6,8228.6,8288.6,8361.8,8407,8468.5,8531,8576.4,8628.1,8701.6,8724.7,8779.8,8835.3,8873.6,8953.3,8988.4,9028.8,9092.3,9138.6,9156.8,9187,9191.6,9197.9,9174.2,9210.7,9228.2,9254.8,9256.4,9303.4,9342.9,9380.2,9383.9,9418,9449.2,9444,9500.6,9527,9565.2,9552,9560.1,9577.6,9582.6,9618.3,9712.7
"23","15","Structures","A755RX1",817.7,814.4,817,778.9,773.2,750.1,776.1,798.3,811.9,844.4,857.2,872.7,902.3,902.6,903.7,929.5,955.7,934.4,922.1,902,874.7,864.1,827.5,774.1,755.5,737.2,764,790,837.6,826.7,811.6,849.1,867.1,927.4,923.6,915.8,916,997,1030.2,1043.9,1008.7,1017.4,1035.5,1031.8,1008.9,911.5,913.9,954.4,955.5,941.4,914.4,918.5,879.2,853.5,828.8,844.5,872.6,891.3,943.9,968.4,1009.2,1042.8,1056.8,1063.9,1085.2,1099.2,1101.9,1113.3,1131.2,1120.1,1116.3,1112.2,1111.2,1117.7,1130.6,1141.5,1110.6,1132.9,1123.1,1128.2,1124,1104.7,1117.5,1109.9,1133.7,1107.1,1079.7,1040.9,1006.1,1010.9,1004.4,1013.8,1043.8,1050.7,1042.6,1064.7,1059.1,1068.5,1090,1127.7,1114,1150.7,1148.9,1146.6,1144.2,1138,1155.5,1161.7,1182.6,1224.9,1235.6,1261.2,1273.9,1272.8,1289.4,1285.6,1292.3,1348.4,1381.3,1394,1399.7,1402.6,1409.3,1429.5,1449,1454.1,1461.4,1465.2,1459.2,1494.8,1478.1,1447.9,1455.1,1446.7,1432.8,1445.4,1454.2,1474.2,1527.5,1546.7,1547.4,1580.2,1583.4,1586.3,1611.4,1626.6,1633,1636.1,1639.2,1610.9,1564.2,1520.1,1501,1499.3,1474.7,1430.9,1383.2,1374.1,1346.7,1283,1199.8,1144.4,1132.9,1087.2,1038.5,1083,1043.4,1044.8,1002.3,1022.2,1045.7,1067.1,1085.9,1097.8,1110.4,1144,1116.7,1148.5,1179.2,1163.2,1139.2
"24","16","Residual","A959RX1",-170.5,-188.2,-187.3,-189,-193.5,-178.9,-191.4,-237,-202.4,-221.8,-221.6,-245.8,-247.5,-211.9,-204.4,-200.3,-174.8,-151.4,-165.2,-141.9,-150.7,-153.9,-163.5,-163.6,-203.3,-202.7,-177.3,-182.4,-169.6,-154.8,-151.1,-178,-179,-178,-153.8,-162.8,-180.7,-155.4,-161.8,-147.3,-141.3,-152,-140.7,-151.9,-141.3,-147.6,-167.2,-158.2,-110.3,-142.6,-100.3,-135.4,-167.5,-148.1,-163,-197.5,-209.3,-184.2,-189.3,-143.5,-126.8,-124.5,-125.1,-127.1,-148.9,-155.6,-152.2,-157.3,-158.7,-167,-162,-163.6,-169.3,-161.6,-157,-143.5,-140.4,-134.4,-140.4,-132.7,-116.5,-105.1,-106.6,-118.2,-116.5,-117.2,-117.3,-127,-128.9,-133.7,-125.8,-129.2,-143.9,-132.8,-127.7,-127.7,-124.1,-120,-138.6,-130.1,-110.9,-107.5,-110,-85.8,-86.2,-95.1,-98.5,-85.3,-90.2,-83.9,-67.8,-72.4,-65,-47,-38.2,-34.6,-25.2,-51.3,-45.8,-27.5,-52,-38.3,-26.7,-25.9,-17,-12.4,-15.2,-16.6,-17,-30.1,-34.8,-16.6,-27.2,-32.3,-24.2,-34.5,-29.5,-23.2,-13.4,-12.5,-15.1,-17.9,-13,-11,-9.5,-2.1,2.2,-0.8,1.6,2.8,6.2,7.4,10.5,12.6,11.3,7,5.9,2.6,4.2,-3.4,-7.1,-0.5,2.8,4.8,3.4,2.5,4.9,1.1,-3.8,1.8,-7.5,3.9,4,-1.2,0,-10,-5.4,-4.8,-0.4,0.1,0.2
"25",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","17","  Motor vehicle output","A953RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341.2,343.6,354.1,361.3,366.8,352.9,336.6,325.1,310.4,333.1,330.1,343.4,360.7,365.6,376.3,364.4,356.2,373.8,375.2,380.5,382.8,376.9,394.4,392.7,394.4,400.6,421.8,389.4,403.5,395.4,398.4,388.2,398.9,403.7,401.5,385.7,369.7,349.6,326.3,259.4,209.4,222.7,272.4,282.8,305.9,318.8,336.5,324.8,347.8,343.2,352.3,372.8,396.8,402.9,403.1,400.3,409.3,421.1,406.8,424.9,416.3
"27","18","  Gross domestic product excluding motor vehicle output","A962RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11520.5,11618.2,11758,11960.1,11988.6,12242.8,12280.6,12363,12345.1,12383.4,12348.2,12362.6,12461.2,12525.7,12574.8,12595.8,12671.8,12774.5,12996.2,13142.3,13220.8,13332.3,13433.1,13552.1,13703.4,13773.5,13865.7,13981.2,14140.6,14194.9,14204.5,14329.7,14327.9,14436.5,14538.9,14610,14525.8,14620.2,14569.7,14315.2,14161.9,14134.2,14130.6,14257.8,14291.3,14418.2,14501.2,14616.3,14544.3,14666.5,14708,14866.8,14981.5,15021.3,15127.5,15136,15171.1,15254.7,15429.3,15513.5,15483.1
"28","19","  Final sales of computers \3\","BB01RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,18.5,19.9,19.7,22.1,24.4,25.1,26.3,28.7,27.7,26.4,27.7,27.4,27.5,29.1,29.9,30.9,30.9,35.1,36.5,34.2,34.2,34.7,36.9,37.6,40.3,41.8,44.6,48,50.4,52,54.6,54.5,55.4,61.4,67.2,67.8,71.4,70.1,70.4,75.6,74.8,71,68.6,72.8,67.3,65.9,71,74.7,74.8,74.3,81.4,87.8,82.5,82.7,91.6,95.4,98.8,95.6,94.7,101.9
