"","Table 2#3#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 05, 2013 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/5/2013 1:56:23 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Personal consumption expenditures (PCE)","DPCERX1",7788.1,8182.1,8387.5,8600.4,8866.2,9205.6,9527.8,9814.9,10035.5,9999.2,9842.9,10035.9,10291.3,10517.6
"9","2","Goods","DGDSRX1",2460.9,2588.3,2666.6,2770.2,2904.5,3051.9,3177.2,3292.5,3381.8,3297.8,3198.4,3308.7,3419.9,3534.1
"10","3","  Durable goods","DDURRX1",698.3,758.3,798,856.6,917.6,992.9,1046.9,1091.5,1141.7,1083.2,1023.3,1085.7,1157.1,1246.7
"11","4","    Motor vehicles and parts","DMOTRX1",335.8,346.4,364.1,383.3,394.6,405.5,400,385.1,392.8,340.8,317.1,323.4,339.4,364
"12","5","    Furnishings and durable household equipment","DFDHRX1",171.2,187.7,197.3,211.7,226.8,248.3,264.8,278.3,280.4,267.7,244.3,261.5,276,292.8
"13","6","    Recreational goods and vehicles","DREQRX1",113.1,132,144.2,160.7,181.6,209.3,237.6,268.8,299,308.7,303.8,336.8,370.5,410.9
"14","7","    Other durable goods","DODGRX1",106,115.4,112.9,119.9,131.1,142.8,153.3,164.4,172.2,166.5,158.2,164.9,173.7,183.6
"15","8","  Nondurable goods","DNDGRX1",1806,1863.6,1896,1931.1,1998.5,2063.7,2132.3,2202.2,2239.3,2214.7,2175.1,2223.5,2266,2296.8
"16","9","    Food and beverages purchased for off-premises consumption","DFXARX1",668.1,684.5,694,697,713.3,729.8,757.6,780.8,791.3,781.9,770,786.5,798.8,809.4
"17","10","    Clothing and footwear","DCLORX1",243.2,255,257.4,265.2,278.3,291.2,306.8,317.4,323.9,322.3,306.5,322.7,335,338.9
"18","11","    Gasoline and other energy goods","DGOERX1",302.3,294.4,294.2,296.4,296.8,299.3,298,297.4,296.8,283.4,284.5,282.2,275.2,271.5
"19","12","    Other nondurable goods","DONGRX1",605.8,636.1,656,675.7,709.5,740.6,765.9,803.3,825.2,828.3,814.2,833,861.6,885.1
"20","13","Services","DSERRX1",5344.8,5611.6,5736.3,5840,5965.6,6154.1,6349.4,6519.8,6650.4,6700.6,6644.5,6727.2,6871.1,6982.7
"21","14","  Household consumption expenditures (for services)","DHCERX1",5205.8,5459.4,5568.2,5649.9,5761.7,5946.7,6143.4,6285,6409.2,6427.1,6368.5,6448.9,6592,6689.4
"22","15","    Housing and utilities","DHUTRX1",1550.5,1600.5,1643,1653.8,1676,1717.9,1788.4,1823.2,1840.8,1860.1,1881,1904.3,1928.4,1943.6
"23","16","    Health care","DHLCRX1",1178.3,1218.8,1279.6,1355.6,1392.5,1442.3,1490.4,1525.2,1563.2,1598.8,1627.4,1649.2,1693.3,1738.4
"24","17","    Transportation services","DTRSRX1",317.5,332.8,330.5,320.8,322.9,331.5,334.7,335.5,339,321.3,289.7,287.1,294.3,298
"25","18","    Recreation services","DRCARX1",316.8,326,325.4,327.3,338.4,355.8,364.7,377.4,392.1,389,376,381,388.8,394.4
"26","19","    Food services and accommodations","DFSARX1",511.4,534.7,533.7,541.7,561.6,584.2,605.1,624.7,632.6,626.1,600.3,609.6,634,656.8
"27","20","    Financial services and insurance","DIFSRX1",598.7,659.2,646,641.7,643.1,668.7,704.1,720.1,742.5,737.4,719,733.9,756,746
"28","21","    Other services","DOTSRX1",733.5,783.5,810,810.7,830.1,848.4,856.6,879.4,898.7,894.3,875.1,883.8,896.7,911.9
"29","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1",150.1,162.6,176.1,194.2,206.3,210.3,209.9,236.6,242.9,273.6,276,278.3,278.9,293.6
"30","23","    Gross output of nonprofit institutions \2\","DNPERX1",777.7,807.3,845.9,896,914.4,938.4,961.7,999.1,1022.2,1055.2,1072.6,1086,1100,1132.1
