"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 05, 2013 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/4/2013 12:57:52 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      National income without capital consumption adjustment","A422RC1",7776.3,8225.5,8817.5,9072,9253.3,9691.3,10392.5,11339.8,12124.4,12443.5,12368.5,12088.3,12662.6,13130,14016
"9","2","Domestic industries","A423RC1",7758.1,8198.4,8780.5,9020.2,9204.7,9623.2,10302.4,11246.3,12055.9,12317,12195.5,11941.1,12456.7,12869.2,13763.2
"10","3","  Private industries","A736RC1",6818.3,7206,7729.4,7908.2,8020.8,8368.4,8977.8,9865.5,10616.5,10811.2,10619.6,10318.1,10776.9,11182.4,12070.5
"11","4","    Agriculture, forestry, fishing, and hunting","N5004C1",74.3,69.2,73.8,73.9,68.8,84.5,104.3,94,97.2,108.4,114.6,104.4,120.9,150.1,159.4
"12","5","    Mining","N5005C1",72.7,70.9,90.7,102.6,87.1,108.8,129.2,175,209.1,204.9,260.1,149.2,185.3,233,254.5
"13","6","    Utilities","N5006C1",130.8,138.2,137.3,139.5,134.3,137.4,149.7,162.1,196,196.7,181,177,190.8,171.8,202
"14","7","    Construction","N5007C1",376.1,421.9,470.7,508.7,513.3,529.2,580.4,648.9,703.5,679.1,623.7,545.7,521,541.1,586.9
"15","8","    Manufacturing","N5008C1",1147.9,1189.7,1243.1,1113.3,1069.8,1105.5,1193.7,1326.7,1432,1454.2,1385.6,1216.5,1356.9,1412,1561.5
"16","9","      Durable goods","N5009C1",707.5,726.3,758.2,634.9,612.9,629.7,668.7,753.2,815.5,825.6,770.3,651.3,757.1,785.7,879.7
"17","10","      Nondurable goods","N5010C1",440.4,463.5,485,478.3,456.9,475.8,525,573.5,616.5,628.6,615.3,565.2,599.8,626.3,681.8
"18","11","    Wholesale trade","N5011C1",514.3,532.7,570.6,563.5,566.5,583.3,627.7,685.2,738.1,766.8,756.2,704.6,737.9,772,852.8
"19","12","    Retail trade","N5012C1",609.1,635.7,666.7,700.4,727.5,761.3,787.9,857,905.4,906.2,840.5,840,872.2,898.6,959
"20","13","    Transportation and warehousing","N5013C1",243.3,249.5,268.5,267.7,263.8,277.3,302.3,333.4,361.8,360.6,361.7,342.3,369,380.6,423.7
"21","14","    Information","N5014C1",284.1,308.5,306.8,305.1,310.3,327.3,371.1,423,440.6,463,455.5,436.7,443.3,442.8,487.2
"22","15","    Finance, insurance, real estate, rental, and leasing","N5015C1",1304.1,1351.5,1472.6,1624.1,1625.8,1681.8,1777.9,1969.1,2093.7,2097.4,1932.4,2135.5,2139.9,2176.4,2312.8
"23","16","    Professional and business services \1\","N5016C1",920.8,1013.9,1115.7,1136.1,1173.7,1222.8,1296.6,1428.1,1556.2,1613.3,1684,1591,1695.8,1779.1,1920.3
"24","17","    Educational services, health care, and social assistance","N5017C1",606.7,647.2,689.4,751.5,820.6,870.8,934.1,988.4,1055.6,1108.6,1185.9,1252.4,1292.5,1334.3,1396.9
"25","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1",289.2,316.7,340.1,350.3,364.2,379.9,408.8,437.2,465.7,483,478.2,463,483.3,508.9,554.5
"26","19","    Other services, except government","N5019C1",244.8,260.3,283.3,271.5,295.2,298.5,314.1,337.4,361.5,368.7,360.1,359.8,368,381.8,399
"27","20","  Government","B436RC1",939.8,992.4,1051,1112,1183.9,1254.9,1324.5,1380.8,1439.4,1505.9,1575.9,1623,1679.8,1686.8,1692.7
"28","21","Rest of the world","A192RC1",18.2,27.1,37,51.8,48.6,68,90.1,93.5,68.4,126.5,173,147.2,206,260.8,252.8
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
