"","Table 6#13B# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/4/2013 1:00:09 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Noncorporate capital consumption allowances","A1700C0",16360,17527,18763,20953,23078,25507,27778,30126,33536,38216,44815,50819,60777,65587,76401,88782,101800,111045,110357
"9","2","Agriculture, forestry, and fishing","A1701C0",3906,4092,4297,4596,5002,5486,5987,6753,7526,8374,9347,10301,10733,11404,11381,11512,11879,11573,11562
"10","3","  Farms","B1702C0",3700,3858,4047,4306,4700,5175,5702,6342,7062,7807,8726,9477,9974,10381,10404,10404,10456,10211,10050
"11","4","  Agricultural services, forestry, and fishing","B1703C0",206,234,250,290,302,311,285,411,464,567,621,824,759,1023,977,1108,1423,1362,1512
"12","5","Mining","B1704C0",420,445,460,525,509,580,754,991,1272,1531,1981,2755,4152,5755,7085,7492,8445,9413,9744
