"","Table 1#6#4# Price Indexes for Gross Domestic Purchases         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"66","57","  Energy goods and services","B982RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.979,48.856,50.407,50.898,49.648,50.593,51.084,50.848,51.075,51.288,50.893,51.076,51.109,51.918,51.561,51.772,49.917,44.769,43.271,42.279,44.622,45.133,46.384,46.273,45.641,45.697,46.227,46.163,46.838,50.147,49.087,48.579,50.75,50.186,52.62,57.554,54.301,52.425,52.255,52.925,52.378,52.813,53.518,54.15,54.091,53.731,53.15,53.801,53.425,52.975,54.452,54.694,54.584,54.533,54.255,53.887,55.444,57.294,56.615,57.918,59.009,56.559,56.907,57.159,53.872,52.598,52.198,51.468,50.783,53.743,56.139,58.023,62.071,63.622,65.661,67.077,68.632,69.658,66.201,60.296,58.701,62.372,63.246,65.186,71.805,67.606,70.542,70.648,74.627,76.013,78.334,83.663,83.249,85.273,97.645,100.742,100.481,103.561,107.131,96.945,100.755,107.787,108.755,115.433,120.587,129.631,138.157,106.704,93.84,95.154,103.244,107.761,109.88,107.295,108.819,115.275,122.498,129.256,130.111,128.64,130.156,127.024,129.234,131.262,129.776,125.637,129.172
"67","58","  Gross domestic purchases excluding food and energy","B983RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.58,51.236,51.91,52.531,52.981,53.266,53.847,54.197,54.732,55.26,55.701,56.052,56.665,57.029,57.49,57.916,58.341,58.678,59.068,59.521,59.87,60.332,60.786,61.333,61.91,62.556,63.129,63.752,64.412,64.961,65.41,65.94,66.638,67.261,67.888,68.511,69.091,69.478,69.996,70.396,70.82,71.306,71.705,72.162,72.581,73.053,73.406,73.761,74.147,74.609,75.011,75.435,75.895,76.3,76.616,76.966,77.276,77.428,77.751,78.105,78.416,78.709,78.881,79.111,79.21,79.373,79.618,79.872,80.192,80.519,80.816,81.251,81.848,82.177,82.647,83.072,83.498,83.831,84.091,84.41,84.704,85.118,85.499,85.926,86.46,86.695,87.075,87.482,88.226,88.938,89.57,90.213,91.02,91.668,92.359,93.164,93.853,94.566,95.112,95.634,96.521,96.921,97.37,97.988,98.703,99.302,99.915,99.915,99.773,99.873,99.959,100.394,100.777,101.121,101.408,101.766,102.229,102.895,103.356,103.616,104.185,104.561,104.868,105.209,105.58,105.778,106.167
"68","59","  Gross domestic product","B191RG3",21.259,21.54,21.847,22.12,22.424,22.747,22.935,23.233,23.588,23.905,24.146,24.345,24.745,24.894,25.114,25.398,25.723,26.145,26.634,27.095,27.647,28.266,29.127,30.012,30.69,31.138,31.692,32.22,32.567,32.893,33.313,33.872,34.416,34.956,35.442,36.038,36.642,37.343,37.992,38.764,39.475,40.416,41.24,42.049,42.96,43.901,44.909,46.17,47.363,48.202,49.101,49.985,50.657,51.283,52.007,52.572,53.018,53.377,53.935,54.326,54.89,55.376,55.833,56.18,56.845,57.167,57.534,57.843,58.124,58.34,58.612,58.965,59.312,59.7,60.141,60.611,61.081,61.687,62.432,62.967,63.609,64.278,64.75,65.181,65.908,66.587,67.187,67.709,68.379,68.839,69.335,69.701,70.02,70.464,70.792,71.282,71.712,72.144,72.512,72.92,73.299,73.66,74.029,74.449,74.899,75.234,75.556,75.917,76.305,76.593,76.941,77.266,77.646,78.007,78.234,78.502,78.615,78.795,79.079,79.286,79.583,79.911,80.197,80.593,81.186,81.633,82.158,82.598,83.136,83.708,83.981,84.244,84.486,84.843,85.219,85.67,86.206,86.47,86.945,87.394,88.137,88.843,89.449,90.092,90.904,91.532,92.399,93.12,93.821,94.597,95.253,95.595,96.657,97.212,97.533,97.948,98.497,98.93,99.605,99.799,100.047,99.891,99.883,100.179,100.509,100.972,101.432,101.948,102.354,103.024,103.651,103.782,104.296,104.751,105.345,105.64,105.994,106.165,106.681
"69","60","      Gross domestic product excluding final sales of computers","BB00RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.525,35.206,35.836,36.58,37.255,38.155,38.951,39.736,40.617,41.534,42.518,43.738,44.881,45.685,46.548,47.402,48.065,48.664,49.363,49.91,50.376,50.752,51.322,51.722,52.296,52.79,53.257,53.613,54.281,54.619,54.995,55.321,55.633,55.86,56.117,56.466,56.847,57.252,57.702,58.157,58.62,59.228,59.961,60.487,61.109,61.785,62.255,62.701,63.444,64.115,64.697,65.216,65.881,66.346,66.869,67.244,67.569,68.039,68.397,68.902,69.348,69.799,70.185,70.609,70.992,71.356,71.734,72.185,72.667,73.029,73.405,73.816,74.27,74.63,75.032,75.424,75.874,76.294,76.585,76.901,77.091,77.342,77.729,78.002,78.371,78.741,79.076,79.515,80.15,80.634,81.193,81.657,82.285,82.891,83.204,83.505,83.788,84.173,84.583,85.067,85.627,85.912,86.413,86.87,87.62,88.33,88.953,89.625,90.469,91.128,92.02,92.769,93.493,94.3,94.98,95.344,96.427,97.007,97.365,97.808,98.381,98.841,99.534,99.748,100.015,99.881,99.902,100.202,100.544,101.014,101.487,102.011,102.432,103.111,103.758,103.897,104.414,104.879,105.488,105.799,106.164,106.346,106.876
"70","61","      Food \3\","BB10RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.445,55.312,55.095,55.232,55.187,55.504,55.852,56.448,57.096,57.675,57.628,57.942,58.013,59.006,60.655,60.793,61.819,62.902,63.359,63.706,64.796,65.124,65.746,65.869,66.818,67.51,67.137,67.23,67.226,67.546,67.788,67.8,68.007,68.44,68.741,69.18,69.51,69.42,69.506,69.626,70.115,71.008,71.708,72.456,73.256,74.408,75.024,74.707,74.716,74.766,74.885,74.934,74.894,74.957,75.201,75.513,75.866,76.027,76.339,76.672,77.107,77.766,78.311,78.846,79.547,80.114,81.053,81.207,81.658,81.703,81.781,81.91,82.313,83.06,83.747,85.238,85.802,87.018,86.635,86.717,86.51,87.496,87.617,87.834,88.243,88.352,88.979,89.477,91.048,92.364,93.529,95.044,97.119,99.598,101.606,101.069,100.754,100.432,99.624,99.19,99.431,99.385,99.756,100.908,102.391,103.399,104.964,105.446,105.818,106.575,108.151,108.958,109.26,108.868,108.744
"71","62","      Energy goods and services","BB11RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.426,76.871,77.463,77.781,78.616,77.408,76.905,73.293,74.371,73.303,75.075,76.114,77.068,77.564,79.943,81.731,79.511,82.658,82.695,80.591,82.118,86.841,86.452,85.747,89.106,89.064,90.664,92.179,91.257,89.93,90.641,93.822,93.118,92.811,94.626,98.191,97.721,95.231,96.228,98.77,96.03,95.001,96.719,96.187,96.462,97.977,96.024,94.745,96.355,98.905,100.311,100.818,98.623,98.861,99.889,99.002,98.402,97.519,96.262,93.107,92.783,96.388,97.495,95.551,102.576,113.891,110.485,105.386,100.69,97.552,98.275,99.011,99.019,102.192,108.522,106.527,107.567,106.085,106.274,105.831,104.969,102.092,113.828,105.156,105.979,110.977,118.273,106.887,112.801,119.879,112.189,95.658,81.686,75.25,74.333,102.094,117.851,100.865,93.481,87.803,85.889,92.043,99.584,102.867,96.727,96.487,101.268,95.98,92.857,95.804,104.574,100.49,98.08,96.673,98.833
"72","63","      Gross domestic product excluding food and energy","BB03RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.574,56.901,57.312,57.637,57.931,58.181,58.469,58.912,59.216,59.631,60.074,60.542,61.03,61.611,62.246,62.78,63.469,64.044,64.531,65.032,65.711,66.319,66.942,67.527,68.108,68.565,69.1,69.459,69.834,70.331,70.657,71.118,71.592,72.043,72.38,72.712,73.114,73.576,73.952,74.346,74.865,75.193,75.458,75.812,76.176,76.38,76.76,77.163,77.542,77.877,78.086,78.363,78.535,78.721,78.994,79.218,79.53,79.892,80.206,80.671,81.288,81.667,82.18,82.657,83.072,83.452,83.752,84.119,84.434,84.868,85.256,85.721,86.274,86.459,86.825,87.257,88.006,88.719,89.388,90.079,90.974,91.635,92.385,93.269,93.988,94.738,95.297,95.811,96.772,97.181,97.576,98.18,98.858,99.288,99.9,99.8,99.749,99.837,99.975,100.439,100.859,101.256,101.588,102.006,102.48,103.143,103.625,103.854,104.468,104.848,105.188,105.562,105.983,106.23,106.737
"73","64","  Final sales of domestic product","B190RG3",21.134,21.414,21.722,21.993,22.295,22.619,22.806,23.103,23.455,23.769,24.012,24.212,24.613,24.761,24.977,25.258,25.587,26.006,26.493,26.96,27.504,28.112,28.962,29.85,30.522,30.974,31.525,32.056,32.407,32.731,33.149,33.707,34.25,34.789,35.286,35.888,36.488,37.188,37.832,38.598,39.308,40.248,41.064,41.867,42.774,43.707,44.717,45.973,47.141,47.976,48.877,49.77,50.45,51.08,51.8,52.368,52.804,53.167,53.729,54.111,54.669,55.149,55.612,55.971,56.646,56.974,57.347,57.656,57.942,58.168,58.445,58.789,59.129,59.513,59.955,60.435,60.917,61.527,62.283,62.812,63.452,64.122,64.592,65.026,65.753,66.438,67.036,67.572,68.235,68.699,69.186,69.552,69.879,70.323,70.651,71.141,71.575,72.004,72.367,72.782,73.156,73.522,73.9,74.318,74.765,75.101,75.427,75.796,76.194,76.484,76.829,77.164,77.546,77.916,78.154,78.428,78.557,78.744,79.034,79.242,79.542,79.878,80.168,80.566,81.165,81.619,82.145,82.589,83.122,83.699,83.971,84.231,84.468,84.827,85.208,85.663,86.204,86.468,86.944,87.395,88.136,88.843,89.449,90.091,90.906,91.537,92.41,93.127,93.828,94.608,95.261,95.602,96.668,97.225,97.547,97.955,98.509,98.946,99.655,99.753,100.015,99.881,99.898,100.205,100.525,100.975,101.43,101.936,102.355,103.041,103.67,103.802,104.322,104.774,105.374,105.663,106.024,106.199,106.725
"74","65","  Final sales to domestic purchasers","B713RG3",20.602,20.878,21.171,21.437,21.745,22.051,22.265,22.563,22.901,23.21,23.469,23.675,24.051,24.22,24.448,24.723,25.047,25.509,25.97,26.466,27.153,27.92,28.754,29.589,30.22,30.683,31.189,31.705,32.054,32.386,32.829,33.361,33.965,34.536,35.078,35.688,36.278,36.975,37.616,38.332,39.075,40.054,41.055,42.044,43.183,44.221,45.239,46.436,47.619,48.469,49.24,50.133,50.773,51.324,52.017,52.567,52.885,53.226,53.766,54.071,54.631,55.104,55.498,55.824,56.394,56.75,57.138,57.552,57.862,57.928,58.257,58.63,59.09,59.555,60.034,60.524,61.028,61.634,62.243,62.822,63.502,64.225,64.609,65.09,65.909,66.453,67.186,68.008,68.428,68.731,69.156,69.539,69.909,70.372,70.791,71.233,71.613,72.045,72.341,72.723,73.055,73.462,73.937,74.335,74.767,75.164,75.45,75.773,76.162,76.426,76.734,77.146,77.475,77.649,77.844,78.076,78.051,78.16,78.385,78.611,78.896,79.33,79.717,80.213,80.94,81.33,81.876,82.336,82.816,83.19,83.33,83.413,83.643,84.162,84.538,85.011,85.772,85.856,86.346,86.775,87.619,88.368,89.047,89.851,90.567,91.28,92.344,93.209,93.851,94.613,95.261,95.412,96.416,97.085,97.583,98.416,99.301,100.246,101.218,100.211,99.622,99.712,100.053,100.613,101.05,101.287,101.606,102.17,102.9,103.808,104.325,104.558,105.15,105.405,105.769,106.171,106.496,106.559,107.042
"75","66","  Implicit price deflator for gross domestic purchases","A712RD3",20.708,20.975,21.263,21.539,21.855,22.15,22.364,22.666,23.007,23.312,23.571,23.777,24.132,24.305,24.549,24.861,25.153,25.589,26.06,26.617,27.273,28.087,28.89,29.694,30.333,30.803,31.312,31.824,32.157,32.493,32.944,33.505,34.11,34.628,35.103,35.876,36.405,37.074,37.695,38.442,39.165,40.157,41.202,42.211,43.321,44.368,45.386,46.564,47.727,48.626,49.361,50.278,50.937,51.467,52.178,52.737,53.041,53.38,53.916,54.236,54.815,55.271,55.652,55.991,56.533,56.912,57.26,57.696,58.003,58.077,58.365,58.72,59.266,59.743,60.213,60.721,61.221,61.809,62.388,62.94,63.669,64.381,64.76,65.259,66.07,66.611,67.339,68.134,68.565,68.871,69.314,69.705,70.048,70.513,70.938,71.369,71.721,72.161,72.529,72.874,73.186,73.592,74.086,74.475,74.889,75.279,75.597,75.923,76.324,76.589,76.77,77.236,77.663,77.68,77.915,78.134,78.108,78.196,78.425,78.687,78.987,79.351,79.74,80.207,80.945,81.342,81.893,82.354,82.833,83.206,83.351,83.427,83.683,84.167,84.541,85.028,85.776,85.859,86.358,86.766,87.619,88.39,89.035,89.843,90.56,91.272,92.338,93.208,93.865,94.607,95.256,95.402,96.408,97.06,97.57,98.425,99.304,100.288,101.228,100.266,99.664,99.724,100.031,100.575,101.04,101.272,101.596,102.171,102.889,103.77,104.304,104.539,105.119,105.383,105.691,106.177,106.576,106.619,107.093
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","2. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","3. Food excludes personal consumption expenditures for purchased meals and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","beverages, which are classified in food services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
