"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 05, 2013 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/4/2013 12:48:28 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      Government consumption expenditures \1\","A955RX1",1968.2,1998.4,2069.1,2149.2,2187.8,2221.7,2239.5,2264.1,2295.7,2353.9,2442.1,2444.9,2379.4,2374.4
"9","2","        Gross output of general government","W101RX1",2338.4,2388.3,2480.1,2569.1,2610.9,2648.3,2672.8,2706.5,2740.3,2798.5,2892,2902.1,2847.7,2842.5
"10","3","          Value added","W102RX1",1653.8,1680.9,1711.2,1743.5,1765.2,1777.8,1794.1,1809,1834.7,1872.9,1907.6,1919.5,1912.2,1912.1
"11","4","            Compensation of general government employees","A194RX1",1357.9,1379.4,1403.6,1429.7,1443.6,1446.6,1452.3,1455.8,1469.2,1494.6,1517.4,1519.4,1504.2,1498.4
"12","5","            Consumption of general government fixed capital \2\","A265RX1",297.2,302.7,308.7,314.8,322.4,331.7,342.1,353.5,365.5,378.3,390.3,400.2,408.3,414.1
"13","6","          Intermediate goods and services purchased \3\","W104RX1",688.1,710.5,770.4,826.3,846.4,871.2,879.5,898,906.3,926.3,984.3,982.6,936.1,931.2
"14","7","            Durable goods","W105RX1",44.7,46,48,49.7,51.8,55.4,56.2,59.9,64,70.5,74.4,74.9,71.5,70.7
"15","8","            Nondurable goods","W106RX1",193.8,204,220.6,230.3,231.2,237.7,240.1,243.7,248.6,247.5,262.9,253.9,244.8,245.8
"16","9","            Services","W107RX1",449.8,461.1,503.1,547.4,563.8,578.1,583,594.2,593.1,608.2,647,654.1,619.8,614.3
"17","10","        Less: Own-account investment \4\","W108RX1",53.1,55.1,60.3,62.5,63.1,63.3,65.1,67.2,69.2,70.5,71,69.3,68.4,66.3
"18","11","        Less: Sales to other sectors \5\","W109RX1",317.9,335.7,351.3,358,360.4,363.9,368.8,375.7,375.8,374.3,378.9,387.9,399.9,401.8
"19","12","Federal consumption expenditures \1\","A957RX1",643.1,645.9,670.8,712.3,758.7,790.3,799.7,813.5,821.8,876.5,933.7,975.2,952.7,947.3
"20","13","      Gross output of general government","W110RX1",675.6,680.9,706.7,749.3,797.1,828.9,842.2,855.9,863.4,919.7,978.1,1020.4,999.8,988.8
"21","14","        Value added","W111RX1",498,500.9,503,511.6,525.3,533.4,540.8,545.3,553.1,574.2,603.6,624.3,630.5,630.1
"22","15","          Compensation of general government employees","B568RX1",319.9,322.6,323.7,331.2,341.4,343.8,344.3,341.2,341.3,354.1,375.5,389.2,389.8,385.9
"23","16","          Consumption of general government fixed capital \2\","B995RX1",178.2,178.6,179.6,181.1,184.9,190.3,196.8,204.2,211.8,220.1,228.1,235.1,240.7,244.3
"24","17","        Intermediate goods and services purchased \3\","W113RX1",181.6,184,206.4,239,272.4,295.8,301.7,310.9,310.6,345.6,374.4,396.2,369.4,359
"25","18","          Durable goods","W114RX1",25.5,25.5,25.8,27.2,29.7,32.9,33.4,36.4,39.8,46.4,49.3,50.8,48.1,47.3
"26","19","          Nondurable goods","W115RX1",24.1,27.3,31.6,34.3,39.5,43.4,44.2,43.6,43.3,46.5,50.9,51.1,49.1,47.9
"27","20","          Services","W116RX1",130.7,130.4,148.7,177.3,203.2,219.5,224.2,230.8,227.3,252.8,274.3,294.3,272.2,263.7
"28","21","      Less: Own-account investment \4\","W117RX1",25.9,26.3,29.2,30.7,31.5,31.3,32.2,33,34,34.4,34.8,34.7,34.9,33.1
"29","22","      Less: Sales to other sectors","W118RX1",6.6,8.7,6.6,6.2,6.8,7.2,10.3,9.4,7.7,8.8,9.5,10.5,12.2,8.5
"30","23","    Defense consumption expenditures \1\","A997RX1",429.4,423.3,435.3,459,494.6,519.9,525.7,531,539.5,576.7,613.3,636,627.1,610.4
"31","24","      Gross output of general government","W085RX1",443.5,438.3,452.4,477.7,514.1,539.2,546.4,553.5,562.2,600.1,636.5,659,650.7,632.9
