"","Table 6#17D# Corporate Profits Before Tax by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/4/2013 1:00:55 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      Corporate profits before tax","A053RC0",728077,766147,747086,690639,788941,969441,1254609,1653323,1851423,1748416,1382443,1468163,1834833,1847355,2190029
"9","2","Domestic industries","E561RC0",625315,644144,600908,520236,630182,802824,1049578,1414245,1595259,1395034,975748,1115360,1439651,1410805,1771091
"10","3","  Agriculture, forestry, fishing, and hunting","N3003C0",548,1850,1364,1162,93,2140,3126,4525,4727,6574,2811,4081,7960,8081,11070
"11","4","    Farms \1\","N3004C0",-115,886,645,698,-647,1090,2122,3066,2859,4423,1534,2445,5408,NA,NA
"12","5","    Forestry, fishing, and related activities","N3005C0",663,965,719,465,740,1050,1004,1459,1868,2151,1276,1636,2553,NA,NA
"13","6","  Mining","N3006C0",4906,6051,15261,15507,5698,16949,25303,44744,59551,57774,55549,20635,31852,32430,35022
"14","7","    Oil and gas extraction","N3007C0",2296,6152,13984,12992,6836,16589,21777,32542,35175,33409,32612,13034,14587,NA,NA
"15","8","    Mining, except oil and gas","N3008C0",1376,1849,1411,623,696,1270,3104,9188,14049,11871,12447,8479,14305,NA,NA
"16","9","    Support activities for mining","N3009C0",1234,-1950,-134,1892,-1835,-910,422,3014,10327,12494,10490,-878,2960,NA,NA
"17","10","  Utilities","N3010C0",33199,34579,24728,22068,11328,13597,20852,31551,54306,49684,30316,23637,29864,11292,36980
"18","11","  Construction","N3011C0",26277,30612,36348,41794,36767,35979,53940,81735,82743,61477,38279,25617,27025,33165,46070
"19","12","  Manufacturing","N563RC0",185773,184688,185552,72361,74518,131068,204018,293262,369174,335940,257692,163568,301677,324574,404704
"20","13","    Durable goods","N565RC0",108874,96684,86301,-11490,1011,33107,63766,114374,151837,122463,77812,27505,134731,145117,196669
"21","14","      Wood products","N3014C0",3967,5941,2970,1794,1854,3016,5431,5864,3223,914,-616,-1444,1727,NA,NA
"22","15","      Nonmetallic mineral products","N3015C0",6500,7582,6034,3832,2953,3638,5884,9483,6548,5459,1112,-1750,-1023,NA,NA
"23","16","      Primary metals","N3016C0",4698,1406,724,-4012,-1522,-1725,12076,14142,20578,17979,17134,-2921,6142,NA,NA
"24","17","      Fabricated metal products","N3017C0",16694,16329,16164,8600,9051,8995,15727,19037,20933,21880,19281,9690,16963,NA,NA
"25","18","      Machinery","N3018C0",16169,12869,10009,2223,2756,3491,10757,18682,24784,26076,21940,8497,18715,NA,NA
"26","19","      Computer and electronic products","N3019C0",16200,5341,20054,-29901,-26048,-8648,940,15007,29329,22749,26208,25607,46993,NA,NA
"27","20","      Electrical equipment, appliances, and components","N3020C0",8552,10283,7218,1076,-2208,1590,631,-1242,11868,-1138,5007,8563,10986,NA,NA
"28","21","      Motor vehicles, bodies and trailers, and parts","N3021C0",17083,13592,4479,-6939,-3172,7887,-3665,851,-6365,-15792,-38801,-55216,-9585,NA,NA
"29","22","      Other transportation equipment","N3022C0",5955,10796,7840,5216,5958,4356,4902,17070,21735,28475,17549,19633,22553,NA,NA
"30","23","      Furniture and related products","N3023C0",3505,3725,3081,1556,2247,2164,2406,4197,4963,3498,1429,1021,2041,NA,NA
"31","24","      Miscellaneous manufacturing","N3024C0",9552,8820,7728,5066,9143,8343,8677,11282,14241,12363,7569,15825,19218,NA,NA
"32","25","    Nondurable goods","N564RC0",76899,88004,99251,83851,73507,97961,140252,178888,217337,213478,179880,136063,166946,179457,208035
"33","26","      Food and beverage and tobacco products","N3026C0",21539,31760,26772,29227,27069,28140,28336,29741,36370,36722,32228,45174,49370,NA,NA
"34","27","      Textile mills and textile product mills","N3028C0",2534,2043,1042,-645,-122,262,679,932,1235,1163,680,484,1290,NA,NA
"35","28","      Apparel and leather and allied products","N3029C0",2921,2029,2706,2076,4802,2727,3422,3947,3747,2946,1491,2189,2732,NA,NA
"36","29","      Paper products","N3031C0",3114,5364,7121,-401,14,145,4553,6081,12046,8571,1653,5425,7869,NA,NA
"37","30","      Printing and related support activities","N3032C0",5026,4998,4305,3058,3337,3452,3847,5388,5976,5114,2912,2326,4651,NA,NA
"38","31","      Petroleum and coal products","N3033C0",2752,3559,27160,26907,5575,26702,51395,83109,80535,80135,80867,16496,26248,NA,NA
"39","32","      Chemical products","N3034C0",32904,32194,26959,22215,30318,33725,42397,43789,71938,72284,58710,58030,66474,NA,NA
"40","33","      Plastics and rubber products","N3035C0",6109,6057,3187,1413,2515,2807,5621,5902,5490,6544,1338,5940,8313,NA,NA
"41","34","  Wholesale trade","N567RC0",50901,56301,62865,48230,54052,63050,83976,103414,116451,117839,98879,89093,117177,116522,142279
"42","35","    Durable goods","N512RC0",30837,33910,38275,24686,27276,29161,46310,60810,67746,65069,49566,36517,56270,NA,NA
"43","36","    Nondurable goods","N3038C0",20064,22391,24590,23544,26777,33889,37666,42605,48706,52769,49313,52576,60907,NA,NA
"44","37","  Retail trade","N3039C0",61731,61693,53495,69570,79760,89690,99032,126952,136169,126169,87389,110525,125019,126764,153227
"45","38","  Transportation and warehousing","N3040C0",12599,7667,9767,-968,-5684,4911,12325,28157,41163,24529,27631,22969,45044,32597,51444
"46","39","    Air transportation","N3041C0",4372,2730,-434,-11941,-16604,-8105,-8406,-6242,2662,-1039,-2705,524,10800,NA,NA
"47","40","    Rail transportation","N3042C0",568,195,1989,1146,1285,1394,2438,6811,10247,10042,9384,5626,8707,NA,NA
"48","41","    Water transportation","N3043C0",245,-196,403,589,249,330,513,1234,1793,1203,1747,174,720,NA,NA
"49","42","    Truck transportation","N3044C0",3190,2328,3046,2764,1750,4189,6886,10792,10070,6157,6741,4966,9246,NA,NA
"50","43","    Transit and ground passenger transportation","N513RC0",683,415,614,690,907,700,814,857,934,671,436,965,1524,NA,NA
"51","44","    Pipeline transportation","N3046C0",1008,549,-33,841,916,720,1005,1045,913,1323,1473,1730,1188,NA,NA
"52","45","    Other transportation and support activities \2\","N3047C0",1845,863,3543,4398,5132,5223,8377,12392,13032,4959,9422,7537,11264,NA,NA
"53","46","    Warehousing and storage","N514RC0",688,782,638,546,681,460,697,1269,1512,1213,1132,1447,1594,NA,NA
"54","47","  Information","N510RC0",32917,20428,-12059,-26638,-3923,15723,52311,91308,107307,108763,92881,81270,94802,87505,110714
"55","48","    Publishing industries (includes software)","N511RC0",11019,16214,2136,2384,11405,14415,20206,27454,20537,18774,14095,13683,20207,NA,NA
"56","49","    Motion picture and sound recording industries","N3051C0",1052,1691,835,3507,7984,7409,10986,6135,8478,10274,12713,12621,19978,NA,NA
"57","50","    Broadcasting and telecommunications","N3091C0",23393,6825,241,-20478,-24020,-7462,13046,51106,66781,71872,56600,47678,47529,NA,NA
"58","51","    Information and data processing services","N3053C0",-2548,-4303,-15270,-12051,709,1360,8073,6613,11511,7843,9473,7289,7088,NA,NA
"59","52","  Finance and insurance","N3092C0",84944,86677,62978,96164,157545,189170,210973,247954,252235,166908,-43676,214733,219274,204990,279842
"60","53","    Federal Reserve banks","N3093C0",25600,26676,31230,28878,23519,20079,20041,26579,33838,35995,35079,47329,71556,NA,NA
"61","54","    Credit intermediation and related activities","N3056C0",49872,57299,61628,68217,89769,87111,78385,87518,72388,56800,40310,86942,73755,NA,NA
"62","55","    Securities, commodity contracts, and investments","N3057C0",-1437,-1620,-23668,-5857,7019,12296,18059,24256,28554,-15178,-97931,32092,20742,NA,NA
"63","56","    Insurance carriers and related activities","N3058C0",26567,19816,15482,8458,25395,55011,87184,99478,106303,85164,-12222,50118,58170,NA,NA
"64","57","    Funds, trusts, and other financial vehicles","N3059C0",-15658,-15494,-21695,-3532,11843,14673,7305,10123,11152,4126,-8913,-1749,-4949,NA,NA
"65","58","  Real estate and rental and leasing","N3060C0",10087,9626,8998,7048,8968,9582,12248,27002,23358,18195,5881,7195,13312,4480,22241
"66","59","    Real estate","N3061C0",6174,7310,8120,5169,7554,8849,13095,18682,12933,8493,2237,2299,7654,NA,NA
"67","60","    Rental and leasing services and lessors of intangible assets \3\","N3062C0",3914,2315,878,1879,1414,733,-847,8320,10425,9702,3644,4896,5658,NA,NA
"68","61","  Professional, scientific, and technical services","N3063C0",28083,27691,8882,12332,24062,31897,39972,47384,56552,58142,64647,68570,82826,81594,85948
"69","62","    Legal services","N3064C0",2712,4128,5945,8503,9194,9041,9702,12305,11716,11538,13775,15138,15417,NA,NA
"70","63","    Computer systems design and related services","N3065C0",7076,3610,-13059,-9956,-2323,2135,4246,3354,6316,7829,9653,13863,14610,NA,NA
