"","Table 1#3#3# Real Gross Value Added by Sector, Quantity Indexes ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 05, 2013 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/4/2013 12:33:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Gross domestic product","B191RA3",32.653,32.721,33.798,35.572,37.58,37.385,37.311,39.321,41.133,43.421,44.8,44.69,45.85,44.974,47.057,50.473,52.613,54.46,56.346,58.715,60.875,62.044,61.998,64.202,65.965,68.628,70.493,73.169,76.453,79.855,83.725,87.149,87.977,89.539,92.038,95.534,98.735,101.368,103.182,102.883,100,102.507,104.4,107.302
"9","2","Business \1\","B195RA3",29.52,29.507,30.623,32.612,34.867,34.334,34.002,36.29,38.354,40.783,42.198,41.798,43.033,41.742,44.028,47.904,50.114,51.951,53.787,56.092,58.248,59.2,58.851,61.344,63.099,66.161,68.22,71.404,75.196,79.058,83.617,87.372,87.909,89.477,92.315,96.488,100.152,103.319,105.51,104.272,100,103.141,105.617,109.454
"10","3","  Nonfarm \2\","B358RA3",29.615,29.577,30.683,32.738,35.105,34.578,34.005,36.43,38.505,41.055,42.417,42.039,43.014,41.64,44.349,48.057,50.109,52.019,53.879,56.333,58.41,59.31,58.952,61.346,63.249,66.176,68.475,71.573,75.31,79.276,83.859,87.519,88.128,89.68,92.457,96.611,100.258,103.453,105.848,104.484,100,103.159,105.742,109.658
"11","4","  Farm","B359RA3",24.871,25.562,26.908,26.911,26.617,26.016,31.001,29.587,31.2,30.103,32.783,31.752,41.942,44.039,28.691,38.889,47.897,45.968,46.482,41.429,47.126,50.537,50.64,58.69,51.71,62.878,50.019,57.933,64.803,61.651,64.42,76.408,70.757,73.704,81.813,87.503,92.574,93.273,78.482,86.259,100,101.507,96.373,95.296
"12","5","Households and institutions","B193RA3",31.786,32.399,33.855,35.228,36.474,38.005,39.357,39.927,40.286,42.04,43.515,45.003,45.975,47.275,48.78,50.222,51.589,53.271,55.477,58.422,60.733,62.69,64.067,65.847,69.128,71.351,73.494,74.977,77.253,79.87,82.137,85.362,87.304,88.719,90.508,92.771,95.59,96.945,97.05,99.799,100,100.881,101.836,102.441
"13","6","  Households","B701RA3",31.799,32.583,34.191,35.663,36.914,38.624,39.78,40.388,40.457,42.798,44.178,45.726,46.398,46.881,47.992,49.42,51.362,52.509,54.197,56.42,58.087,59.236,60.292,61.905,64.735,67.82,70.196,71.651,73.626,75.581,78.659,82.23,84.994,85.695,88.003,91.475,96.064,98.426,97.716,100.502,100,100.483,100.801,100.531
"14","7","  Nonprofit institutions serving households \3\","B702RA3",31.702,31.994,33.175,34.373,35.606,36.839,38.497,39.004,39.821,40.641,42.256,43.644,45.079,47.672,49.805,51.264,51.731,54.241,57.252,61.313,64.621,67.84,69.711,71.745,75.71,76.603,78.387,79.908,82.646,86.288,87.286,89.975,90.658,93.157,94.166,94.661,94.945,94.88,96.127,98.826,100,101.429,103.26,105.064
"15","8","General government \4\","B765RA3",59.859,60.158,60.297,60.27,60.601,61.839,62.812,63.393,64.098,65.367,66.157,67.19,67.701,68.545,69.173,70.232,72.416,74.426,76.295,78.469,80.426,82.465,83.327,83.701,83.917,84.013,84.152,84.338,84.974,85.919,86.694,88.114,89.702,91.396,92.533,93.196,94.05,94.833,96.175,98.182,100,100.622,100.241,100.233
