"","Table 2#9# Personal Income and Its Disposition by Households and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 26, 2013 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/5/2013 2:00:58 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","Personal income","A065RC1",5410.8,5646.8,5934.7,6276.5,6661.9,7075,7587.7,7983.8,8632.8,8987.1,9149.5,9487.6,10049.2,10610.3,11389.8,11995.7,12430.6,12082.1,12435.2,13191.3,13743.8
"9","2","  Compensation of employees","W209RC1",3671.1,3820.7,4010.1,4202.6,4422.1,4714.7,5077.8,5410.3,5856.6,6046.5,6141.9,6365.4,6740.5,7087.8,7503.2,7899.1,8079.2,7787.8,7967.3,8278.5,8611.6
"10","3","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",402.4,430.5,459.5,484.5,547.4,587.9,644.2,700.4,757.8,836.8,871,900.1,962.1,979,1053.7,979.2,1026.5,973,1032.7,1155.1,1224.9
"11","4","  Rental income of persons with capital consumption adjustment","A048RC1",64.3,93.6,117.5,129.2,147,152,169.9,183.1,187.7,207.5,217.3,238,255.4,238.4,207.5,189.4,262.1,333.7,402.8,484.4,541.2
"12","5","  Personal income receipts on assets","W210RC1",982.1,988.6,1029.4,1114,1176.5,1258.5,1342.5,1329.7,1453.5,1441.3,1390.4,1420.5,1503.7,1666.5,1938.4,2166.6,2167.1,1811.8,1739.6,1884.6,1958.5
"13","6","    Personal interest income","A064RC1",793.1,783.9,794.2,856,874.3,920.5,987.1,983.3,1070.2,1072.2,991.8,988.2,941.7,1088.1,1214.7,1350.1,1361.6,1263.9,1195,1204.1,1211.6
"14","7","    Personal dividend income","B703RC1",189.1,204.7,235.2,258,302.2,337.9,355.4,346.4,383.3,369.2,398.6,432.3,562.1,578.3,723.7,816.5,805.4,547.9,544.6,680.5,746.9
"15","8","  Personal current transfer receipts","A577RC1",745.8,790.8,826.4,878.9,924.1,949.2,977.9,1021.6,1083,1188.1,1280.3,1342.9,1416.7,1512,1609.6,1722.8,1884,2140.2,2276.9,2306.9,2358.3
"16","9","    Government social benefits to persons","A063RC1",729.5,776.7,813.1,860.2,901.2,929.8,951.9,987.6,1040.6,1141.3,1246.2,1316.6,1399.9,1486.3,1588.2,1692.2,1847.3,2101.5,2234,2260.3,2316.8
"17","10","    Other current transfer receipts, from business (net)","B931RC1",16.3,14.1,13.3,18.7,22.9,19.4,26,34,42.4,46.8,34.2,26.3,16.8,25.7,21.5,30.6,36.6,38.7,43,46.7,41.4
