"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 07, 2013 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/6/2013 2:14:29 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Government consumption expenditures \1\","A955RG3",4.522,4.445,4.33,4.081,4.083,4.312,4.392,4.496,4.576,4.615,4.552,4.486,4.696,4.741,4.695,4.773,5.004,6.559,7.091,7.299,7.541,7.644,7.974,8.139,8.308,8.571,8.974,9.372,9.786,10.195,10.339,10.524,10.773,11.007,11.347,11.727,12.119,12.68,13.181,13.976,14.803
"9","2","        Gross output of general government","W101RG3",4.53,4.443,4.316,4.065,4.044,4.259,4.34,4.402,4.49,4.525,4.472,4.435,4.63,4.687,4.661,4.751,4.971,6.407,6.964,7.173,7.4,7.506,7.844,8.01,8.177,8.427,8.811,9.191,9.593,9.99,10.127,10.32,10.561,10.786,11.106,11.468,11.837,12.363,12.836,13.598,14.402
"10","3","          Value added","W102RG3",3.069,3.044,3.035,2.895,2.892,3.02,3.02,3.125,3.16,3.22,3.172,3.14,3.194,3.44,3.401,3.597,3.925,5.407,5.876,5.994,6.233,6.302,6.539,6.796,6.963,7.163,7.492,7.859,8.214,8.642,8.87,9.09,9.335,9.555,9.874,10.217,10.57,11.061,11.509,12.292,13.072
