"","Table 7#8# Supplements to Wages and Salaries by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 15, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/26/2013 9:12:14 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Supplements to wages and salaries","A038RC1",8.9,9.8,11.2,14.3,15.7,16.5,17.2,18.7,20.6,23,23.8,26.5,29,30.6,33.6,36.3,39,42.6,50,53.9,60.1,67.7
"9","2","Employer contributions for government social insurance","B039RC1",3,3.3,3.4,4.1,4.1,4.2,4.6,5.2,5.7,6.4,6.3,7.9,9.3,9.6,11.2,12.4,12.6,13.1,16.8,18,20,22.8
"10","3","Employer contributions for employee pension and insurance funds","B040RC1",5.9,6.4,7.8,10.2,11.6,12.3,12.6,13.6,14.9,16.7,17.5,18.6,19.7,21,22.4,23.9,26.4,29.5,33.1,35.9,40.2,44.9
"11",NA,"              By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Pension and other employee benefit plans \1\","A2209C1",5.6,5.9,7.6,9.9,11.1,11.7,12.3,13.2,14.2,15.9,16.3,17.9,19.6,20.4,21.6,23.8,25.8,28.3,33.6,36.4,39.7,45.1
"13","5","  Old-age, survivors, and disability insurance","L306051",0.8,0.8,1.3,1.7,1.8,1.9,2.5,2.8,3,3.7,3.7,4.6,5.6,5.7,6.2,7.5,7.8,8.3,11,11.9,13.1,15.6
"14","6","  Federal civilian pension plans","B4945C1",0.9,0.9,1,1.3,1.5,1.5,1.5,1.5,1.6,2.1,2.2,2.3,2.5,2.6,2.8,3,3.2,3.4,3.7,4,4.4,4.8
"15","7","  Federal military pension plans","B1583C1",1.4,1.6,2.1,3.1,3.6,3.5,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.6,3.8,3.9,4.2,4.5,5.3,5.9,6.4,6.7
"16","8","  Railroad retirement","CON1701",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5
"17","9","  Pension benefit guaranty","B1043C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","  State and local employee retirement","Y239RC1",1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2.1,2.3,2.5,2.5,2.8,3.2,3,3.4,3.7,4.1,4.6,4.8,5.8,6.8
"19","11","  Private pension plans","B4921C1",1.2,1.3,1.7,2.3,2.5,2.9,2.9,3.4,3.8,4.2,4.1,4.8,4.9,5,5.4,5.7,6.6,7.6,8.6,9.4,9.5,10.6
"20","12","Health insurance","A2210C1",0.5,0.6,0.8,1.1,1.2,1.4,1.5,1.8,2.1,2.5,2.8,3.1,3.4,3.8,4.2,4.6,5.2,5.9,7.5,8.6,10.6,12.4
"21","13","  Federal hospital insurance","L306061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,2.1,2.3
"22","14","  Military medical insurance","B1606C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2
"23","15","  Temporary disability insurance","S252101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","16","  Publicly administered government employee insurance funds \2\","Y390RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","17","  Private group health insurance \3\","B4923C1",0.5,0.6,0.8,1.1,1.2,1.4,1.5,1.8,2.1,2.5,2.8,3.1,3.4,3.8,4.2,4.6,5.2,5.9,6.4,6.9,8.4,9.9
"26","18","Life insurance","A2211C1",0.3,0.7,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.9,1,1.1,1.1,1.2,1.3,1.5,1.7,1.8,2,2.4,2.4
"27","19","  Veterans life insurance","CON2101",0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","20","  Private group life insurance \3\","B4924C1",0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.1,1.2,1.3,1.5,1.7,1.8,2,2.4,2.4
"29","21","Workers' compensation","A2212C1",0.9,0.9,0.9,1.1,1.2,1.3,1.4,1.4,1.5,1.6,1.7,1.8,1.9,2,2.2,2.3,2.5,2.7,3.1,3.4,3.9,4.3
"30","22","  Federal","CON2201",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"31","23","  State and local","S253001",0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7
"32","24","  Private insurance \3\","B4925C1",0.8,0.8,0.8,0.9,1,1.1,1.1,1.1,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.8,2,2.2,2.5,2.7,3.2,3.5
"33","25","Unemployment insurance","A2213C1",1.6,1.6,1.5,1.8,1.6,1.6,1.5,1.7,2.1,2.2,2.2,2.7,3,3.3,4.3,4.3,4,4,3.9,3.5,3.5,3.5
"34","26","  State unemployment insurance","CON1201",1,1,1.2,1.5,1.4,1.3,1.1,1.2,1.4,1.5,1.4,2,2.2,2.4,2.9,3,3,3,3,2.6,2.5,2.5
"35","27","  Federal unemployment tax","CON1501",0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.9,0.8,0.6,0.6,0.6,0.6,0.6,0.7
"36","28","  Railroad employees unemployment insurance","CON1601",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1
"37","29","  Federal employees unemployment insurance","CONBFE1",0.4,0.4,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
"38","30","  Private supplemental unemployment","B4926C1",NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Employer contributions to privately administered programs and government employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","pension plans are classified as employer contributions for employee pension and insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","funds.  Employer contributions to other publicly administered programs are classified as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
