"","Table 6#16C# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"32","14","    Manufacturing","A400RC1","101,790.0","132,779.0","122,324.0","120,873.0","109,299.0","109,828.0","122,904.0","162,590.0","199,757.0","220,400.0","248,474.0","220,385.0","219,359.0","205,895.0"
"33","15","      Durable goods","A406RC1","51,353.0","60,887.0","57,031.0","46,107.0","39,327.0","46,313.0","59,032.0","85,160.0","98,581.0","111,112.0","131,765.0","121,316.0","107,731.0","90,932.0"
"34","16","        Primary metal industries","A407RC1","2,228.0","5,016.0","5,218.0","2,317.0","566.0","-2,485.0","-1,216.0","591.0","6,303.0","4,591.0","4,660.0","4,890.0","411.0","-734.0"
"35","17","        Fabricated metal products","A408RC1","5,407.0","6,383.0","6,110.0","5,588.0","4,927.0","5,543.0","6,866.0","10,557.0","11,863.0","14,587.0","17,042.0","16,237.0","15,828.0","15,115.0"
"36","18","        Industrial machinery and equipment","A409RC1","6,143.0","11,654.0","13,234.0","12,124.0","6,195.0","7,466.0","6,225.0","8,216.0","16,554.0","19,131.0","19,904.0","22,458.0","13,515.0","18,223.0"
"37","19","        Electronic and other electric equipment","A410RC1","10,548.0","12,012.0","12,852.0","12,011.0","13,033.0","13,378.0","16,766.0","25,643.0","28,464.0","30,542.0","42,303.0","26,306.0","23,352.0","23,492.0"
"38","20","        Motor vehicles and equipment","A411RC1","5,505.0","6,870.0","4,384.0","-1,420.0","-1,823.0","5,583.0","13,143.0","20,379.0","10,339.0","11,890.0","10,919.0","15,789.0","12,893.0","2,075.0"
"39","21","        Other","A412RC1","21,522.0","18,952.0","15,233.0","15,487.0","16,429.0","16,828.0","17,248.0","19,774.0","25,058.0","30,371.0","36,937.0","35,636.0","41,732.0","32,761.0"
"40","22","      Nondurable goods","A401RC1","50,437.0","71,892.0","65,293.0","74,766.0","69,972.0","63,515.0","63,872.0","77,430.0","101,176.0","109,288.0","116,709.0","99,069.0","111,628.0","114,963.0"
"41","23","        Food and kindred products","A402RC1","10,941.0","9,305.0","10,603.0","13,309.0","17,877.0","17,924.0","15,848.0","19,808.0","27,565.0","22,407.0","24,998.0","21,305.0","27,505.0","25,182.0"
"42","24","        Chemicals and allied products","A403RC1","17,571.0","22,135.0","21,956.0","21,013.0","21,074.0","20,369.0","20,720.0","27,457.0","33,852.0","32,558.0","38,559.0","35,531.0","34,772.0","27,553.0"
"43","25","        Petroleum and coal products","A404RC1","-1,376.0","12,867.0","6,687.0","16,581.0","7,525.0","-1,140.0","1,873.0","440.0","6,663.0","14,802.0","17,049.0","7,185.0","6,003.0","29,209.0"
"44","26","        Other","A405RC1","23,301.0","27,585.0","26,047.0","23,863.0","23,496.0","26,362.0","25,431.0","29,725.0","33,096.0","39,521.0","36,103.0","35,048.0","43,348.0","33,019.0"
"45","27","    Transportation and public utilities","A416RC1","42,008.0","46,837.0","41,919.0","43,533.0","54,546.0","57,661.0","70,127.0","83,880.0","88,967.0","91,249.0","80,987.0","72,574.0","49,301.0","33,819.0"
"46","28","      Transportation","A417RC1","1,151.0","3,896.0","-2,826.0","-5,841.0","-1,471.0","-3,182.0","3,141.0","7,011.0","8,404.0","8,946.0","9,575.0","9,611.0","2,813.0","5,240.0"
"47","29","      Communications","A418RC1","21,992.0","22,277.0","21,402.0","25,664.0","29,128.0","33,548.0","38,279.0","41,369.0","39,459.0","41,155.0","30,724.0","25,520.0","7,724.0","597.0"
"48","30","      Electric, gas, and sanitary services","A419RC1","18,865.0","20,664.0","23,343.0","23,710.0","26,889.0","27,295.0","28,707.0","35,500.0","41,104.0","41,148.0","40,688.0","37,443.0","38,764.0","27,982.0"
"49","31","    Wholesale trade","A414RC1","18,886.0","20,379.0","21,982.0","19,418.0","22,291.0","25,270.0","26,493.0","31,446.0","27,971.0","39,863.0","48,061.0","50,646.0","46,795.0","50,372.0"
"50","32","    Retail trade","A415RC1","23,293.0","19,826.0","20,891.0","20,315.0","26,905.0","28,059.0","39,716.0","46,268.0","43,903.0","52,022.0","63,382.0","72,266.0","72,536.0","68,909.0"
"51","33","    Other","A420RC1","20,262.0","22,474.0","20,519.0","21,318.0","24,299.0","33,417.0","45,836.0","61,245.0","73,138.0","88,458.0","100,293.0","86,278.0","97,608.0","75,396.0"
"52","34","Rest of the world","B394RC1","48,009.0","56,985.0","67,131.0","76,087.0","76,471.0","73,090.0","76,931.0","77,966.0","92,947.0","101,970.0","107,554.0","102,761.0","122,003.0","146,179.0"
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
