"","Table 2#4#6# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/7/2013 10:39:35 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"19","1","      Personal consumption expenditures","DPCERX1","7,788,142.0","8,182,101.0","8,387,516.0","8,600,363.0","8,866,170.0","9,205,644.0","9,527,791.0","9,814,874.0","10,035,540.0","9,999,243.0","9,842,939.0","10,035,856.0","10,291,309.0","10,517,605.0"
"20","2","Goods","DGDSRX1","2,460,874.0","2,588,250.0","2,666,644.0","2,770,177.0","2,904,451.0","3,051,921.0","3,177,160.0","3,292,529.0","3,381,763.0","3,297,792.0","3,198,444.0","3,308,651.0","3,419,922.0","3,534,113.0"
"21","3","  Durable goods","DDURRX1","698,312.0","758,332.0","798,016.0","856,587.0","917,639.0","992,924.0","1,046,946.0","1,091,545.0","1,141,662.0","1,083,235.0","1,023,318.0","1,085,658.0","1,157,111.0","1,246,735.0"
"22","4","    Motor vehicles and parts","DMOTRX1","335,750.0","346,435.0","364,142.0","383,313.0","394,574.0","405,492.0","399,996.0","385,132.0","392,789.0","340,814.0","317,058.0","323,406.0","339,404.0","363,977.0"
"23","5","      New motor vehicles (55)","DNMVRX1","188,192.0","198,449.0","217,821.0","234,467.0","245,747.0","248,207.0","243,507.0","229,474.0","232,036.0","187,157.0","165,623.0","178,589.0","198,045.0","221,878.0"
"24","6","      Net purchases of used motor vehicles (56)","DNPVRX1","95,114.0","94,866.0","94,549.0","97,085.0","95,320.0","100,568.0","97,730.0","96,229.0","100,059.0","96,913.0","99,660.0","91,035.0","86,639.0","87,481.0"
"25","7","      Motor vehicle parts and accessories (58)","DMVPRX1","52,582.0","53,314.0","51,378.0","50,987.0","53,448.0","56,805.0","59,609.0","60,480.0","61,543.0","56,969.0","51,775.0","54,414.0","56,441.0","57,095.0"
"26","8","    Furnishings and durable household equipment","DFDHRX1","171,234.0","187,747.0","197,294.0","211,699.0","226,793.0","248,326.0","264,837.0","278,298.0","280,443.0","267,670.0","244,311.0","261,502.0","275,971.0","292,766.0"
"27","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRX1","96,357.0","106,000.0","110,498.0","117,940.0","126,420.0","140,007.0","152,404.0","162,363.0","167,353.0","158,929.0","144,649.0","155,913.0","164,653.0","176,924.0"
"28","10","      Household appliances (part of 33)","DAPPRX1","31,895.0","34,730.0","36,679.0","39,007.0","41,675.0","46,655.0","48,631.0","49,420.0","47,626.0","45,534.0","41,111.0","43,642.0","45,501.0","44,509.0"
"29","11","      Glassware, tableware, and household utensils (34)","DUTERX1","27,167.0","30,394.0","32,882.0","36,748.0","39,562.0","41,369.0","43,005.0","45,491.0","45,470.0","43,793.0","41,071.0","43,856.0","47,092.0","51,843.0"
"30","12","      Tools and equipment for house and garden (35)","DTOORX1","16,481.0","17,190.0","17,817.0","18,522.0","19,661.0","20,902.0","21,186.0","21,211.0","19,974.0","19,414.0","17,480.0","18,099.0","18,734.0","19,641.0"
"31","13","    Recreational goods and vehicles","DREQRX1","113,096.0","132,046.0","144,203.0","160,652.0","181,585.0","209,327.0","237,637.0","268,788.0","298,972.0","308,742.0","303,775.0","336,804.0","370,503.0","410,850.0"
"32","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRX1","38,950.0","47,361.0","54,200.0","63,562.0","75,053.0","91,538.0","110,648.0","133,075.0","157,594.0","173,287.0","184,935.0","217,102.0","244,754.0","279,230.0"
"33","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRX1","31,929.0","36,707.0","39,591.0","42,447.0","44,786.0","48,322.0","51,742.0","55,944.0","57,743.0","56,334.0","50,894.0","52,853.0","58,505.0","62,698.0"
"34","16","      Sports and recreational vehicles (79)","DWHLRX1","34,398.0","37,048.0","37,009.0","38,417.0","43,502.0","48,492.0","51,021.0","52,020.0","53,448.0","47,548.0","36,950.0","35,465.0","36,053.0","37,646.0"
"35","17","      Recreational books (part of 90)","DRBKRX1","24,034.0","25,901.0","25,946.0","26,379.0","27,218.0","27,526.0","27,746.0","28,120.0","27,796.0","27,424.0","26,424.0","27,400.0","27,970.0","29,369.0"
"36","18","      Musical instruments (part of 80)","DMSCRX1","3,847.0","4,660.0","4,795.0","5,039.0","4,970.0","5,295.0","5,294.0","5,503.0","5,514.0","5,188.0","4,572.0","4,571.0","4,761.0","5,231.0"
"37","19","    Other durable goods","DODGRX1","105,980.0","115,397.0","112,918.0","119,881.0","131,131.0","142,773.0","153,326.0","164,427.0","172,196.0","166,497.0","158,174.0","164,876.0","173,672.0","183,637.0"
"38","20","      Jewelry and watches (part of 119)","DJRYRX1","49,385.0","53,599.0","51,908.0","55,065.0","60,298.0","65,339.0","70,039.0","73,484.0","73,189.0","66,517.0","60,257.0","61,215.0","62,500.0","65,798.0"
"39","21","      Therapeutic appliances and equipment (42)","DTAERX1","33,992.0","36,053.0","34,994.0","37,338.0","39,893.0","42,766.0","45,739.0","48,566.0","52,654.0","53,036.0","52,671.0","55,966.0","58,768.0","61,407.0"
"40","22","      Educational books (96)","DEBKRX1","15,772.0","15,571.0","15,031.0","14,729.0","14,159.0","13,562.0","12,886.0","11,986.0","10,804.0","10,124.0","9,192.0","8,988.0","8,550.0","8,282.0"
"41","23","      Luggage and similar personal items (part of 119)","DLUGRX1","11,156.0","13,091.0","12,648.0","13,456.0","15,269.0","17,492.0","19,654.0","22,021.0","23,885.0","24,061.0","23,343.0","25,516.0","29,790.0","33,584.0"
"42","24","      Telephone and facsimile equipment (67)","DTCERX1","2,018.0","2,564.0","3,025.0","3,548.0","4,817.0","6,139.0","7,098.0","9,540.0","12,010.0","12,803.0","12,712.0","13,234.0","14,381.0","15,083.0"
