"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"21","2","Less: Exports of goods and services","A020RX1","144,673.0","177,106.0","172,857.0","178,851.0","180,394.0","188,332.0","187,718.0","189,444.0","190,166.0","189,783.0","197,579.0","181,015.0","200,186.0","194,359.0","206,095.0","214,834.0","230,579.0","241,699.0","242,505.0","254,418.0","257,669.0","270,199.0","255,627.0","262,306.0","264,157.0","256,470.0","252,150.0","266,406.0","264,559.0","267,226.0","274,990.0","277,783.0","273,322.0","280,689.0","282,863.0","273,785.0","280,234.0","309,440.0","312,833.0","325,254.0","325,524.0","326,383.0","338,138.0","359,417.0","369,448.0","376,412.0","375,614.0","373,337.0","380,389.0","382,446.0","374,309.0","376,040.0","359,739.0","361,908.0","345,874.0","330,035.0","335,365.0","336,376.0","341,445.0","348,332.0","355,612.0","364,454.0","372,501.0","380,061.0","381,041.0","380,221.0","374,696.0","385,911.0","398,038.0","402,358.0","411,568.0","426,925.0","427,244.0","444,795.0","464,073.0","481,370.0","508,136.0","522,384.0","532,670.0","548,914.0","565,291.0","590,029.0","596,049.0","605,061.0","631,339.0","639,188.0","644,061.0","649,740.0","653,762.0","677,585.0","693,626.0","709,239.0","722,067.0","722,401.0","737,724.0","741,429.0","743,094.0","751,994.0","749,978.0","774,162.0","781,748.0","808,133.0","838,346.0","857,685.0","874,180.0","886,459.0","924,814.0","938,016.0","949,327.0","964,782.0","972,602.0","1,033,244.0","1,052,910.0","1,095,028.0","1,120,367.0","1,118,763.0","1,123,883.0","1,111,506.0","1,106,493.0","1,147,736.0","1,142,676.0","1,154,888.0","1,183,301.0","1,215,508.0","1,234,840.0","1,268,406.0","1,298,298.0","1,287,988.0","1,271,355.0","1,229,806.0","1,166,474.0","1,134,260.0","1,152,257.0","1,184,352.0","1,193,295.0","1,182,511.0","1,170,778.0","1,166,614.0","1,198,138.0","1,253,340.0","1,283,697.0","1,301,475.0","1,310,492.0","1,341,459.0","1,356,966.0","1,385,986.0","1,386,809.0","1,423,825.0","1,478,366.0","1,505,405.0","1,502,175.0","1,563,720.0","1,586,509.0","1,614,389.0","1,671,240.0","1,717,083.0","1,738,693.0","1,788,432.0","1,772,812.0","1,667,446.0","1,534,806.0","1,537,527.0","1,588,654.0","1,674,219.0","1,700,374.0","1,739,256.0","1,784,935.0","1,837,693.0","1,854,714.0","1,876,866.0","1,908,872.0","1,921,715.0","1,941,358.0","1,959,759.0","1,961,561.0","1,967,011.0","1,960,452.0","1,998,449.0","2,020,774.0"
"22","3","Plus: Imports of goods and services","A021RX1","214,362.0","256,654.0","253,328.0","250,545.0","249,725.0","254,660.0","254,076.0","258,016.0","254,975.0","274,209.0","280,271.0","261,274.0","299,459.0","288,819.0","294,830.0","308,111.0","322,349.0","313,058.0","304,410.0","306,681.0","296,279.0","311,975.0","306,523.0","303,481.0","273,029.0","251,181.0","272,063.0","286,585.0","304,539.0","317,728.0","330,692.0","341,636.0","357,810.0","361,109.0","356,076.0","361,127.0","385,356.0","386,575.0","391,623.0","396,994.0","395,907.0","398,045.0","391,974.0","400,539.0","400,836.0","371,748.0","345,011.0","363,526.0","379,053.0","379,626.0","375,297.0","386,062.0","375,059.0","368,930.0","386,047.0","370,894.0","379,385.0","408,551.0","440,373.0","461,976.0","499,117.0","520,026.0","533,483.0","549,115.0","536,999.0","563,380.0","557,945.0","579,811.0","579,283.0","603,954.0","620,689.0","625,469.0","621,728.0","637,232.0","649,626.0","664,559.0","661,453.0","653,849.0","669,285.0","689,675.0","692,876.0","696,157.0","695,210.0","707,790.0","730,239.0","729,017.0","726,077.0","706,607.0","698,558.0","710,972.0","730,982.0","747,132.0","752,564.0","764,938.0","777,003.0","795,598.0","812,825.0","829,621.0","840,544.0","874,316.0","894,689.0","928,022.0","954,127.0","980,976.0","1,002,487.0","1,012,019.0","1,015,497.0","1,028,471.0","1,061,903.0","1,085,672.0","1,120,879.0","1,142,993.0","1,191,820.0","1,231,827.0","1,277,207.0","1,304,747.0","1,353,647.0","1,384,678.0","1,403,404.0","1,448,918.0","1,485,379.0","1,531,980.0","1,586,145.0","1,622,112.0","1,688,916.0","1,735,888.0","1,795,537.0","1,799,944.0","1,768,457.0","1,717,924.0","1,675,682.0","1,656,583.0","1,697,972.0","1,754,319.0","1,782,539.0","1,817,044.0","1,793,468.0","1,817,299.0","1,837,200.0","1,907,217.0","1,959,704.0","2,034,034.0","2,059,837.0","2,111,048.0","2,130,379.0","2,151,629.0","2,157,232.0","2,222,851.0","2,270,694.0","2,295,875.0","2,315,554.0","2,312,329.0","2,351,826.0","2,360,935.0","2,362,404.0","2,328,272.0","2,349,857.0","2,328,315.0","2,285,226.0","2,191,462.0","1,981,859.0","1,897,625.0","1,969,060.0","2,055,468.0","2,113,930.0","2,213,575.0","2,289,785.0","2,295,173.0","2,311,257.0","2,315,202.0","2,342,801.0","2,376,406.0","2,380,589.0","2,395,059.0","2,398,036.0","2,379,076.0","2,382,742.0","2,422,872.0","2,434,020.0"
"23","4","Equals: Gross domestic purchases","A712RX1","4,806,171.0","4,815,829.0","4,848,962.0","4,816,398.0","4,805,021.0","4,806,925.0","4,849,946.0","4,801,343.0","4,926,268.0","4,974,132.0","5,007,885.0","5,026,828.0","5,127,339.0","5,243,279.0","5,281,078.0","5,370,108.0","5,494,607.0","5,530,343.0","5,488,751.0","5,523,257.0","5,456,834.0","5,472,021.0","5,435,610.0","5,398,333.0","5,284,881.0","5,307,452.0","5,434,879.0","5,505,485.0","5,659,273.0","5,716,387.0","5,750,934.0","5,805,078.0","5,903,224.0","6,010,480.0","6,104,810.0","6,127,564.0","6,173,281.0","6,363,525.0","6,426,869.0","6,499,611.0","6,510,117.0","6,519,726.0","6,537,102.0","6,532,647.0","6,538,012.0","6,344,954.0","6,289,611.0","6,443,230.0","6,591,787.0","6,541,327.0","6,622,153.0","6,560,158.0","6,459,164.0","6,481,170.0","6,509,930.0","6,517,972.0","6,607,805.0","6,799,007.0","6,969,086.0","7,130,879.0","7,311,424.0","7,452,896.0","7,531,116.0","7,600,021.0","7,656,277.0","7,760,647.0","7,878,924.0","7,949,504.0","8,003,682.0","8,065,409.0","8,153,080.0","8,179,570.0","8,229,825.0","8,316,334.0","8,380,176.0","8,511,229.0","8,517,664.0","8,598,058.0","8,653,443.0","8,770,929.0","8,839,912.0","8,879,368.0","8,935,449.0","8,958,517.0","9,050,035.0","9,072,881.0","9,065,284.0","8,956,450.0","8,899,643.0","8,954,077.0","9,001,786.0","9,041,397.0","9,138,550.0","9,253,697.0","9,339,143.0","9,450,387.0","9,486,590.0","9,551,919.0","9,613,515.0","9,751,496.0","9,860,957.0","10,001,717.0","10,054,672.0","10,176,024.0","10,215,991.0","10,247,817.0","10,292,726.0","10,364,820.0","10,457,933.0","10,648,027.0","10,776,582.0","10,844,579.0","10,958,813.0","11,118,854.0","11,279,715.0","11,397,474.0","11,554,481.0","11,710,403.0","11,885,463.0","12,078,555.0","12,231,423.0","12,366,002.0","12,543,932.0","12,757,202.0","12,840,682.0","13,087,778.0","13,133,554.0","13,216,129.0","13,164,734.0","13,224,521.0","13,209,368.0","13,255,441.0","13,397,587.0","13,490,069.0","13,570,960.0","13,621,626.0","13,676,578.0","13,828,112.0","14,039,396.0","14,204,358.0","14,306,284.0","14,466,204.0","14,603,651.0","14,740,447.0","14,897,212.0","14,965,980.0","15,086,701.0","15,195,098.0","15,362,506.0","15,405,679.0","15,441,999.0","15,489,139.0","15,515,582.0","15,610,046.0","15,653,086.0","15,624,423.0","15,526,058.0","15,522,302.0","15,415,593.0","15,103,901.0","14,820,556.0","14,717,856.0","14,781,804.0","14,920,362.0","15,011,452.0","15,215,362.0","15,348,518.0","15,402,547.0","15,354,037.0","15,451,563.0","15,498,413.0","15,700,490.0","15,822,410.0","15,864,386.0","15,971,419.0","15,950,799.0","16,005,830.0","16,104,058.0","16,202,490.0"
"24","5","Plus: Exports of goods and services, command basis \1\","C020RX1","212,148.0","256,681.0","250,456.0","261,801.0","260,171.0","273,157.0","269,136.0","269,034.0","273,806.0","270,280.0","277,038.0","253,184.0","283,807.0","275,717.0","290,612.0","306,178.0","333,373.0","358,373.0","373,670.0","404,542.0","427,547.0","451,199.0","437,902.0","459,098.0","465,210.0","443,557.0","427,648.0","447,235.0","445,715.0","450,474.0","460,004.0","465,538.0","455,181.0","466,529.0","460,700.0","440,327.0","451,808.0","501,526.0","506,408.0","533,573.0","539,407.0","549,227.0","568,223.0","600,749.0","619,120.0","624,543.0","626,604.0","627,278.0","638,489.0","633,427.0","611,209.0","605,166.0","575,115.0","571,979.0","535,450.0","502,680.0","509,811.0","509,984.0","515,425.0","527,927.0","534,126.0","546,172.0","548,719.0","550,753.0","540,708.0","534,067.0","518,553.0","528,968.0","539,925.0","542,344.0","548,494.0","569,640.0","567,600.0","594,795.0","617,467.0","645,946.0","684,243.0","711,138.0","726,949.0","740,884.0","762,126.0","787,811.0","786,390.0","789,870.0","814,667.0","819,621.0","824,395.0","833,727.0","835,827.0","857,681.0","866,543.0","882,751.0","892,559.0","887,948.0","901,323.0","898,586.0","896,959.0","904,686.0","897,886.0","921,676.0","930,595.0","960,518.0","994,841.0","1,018,718.0","1,043,401.0","1,060,864.0","1,099,960.0","1,105,977.0","1,111,643.0","1,122,331.0","1,118,485.0","1,169,903.0","1,183,756.0","1,227,638.0","1,249,897.0","1,238,938.0","1,232,777.0","1,211,045.0","1,192,325.0","1,228,421.0","1,215,068.0","1,223,203.0","1,250,347.0","1,282,716.0","1,300,500.0","1,340,093.0","1,368,637.0","1,351,912.0","1,325,402.0","1,270,793.0","1,198,003.0","1,152,251.0","1,163,765.0","1,196,171.0","1,209,641.0","1,194,081.0","1,183,672.0","1,180,688.0","1,209,123.0","1,267,830.0","1,302,219.0","1,327,952.0","1,334,474.0","1,368,142.0","1,398,173.0","1,427,370.0","1,422,889.0","1,457,229.0","1,513,516.0","1,550,451.0","1,556,711.0","1,618,158.0","1,637,604.0","1,673,295.0","1,735,151.0","1,795,055.0","1,829,001.0","1,914,327.0","1,907,588.0","1,703,076.0","1,524,644.0","1,525,786.0","1,590,500.0","1,693,258.0","1,728,471.0","1,784,091.0","1,830,813.0","1,918,512.0","1,972,281.0","2,018,922.0","2,054,921.0","2,043,488.0","2,067,479.0","2,085,162.0","2,079,756.0","2,085,478.0","2,079,713.0","2,101,764.0","2,120,483.0"
"25","6","Less: Imports of goods and services, command basis \1\","C021RX1","211,326.0","250,760.0","245,877.0","246,345.0","244,648.0","248,879.0","251,977.0","255,067.0","254,607.0","271,105.0","277,414.0","260,146.0","298,421.0","293,198.0","301,340.0","318,489.0","338,934.0","348,804.0","349,017.0","370,893.0","404,123.0","460,865.0","462,011.0","458,988.0","410,976.0","373,595.0","389,241.0","403,931.0","431,281.0","451,997.0","472,348.0","485,234.0","516,942.0","527,430.0","519,107.0","522,868.0","557,983.0","562,459.0","569,305.0","576,173.0","585,681.0","604,395.0","624,078.0","664,224.0","701,673.0","658,792.0","614,561.0","641,608.0","668,307.0","661,179.0","626,506.0","634,476.0","607,058.0","580,504.0","592,233.0","558,757.0","556,057.0","595,026.0","636,244.0","659,439.0","707,347.0","734,699.0","735,113.0","743,076.0","702,049.0","735,061.0","722,482.0","760,079.0","757,043.0","764,166.0","786,349.0","796,890.0","805,890.0","840,831.0","859,038.0","885,511.0","886,878.0","883,706.0","886,065.0","911,907.0","920,751.0","924,769.0","902,331.0","916,747.0","948,707.0","922,999.0","935,736.0","949,826.0","904,600.0","891,383.0","896,985.0","915,868.0","921,916.0","934,485.0","955,620.0","964,670.0","974,636.0","992,259.0","992,221.0","1,022,518.0","1,040,736.0","1,083,614.0","1,125,663.0","1,155,610.0","1,184,057.0","1,206,313.0","1,198,498.0","1,197,963.0","1,228,100.0","1,244,808.0","1,267,103.0","1,284,930.0","1,324,099.0","1,337,277.0","1,374,202.0","1,388,702.0","1,405,919.0","1,418,627.0","1,415,010.0","1,455,590.0","1,482,270.0","1,539,537.0","1,606,217.0","1,656,440.0","1,742,293.0","1,785,339.0","1,846,861.0","1,848,170.0","1,798,857.0","1,705,942.0","1,636,910.0","1,578,910.0","1,611,095.0","1,690,493.0","1,722,016.0","1,754,473.0","1,767,138.0","1,764,509.0","1,783,200.0","1,851,037.0","1,922,572.0","2,010,470.0","2,045,277.0","2,124,232.0","2,143,112.0","2,176,872.0","2,207,254.0","2,293,782.0","2,334,112.0","2,366,363.0","2,395,418.0","2,360,868.0","2,387,883.0","2,421,702.0","2,453,451.0","2,494,566.0","2,579,339.0","2,662,468.0","2,659,342.0","2,298,935.0","1,915,572.0","1,861,931.0","1,992,290.0","2,132,758.0","2,218,451.0","2,307,078.0","2,365,955.0","2,413,035.0","2,511,326.0","2,570,213.0","2,585,718.0","2,612,112.0","2,629,477.0","2,614,523.0","2,575,647.0","2,571,392.0","2,571,009.0","2,579,577.0","2,581,368.0"
"26","7","Equals: Command-basis gross domestic product \1,2\","C191RX1","4,802,293.0","4,814,931.0","4,845,772.0","4,825,900.0","4,816,119.0","4,824,391.0","4,860,254.0","4,809,171.0","4,939,275.0","4,965,687.0","5,000,426.0","5,013,057.0","5,101,571.0","5,214,962.0","5,262,270.0","5,357,196.0","5,482,212.0","5,526,679.0","5,502,291.0","5,559,785.0","5,475,463.0","5,464,978.0","5,406,095.0","5,388,123.0","5,329,553.0","5,369,780.0","5,465,441.0","5,540,951.0","5,663,484.0","5,705,227.0","5,729,786.0","5,781,822.0","5,838,052.0","5,936,319.0","6,023,630.0","6,051,259.0","6,062,578.0","6,292,973.0","6,350,198.0","6,447,510.0","6,451,265.0","6,454,039.0","6,476,837.0","6,467,081.0","6,448,160.0","6,304,096.0","6,295,331.0","6,419,350.0","6,546,225.0","6,504,230.0","6,592,984.0","6,521,707.0","6,421,751.0","6,465,128.0","6,447,469.0","6,457,726.0","6,554,604.0","6,706,992.0","6,841,299.0","6,993,031.0","7,133,600.0","7,256,566.0","7,335,798.0","7,402,226.0","7,486,836.0","7,555,337.0","7,665,928.0","7,712,364.0","7,780,888.0","7,840,154.0","7,906,795.0","7,940,158.0","7,990,356.0","8,070,314.0","8,137,570.0","8,274,473.0","8,318,819.0","8,427,187.0","8,493,607.0","8,594,397.0","8,682,535.0","8,742,158.0","8,818,360.0","8,833,205.0","8,916,639.0","8,970,343.0","8,954,106.0","8,838,643.0","8,829,711.0","8,920,183.0","8,972,311.0","9,010,264.0","9,108,586.0","9,206,956.0","9,285,502.0","9,383,532.0","9,404,980.0","9,460,937.0","9,524,475.0","9,651,960.0","9,748,842.0","9,877,215.0","9,926,388.0","10,040,059.0","10,073,339.0","10,099,585.0","10,196,270.0","10,276,561.0","10,348,220.0","10,532,683.0","10,616,923.0","10,727,445.0","10,830,356.0","11,000,072.0","11,153,512.0","11,244,621.0","11,380,247.0","11,499,479.0","11,660,871.0","11,855,270.0","11,971,068.0","12,046,603.0","12,185,954.0","12,377,219.0","12,395,410.0","12,641,062.0","12,654,969.0","12,720,244.0","12,690,572.0","12,789,353.0","12,771,025.0","12,827,818.0","12,952,715.0","12,992,850.0","13,056,306.0","13,061,461.0","13,092,413.0","13,243,270.0","13,465,801.0","13,618,549.0","13,684,589.0","13,786,081.0","13,889,689.0","13,981,661.0","14,150,133.0","14,215,102.0","14,302,175.0","14,358,643.0","14,544,313.0","14,589,499.0","14,602,835.0","14,744,838.0","14,764,723.0","14,858,502.0","14,933,913.0","14,926,574.0","14,777,055.0","14,781,966.0","14,671,500.0","14,509,079.0","14,431,727.0","14,382,343.0","14,378,559.0","14,478,747.0","14,522,048.0","14,690,422.0","14,811,409.0","14,906,280.0","14,813,342.0","14,897,076.0","14,967,249.0","15,131,956.0","15,259,717.0","15,335,015.0","15,467,884.0","15,469,019.0","15,530,987.0","15,640,267.0","15,755,633.0"
"27","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1","53,474.0","54,912.0","56,627.0","57,675.0","58,843.0","59,397.0","58,155.0","54,024.0","57,671.0","60,281.0","59,108.0","61,879.0","62,816.0","64,651.0","67,857.0","70,342.0","80,529.0","87,415.0","96,630.0","98,590.0","108,692.0","108,030.0","105,335.0","96,871.0","88,604.0","86,000.0","89,574.0","95,873.0","97,420.0","99,096.0","98,666.0","99,207.0","104,834.0","106,479.0","108,218.0","105,853.0","116,580.0","114,690.0","122,402.0","139,519.0","146,831.0","159,382.0","178,058.0","185,074.0","192,703.0","179,272.0","164,797.0","167,912.0","179,218.0","184,301.0","193,892.0","192,068.0","192,868.0","208,014.0","194,263.0","183,844.0","176,665.0","184,885.0","194,999.0","202,066.0","209,363.0","222,682.0","228,455.0","217,957.0","199,028.0","200,782.0","191,919.0","196,850.0","200,674.0","192,986.0","186,919.0","182,768.0","189,599.0","203,167.0","209,060.0","219,906.0","237,721.0","237,029.0","245,943.0","258,920.0","269,302.0","279,213.0","275,841.0","277,305.0","278,153.0","277,032.0","274,323.0","296,984.0","272,367.0","243,920.0","233,071.0","225,501.0","220,966.0","222,781.0","209,917.0","206,544.0","211,778.0","213,878.0","217,148.0","217,728.0","225,967.0","239,295.0","257,814.0","276,201.0","295,378.0","307,698.0","304,134.0","311,640.0","315,345.0","312,554.0","319,801.0","336,696.0","348,260.0","364,033.0","367,148.0","359,522.0","371,061.0","374,938.0","359,698.0","358,308.0","373,983.0","391,816.0","414,473.0","434,790.0","448,754.0","474,643.0","463,558.0","487,732.0","436,224.0","406,216.0","372,231.0","349,542.0","358,225.0","372,912.0","390,577.0","375,543.0","389,478.0","402,341.0","413,975.0","446,412.0","480,567.0","494,839.0","515,542.0","543,353.0","594,623.0","607,144.0","633,631.0","670,860.0","705,296.0","760,504.0","781,669.0","807,786.0","832,835.0","895,196.0","934,240.0","933,374.0","912,380.0","897,306.0","865,933.0","743,553.0","631,083.0","618,070.0","640,276.0","684,983.0","689,311.0","702,833.0","709,119.0","735,196.0","750,772.0","775,068.0","788,344.0","776,729.0","778,166.0","772,850.0","767,914.0","781,734.0","763,879.0","766,919.0","....."
"28","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1","22,916.0","25,580.0","28,699.0","29,774.0","30,103.0","29,475.0","28,756.0","27,305.0","25,486.0","26,123.0","28,351.0","29,421.0","29,014.0","31,328.0","31,582.0","34,053.0","38,162.0","42,090.0","43,488.0","44,830.0","46,169.0","49,623.0","52,508.0","52,036.0","51,102.0","48,214.0","48,123.0","45,774.0","48,542.0","47,957.0","46,781.0","45,884.0","43,993.0","46,691.0","48,944.0","53,483.0","55,938.0","64,194.0","67,103.0","75,643.0","81,389.0","86,160.0","90,515.0","98,637.0","105,109.0","98,643.0","89,047.0","106,740.0","113,578.0","122,667.0","127,796.0","117,330.0","122,268.0","128,584.0","127,191.0","119,238.0","112,535.0","116,126.0","124,836.0","128,969.0","141,833.0","154,836.0","161,411.0","158,662.0","153,632.0","152,190.0","152,680.0","152,505.0","162,497.0","166,318.0","155,806.0","162,369.0","165,359.0","172,816.0","179,559.0","187,478.0","196,887.0","200,108.0","213,629.0","222,935.0","234,122.0","245,561.0","238,328.0","230,102.0","233,471.0","229,552.0","234,022.0","222,899.0","214,827.0","202,456.0","196,840.0","177,832.0","174,238.0","177,321.0","168,738.0","164,079.0","158,800.0","170,270.0","166,085.0","188,243.0","187,360.0","206,993.0","227,854.0","247,686.0","254,458.0","263,305.0","278,151.0","270,379.0","265,315.0","273,451.0","284,996.0","294,894.0","317,401.0","323,554.0","336,534.0","337,591.0","337,549.0","345,116.0","346,453.0","341,726.0","346,006.0","357,312.0","383,706.0","391,777.0","410,747.0","433,066.0","427,796.0","421,984.0","387,330.0","346,473.0","340,045.0","241,462.0","297,047.0","334,252.0","335,194.0","300,468.0","329,996.0","326,856.0","338,807.0","341,057.0","355,168.0","398,812.0","408,181.0","465,463.0","479,953.0","505,547.0","521,757.0","591,243.0","623,969.0","685,185.0","720,860.0","736,226.0","760,733.0","800,709.0","781,647.0","734,513.0","729,362.0","712,463.0","665,339.0","622,024.0","508,122.0","498,126.0","473,830.0","505,974.0","487,957.0","500,257.0","512,548.0","524,280.0","509,433.0","533,997.0","527,376.0","516,239.0","542,225.0","527,324.0","533,742.0","539,614.0","540,890.0","535,205.0","....."
"29","10","Equals: Command-basis gross national product \1,3\","CB22RX1","4,832,850.0","4,844,263.0","4,873,701.0","4,853,801.0","4,844,859.0","4,854,313.0","4,889,653.0","4,835,890.0","4,971,459.0","4,999,845.0","5,031,183.0","5,045,515.0","5,135,373.0","5,248,285.0","5,298,545.0","5,393,485.0","5,524,579.0","5,572,005.0","5,555,433.0","5,613,546.0","5,537,986.0","5,523,385.0","5,458,922.0","5,432,958.0","5,367,054.0","5,407,565.0","5,506,893.0","5,591,049.0","5,712,362.0","5,756,367.0","5,781,670.0","5,835,144.0","5,898,892.0","5,996,107.0","6,082,904.0","6,103,629.0","6,123,220.0","6,343,469.0","6,405,497.0","6,511,386.0","6,516,706.0","6,527,261.0","6,564,381.0","6,553,519.0","6,535,754.0","6,384,725.0","6,371,081.0","6,480,522.0","6,611,865.0","6,565,864.0","6,659,079.0","6,596,445.0","6,492,351.0","6,544,559.0","6,514,541.0","6,522,332.0","6,618,733.0","6,775,751.0","6,911,462.0","7,066,128.0","7,201,130.0","7,324,413.0","7,402,842.0","7,461,521.0","7,532,233.0","7,603,928.0","7,705,167.0","7,756,708.0","7,819,065.0","7,866,822.0","7,937,909.0","7,960,557.0","8,014,596.0","8,100,665.0","8,167,070.0","8,306,901.0","8,359,654.0","8,464,109.0","8,525,920.0","8,630,382.0","8,717,715.0","8,775,810.0","8,855,873.0","8,880,409.0","8,961,320.0","9,017,823.0","8,994,407.0","8,912,728.0","8,887,251.0","8,961,647.0","9,008,542.0","9,057,933.0","9,155,313.0","9,252,416.0","9,326,682.0","9,425,996.0","9,457,958.0","9,504,546.0","9,575,538.0","9,681,446.0","9,787,449.0","9,909,517.0","9,956,348.0","10,068,574.0","10,114,258.0","10,143,978.0","10,222,253.0","10,317,821.0","10,398,250.0","10,571,786.0","10,651,728.0","10,769,247.0","10,861,214.0","11,040,551.0","11,184,126.0","11,266,552.0","11,413,759.0","11,529,301.0","11,674,115.0","11,871,852.0","11,999,046.0","12,081,107.0","12,216,722.0","12,420,232.0","12,433,417.0","12,682,638.0","12,690,731.0","12,785,992.0","12,739,466.0","12,849,097.0","12,803,211.0","12,935,898.0","13,013,893.0","13,031,510.0","13,111,689.0","13,136,535.0","13,151,895.0","13,318,755.0","13,540,969.0","13,723,904.0","13,809,987.0","13,882,108.0","13,997,050.0","14,059,551.0","14,264,803.0","14,316,699.0","14,414,049.0","14,438,260.0","14,625,639.0","14,664,818.0","14,663,644.0","14,816,397.0","14,836,825.0","14,952,989.0","15,086,506.0","15,125,434.0","14,960,073.0","14,966,809.0","14,872,095.0","14,630,608.0","14,554,688.0","14,502,287.0","14,545,005.0","14,657,756.0","14,723,401.0","14,892,997.0","15,007,980.0","15,117,197.0","15,054,681.0","15,138,146.0","15,228,217.0","15,392,446.0","15,495,657.0","15,580,540.0","15,702,056.0","15,711,140.0","15,753,976.0","15,871,981.0","....."
"30",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
