"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"31","12","      Intellectual property products","Y001RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","371,292.0","385,301.0","400,348.0","407,589.0","419,384.0","425,316.0","427,524.0","431,987.0","435,120.0","430,154.0","426,601.0","420,073.0","419,774.0","425,847.0","430,087.0","427,943.0","433,038.0","436,594.0","446,172.0","452,894.0","454,685.0","457,838.0","468,593.0","478,436.0","487,036.0","494,990.0","499,944.0","498,018.0","503,753.0","511,021.0","522,943.0","532,129.0","537,047.0","538,894.0","541,093.0","552,388.0","561,231.0","563,316.0","558,166.0","552,500.0","543,590.0","549,405.0","550,888.0","559,808.0","557,604.0","554,736.0","562,983.0","569,956.0","575,167.0","582,028.0","589,620.0","597,636.0","599,571.0","602,303.0","606,414.0","614,925.0","620,606.0","618,326.0","621,748.0"
"32","13","    Residential","A011RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","622,958.0","632,660.0","637,415.0","642,067.0","645,257.0","641,947.0","631,964.0","632,615.0","635,333.0","645,175.0","649,193.0","645,028.0","666,173.0","682,712.0","684,731.0","697,060.0","709,797.0","720,996.0","762,348.0","785,001.0","794,183.0","819,482.0","825,261.0","836,661.0","856,407.0","872,294.0","881,881.0","879,861.0","871,657.0","827,827.0","781,646.0","745,152.0","711,154.0","682,691.0","639,186.0","586,106.0","540,012.0","516,336.0","490,895.0","443,568.0","400,967.0","376,951.0","395,385.0","395,667.0","382,964.0","403,504.0","368,102.0","375,121.0","376,725.0","379,237.0","384,890.0","396,170.0","417,184.0","423,048.0","437,256.0","457,492.0","471,173.0","487,087.0","504,007.0"
"33","14","  Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","97,514.0","45,272.0","51,503.0","107,510.0","23,616.0","108,714.0","68,704.0","63,867.0","-37,892.0","-12,804.0","-36,894.0","-97,393.0","-3,846.0","26,477.0","32,422.0","35,100.0","36,334.0","-198.0","7,576.0","46,557.0","56,399.0","81,882.0","71,081.0","76,228.0","111,300.0","33,028.0","18,198.0","94,779.0","78,616.0","84,439.0","81,949.0","41,423.0","19,613.0","49,431.0","50,181.0","22,956.0","-20,214.0","-26,403.0","-20,714.0","-67,354.0","-144,475.0","-190,116.0","-206,110.0","-49,574.0","9,843.0","48,758.0","116,226.0","58,074.0","22,027.0","42,894.0","-11,048.0","80,595.0","89,233.0","56,825.0","77,163.0","7,307.0","42,201.0","56,571.0","86,037.0"
"34","15","Net exports of goods and services","A019RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-342,703.0","-377,092.0","-402,844.0","-406,604.0","-454,076.0","-467,482.0","-497,239.0","-511,956.0","-497,102.0","-488,117.0","-509,208.0","-522,323.0","-545,715.0","-569,967.0","-589,244.0","-634,533.0","-622,691.0","-650,684.0","-639,062.0","-653,877.0","-676,007.0","-732,559.0","-749,345.0","-769,589.0","-773,413.0","-765,643.0","-770,423.0","-799,027.0","-792,328.0","-790,471.0","-813,379.0","-748,609.0","-765,317.0","-746,545.0","-691,164.0","-611,189.0","-611,164.0","-539,883.0","-512,414.0","-524,015.0","-447,054.0","-360,098.0","-380,406.0","-381,249.0","-413,556.0","-474,320.0","-504,850.0","-457,480.0","-456,542.0","-438,336.0","-433,929.0","-454,691.0","-439,231.0","-435,301.0","-436,475.0","-412,064.0","-422,290.0","-424,423.0","-413,245.0"
"35","16","  Exports","A020RX1","144,673.0","177,106.0","172,857.0","178,851.0","180,394.0","188,332.0","187,718.0","189,444.0","190,166.0","189,783.0","197,579.0","181,015.0","200,186.0","194,359.0","206,095.0","214,834.0","230,579.0","241,699.0","242,505.0","254,418.0","257,669.0","270,199.0","255,627.0","262,306.0","264,157.0","256,470.0","252,150.0","266,406.0","264,559.0","267,226.0","274,990.0","277,783.0","273,322.0","280,689.0","282,863.0","273,785.0","280,234.0","309,440.0","312,833.0","325,254.0","325,524.0","326,383.0","338,138.0","359,417.0","369,448.0","376,412.0","375,614.0","373,337.0","380,389.0","382,446.0","374,309.0","376,040.0","359,739.0","361,908.0","345,874.0","330,035.0","335,365.0","336,376.0","341,445.0","348,332.0","355,612.0","364,454.0","372,501.0","380,061.0","381,041.0","380,221.0","374,696.0","385,911.0","398,038.0","402,358.0","411,568.0","426,925.0","427,244.0","444,795.0","464,073.0","481,370.0","508,136.0","522,384.0","532,670.0","548,914.0","565,291.0","590,029.0","596,049.0","605,061.0","631,339.0","639,188.0","644,061.0","649,740.0","653,762.0","677,585.0","693,626.0","709,239.0","722,067.0","722,401.0","737,724.0","741,429.0","743,094.0","751,994.0","749,978.0","774,162.0","781,748.0","808,133.0","838,346.0","857,685.0","874,180.0","886,459.0","924,814.0","938,016.0","949,327.0","964,782.0","972,602.0","1,033,244.0","1,052,910.0","1,095,028.0","1,120,367.0","1,118,763.0","1,123,883.0","1,111,506.0","1,106,493.0","1,147,736.0","1,142,676.0","1,154,888.0","1,183,301.0","1,215,508.0","1,234,840.0","1,268,406.0","1,298,298.0","1,287,988.0","1,271,355.0","1,229,806.0","1,166,474.0","1,134,260.0","1,152,257.0","1,184,352.0","1,193,295.0","1,182,511.0","1,170,778.0","1,166,614.0","1,198,138.0","1,253,340.0","1,283,697.0","1,301,475.0","1,310,492.0","1,341,459.0","1,356,966.0","1,385,986.0","1,386,809.0","1,423,825.0","1,478,366.0","1,505,405.0","1,502,175.0","1,563,720.0","1,586,509.0","1,614,389.0","1,671,240.0","1,717,083.0","1,738,693.0","1,788,432.0","1,772,812.0","1,667,446.0","1,534,806.0","1,537,527.0","1,588,654.0","1,674,219.0","1,700,374.0","1,739,256.0","1,784,935.0","1,837,693.0","1,854,714.0","1,876,866.0","1,908,872.0","1,921,715.0","1,941,358.0","1,959,759.0","1,961,561.0","1,967,011.0","1,960,452.0","1,998,449.0","2,020,774.0"
"36","17","    Goods","A253RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","793,700.0","804,706.0","825,550.0","852,161.0","868,960.0","895,315.0","928,265.0","915,578.0","901,983.0","865,945.0","818,163.0","799,922.0","798,258.0","826,193.0","831,498.0","812,388.0","814,827.0","814,908.0","831,962.0","867,914.0","884,478.0","897,616.0","905,950.0","922,980.0","940,932.0","970,315.0","968,961.0","996,470.0","1,040,376.0","1,055,323.0","1,056,852.0","1,089,511.0","1,104,393.0","1,121,705.0","1,154,751.0","1,180,693.0","1,210,491.0","1,247,781.0","1,240,290.0","1,143,220.0","1,027,608.0","1,020,391.0","1,070,289.0","1,140,459.0","1,170,596.0","1,203,302.0","1,228,358.0","1,266,380.0","1,279,959.0","1,291,634.0","1,309,764.0","1,334,346.0","1,340,229.0","1,357,263.0","1,362,804.0","1,352,552.0","1,342,843.0","1,373,395.0","1,394,725.0"
"37","18","    Services","A646RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","348,746.0","349,637.0","357,057.0","362,178.0","364,359.0","371,269.0","367,059.0","369,954.0","367,115.0","362,267.0","347,077.0","332,781.0","353,544.0","357,264.0","360,965.0","370,194.0","355,224.0","350,762.0","365,564.0","384,960.0","399,069.0","403,649.0","404,164.0","418,365.0","415,489.0","414,708.0","416,938.0","426,357.0","436,782.0","448,981.0","444,090.0","473,342.0","481,265.0","491,878.0","515,855.0","535,903.0","527,134.0","539,490.0","531,297.0","524,038.0","507,136.0","517,164.0","518,415.0","533,743.0","529,583.0","535,622.0","556,287.0","570,958.0","574,337.0","585,039.0","599,169.0","586,593.0","600,716.0","601,911.0","598,016.0","614,223.0","617,546.0","624,870.0","625,750.0"
"38","19","  Imports","A021RX1","214,362.0","256,654.0","253,328.0","250,545.0","249,725.0","254,660.0","254,076.0","258,016.0","254,975.0","274,209.0","280,271.0","261,274.0","299,459.0","288,819.0","294,830.0","308,111.0","322,349.0","313,058.0","304,410.0","306,681.0","296,279.0","311,975.0","306,523.0","303,481.0","273,029.0","251,181.0","272,063.0","286,585.0","304,539.0","317,728.0","330,692.0","341,636.0","357,810.0","361,109.0","356,076.0","361,127.0","385,356.0","386,575.0","391,623.0","396,994.0","395,907.0","398,045.0","391,974.0","400,539.0","400,836.0","371,748.0","345,011.0","363,526.0","379,053.0","379,626.0","375,297.0","386,062.0","375,059.0","368,930.0","386,047.0","370,894.0","379,385.0","408,551.0","440,373.0","461,976.0","499,117.0","520,026.0","533,483.0","549,115.0","536,999.0","563,380.0","557,945.0","579,811.0","579,283.0","603,954.0","620,689.0","625,469.0","621,728.0","637,232.0","649,626.0","664,559.0","661,453.0","653,849.0","669,285.0","689,675.0","692,876.0","696,157.0","695,210.0","707,790.0","730,239.0","729,017.0","726,077.0","706,607.0","698,558.0","710,972.0","730,982.0","747,132.0","752,564.0","764,938.0","777,003.0","795,598.0","812,825.0","829,621.0","840,544.0","874,316.0","894,689.0","928,022.0","954,127.0","980,976.0","1,002,487.0","1,012,019.0","1,015,497.0","1,028,471.0","1,061,903.0","1,085,672.0","1,120,879.0","1,142,993.0","1,191,820.0","1,231,827.0","1,277,207.0","1,304,747.0","1,353,647.0","1,384,678.0","1,403,404.0","1,448,918.0","1,485,379.0","1,531,980.0","1,586,145.0","1,622,112.0","1,688,916.0","1,735,888.0","1,795,537.0","1,799,944.0","1,768,457.0","1,717,924.0","1,675,682.0","1,656,583.0","1,697,972.0","1,754,319.0","1,782,539.0","1,817,044.0","1,793,468.0","1,817,299.0","1,837,200.0","1,907,217.0","1,959,704.0","2,034,034.0","2,059,837.0","2,111,048.0","2,130,379.0","2,151,629.0","2,157,232.0","2,222,851.0","2,270,694.0","2,295,875.0","2,315,554.0","2,312,329.0","2,351,826.0","2,360,935.0","2,362,404.0","2,328,272.0","2,349,857.0","2,328,315.0","2,285,226.0","2,191,462.0","1,981,859.0","1,897,625.0","1,969,060.0","2,055,468.0","2,113,930.0","2,213,575.0","2,289,785.0","2,295,173.0","2,311,257.0","2,315,202.0","2,342,801.0","2,376,406.0","2,380,589.0","2,395,059.0","2,398,036.0","2,379,076.0","2,382,742.0","2,422,872.0","2,434,020.0"
"39","20","    Goods","A255RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,221,736.0","1,264,088.0","1,313,297.0","1,345,086.0","1,398,367.0","1,438,314.0","1,487,766.0","1,493,092.0","1,466,008.0","1,409,347.0","1,382,600.0","1,371,210.0","1,397,091.0","1,456,319.0","1,482,441.0","1,503,549.0","1,486,324.0","1,525,363.0","1,529,069.0","1,584,335.0","1,628,524.0","1,695,044.0","1,719,696.0","1,762,183.0","1,784,436.0","1,802,537.0","1,806,643.0","1,864,999.0","1,897,115.0","1,921,047.0","1,942,018.0","1,928,635.0","1,961,745.0","1,967,093.0","1,965,025.0","1,935,979.0","1,946,868.0","1,929,593.0","1,880,637.0","1,783,259.0","1,591,438.0","1,511,746.0","1,580,989.0","1,665,081.0","1,722,917.0","1,818,360.0","1,881,415.0","1,889,208.0","1,909,765.0","1,906,543.0","1,923,073.0","1,954,360.0","1,958,648.0","1,970,719.0","1,972,740.0","1,955,101.0","1,953,956.0","1,989,561.0","1,998,401.0"
"40","21","    Services","B656RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","261,691.0","265,474.0","269,919.0","273,819.0","287,446.0","294,223.0","304,272.0","303,056.0","298,812.0","306,915.0","290,565.0","282,471.0","298,424.0","294,602.0","296,504.0","310,345.0","303,983.0","287,977.0","304,359.0","319,073.0","327,310.0","334,894.0","335,923.0","344,549.0","341,325.0","344,390.0","345,875.0","352,725.0","368,925.0","369,919.0","368,290.0","379,145.0","385,513.0","389,376.0","393,032.0","387,948.0","399,125.0","394,669.0","402,404.0","408,037.0","390,483.0","385,817.0","388,161.0","390,298.0","390,708.0","394,399.0","407,523.0","404,908.0","399,781.0","407,373.0","418,981.0","420,881.0","420,750.0","423,180.0","424,213.0","423,108.0","428,324.0","432,596.0","434,928.0"
"41","22","Government consumption expenditures and gross investment","A822RX1","1,494,713.0","1,490,022.0","1,493,466.0","1,473,931.0","1,466,946.0","1,450,151.0","1,456,479.0","1,457,243.0","1,436,079.0","1,432,809.0","1,432,388.0","1,422,625.0","1,429,346.0","1,437,955.0","1,409,295.0","1,420,091.0","1,431,595.0","1,424,526.0","1,406,406.0","1,415,766.0","1,442,350.0","1,451,635.0","1,453,496.0","1,459,885.0","1,476,106.0","1,466,234.0","1,489,536.0","1,503,365.0","1,506,522.0","1,491,358.0","1,483,926.0","1,484,438.0","1,497,302.0","1,512,023.0","1,515,394.0","1,512,118.0","1,513,863.0","1,554,053.0","1,566,415.0","1,580,582.0","1,566,901.0","1,582,978.0","1,585,117.0","1,595,440.0","1,620,201.0","1,625,907.0","1,601,896.0","1,601,844.0","1,622,767.0","1,627,876.0","1,621,636.0","1,639,902.0","1,638,197.0","1,648,894.0","1,659,271.0","1,685,777.0","1,701,920.0","1,719,089.0","1,747,296.0","1,718,037.0","1,738,143.0","1,777,082.0","1,791,778.0","1,825,993.0","1,847,950.0","1,890,960.0","1,935,410.0","1,941,759.0","1,957,959.0","1,997,828.0","2,043,397.0","2,031,483.0","2,044,332.0","2,062,908.0","2,067,686.0","2,092,786.0","2,078,645.0","2,086,071.0","2,087,549.0","2,126,786.0","2,117,151.0","2,151,790.0","2,169,815.0","2,181,495.0","2,215,792.0","2,221,168.0","2,219,874.0","2,240,249.0","2,251,208.0","2,259,165.0","2,250,847.0","2,242,287.0","2,259,676.0","2,256,764.0","2,268,397.0","2,263,510.0","2,237,845.0","2,240,344.0","2,245,097.0","2,249,950.0","2,222,134.0","2,235,145.0","2,272,694.0","2,252,199.0","2,256,815.0","2,268,644.0","2,262,435.0","2,242,097.0","2,246,776.0","2,282,770.0","2,285,177.0","2,301,908.0","2,301,335.0","2,325,254.0","2,329,034.0","2,332,473.0","2,318,955.0","2,366,049.0","2,387,567.0","2,409,405.0","2,418,145.0","2,431,652.0","2,460,252.0","2,496,734.0","2,476,222.0","2,506,392.0","2,501,218.0","2,508,965.0","2,546,270.0","2,596,404.0","2,594,584.0","2,632,367.0","2,671,272.0","2,696,875.0","2,717,759.0","2,737,143.0","2,728,291.0","2,771,221.0","2,771,238.0","2,786,323.0","2,793,935.0","2,809,923.0","2,820,664.0","2,808,229.0","2,814,091.0","2,818,942.0","2,840,970.0","2,830,703.0","2,853,496.0","2,864,122.0","2,870,426.0","2,889,085.0","2,882,744.0","2,907,034.0","2,928,048.0","2,939,810.0","2,951,988.0","2,974,981.0","3,016,161.0","3,035,882.0","3,040,542.0","3,096,001.0","3,112,999.0","3,106,822.0","3,084,280.0","3,106,209.0","3,103,533.0","3,071,524.0","3,012,042.0","3,002,425.0","2,983,236.0","2,971,654.0","2,961,293.0","2,963,452.0","2,988,760.0","2,938,804.0","2,907,367.0","2,904,477.0","2,906,036.0"
"42","23","  Federal","A823RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","801,193.0","805,218.0","819,401.0","835,584.0","804,604.0","832,821.0","818,908.0","814,556.0","832,288.0","848,671.0","855,856.0","862,556.0","883,959.0","904,735.0","919,012.0","935,669.0","935,924.0","982,796.0","977,097.0","996,024.0","1,002,952.0","1,012,990.0","1,030,687.0","1,021,834.0","1,027,610.0","1,029,834.0","1,048,615.0","1,033,177.0","1,058,893.0","1,057,705.0","1,057,992.0","1,068,966.0","1,054,526.0","1,071,183.0","1,091,579.0","1,097,497.0","1,115,180.0","1,135,676.0","1,169,055.0","1,189,341.0","1,180,123.0","1,218,865.0","1,235,558.0","1,236,194.0","1,247,792.0","1,273,420.0","1,285,035.0","1,276,361.0","1,241,565.0","1,246,993.0","1,236,366.0","1,226,671.0","1,219,087.0","1,218,473.0","1,244,615.0","1,198,872.0","1,172,812.0","1,168,166.0","1,163,230.0"
"43","24","    National defense","A824RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","503,580.0","508,852.0","522,568.0","532,780.0","500,943.0","522,790.0","512,597.0","512,668.0","519,598.0","528,369.0","534,156.0","537,845.0","549,861.0","562,836.0","572,383.0","584,128.0","583,678.0","625,318.0","617,257.0","635,479.0","640,853.0","648,000.0","668,379.0","653,383.0","659,101.0","664,630.0","679,066.0","659,280.0","672,588.0","677,967.0","674,248.0","690,474.0","676,611.0","690,992.0","706,889.0","707,974.0","719,719.0","733,619.0","764,491.0","774,458.0","757,499.0","788,445.0","804,888.0","802,272.0","798,588.0","810,997.0","825,896.0","818,621.0","787,800.0","800,822.0","805,598.0","784,178.0","770,688.0","768,775.0","791,794.0","744,964.0","723,093.0","721,999.0","720,818.0"
"44","25","    Nondefense","A825RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","297,585.0","296,407.0","297,012.0","302,993.0","303,475.0","309,969.0","306,212.0","301,881.0","312,552.0","320,116.0","321,547.0","324,539.0","333,880.0","341,682.0","346,441.0","351,388.0","352,105.0","357,484.0","359,802.0","360,554.0","362,115.0","365,014.0","362,444.0","368,493.0","368,561.0","365,266.0","369,621.0","373,970.0","386,400.0","379,804.0","383,835.0","378,530.0","377,967.0","380,222.0","384,705.0","389,572.0","395,517.0","402,114.0","404,453.0","414,813.0","422,641.0","430,420.0","430,668.0","433,908.0","449,159.0","462,357.0","459,131.0","457,723.0","453,704.0","446,154.0","430,797.0","442,457.0","448,341.0","449,650.0","452,768.0","453,921.0","449,764.0","446,200.0","442,431.0"
"45","26","  State and local","A829RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,624,453.0","1,634,005.0","1,648,024.0","1,668,053.0","1,680,793.0","1,681,195.0","1,690,962.0","1,703,638.0","1,722,884.0","1,756,793.0","1,747,263.0","1,778,901.0","1,795,902.0","1,799,810.0","1,805,929.0","1,807,931.0","1,798,526.0","1,791,697.0","1,797,960.0","1,792,980.0","1,793,342.0","1,798,968.0","1,791,020.0","1,787,726.0","1,787,606.0","1,790,226.0","1,792,850.0","1,798,625.0","1,794,852.0","1,806,934.0","1,813,027.0","1,820,562.0","1,828,973.0","1,836,373.0","1,836,704.0","1,842,501.0","1,836,850.0","1,839,258.0","1,847,072.0","1,846,564.0","1,860,440.0","1,877,112.0","1,877,438.0","1,870,634.0","1,836,504.0","1,832,792.0","1,818,509.0","1,795,193.0","1,770,492.0","1,755,474.0","1,746,912.0","1,745,005.0","1,742,201.0","1,744,962.0","1,744,280.0","1,739,778.0","1,734,268.0","1,736,004.0","1,742,473.0"
