"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Millions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 07, 2013 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/6/2013 3:20:05 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"19","1","Gross domestic product","A191RX1","4,707,931.0","4,717,667.0","4,873,010.0","5,128,774.0","5,418,206.0","5,390,187.0","5,379,527.0","5,669,275.0","5,930,551.0","6,260,390.0","6,459,211.0","6,443,411.0","6,610,640.0","6,484,313.0","6,784,705.0","7,277,229.0","7,585,699.0","7,852,072.0","8,123,937.0","8,465,447.0","8,776,978.0","8,945,439.0","8,938,883.0","9,256,661.0","9,510,774.0","9,894,702.0","10,163,690.0","10,549,488.0","11,022,879.0","11,513,417.0","12,071,355.0","12,565,164.0","12,684,428.0","12,909,717.0","13,270,043.0","13,773,988.0","14,235,557.0","14,615,196.0","14,876,787.0","14,833,557.0","14,417,943.0","14,779,350.0","15,052,373.0","15,470,712.0"
"20","2","Less: Exports of goods and services","A020RX1","168,372.0","186,472.0","189,636.0","203,869.0","242,300.0","261,450.0","259,796.0","271,139.0","277,665.0","306,940.0","337,365.0","373,703.0","378,296.0","349,389.0","340,380.0","368,157.0","380,467.0","409,723.0","454,371.0","528,026.0","589,107.0","641,082.0","683,553.0","730,905.0","754,807.0","821,478.0","905,867.0","979,989.0","1,096,767.0","1,122,405.0","1,174,094.0","1,272,383.0","1,200,474.0","1,178,104.0","1,197,217.0","1,309,281.0","1,388,396.0","1,512,416.0","1,647,305.0","1,741,846.0","1,583,801.0","1,765,564.0","1,890,542.0","1,957,422.0"
"21","3","Plus: Imports of goods and services","A021RX1","243,722.0","254,119.0","267,682.0","297,805.0","311,624.0","304,564.0","270,715.0","323,649.0","359,030.0","390,137.0","396,616.0","370,280.0","380,009.0","375,232.0","422,571.0","525,435.0","559,534.0","607,349.0","643,286.0","668,565.0","698,008.0","722,985.0","721,911.0","772,526.0","839,327.0","939,453.0","1,014,618.0","1,102,862.0","1,251,400.0","1,397,662.0","1,556,404.0","1,755,071.0","1,704,662.0","1,762,968.0","1,838,796.0","2,041,156.0","2,165,523.0","2,298,613.0","2,350,859.0","2,288,715.0","1,976,003.0","2,228,116.0","2,336,416.0","2,388,190.0"
"22","4","Equals: Gross domestic purchases","A712RX1","4,821,840.0","4,815,809.0","4,983,778.0","5,255,451.0","5,509,239.0","5,440,700.0","5,383,174.0","5,732,918.0","6,036,520.0","6,365,821.0","6,524,898.0","6,403,952.0","6,578,856.0","6,492,059.0","6,876,694.0","7,473,864.0","7,811,338.0","8,100,435.0","8,359,391.0","8,635,024.0","8,903,311.0","9,036,162.0","8,974,226.0","9,295,444.0","9,600,880.0","10,023,343.0","10,280,339.0","10,681,780.0","11,188,714.0","11,807,226.0","12,474,640.0","13,069,536.0","13,213,516.0","13,520,061.0","13,937,111.0","14,529,147.0","15,036,248.0","15,424,831.0","15,600,784.0","15,391,964.0","14,810,144.0","15,244,470.0","15,501,126.0","15,902,253.0"
"23","5","Plus: Exports of goods and services, command basis \1\","C020RX1","245,508.0","267,911.0","268,506.0","289,181.0","368,011.0","444,226.0","445,777.0","455,547.0","455,581.0","498,902.0","565,022.0","624,465.0","621,816.0","545,932.0","515,843.0","544,990.0","530,533.0","550,160.0","606,708.0","716,026.0","781,638.0","823,184.0","860,802.0","895,128.0","905,345.0","976,384.0","1,077,672.0","1,130,686.0","1,225,113.0","1,216,137.0","1,242,989.0","1,340,415.0","1,236,440.0","1,190,985.0","1,210,486.0","1,333,411.0","1,426,621.0","1,559,920.0","1,710,723.0","1,838,675.0","1,583,801.0","1,815,765.0","2,022,589.0","2,079,487.0"
"24","6","Less: Imports of goods and services, command basis \1\","C021RX1","238,743.0","250,194.0","265,859.0","302,947.0","352,132.0","447,084.0","394,431.0","460,516.0","521,607.0","566,620.0","620,375.0","653,504.0","647,334.0","584,449.0","612,029.0","730,158.0","730,053.0","776,194.0","848,072.0","892,231.0","916,118.0","939,349.0","902,239.0","944,288.0","995,500.0","1,101,685.0","1,196,729.0","1,256,337.0","1,356,141.0","1,423,831.0","1,571,512.0","1,805,939.0","1,679,936.0","1,694,827.0","1,791,624.0","2,026,305.0","2,205,845.0","2,364,297.0","2,439,696.0","2,550,195.0","1,976,003.0","2,326,420.0","2,570,064.0","2,597,674.0"
"25","7","Equals: Command-basis gross domestic product \1,2\","C191RX1","4,822,391.0","4,827,463.0","4,979,972.0","5,234,930.0","5,518,218.0","5,432,509.0","5,427,887.0","5,720,716.0","5,963,781.0","6,291,087.0","6,462,535.0","6,366,503.0","6,541,303.0","6,448,144.0","6,775,362.0","7,282,840.0","7,605,770.0","7,867,294.0","8,119,089.0","8,459,572.0","8,769,596.0","8,919,564.0","8,933,517.0","9,246,846.0","9,511,096.0","9,898,790.0","10,161,814.0","10,556,955.0","11,057,565.0","11,599,445.0","12,146,132.0","12,603,612.0","12,769,820.0","13,016,088.0","13,355,931.0","13,836,538.0","14,257,385.0","14,620,757.0","14,871,381.0","14,684,643.0","14,417,943.0","14,733,116.0","14,953,046.0","15,383,214.0"
