"","Table 4#2#6# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 07, 2013 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/6/2013 3:28:34 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"19","1","    Exports of goods and services","A020RX1","1,174,094.0","1,272,383.0","1,200,474.0","1,178,104.0","1,197,217.0","1,309,281.0","1,388,396.0","1,512,416.0","1,647,305.0","1,741,846.0","1,583,801.0","1,765,564.0","1,890,542.0","1,957,422.0"
"20","2","Exports of goods \1\","A253RX1","819,029.0","902,030.0","846,503.0","817,084.0","832,403.0","902,756.0","969,170.0","1,060,515.0","1,140,385.0","1,210,446.0","1,064,687.0","1,217,159.0","1,303,926.0","1,353,212.0"
"21","3","  Foods, feeds, and beverages","B638RX1","73,886.0","77,587.0","79,667.0","78,032.0","79,378.0","74,535.0","78,570.0","84,798.0","92,194.0","98,397.0","93,909.0","103,617.0","103,251.0","102,273.0"
"22","4","  Industrial supplies and materials","A639RX1","213,101.0","231,959.0","222,554.0","223,636.0","229,938.0","245,354.0","251,428.0","270,036.0","284,472.0","315,637.0","293,541.0","339,362.0","361,260.0","367,639.0"
"23","5","    Durable goods","B686RX1","74,348.0","85,081.0","77,632.0","72,576.0","74,446.0","80,688.0","86,753.0","95,063.0","100,387.0","110,963.0","95,970.0","112,301.0","116,176.0","116,183.0"
"24","6","    Nondurable goods","B687RX1","138,921.0","146,821.0","144,997.0","151,456.0","155,906.0","165,052.0","164,944.0","175,204.0","184,319.0","204,912.0","197,571.0","227,083.0","244,836.0","250,967.0"
"25","7","  Capital goods, except automotive","A640RX1","301,472.0","346,839.0","312,398.0","285,277.0","292,032.0","326,948.0","356,770.0","399,343.0","431,791.0","457,663.0","391,497.0","445,130.0","486,511.0","516,152.0"
"26","8","    Civilian aircraft, engines, and parts","B688RX1","80,745.0","69,872.0","72,323.0","67,453.0","60,451.0","57,583.0","66,887.0","74,153.0","80,321.0","77,657.0","74,755.0","70,068.0","75,384.0","86,279.0"
"27","9","    Computers, peripherals, and parts \2\","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"28","10","    Other","B689RX1","202,084.0","242,955.0","213,311.0","195,973.0","205,656.0","239,430.0","255,422.0","287,612.0","312,938.0","338,962.0","279,025.0","330,259.0","359,114.0","376,680.0"
"29","11","  Automotive vehicles, engines, and parts","B641RX1","82,170.0","86,782.0","81,103.0","84,445.0","85,648.0","94,114.0","102,542.0","110,411.0","123,406.0","122,302.0","81,714.0","111,477.0","130,025.0","140,535.0"
"30","12","  Consumer goods, except automotive","A642RX1","87,486.0","96,220.0","95,436.0","91,626.0","97,103.0","110,461.0","121,995.0","134,885.0","149,397.0","161,633.0","149,455.0","163,458.0","170,773.0","174,795.0"
"31","13","    Durable goods","B690RX1","44,795.0","49,705.0","49,299.0","46,825.0","48,900.0","57,039.0","65,024.0","73,772.0","84,950.0","91,347.0","75,446.0","88,770.0","97,221.0","97,515.0"
"32","14","    Nondurable goods","B691RX1","42,795.0","46,620.0","46,240.0","44,920.0","48,359.0","53,553.0","57,065.0","61,177.0","64,501.0","70,339.0","74,009.0","74,837.0","73,921.0","77,568.0"
"33","15","  Other","A643RX1","64,307.0","61,799.0","59,477.0","62,704.0","56,737.0","56,243.0","61,863.0","64,842.0","63,957.0","57,963.0","54,572.0","54,164.0","53,966.0","56,942.0"
"34","16","Exports of services \1\","A646RX1","354,404.0","368,160.0","352,310.0","360,492.0","364,127.0","406,312.0","418,373.0","450,799.0","506,225.0","530,490.0","519,115.0","548,112.0","586,285.0","603,716.0"
"35","17","  Transfers under U.S. military agency sales contracts","B267RX1","6,093.0","6,921.0","5,772.0","5,152.0","6,365.0","9,264.0","11,937.0","15,411.0","16,340.0","13,386.0","14,522.0","12,844.0","16,702.0","16,284.0"
"36","18","  Travel","B493RX1","104,746.0","110,330.0","96,167.0","89,903.0","85,233.0","95,364.0","88,981.0","89,349.0","97,503.0","105,839.0","94,187.0","100,405.0","106,690.0","113,328.0"
"37","19","  Passenger fares","B533RX1","29,205.0","29,564.0","24,943.0","22,967.0","19,026.0","20,501.0","21,852.0","22,839.0","24,351.0","27,106.0","26,103.0","26,707.0","28,546.0","29,457.0"
"38","20","  Other transportation","B683RX1","32,509.0","32,027.0","31,021.0","32,766.0","32,707.0","34,307.0","35,036.0","37,734.0","41,660.0","41,680.0","36,087.0","39,161.0","38,882.0","38,623.0"
"39","21","  Royalties and license fees","B684RX1","60,783.0","64,346.0","60,222.0","64,556.0","66,576.0","76,294.0","81,648.0","88,618.0","100,741.0","101,919.0","98,406.0","105,881.0","115,963.0","117,276.0"
"40","22","  Other private services","B720RX1","113,924.0","118,243.0","126,215.0","135,979.0","143,951.0","160,409.0","168,304.0","186,613.0","215,954.0","230,059.0","237,347.0","250,490.0","266,046.0","275,568.0"
"41","23","  Other","B980RX1","10,773.0","10,610.0","9,893.0","9,864.0","9,912.0","10,040.0","10,175.0","10,112.0","9,961.0","10,460.0","12,463.0","12,674.0","13,688.0","13,341.0"
"42","24","Residual","A977RX1","-14,900.0","-600.0","-7,600.0","-13,500.0","-9,500.0","-4,900.0","-2,900.0","-2,800.0","-5,200.0","-2,500.0","0.0","-300.0","-2,300.0","-4,500.0"
"43","25","    Imports of goods and services","A021RX1","1,556,404.0","1,755,071.0","1,704,662.0","1,762,968.0","1,838,796.0","2,041,156.0","2,165,523.0","2,298,613.0","2,350,859.0","2,288,715.0","1,976,003.0","2,228,116.0","2,336,416.0","2,388,190.0"
"44","26","Imports of goods \1\","A255RX1","1,286,052.0","1,454,385.0","1,407,291.0","1,459,850.0","1,531,273.0","1,701,362.0","1,814,654.0","1,922,204.0","1,957,461.0","1,885,089.0","1,587,314.0","1,827,975.0","1,923,435.0","1,964,302.0"
