"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3"
"20","1","    Current receipts","W023RC1","13,207.0","13,967.0","14,674.0","14,905.0","15,473.0","16,168.0","16,604.0","17,106.0","17,632.0","17,788.0","18,578.0","18,688.0","19,069.0","19,532.0","20,242.0","20,436.0","21,566.0","21,491.0","21,686.0","22,368.0","22,714.0","23,215.0","23,818.0","24,414.0","24,377.0","25,605.0","25,577.0","25,698.0","26,192.0","26,452.0","26,943.0","27,396.0","28,133.0","28,804.0","29,640.0","30,233.0","31,081.0","31,842.0","32,569.0","33,152.0","34,210.0","34,516.0","35,111.0","35,339.0","35,486.0","36,275.0","36,940.0","38,676.0","38,899.0","39,896.0","41,040.0","41,883.0","43,039.0","43,995.0","44,486.0","45,230.0","46,101.0","47,272.0","48,264.0","49,285.0","50,322.0","51,045.0","52,185.0","52,839.0","53,637.0","54,796.0","56,294.0","57,358.0","59,162.0","60,180.0","61,091.0","62,152.0","63,338.0","65,098.0","66,601.0","68,116.0","71,008.0","73,288.0","75,261.0","76,763.0","78,295.0","79,814.0","82,435.0","85,867.0","88,204.0","91,893.0","93,568.0","96,227.0","99,002.0","102,245.0","106,412.0"
"21","2","Current tax receipts","W070RC1","11,480.0","11,779.0","12,212.0","12,701.0","13,217.0","13,578.0","13,919.0","14,122.0","14,584.0","14,820.0","15,168.0","15,412.0","15,752.0","16,145.0","16,903.0","17,064.0","17,939.0","17,801.0","18,132.0","18,600.0","19,007.0","19,427.0","19,840.0","20,382.0","20,737.0","21,033.0","21,382.0","21,404.0","21,737.0","22,041.0","22,397.0","22,813.0","23,564.0","24,013.0","24,701.0","25,306.0","26,146.0","26,755.0","27,270.0","27,801.0","28,538.0","28,942.0","29,281.0","29,346.0","29,697.0","30,071.0","30,848.0","31,741.0","32,700.0","33,182.0","34,357.0","35,065.0","35,976.0","36,695.0","37,293.0","37,852.0","38,427.0","39,171.0","40,062.0","40,952.0","41,814.0","42,390.0","43,139.0","43,773.0","44,422.0","45,217.0","46,332.0","47,097.0","48,282.0","49,233.0","50,484.0","51,093.0","52,152.0","53,175.0","54,393.0","55,700.0","56,915.0","58,046.0","59,478.0","60,633.0","61,575.0","62,542.0","64,819.0","66,956.0","70,187.0","72,297.0","74,582.0","76,522.0","78,975.0","81,065.0","83,868.0"
"22","3","  Personal current taxes","W071RC1","973.0","987.0","1,017.0","1,011.0","1,138.0","1,141.0","1,145.0","1,136.0","1,331.0","1,350.0","1,371.0","1,376.0","1,466.0","1,479.0","1,483.0","1,492.0","1,645.0","1,664.0","1,695.0","1,716.0","1,816.0","1,845.0","1,846.0","1,845.0","1,911.0","1,923.0","1,951.0","1,959.0","2,056.0","2,089.0","2,109.0","2,114.0","2,364.0","2,361.0","2,408.0","2,423.0","2,663.0","2,667.0","2,689.0","2,693.0","2,866.0","2,889.0","2,905.0","2,908.0","3,022.0","3,028.0","3,077.0","3,128.0","3,606.0","3,694.0","3,967.0","4,025.0","4,152.0","4,212.0","4,264.0","4,292.0","4,347.0","4,484.0","4,646.0","4,747.0","4,850.0","4,960.0","5,103.0","5,191.0","5,269.0","5,303.0","5,497.0","5,587.0","5,763.0","5,999.0","6,215.0","6,359.0","6,460.0","6,547.0","6,621.0","6,756.0","7,134.0","7,567.0","8,018.0","8,385.0","8,319.0","8,294.0","8,677.0","9,010.0","9,732.0","10,273.0","10,845.0","11,358.0","11,858.0","12,324.0","13,363.0"
"23","4","    Income taxes","B245RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,829.0","1,829.0","1,829.0","1,829.0","2,041.0","2,111.0","2,363.0","2,401.0","2,500.0","2,531.0","2,556.0","2,557.0","2,602.0","2,733.0","2,886.0","2,979.0","3,061.0","3,137.0","3,238.0","3,284.0","3,329.0","3,330.0","3,496.0","3,573.0","3,733.0","3,951.0","4,139.0","4,249.0","4,323.0","4,380.0","4,430.0","4,535.0","4,847.0","5,225.0","5,634.0","5,982.0","5,921.0","5,866.0","6,199.0","6,462.0","7,130.0","7,608.0","8,100.0","8,526.0","8,940.0","9,316.0","10,287.0"
"24","5","    Other","B247RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,193.0","1,199.0","1,248.0","1,299.0","1,565.0","1,583.0","1,604.0","1,624.0","1,652.0","1,681.0","1,708.0","1,735.0","1,745.0","1,751.0","1,760.0","1,768.0","1,789.0","1,823.0","1,865.0","1,907.0","1,940.0","1,973.0","2,001.0","2,014.0","2,030.0","2,048.0","2,076.0","2,110.0","2,137.0","2,167.0","2,191.0","2,221.0","2,287.0","2,342.0","2,384.0","2,403.0","2,398.0","2,428.0","2,478.0","2,548.0","2,602.0","2,665.0","2,745.0","2,832.0","2,918.0","3,008.0","3,076.0"
"25","6","  Taxes on production and imports","W072RC1","9,887.0","10,208.0","10,615.0","11,058.0","11,423.0","11,745.0","12,094.0","12,330.0","12,597.0","12,894.0","13,197.0","13,448.0","13,702.0","13,966.0","14,560.0","14,636.0","15,266.0","15,265.0","15,649.0","16,040.0","16,347.0","16,786.0","17,202.0","17,665.0","17,962.0","18,242.0","18,587.0","18,785.0","18,961.0","19,212.0","19,500.0","19,855.0","20,264.0","20,704.0","21,313.0","21,875.0","22,439.0","23,020.0","23,573.0","24,052.0","24,584.0","25,013.0","25,356.0","25,510.0","25,787.0","26,135.0","26,739.0","27,425.0","27,934.0","28,216.0","29,262.0","29,952.0","30,444.0","31,219.0","31,825.0","32,412.0","32,920.0","33,443.0","34,096.0","34,769.0","35,476.0","35,958.0","36,516.0","37,054.0","37,613.0","38,266.0","39,143.0","39,778.0","40,691.0","41,406.0","42,397.0","42,886.0","43,816.0","44,688.0","45,792.0","46,832.0","47,525.0","48,223.0","49,228.0","50,072.0","50,676.0","51,672.0","53,542.0","55,202.0","57,211.0","58,720.0","60,429.0","61,780.0","63,309.0","65,073.0","66,989.0"
"26","7","    Sales taxes","B248RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,766.0","9,822.0","10,046.0","10,282.0","10,703.0","10,881.0","11,402.0","11,542.0","11,787.0","12,119.0","12,278.0","12,440.0","12,554.0","12,792.0","13,174.0","13,560.0","13,909.0","13,944.0","14,047.0","14,152.0","14,296.0","14,672.0","15,284.0","15,648.0","16,066.0","16,291.0","16,746.0","16,713.0","17,230.0","17,760.0","18,513.0","19,237.0","19,541.0","19,740.0","20,168.0","20,363.0","20,391.0","20,673.0","21,755.0","22,661.0","23,847.0","24,577.0","25,564.0","26,240.0","27,095.0","28,095.0","29,125.0"
"27","8","    Property taxes","B249RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","13,365.0","13,632.0","13,876.0","14,182.0","14,415.0","14,466.0","14,935.0","15,432.0","15,606.0","16,026.0","16,454.0","16,866.0","17,188.0","17,453.0","17,705.0","17,974.0","18,331.0","18,748.0","19,174.0","19,579.0","19,885.0","20,125.0","20,356.0","20,614.0","20,989.0","21,446.0","21,924.0","22,389.0","22,757.0","23,054.0","23,329.0","23,608.0","23,922.0","24,288.0","24,714.0","25,216.0","25,842.0","26,566.0","27,333.0","28,115.0","28,851.0","29,566.0","30,253.0","30,914.0","31,551.0","32,291.0","33,132.0"
"28","9","    Other","W073RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,656.0","2,681.0","2,817.0","2,961.0","2,816.0","2,869.0","2,925.0","2,978.0","3,051.0","3,074.0","3,093.0","3,106.0","3,178.0","3,198.0","3,217.0","3,235.0","3,236.0","3,266.0","3,295.0","3,323.0","3,432.0","3,469.0","3,503.0","3,516.0","3,636.0","3,669.0","3,727.0","3,784.0","3,829.0","3,874.0","3,950.0","3,987.0","4,062.0","4,195.0","4,346.0","4,493.0","4,443.0","4,433.0","4,454.0","4,426.0","4,513.0","4,577.0","4,612.0","4,626.0","4,663.0","4,687.0","4,732.0"
"29","10","  Taxes on corporate income","B102RC1","620.0","584.0","580.0","632.0","656.0","692.0","680.0","656.0","656.0","576.0","600.0","588.0","584.0","700.0","860.0","936.0","1,028.0","872.0","788.0","844.0","844.0","796.0","792.0","872.0","864.0","868.0","844.0","660.0","720.0","740.0","788.0","844.0","936.0","948.0","980.0","1,008.0","1,044.0","1,068.0","1,008.0","1,056.0","1,088.0","1,040.0","1,020.0","928.0","888.0","908.0","1,032.0","1,188.0","1,160.0","1,272.0","1,128.0","1,088.0","1,380.0","1,264.0","1,204.0","1,148.0","1,160.0","1,244.0","1,320.0","1,436.0","1,488.0","1,472.0","1,520.0","1,528.0","1,540.0","1,648.0","1,692.0","1,732.0","1,828.0","1,828.0","1,872.0","1,848.0","1,876.0","1,940.0","1,980.0","2,112.0","2,256.0","2,256.0","2,232.0","2,176.0","2,580.0","2,576.0","2,600.0","2,744.0","3,244.0","3,304.0","3,308.0","3,384.0","3,808.0","3,668.0","3,516.0"
"30","11","Contributions for government social insurance","B104RC1","176.0","180.0","172.0","172.0","204.0","204.0","200.0","196.0","200.0","192.0","196.0","188.0","216.0","220.0","224.0","232.0","236.0","236.0","248.0","248.0","268.0","272.0","276.0","296.0","296.0","300.0","312.0","316.0","316.0","324.0","328.0","328.0","332.0","336.0","336.0","344.0","356.0","364.0","376.0","384.0","392.0","392.0","400.0","404.0","392.0","396.0","392.0","400.0","404.0","408.0","416.0","424.0","448.0","444.0","476.0","476.0","484.0","468.0","496.0","520.0","524.0","540.0","556.0","572.0","596.0","624.0","640.0","656.0","664.0","672.0","688.0","704.0","724.0","752.0","764.0","792.0","800.0","816.0","828.0","840.0","852.0","868.0","888.0","900.0","916.0","924.0","952.0","976.0","980.0","1,016.0","1,040.0"
"31","12","Income receipts on assets","W074RC1","424.0","438.0","447.0","447.0","463.0","458.0","455.0","456.0","479.0","483.0","486.0","488.0","524.0","531.0","542.0","555.0","593.0","608.0","617.0","626.0","643.0","651.0","659.0","671.0","709.0","722.0","730.0","739.0","790.0","799.0","807.0","820.0","830.0","848.0","868.0","890.0","940.0","967.0","992.0","1,017.0","1,066.0","1,084.0","1,094.0","1,096.0","1,123.0","1,129.0","1,143.0","1,169.0","1,107.0","1,110.0","1,136.0","1,175.0","1,328.0","1,408.0","1,287.0","1,269.0","1,379.0","1,420.0","1,428.0","1,441.0","1,477.0","1,543.0","1,588.0","1,544.0","1,541.0","1,615.0","1,677.0","1,715.0","1,828.0","1,954.0","1,906.0","1,956.0","2,090.0","2,237.0","2,187.0","2,282.0","2,497.0","2,554.0","2,692.0","2,737.0","2,796.0","2,798.0","3,114.0","3,320.0","3,353.0","3,394.0","3,503.0","3,678.0","3,984.0","4,225.0","4,458.0"
"32","13","  Interest receipts \1\","B112RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","745.0","751.0","765.0","791.0","829.0","832.0","858.0","897.0","1,052.0","1,132.0","1,011.0","993.0","1,023.0","1,064.0","1,072.0","1,085.0","1,052.0","1,118.0","1,163.0","1,119.0","1,149.0","1,223.0","1,285.0","1,323.0","1,402.0","1,528.0","1,480.0","1,530.0","1,643.0","1,790.0","1,740.0","1,835.0","1,970.0","2,027.0","2,165.0","2,210.0","2,160.0","2,162.0","2,478.0","2,684.0","2,636.0","2,677.0","2,786.0","2,961.0","3,217.0","3,458.0","3,691.0"
"33","14","  Dividends","B081RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"34","15","  Rents and royalties","S230541","123.0","123.0","123.0","123.0","150.0","150.0","150.0","150.0","166.0","166.0","166.0","166.0","203.0","203.0","203.0","203.0","218.0","218.0","218.0","218.0","238.0","238.0","238.0","238.0","258.0","258.0","258.0","258.0","305.0","305.0","305.0","305.0","300.0","300.0","300.0","300.0","324.0","324.0","324.0","324.0","341.0","341.0","341.0","341.0","378.0","378.0","378.0","378.0","278.0","278.0","278.0","278.0","276.0","276.0","276.0","276.0","356.0","356.0","356.0","356.0","425.0","425.0","425.0","425.0","392.0","392.0","392.0","392.0","426.0","426.0","426.0","426.0","447.0","447.0","447.0","447.0","527.0","527.0","527.0","527.0","636.0","636.0","636.0","636.0","717.0","717.0","717.0","717.0","767.0","767.0","767.0"
"35","16","Current transfer receipts","W075RC1","789.0","1,210.0","1,503.0","1,262.0","1,286.0","1,645.0","1,766.0","2,071.0","2,058.0","1,973.0","2,393.0","2,256.0","2,223.0","2,272.0","2,223.0","2,222.0","2,415.0","2,445.0","2,277.0","2,475.0","2,364.0","2,452.0","2,652.0","2,672.0","2,211.0","3,107.0","2,688.0","2,742.0","2,811.0","2,721.0","2,826.0","2,822.0","2,722.0","2,868.0","2,967.0","2,907.0","2,866.0","2,984.0","3,160.0","3,186.0","3,459.0","3,341.0","3,543.0","3,713.0","3,511.0","3,928.0","3,800.0","4,589.0","3,723.0","4,201.0","4,049.0","4,079.0","4,175.0","4,283.0","4,259.0","4,443.0","4,609.0","4,962.0","5,067.0","5,126.0","5,327.0","5,329.0","5,589.0","5,567.0","5,617.0","5,826.0","6,101.0","6,348.0","6,859.0","6,802.0","6,491.0","6,868.0","6,818.0","7,367.0","7,695.0","7,804.0","9,299.0","10,405.0","10,807.0","11,105.0","11,625.0","12,162.0","12,184.0","13,285.0","12,381.0","13,934.0","13,204.0","13,757.0","13,795.0","14,677.0","15,781.0"
