"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"21","3","          Value added","W102RC1","149,282.0","164,389.0","179,635.0","194,622.0","208,381.0","227,023.0","250,250.0","266,956.0","287,157.0","312,341.0","338,978.0","374,605.0","413,828.0","449,897.0","478,856.0","514,398.0","555,462.0","591,734.0","629,680.0","676,681.0","728,893.0","784,667.0","834,979.0","880,677.0","909,781.0","940,464.0","969,567.0","993,896.0","1,026,999.0","1,067,312.0","1,123,724.0","1,190,546.0","1,260,453.0","1,333,948.0","1,413,722.0","1,495,443.0","1,574,274.0","1,652,456.0","1,746,483.0","1,843,470.0","1,907,619.0","1,975,919.0","2,002,392.0","2,023,740.0"
"22","4","            Compensation of general government employees","A194RC1","116,051.0","128,334.0","141,192.0","154,332.0","165,297.0","178,275.0","196,570.0","209,779.0","225,951.0","246,047.0","266,151.0","292,349.0","320,681.0","346,832.0","368,593.0","395,743.0","428,145.0","454,908.0","482,649.0","518,212.0","559,586.0","604,689.0","645,038.0","684,892.0","707,268.0","731,603.0","752,980.0","773,546.0","802,430.0","838,368.0","886,795.0","942,844.0","1,005,587.0","1,072,754.0","1,143,446.0","1,210,543.0","1,268,656.0","1,325,879.0","1,395,059.0","1,467,923.0","1,517,365.0","1,572,165.0","1,581,235.0","1,589,566.0"
"23","5","            Consumption of general government fixed capital \2\","A265RC1","33,230.0","36,056.0","38,443.0","40,290.0","43,084.0","48,748.0","53,680.0","57,177.0","61,206.0","66,294.0","72,827.0","82,256.0","93,147.0","103,065.0","110,262.0","118,656.0","127,317.0","136,826.0","147,032.0","158,468.0","169,307.0","179,979.0","189,940.0","195,785.0","202,513.0","208,861.0","216,586.0","220,350.0","224,569.0","228,944.0","236,929.0","247,702.0","254,866.0","261,194.0","270,276.0","284,900.0","305,618.0","326,577.0","351,424.0","375,548.0","390,254.0","403,754.0","421,156.0","434,175.0"
"24","6","          Intermediate goods and services purchased \3\","W104RC1","50,463.0","50,620.0","54,124.0","58,921.0","61,113.0","71,749.0","82,347.0","86,310.0","96,445.0","105,883.0","119,720.0","139,970.0","160,782.0","177,649.0","197,794.0","206,633.0","230,460.0","250,401.0","260,272.0","267,160.0","289,714.0","313,571.0","334,133.0","348,370.0","358,808.0","377,371.0","393,871.0","411,029.0","436,001.0","454,428.0","494,531.0","536,436.0","590,831.0","639,589.0","680,758.0","730,651.0","782,509.0","836,556.0","880,081.0","958,868.0","984,344.0","1,016,593.0","1,019,159.0","1,032,022.0"
"25","7","            Durable goods","W105RC1","7,835.0","7,726.0","6,605.0","7,955.0","7,999.0","8,123.0","9,400.0","9,681.0","12,083.0","13,938.0","16,278.0","18,360.0","22,549.0","26,479.0","32,534.0","35,242.0","38,213.0","41,773.0","44,401.0","44,900.0","44,565.0","44,936.0","45,151.0","43,233.0","41,669.0","38,795.0","37,880.0","38,285.0","39,311.0","40,915.0","43,653.0","44,862.0","46,273.0","47,589.0","49,529.0","53,371.0","54,770.0","59,056.0","63,139.0","70,187.0","74,389.0","75,039.0","71,976.0","71,769.0"
"26","8","            Nondurable goods","W106RC1","16,851.0","14,853.0","15,479.0","16,776.0","17,582.0","22,026.0","26,012.0","27,739.0","31,070.0","34,156.0","39,435.0","49,004.0","57,514.0","57,173.0","61,079.0","58,736.0","64,159.0","67,184.0","65,304.0","61,237.0","73,282.0","79,406.0","82,132.0","84,468.0","88,228.0","90,553.0","97,667.0","104,123.0","109,495.0","112,207.0","121,631.0","143,460.0","153,718.0","158,163.0","169,911.0","188,731.0","214,801.0","232,958.0","250,991.0","284,321.0","262,908.0","276,312.0","300,273.0","307,436.0"
"27","9","            Services","W107RC1","25,778.0","28,042.0","32,040.0","34,190.0","35,532.0","41,599.0","46,934.0","48,889.0","53,292.0","57,789.0","64,006.0","72,605.0","80,719.0","93,998.0","104,181.0","112,655.0","128,088.0","141,444.0","150,567.0","161,023.0","171,867.0","189,229.0","206,849.0","220,669.0","228,911.0","248,023.0","258,324.0","268,621.0","287,195.0","301,307.0","329,247.0","348,114.0","390,841.0","433,837.0","461,318.0","488,548.0","512,938.0","544,542.0","565,950.0","604,359.0","647,047.0","665,242.0","646,910.0","652,818.0"
"28","10","        Less: Own-account investment \4\","W108RC1","6,113.0","6,605.0","7,091.0","7,540.0","7,918.0","8,595.0","9,127.0","9,382.0","9,632.0","10,667.0","12,081.0","13,522.0","14,693.0","16,033.0","17,567.0","19,642.0","21,895.0","23,882.0","25,209.0","26,974.0","29,686.0","31,970.0","33,536.0","34,176.0","35,046.0","35,745.0","36,793.0","37,224.0","38,906.0","39,914.0","41,510.0","44,360.0","49,683.0","52,622.0","54,512.0","56,260.0","59,483.0","62,848.0","66,404.0","69,787.0","70,987.0","70,820.0","71,569.0","70,314.0"
"29","11","        Less: Sales to other sectors \5\","W109RC1","12,771.0","14,002.0","15,845.0","18,449.0","20,852.0","23,224.0","24,931.0","27,700.0","31,368.0","35,736.0","41,180.0","46,159.0","52,529.0","58,443.0","64,505.0","69,398.0","75,469.0","81,870.0","88,624.0","97,093.0","107,432.0","118,274.0","131,505.0","145,617.0","159,368.0","172,521.0","182,162.0","191,203.0","199,466.0","209,714.0","219,174.0","238,449.0","256,470.0","269,551.0","284,376.0","300,892.0","317,251.0","336,318.0","350,438.0","363,986.0","378,914.0","399,483.0","423,870.0","437,420.0"
"30","12","Federal consumption expenditures \1\","A957RC1","100,423.0","102,292.0","106,611.0","112,172.0","113,913.0","122,466.0","132,925.0","139,004.0","149,597.0","161,965.0","175,989.0","202,111.0","231,300.0","255,658.0","277,853.0","292,030.0","316,751.0","336,493.0","347,772.0","360,836.0","380,163.0","401,815.0","423,941.0","430,211.0","427,700.0","427,331.0","427,659.0","428,418.0","438,696.0","436,433.0","455,570.0","475,057.0","505,391.0","560,327.0","628,454.0","681,373.0","723,441.0","763,940.0","798,350.0","879,822.0","933,702.0","1,003,905.0","1,008,675.0","1,011,673.0"
"31","13","      Gross output of general government","W110RC1","105,578.0","107,691.0","112,397.0","119,117.0","121,587.0","130,987.0","141,348.0","147,541.0","159,239.0","172,823.0","188,381.0","215,707.0","245,642.0","270,630.0","293,701.0","309,373.0","335,418.0","356,074.0","368,691.0","383,311.0","404,014.0","427,396.0","450,765.0","457,149.0","454,804.0","456,709.0","454,883.0","456,009.0","464,259.0","463,079.0","481,112.0","503,301.0","534,987.0","591,754.0","661,943.0","716,041.0","762,635.0","803,982.0","838,571.0","922,613.0","978,061.0","1,050,207.0","1,058,465.0","1,056,031.0"
"32","14","        Value added","W111RC1","76,900.0","82,399.0","87,416.0","92,238.0","95,769.0","101,792.0","109,530.0","116,204.0","123,634.0","133,544.0","142,539.0","157,323.0","176,000.0","193,001.0","204,924.0","221,104.0","236,331.0","247,323.0","258,463.0","275,923.0","290,055.0","304,343.0","321,327.0","327,708.0","329,754.0","330,610.0","331,344.0","330,511.0","332,313.0","335,020.0","343,676.0","358,738.0","369,168.0","396,150.0","432,019.0","457,542.0","487,457.0","509,628.0","536,289.0","570,306.0","603,629.0","643,597.0","662,991.0","666,416.0"
"33","15","          Compensation of general government employees","B568RC1","51,433.0","55,172.0","58,823.0","62,622.0","64,575.0","67,770.0","72,534.0","76,454.0","80,865.0","87,130.0","91,950.0","100,753.0","112,226.0","121,997.0","127,713.0","136,537.0","144,950.0","149,079.0","153,078.0","161,932.0","168,456.0","176,006.0","186,491.0","189,571.0","188,055.0","186,073.0","183,338.0","182,172.0","183,457.0","185,846.0","191,682.0","202,444.0","211,183.0","236,362.0","266,924.0","284,247.0","303,686.0","314,780.0","329,561.0","350,247.0","375,491.0","404,756.0","413,246.0","411,081.0"
"34","16","          Consumption of general government fixed capital \2\","B995RC1","25,467.0","27,227.0","28,593.0","29,616.0","31,194.0","34,022.0","36,996.0","39,750.0","42,769.0","46,414.0","50,589.0","56,570.0","63,774.0","71,004.0","77,211.0","84,567.0","91,381.0","98,244.0","105,385.0","113,991.0","121,599.0","128,337.0","134,836.0","138,137.0","141,699.0","144,537.0","148,006.0","148,339.0","148,856.0","149,174.0","151,994.0","156,294.0","157,985.0","159,788.0","165,095.0","173,295.0","183,771.0","194,848.0","206,728.0","220,059.0","228,138.0","238,841.0","249,745.0","255,335.0"
"35","17","        Intermediate goods and services purchased \3\","W113RC1","28,678.0","25,292.0","24,981.0","26,879.0","25,818.0","29,195.0","31,818.0","31,337.0","35,605.0","39,279.0","45,842.0","58,384.0","69,642.0","77,629.0","88,777.0","88,269.0","99,087.0","108,751.0","110,228.0","107,388.0","113,959.0","123,053.0","129,438.0","129,441.0","125,050.0","126,099.0","123,539.0","125,498.0","131,946.0","128,059.0","137,436.0","144,563.0","165,819.0","195,604.0","229,924.0","258,499.0","275,178.0","294,354.0","302,282.0","352,307.0","374,432.0","406,610.0","395,474.0","389,615.0"
"36","18","          Durable goods","W114RC1","6,547.0","6,171.0","4,726.0","5,771.0","5,535.0","5,234.0","6,097.0","6,043.0","8,075.0","9,553.0","11,414.0","13,049.0","16,493.0","19,833.0","25,379.0","27,472.0","29,854.0","32,560.0","34,617.0","34,491.0","33,252.0","32,993.0","32,475.0","30,004.0","27,993.0","24,413.0","22,375.0","22,368.0","22,458.0","22,469.0","23,879.0","23,921.0","24,161.0","25,458.0","28,008.0","31,326.0","32,268.0","35,939.0","39,260.0","46,162.0","49,305.0","50,903.0","48,492.0","48,020.0"
"37","19","          Nondurable goods","W115RC1","9,030.0","5,888.0","5,306.0","5,871.0","5,235.0","6,596.0","7,224.0","6,535.0","7,003.0","8,015.0","9,573.0","15,448.0","20,560.0","19,010.0","21,376.0","16,259.0","18,843.0","21,873.0","16,404.0","9,809.0","15,992.0","16,057.0","16,597.0","15,907.0","16,060.0","13,704.0","13,812.0","14,261.0","16,092.0","16,371.0","15,334.0","19,767.0","22,462.0","24,191.0","28,981.0","34,346.0","39,992.0","42,482.0","43,867.0","54,212.0","50,862.0","55,223.0","59,878.0","59,652.0"
"38","20","          Services","W116RC1","13,101.0","13,233.0","14,949.0","15,237.0","15,048.0","17,365.0","18,497.0","18,759.0","20,527.0","21,711.0","24,855.0","29,887.0","32,589.0","38,786.0","42,022.0","44,538.0","50,390.0","54,318.0","59,207.0","63,088.0","64,715.0","74,003.0","80,366.0","83,530.0","80,997.0","87,982.0","87,352.0","88,869.0","93,396.0","89,219.0","98,223.0","100,875.0","119,196.0","145,955.0","172,935.0","192,827.0","202,918.0","215,933.0","219,155.0","251,933.0","274,265.0","300,484.0","287,104.0","281,943.0"
"39","21","      Less: Own-account investment \4\","W117RC1","4,224.0","4,544.0","4,874.0","5,230.0","5,479.0","5,750.0","6,113.0","6,395.0","6,582.0","7,145.0","7,816.0","8,635.0","9,441.0","10,337.0","11,466.0","12,667.0","14,014.0","15,072.0","15,718.0","16,576.0","17,782.0","18,893.0","19,427.0","19,731.0","20,254.0","20,340.0","20,659.0","20,388.0","20,375.0","20,599.0","20,770.0","21,608.0","24,482.0","26,473.0","27,874.0","28,437.0","29,920.0","31,221.0","32,787.0","33,985.0","34,829.0","35,595.0","36,784.0","35,122.0"
"40","22","      Less: Sales to other sectors","W118RC1","931.0","855.0","912.0","1,715.0","2,195.0","2,771.0","2,310.0","2,142.0","3,060.0","3,713.0","4,576.0","4,961.0","4,901.0","4,635.0","4,382.0","4,676.0","4,653.0","4,509.0","5,201.0","5,899.0","6,069.0","6,688.0","7,397.0","7,207.0","6,850.0","9,038.0","6,565.0","7,203.0","5,188.0","6,047.0","4,772.0","6,636.0","5,114.0","4,954.0","5,615.0","6,231.0","9,274.0","8,821.0","7,434.0","8,806.0","9,530.0","10,707.0","13,006.0","9,236.0"
"41","23","    Defense consumption expenditures \1\","A997RC1","82,620.0","81,789.0","82,338.0","84,362.0","84,277.0","88,835.0","94,334.0","98,172.0","104,923.0","112,983.0","122,940.0","140,789.0","162,942.0","184,598.0","199,577.0","213,602.0","230,544.0","245,782.0","259,180.0","274,166.0","283,473.0","295,432.0","310,642.0","307,546.0","300,844.0","294,542.0","291,089.0","291,545.0","292,468.0","288,460.0","301,226.0","308,297.0","325,059.0","358,098.0","408,923.0","446,791.0","475,918.0","500,319.0","526,072.0","582,787.0","613,288.0","653,213.0","662,842.0","652,012.0"
"42","24","      Gross output of general government","W085RC1","84,908.0","84,222.0","84,904.0","87,577.0","88,025.0","93,154.0","98,353.0","101,663.0","108,716.0","117,045.0","127,320.0","145,800.0","168,695.0","191,259.0","206,547.0","221,821.0","239,713.0","255,744.0","269,526.0","285,111.0","294,804.0","307,898.0","322,857.0","320,232.0","313,684.0","308,983.0","303,306.0","304,005.0","304,322.0","299,925.0","312,731.0","320,714.0","339,355.0","374,153.0","426,047.0","464,209.0","495,103.0","521,615.0","547,984.0","605,869.0","636,543.0","676,777.0","687,685.0","675,939.0"
"43","25","        Value added","W086RC1","60,318.0","63,198.0","65,298.0","67,884.0","69,152.0","72,301.0","76,576.0","79,865.0","83,865.0","89,823.0","95,403.0","104,865.0","119,113.0","132,589.0","141,740.0","154,093.0","166,061.0","175,618.0","184,760.0","195,742.0","205,387.0","213,439.0","223,148.0","224,828.0","220,719.0","218,159.0","215,937.0","212,629.0","210,868.0","208,945.0","211,010.0","216,316.0","222,187.0","238,309.0","262,452.0","279,479.0","300,464.0","314,738.0","331,361.0","353,445.0","373,452.0","396,139.0","409,157.0","409,607.0"
"44","26","          Compensation of general government employees","B237RC1","39,978.0","41,881.0","43,367.0","45,598.0","46,133.0","47,652.0","50,233.0","51,785.0","53,894.0","57,612.0","60,879.0","66,734.0","76,346.0","84,826.0","89,272.0","95,853.0","102,367.0","106,198.0","109,458.0","113,835.0","117,880.0","121,205.0","126,757.0","126,755.0","120,998.0","117,368.0","114,135.0","112,011.0","111,415.0","110,771.0","112,657.0","116,933.0","123,206.0","139,358.0","160,531.0","172,193.0","186,069.0","192,903.0","201,505.0","214,387.0","228,806.0","245,019.0","251,242.0","248,553.0"
"45","27","          Consumption of general government fixed capital \2\","B432RC1","20,340.0","21,317.0","21,931.0","22,286.0","23,019.0","24,649.0","26,343.0","28,080.0","29,971.0","32,211.0","34,524.0","38,131.0","42,767.0","47,763.0","52,468.0","58,240.0","63,694.0","69,420.0","75,302.0","81,907.0","87,507.0","92,234.0","96,391.0","98,073.0","99,721.0","100,791.0","101,802.0","100,618.0","99,453.0","98,174.0","98,353.0","99,383.0","98,981.0","98,951.0","101,921.0","107,286.0","114,395.0","121,835.0","129,856.0","139,058.0","144,646.0","151,120.0","157,915.0","161,054.0"
"46","28","        Intermediate goods and services purchased \3\","W087RC1","24,590.0","21,024.0","19,606.0","19,693.0","18,873.0","20,853.0","21,777.0","21,798.0","24,851.0","27,222.0","31,917.0","40,935.0","49,582.0","58,670.0","64,807.0","67,728.0","73,652.0","80,126.0","84,766.0","89,369.0","89,417.0","94,459.0","99,709.0","95,404.0","92,965.0","90,824.0","87,369.0","91,376.0","93,454.0","90,980.0","101,721.0","104,398.0","117,168.0","135,844.0","163,595.0","184,730.0","194,639.0","206,877.0","216,623.0","252,424.0","263,091.0","280,638.0","278,528.0","266,332.0"
"47","29","          Durable goods","A998RC1","6,454.0","6,061.0","4,582.0","5,541.0","5,319.0","4,985.0","5,805.0","5,716.0","7,640.0","9,045.0","10,785.0","12,293.0","15,724.0","19,081.0","24,582.0","26,612.0","28,971.0","31,692.0","33,634.0","33,430.0","32,027.0","31,568.0","30,971.0","28,379.0","26,410.0","22,930.0","20,943.0","20,820.0","20,866.0","20,944.0","22,225.0","22,134.0","22,292.0","23,235.0","25,748.0","28,845.0","29,565.0","32,952.0","36,287.0","42,868.0","45,807.0","47,022.0","44,805.0","44,180.0"
"48","30","          Nondurable goods","A725RC1","7,609.0","5,352.0","4,439.0","4,701.0","4,264.0","5,204.0","5,084.0","4,410.0","4,511.0","4,856.0","6,239.0","9,968.0","11,813.0","11,468.0","11,314.0","10,429.0","9,946.0","10,180.0","10,244.0","10,580.0","10,845.0","11,049.0","10,677.0","9,424.0","8,465.0","7,563.0","6,325.0","7,646.0","7,581.0","6,987.0","8,150.0","10,423.0","10,262.0","11,486.0","13,420.0","17,107.0","20,928.0","22,325.0","23,831.0","30,487.0","24,449.0","26,816.0","33,306.0","31,235.0"
"49","31","          Services","A489RC1","10,527.0","9,611.0","10,585.0","9,451.0","9,290.0","10,664.0","10,888.0","11,672.0","12,700.0","13,321.0","14,893.0","18,674.0","22,045.0","28,121.0","28,911.0","30,687.0","34,735.0","38,254.0","40,888.0","45,359.0","46,545.0","51,842.0","58,061.0","57,601.0","58,090.0","60,331.0","60,101.0","62,910.0","65,007.0","63,049.0","71,346.0","71,841.0","84,614.0","101,123.0","124,427.0","138,778.0","144,146.0","151,600.0","156,505.0","179,069.0","192,835.0","206,800.0","200,417.0","190,917.0"
"50","32","      Less: Own-account investment \4\","W088RC1","2,126.0","2,276.0","2,430.0","2,672.0","2,824.0","2,913.0","3,030.0","3,140.0","3,233.0","3,451.0","3,770.0","4,122.0","4,631.0","5,376.0","6,343.0","7,332.0","8,346.0","9,116.0","9,342.0","9,738.0","10,295.0","10,605.0","10,420.0","10,267.0","10,169.0","9,967.0","10,036.0","9,811.0","9,764.0","9,691.0","9,722.0","10,394.0","12,175.0","13,781.0","14,566.0","14,761.0","15,697.0","16,893.0","18,558.0","19,289.0","19,458.0","19,908.0","20,929.0","20,025.0"
"51","33","      Less: Sales to other sectors","W089RC1","162.0","157.0","136.0","543.0","924.0","1,406.0","989.0","351.0","560.0","611.0","610.0","889.0","1,122.0","1,285.0","627.0","887.0","823.0","846.0","1,004.0","1,207.0","1,036.0","1,861.0","1,795.0","2,419.0","2,671.0","4,474.0","2,181.0","2,649.0","2,090.0","1,774.0","1,783.0","2,023.0","2,121.0","2,274.0","2,558.0","2,657.0","3,488.0","4,403.0","3,354.0","3,793.0","3,797.0","3,656.0","3,914.0","3,902.0"
"52","34","    Nondefense consumption expenditures \1\","A542RC1","17,803.0","20,503.0","24,273.0","27,810.0","29,636.0","33,631.0","38,591.0","40,832.0","44,674.0","48,982.0","53,049.0","61,322.0","68,358.0","71,060.0","78,276.0","78,428.0","86,207.0","90,711.0","88,592.0","86,670.0","96,690.0","106,383.0","113,299.0","122,665.0","126,856.0","132,789.0","136,570.0","136,873.0","146,228.0","147,973.0","154,344.0","166,760.0","180,332.0","202,229.0","219,531.0","234,582.0","247,523.0","263,621.0","272,278.0","297,035.0","320,414.0","350,692.0","345,833.0","359,661.0"
"53","35","      Gross output of general government","W128RC1","20,670.0","23,469.0","27,493.0","31,540.0","33,562.0","37,833.0","42,995.0","45,878.0","50,523.0","55,778.0","61,061.0","69,907.0","76,947.0","79,371.0","87,154.0","87,552.0","95,705.0","100,330.0","99,165.0","98,200.0","109,210.0","119,498.0","127,908.0","136,917.0","141,120.0","147,726.0","151,577.0","152,004.0","159,937.0","163,154.0","168,381.0","182,587.0","195,632.0","217,601.0","235,896.0","251,832.0","267,532.0","282,367.0","290,587.0","316,744.0","341,518.0","373,430.0","370,780.0","380,092.0"
"54","36","        Value added","W129RC1","16,582.0","19,201.0","22,118.0","24,354.0","26,617.0","29,491.0","32,954.0","36,339.0","39,769.0","43,721.0","47,136.0","52,458.0","56,887.0","60,412.0","63,184.0","67,011.0","70,270.0","71,705.0","73,703.0","80,181.0","84,668.0","90,904.0","98,179.0","102,880.0","109,035.0","112,451.0","115,407.0","117,882.0","121,445.0","126,075.0","132,666.0","142,422.0","146,981.0","157,841.0","169,567.0","178,063.0","186,993.0","194,890.0","204,928.0","216,861.0","230,177.0","247,458.0","253,834.0","256,809.0"
"55","37","          Compensation of general government employees","W130RC1","11,455.0","13,291.0","15,456.0","17,024.0","18,442.0","20,118.0","22,301.0","24,669.0","26,971.0","29,518.0","31,071.0","34,019.0","35,880.0","37,171.0","38,441.0","40,684.0","42,583.0","42,881.0","43,620.0","48,097.0","50,576.0","54,801.0","59,734.0","62,816.0","67,057.0","68,705.0","69,203.0","70,161.0","72,042.0","75,075.0","79,025.0","85,511.0","87,977.0","97,004.0","106,393.0","112,054.0","117,617.0","121,877.0","128,056.0","135,860.0","146,685.0","159,737.0","162,004.0","162,528.0"
