"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"21","2","Less: Exports of goods and services","A020RX1","144,673.0","177,106.0","172,857.0","178,851.0","180,394.0","188,332.0","187,718.0","189,444.0","190,166.0","189,783.0","197,579.0","181,015.0","200,186.0","194,359.0","206,095.0","214,834.0","230,579.0","241,699.0","242,505.0","254,418.0","257,669.0","270,199.0","255,627.0","262,306.0","264,157.0","256,470.0","252,150.0","266,406.0","264,559.0","267,226.0","274,990.0","277,783.0","273,322.0","280,689.0","282,863.0","273,785.0","280,234.0","309,440.0","312,833.0","325,254.0","325,524.0","326,383.0","338,138.0","359,417.0","369,448.0","376,412.0","375,614.0","373,337.0","380,389.0","382,446.0","374,309.0","376,040.0","359,739.0","361,908.0","345,874.0","330,035.0","335,365.0","336,376.0","341,445.0","348,332.0","355,612.0","364,454.0","372,501.0","380,061.0","381,041.0","380,221.0","374,696.0","385,911.0","398,038.0","402,358.0","411,568.0","426,925.0","427,244.0","444,795.0","464,073.0","481,370.0","508,136.0","522,384.0","532,670.0","548,914.0","565,291.0","590,029.0","596,049.0","605,061.0","631,339.0","639,188.0","644,061.0","649,740.0","653,762.0","677,585.0","693,626.0","709,239.0","722,067.0","722,401.0","737,724.0","741,429.0","743,094.0","751,994.0","749,978.0","774,162.0","781,748.0","808,133.0","838,346.0","857,685.0","874,180.0","886,459.0","924,814.0","938,016.0","949,327.0","964,782.0","972,602.0","1,033,244.0","1,052,910.0","1,095,028.0","1,120,367.0","1,118,763.0","1,123,883.0","1,111,506.0","1,106,493.0","1,147,736.0","1,142,676.0","1,154,888.0","1,183,301.0","1,215,508.0","1,234,840.0","1,268,406.0","1,298,298.0","1,287,988.0","1,271,355.0","1,229,806.0","1,166,474.0","1,134,260.0","1,152,257.0","1,184,352.0","1,193,295.0","1,182,511.0","1,170,778.0","1,166,614.0","1,198,138.0","1,253,340.0","1,283,697.0","1,301,475.0","1,310,492.0","1,341,459.0","1,356,966.0","1,385,986.0","1,386,809.0","1,423,825.0","1,478,366.0","1,505,405.0","1,502,175.0","1,563,720.0","1,586,509.0","1,614,389.0","1,671,240.0","1,717,083.0","1,738,693.0","1,788,432.0","1,772,812.0","1,667,446.0","1,534,806.0","1,537,527.0","1,588,654.0","1,674,219.0","1,700,374.0","1,739,256.0","1,784,935.0","1,837,693.0","1,854,714.0","1,876,866.0","1,908,872.0","1,921,715.0","1,941,358.0","1,959,759.0","1,961,561.0","1,967,011.0","1,960,452.0","1,998,449.0","2,020,774.0"
"22","3","Plus: Imports of goods and services","A021RX1","214,362.0","256,654.0","253,328.0","250,545.0","249,725.0","254,660.0","254,076.0","258,016.0","254,975.0","274,209.0","280,271.0","261,274.0","299,459.0","288,819.0","294,830.0","308,111.0","322,349.0","313,058.0","304,410.0","306,681.0","296,279.0","311,975.0","306,523.0","303,481.0","273,029.0","251,181.0","272,063.0","286,585.0","304,539.0","317,728.0","330,692.0","341,636.0","357,810.0","361,109.0","356,076.0","361,127.0","385,356.0","386,575.0","391,623.0","396,994.0","395,907.0","398,045.0","391,974.0","400,539.0","400,836.0","371,748.0","345,011.0","363,526.0","379,053.0","379,626.0","375,297.0","386,062.0","375,059.0","368,930.0","386,047.0","370,894.0","379,385.0","408,551.0","440,373.0","461,976.0","499,117.0","520,026.0","533,483.0","549,115.0","536,999.0","563,380.0","557,945.0","579,811.0","579,283.0","603,954.0","620,689.0","625,469.0","621,728.0","637,232.0","649,626.0","664,559.0","661,453.0","653,849.0","669,285.0","689,675.0","692,876.0","696,157.0","695,210.0","707,790.0","730,239.0","729,017.0","726,077.0","706,607.0","698,558.0","710,972.0","730,982.0","747,132.0","752,564.0","764,938.0","777,003.0","795,598.0","812,825.0","829,621.0","840,544.0","874,316.0","894,689.0","928,022.0","954,127.0","980,976.0","1,002,487.0","1,012,019.0","1,015,497.0","1,028,471.0","1,061,903.0","1,085,672.0","1,120,879.0","1,142,993.0","1,191,820.0","1,231,827.0","1,277,207.0","1,304,747.0","1,353,647.0","1,384,678.0","1,403,404.0","1,448,918.0","1,485,379.0","1,531,980.0","1,586,145.0","1,622,112.0","1,688,916.0","1,735,888.0","1,795,537.0","1,799,944.0","1,768,457.0","1,717,924.0","1,675,682.0","1,656,583.0","1,697,972.0","1,754,319.0","1,782,539.0","1,817,044.0","1,793,468.0","1,817,299.0","1,837,200.0","1,907,217.0","1,959,704.0","2,034,034.0","2,059,837.0","2,111,048.0","2,130,379.0","2,151,629.0","2,157,232.0","2,222,851.0","2,270,694.0","2,295,875.0","2,315,554.0","2,312,329.0","2,351,826.0","2,360,935.0","2,362,404.0","2,328,272.0","2,349,857.0","2,328,315.0","2,285,226.0","2,191,462.0","1,981,859.0","1,897,625.0","1,969,060.0","2,055,468.0","2,113,930.0","2,213,575.0","2,289,785.0","2,295,173.0","2,311,257.0","2,315,202.0","2,342,801.0","2,376,406.0","2,380,589.0","2,395,059.0","2,398,036.0","2,379,076.0","2,382,742.0","2,422,872.0","2,434,020.0"
"23","4","Equals: Gross domestic purchases","A712RX1","4,806,171.0","4,815,829.0","4,848,962.0","4,816,398.0","4,805,021.0","4,806,925.0","4,849,946.0","4,801,343.0","4,926,268.0","4,974,132.0","5,007,885.0","5,026,828.0","5,127,339.0","5,243,279.0","5,281,078.0","5,370,108.0","5,494,607.0","5,530,343.0","5,488,751.0","5,523,257.0","5,456,834.0","5,472,021.0","5,435,610.0","5,398,333.0","5,284,881.0","5,307,452.0","5,434,879.0","5,505,485.0","5,659,273.0","5,716,387.0","5,750,934.0","5,805,078.0","5,903,224.0","6,010,480.0","6,104,810.0","6,127,564.0","6,173,281.0","6,363,525.0","6,426,869.0","6,499,611.0","6,510,117.0","6,519,726.0","6,537,102.0","6,532,647.0","6,538,012.0","6,344,954.0","6,289,611.0","6,443,230.0","6,591,787.0","6,541,327.0","6,622,153.0","6,560,158.0","6,459,164.0","6,481,170.0","6,509,930.0","6,517,972.0","6,607,805.0","6,799,007.0","6,969,086.0","7,130,879.0","7,311,424.0","7,452,896.0","7,531,116.0","7,600,021.0","7,656,277.0","7,760,647.0","7,878,924.0","7,949,504.0","8,003,682.0","8,065,409.0","8,153,080.0","8,179,570.0","8,229,825.0","8,316,334.0","8,380,176.0","8,511,229.0","8,517,664.0","8,598,058.0","8,653,443.0","8,770,929.0","8,839,912.0","8,879,368.0","8,935,449.0","8,958,517.0","9,050,035.0","9,072,881.0","9,065,284.0","8,956,450.0","8,899,643.0","8,954,077.0","9,001,786.0","9,041,397.0","9,138,550.0","9,253,697.0","9,339,143.0","9,450,387.0","9,486,590.0","9,551,919.0","9,613,515.0","9,751,496.0","9,860,957.0","10,001,717.0","10,054,672.0","10,176,024.0","10,215,991.0","10,247,817.0","10,292,726.0","10,364,820.0","10,457,933.0","10,648,027.0","10,776,582.0","10,844,579.0","10,958,813.0","11,118,854.0","11,279,715.0","11,397,474.0","11,554,481.0","11,710,403.0","11,885,463.0","12,078,555.0","12,231,423.0","12,366,002.0","12,543,932.0","12,757,202.0","12,840,682.0","13,087,778.0","13,133,554.0","13,216,129.0","13,164,734.0","13,224,521.0","13,209,368.0","13,255,441.0","13,397,587.0","13,490,069.0","13,570,960.0","13,621,626.0","13,676,578.0","13,828,112.0","14,039,396.0","14,204,358.0","14,306,284.0","14,466,204.0","14,603,651.0","14,740,447.0","14,897,212.0","14,965,980.0","15,086,701.0","15,195,098.0","15,362,506.0","15,405,679.0","15,441,999.0","15,489,139.0","15,515,582.0","15,610,046.0","15,653,086.0","15,624,423.0","15,526,058.0","15,522,302.0","15,415,593.0","15,103,901.0","14,820,556.0","14,717,856.0","14,781,804.0","14,920,362.0","15,011,452.0","15,215,362.0","15,348,518.0","15,402,547.0","15,354,037.0","15,451,563.0","15,498,413.0","15,700,490.0","15,822,410.0","15,864,386.0","15,971,419.0","15,950,799.0","16,005,830.0","16,104,058.0","16,202,490.0"
"24","5","Less: Change in private inventories","A014RX1","40,124.0","33,530.0","38,746.0","20,985.0","3,820.0","17,783.0","17,873.0","-14,853.0","42,097.0","35,825.0","34,050.0","-1,967.0","12,299.0","40,281.0","43,105.0","17,313.0","28,392.0","55,489.0","26,456.0","61,393.0","29,940.0","39,262.0","12,562.0","46,331.0","-18,668.0","-32,740.0","-5,234.0","342.0","34,594.0","52,040.0","47,017.0","17,177.0","29,257.0","43,655.0","76,626.0","40,304.0","48,170.0","47,177.0","48,080.0","57,173.0","43,289.0","48,976.0","18,045.0","12,975.0","14,343.0","12,244.0","-52,882.0","-15,002.0","61,111.0","15,315.0","63,057.0","32,057.0","-30,124.0","-5,918.0","6,578.0","-57,453.0","-53,534.0","-8,420.0","-2,911.0","30,417.0","96,864.0","91,064.0","95,072.0","59,866.0","18,503.0","27,121.0","22,801.0","41,940.0","37,203.0","18,101.0","-10,395.0","-8,806.0","40,108.0","22,490.0","-1,938.0","84,489.0","18,574.0","25,770.0","21,441.0","29,454.0","58,217.0","44,586.0","12,321.0","17,880.0","16,403.0","41,086.0","26,899.0","-12,641.0","-19,973.0","-23,695.0","1,000.0","34,815.0","2,635.0","25,316.0","23,219.0","26,636.0","45,979.0","31,024.0","2,055.0","17,251.0","54,664.0","98,684.0","61,617.0","86,588.0","72,412.0","41,319.0","9,398.0","15,113.0","2,036.0","29,649.0","65,483.0","38,168.0","51,406.0","112,885.0","80,890.0","94,042.0","127,889.0","49,642.0","67,367.0","71,056.0","97,514.0","45,272.0","51,503.0","107,510.0","23,616.0","108,714.0","68,704.0","63,867.0","-37,892.0","-12,804.0","-36,894.0","-97,393.0","-3,846.0","26,477.0","32,422.0","35,100.0","36,334.0","-198.0","7,576.0","46,557.0","56,399.0","81,882.0","71,081.0","76,228.0","111,300.0","33,028.0","18,198.0","94,779.0","78,616.0","84,439.0","81,949.0","41,423.0","19,613.0","49,431.0","50,181.0","22,956.0","-20,214.0","-26,403.0","-20,714.0","-67,354.0","-144,475.0","-190,116.0","-206,110.0","-49,574.0","9,843.0","48,758.0","116,226.0","58,074.0","22,027.0","42,894.0","-11,048.0","80,595.0","89,233.0","56,825.0","77,163.0","7,307.0","42,201.0","56,571.0","86,037.0"
"25","6","Equals: Final sales to domestic purchasers","A713RX1","4,782,056.0","4,800,834.0","4,828,596.0","4,818,877.0","4,827,408.0","4,811,851.0","4,855,210.0","4,847,737.0","4,902,559.0","4,956,310.0","4,993,782.0","5,057,435.0","5,139,087.0","5,220,082.0","5,254,760.0","5,377,766.0","5,483,486.0","5,483,543.0","5,477,203.0","5,466,904.0","5,440,957.0","5,448,433.0","5,448,233.0","5,355,217.0","5,345,572.0","5,382,252.0","5,469,614.0","5,533,989.0","5,640,303.0","5,674,578.0","5,716,024.0","5,807,270.0","5,893,042.0","5,978,462.0","6,029,788.0","6,101,328.0","6,134,405.0","6,325,005.0","6,384,099.0","6,453,916.0","6,473,589.0","6,477,008.0","6,539,524.0","6,546,444.0","6,543,739.0","6,355,908.0","6,392,091.0","6,488,078.0","6,537,579.0","6,550,805.0","6,561,863.0","6,542,573.0","6,528,090.0","6,513,418.0","6,525,151.0","6,621,510.0","6,700,768.0","6,840,462.0","7,004,000.0","7,116,046.0","7,210,106.0","7,357,154.0","7,430,965.0","7,544,410.0","7,653,812.0","7,752,082.0","7,874,720.0","7,919,285.0","7,978,148.0","8,066,553.0","8,187,768.0","8,221,282.0","8,207,710.0","8,315,523.0","8,404,196.0","8,435,456.0","8,517,601.0","8,591,391.0","8,645,454.0","8,757,768.0","8,788,302.0","8,845,133.0","8,941,674.0","8,956,498.0","9,050,888.0","9,043,375.0","9,053,028.0","8,989,395.0","8,940,005.0","8,998,614.0","9,021,387.0","9,018,633.0","9,156,929.0","9,239,983.0","9,330,395.0","9,439,251.0","9,451,417.0","9,534,453.0","9,629,853.0","9,749,409.0","9,817,190.0","9,909,160.0","10,003,631.0","10,094,682.0","10,151,284.0","10,218,951.0","10,298,090.0","10,361,221.0","10,471,223.0","10,631,028.0","10,715,680.0","10,813,504.0","10,920,826.0","11,009,926.0","11,203,499.0","11,307,318.0","11,428,947.0","11,668,553.0","11,825,204.0","12,014,732.0","12,140,976.0","12,326,232.0","12,498,094.0","12,652,534.0","12,822,610.0","12,979,452.0","13,067,126.0","13,153,579.0","13,204,674.0","13,241,172.0","13,248,846.0","13,354,741.0","13,404,615.0","13,468,480.0","13,542,123.0","13,589,789.0","13,641,776.0","13,829,849.0","14,032,825.0","14,159,808.0","14,251,776.0","14,385,028.0","14,533,301.0","14,664,850.0","14,787,618.0","14,932,690.0","15,067,619.0","15,099,037.0","15,286,100.0","15,323,328.0","15,360,540.0","15,446,813.0","15,493,781.0","15,557,788.0","15,601,447.0","15,603,702.0","15,546,711.0","15,552,427.0","15,435,332.0","15,176,925.0","14,972,841.0","14,908,121.0","14,984,356.0","14,965,538.0","14,998,372.0","15,164,021.0","15,227,954.0","15,342,268.0","15,332,070.0","15,402,445.0","15,508,890.0","15,610,218.0","15,720,376.0","15,797,859.0","15,882,820.0","15,939,652.0","15,958,598.0","16,040,966.0","16,107,387.0"
"26",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","7","  Final sales of domestic product","A190RX1","4,662,625.0","4,686,575.0","4,710,741.0","4,712,487.0","4,723,774.0","4,715,118.0","4,757,096.0","4,748,363.0","4,805,865.0","4,838,985.0","4,880,519.0","4,938,470.0","5,007,440.0","5,088,969.0","5,133,084.0","5,252,011.0","5,362,802.0","5,388,899.0","5,393,977.0","5,400,492.0","5,395,098.0","5,401,628.0","5,384,930.0","5,308,262.0","5,346,738.0","5,401,498.0","5,449,700.0","5,516,545.0","5,593,367.0","5,613,078.0","5,648,604.0","5,727,936.0","5,782,195.0","5,874,271.0","5,936,094.0","5,985,166.0","5,993,393.0","6,228,435.0","6,285,487.0","6,367,510.0","6,389,375.0","6,390,985.0","6,482,326.0","6,510,567.0","6,523,493.0","6,396,881.0","6,480,035.0","6,539,697.0","6,574,054.0","6,589,962.0","6,595,041.0","6,560,341.0","6,537,381.0","6,535,791.0","6,495,086.0","6,590,038.0","6,664,317.0","6,762,445.0","6,887,271.0","6,978,758.0","7,031,167.0","7,162,011.0","7,229,031.0","7,331,909.0","7,458,342.0","7,520,485.0","7,641,978.0","7,673,360.0","7,749,463.0","7,811,691.0","7,923,721.0","7,971,656.0","7,963,443.0","8,074,421.0","8,172,564.0","8,207,142.0","8,329,682.0","8,433,197.0","8,480,542.0","8,587,777.0","8,636,109.0","8,721,888.0","8,827,772.0","8,838,168.0","8,937,856.0","8,942,025.0","8,961,549.0","8,930,488.0","8,896,220.0","8,969,112.0","8,986,976.0","8,983,751.0","9,131,311.0","9,199,631.0","9,294,173.0","9,384,958.0","9,378,362.0","9,452,030.0","9,531,965.0","9,640,537.0","9,693,354.0","9,777,645.0","9,877,301.0","9,959,686.0","10,010,632.0","10,081,708.0","10,202,559.0","10,265,975.0","10,350,187.0","10,500,378.0","10,553,747.0","10,695,734.0","10,770,553.0","10,862,859.0","11,035,169.0","11,107,548.0","11,183,144.0","11,375,906.0","11,507,000.0","11,693,342.0","11,776,708.0","11,926,948.0","12,073,254.0","12,224,432.0","12,346,036.0","12,489,602.0","12,547,426.0","12,618,431.0","12,684,248.0","12,728,179.0","12,712,137.0","12,802,430.0","12,830,420.0","12,872,071.0","12,926,838.0","12,930,090.0","12,992,819.0","13,152,337.0","13,366,300.0","13,480,224.0","13,551,150.0","13,628,717.0","13,759,836.0","13,871,221.0","13,989,925.0","14,142,915.0","14,272,817.0","14,274,927.0","14,469,007.0","14,508,334.0","14,522,018.0","14,675,188.0","14,705,292.0","14,788,351.0","14,888,897.0","14,974,389.0","14,915,256.0","14,998,660.0","14,914,059.0","14,647,643.0","14,524,432.0","14,547,191.0","14,605,216.0","14,585,210.0","14,584,279.0","14,686,332.0","14,718,316.0","14,881,848.0","14,871,857.0","14,961,826.0","15,072,729.0","15,151,309.0","15,278,893.0","15,360,768.0","15,444,910.0","15,528,343.0","15,536,412.0","15,616,217.0","15,694,491.0"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Note. Chained (2009) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","quantity index and the 2009 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
