"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"22","4","  Industrial supplies and materials","A639RC1","11,679.0","13,762.0","12,647.0","13,897.0","19,740.0","29,853.0","29,330.0","31,639.0","33,219.0","38,415.0","53,290.0","67,951.0","65,721.0","61,799.0","57,129.0","61,926.0","59,390.0","59,030.0","67,426.0","84,208.0","95,386.0","101,941.0","106,217.0","105,168.0","102,920.0","115,398.0","140,991.0","141,322.0","153,005.0","143,251.0","145,723.0","171,108.0","159,469.0","157,282.0","173,273.0","206,276.0","236,813.0","279,121.0","316,284.0","386,918.0","293,541.0","388,562.0","484,701.0","482,325.0"
"23","5","    Durable goods","B686RC1","4,679.0","5,595.0","4,284.0","4,714.0","7,362.0","10,298.0","9,700.0","10,281.0","10,330.0","13,056.0","18,576.0","24,800.0","20,799.0","17,612.0","16,956.0","17,714.0","16,870.0","17,708.0","21,026.0","28,776.0","33,351.0","35,767.0","37,160.0","36,881.0","37,658.0","41,374.0","49,945.0","51,112.0","55,301.0","53,914.0","54,259.0","63,618.0","57,079.0","53,499.0","57,305.0","70,065.0","82,190.0","101,334.0","113,930.0","128,645.0","95,970.0","125,138.0","143,251.0","140,292.0"
"24","6","    Nondurable goods","B687RC1","7,000.0","8,167.0","8,363.0","9,183.0","12,378.0","19,555.0","19,630.0","21,358.0","22,889.0","25,359.0","34,714.0","43,151.0","44,922.0","44,187.0","40,173.0","44,212.0","42,520.0","41,322.0","46,400.0","55,432.0","62,035.0","66,174.0","69,057.0","68,287.0","65,262.0","74,024.0","91,046.0","90,210.0","97,704.0","89,337.0","91,464.0","107,490.0","102,390.0","103,783.0","115,968.0","136,211.0","154,623.0","177,787.0","202,354.0","258,273.0","197,571.0","263,424.0","341,450.0","342,033.0"
"25","7","  Capital goods, except automotive","A640RC1","12,423.0","14,659.0","15,372.0","16,914.0","21,999.0","30,878.0","36,639.0","39,113.0","39,766.0","47,498.0","60,181.0","76,284.0","84,174.0","76,501.0","71,661.0","77,008.0","79,321.0","82,816.0","92,708.0","119,104.0","136,941.0","152,990.0","166,605.0","176,377.0","182,710.0","205,709.0","234,418.0","253,957.0","295,832.0","299,823.0","311,249.0","357,000.0","321,725.0","290,435.0","293,673.0","327,541.0","358,426.0","404,026.0","433,019.0","457,656.0","391,497.0","447,840.0","493,252.0","527,656.0"
"26","8","    Civilian aircraft, engines, and parts","B688RC1","1,266.0","1,528.0","1,918.0","1,675.0","2,315.0","3,395.0","3,189.0","3,214.0","2,750.0","7,267.0","10,564.0","14,121.0","13,895.0","10,070.0","11,146.0","10,162.0","13,527.0","15,449.0","16,387.0","21,209.0","26,935.0","32,194.0","36,610.0","37,726.0","32,787.0","31,475.0","26,129.0","30,792.0","41,359.0","53,548.0","52,921.0","48,091.0","52,619.0","50,425.0","46,723.0","46,075.0","55,889.0","64,503.0","73,019.0","73,999.0","74,755.0","71,922.0","80,188.0","94,367.0"
"27","9","    Computers, peripherals, and parts","B850RC1","786.0","1,237.0","1,262.0","1,341.0","1,717.0","2,198.0","2,228.0","2,588.0","3,264.0","4,288.0","5,727.0","7,808.0","8,914.0","9,353.0","11,057.0","14,224.0","14,703.0","15,650.0","18,818.0","23,966.0","24,128.0","25,889.0","27,295.0","28,764.0","29,316.0","33,320.0","39,654.0","43,719.0","49,360.0","45,248.0","46,724.0","55,541.0","47,555.0","38,552.0","39,925.0","42,805.0","45,537.0","47,580.0","45,546.0","43,898.0","37,717.0","43,814.0","48,395.0","49,268.0"
"28","10","    Other","B689RC1","10,371.0","11,894.0","12,192.0","13,898.0","17,967.0","25,285.0","31,222.0","33,311.0","33,752.0","35,943.0","43,890.0","54,355.0","61,365.0","57,078.0","49,458.0","52,622.0","51,091.0","51,717.0","57,503.0","73,929.0","85,878.0","94,907.0","102,700.0","109,887.0","120,607.0","140,914.0","168,635.0","179,446.0","205,113.0","201,027.0","211,604.0","253,368.0","221,551.0","201,458.0","207,025.0","238,661.0","257,000.0","291,943.0","314,454.0","339,759.0","279,025.0","332,104.0","364,669.0","384,021.0"
"29","11","  Automotive vehicles, engines, and parts","B641RC1","3,931.0","3,899.0","4,729.0","5,526.0","6,952.0","8,815.0","10,794.0","12,229.0","13,535.0","15,163.0","17,898.0","17,443.0","19,693.0","17,230.0","18,462.0","22,422.0","24,944.0","25,096.0","27,583.0","33,397.0","35,141.0","36,195.0","39,899.0","46,883.0","51,555.0","57,532.0","61,395.0","64,360.0","73,436.0","72,511.0","75,257.0","80,356.0","75,435.0","78,943.0","80,633.0","89,212.0","98,407.0","107,263.0","121,264.0","121,452.0","81,714.0","112,008.0","132,849.0","146,127.0"
"30","12","  Consumer goods, except automotive","A642RC1","2,604.0","2,798.0","2,913.0","3,583.0","4,800.0","6,399.0","6,560.0","8,022.0","8,931.0","11,381.0","13,979.0","17,751.0","17,697.0","16,128.0","14,924.0","15,085.0","14,594.0","16,730.0","20,307.0","26,982.0","35,873.0","43,503.0","46,577.0","51,235.0","54,460.0","59,711.0","64,152.0","69,323.0","77,031.0","79,369.0","80,898.0","89,341.0","88,294.0","84,337.0","89,886.0","103,216.0","115,262.0","129,067.0","145,963.0","161,282.0","149,455.0","165,228.0","174,955.0","181,746.0"
"31","13","    Durable goods","B690RC1","1,190.0","1,189.0","1,270.0","1,702.0","2,432.0","3,271.0","3,137.0","3,952.0","4,172.0","5,913.0","7,266.0","9,763.0","8,963.0","7,758.0","6,793.0","6,739.0","6,398.0","7,594.0","9,473.0","13,341.0","19,510.0","23,572.0","24,346.0","26,360.0","28,172.0","30,322.0","32,507.0","35,005.0","39,533.0","40,769.0","41,794.0","46,705.0","46,370.0","43,925.0","46,059.0","53,911.0","62,085.0","71,093.0","82,716.0","90,700.0","75,446.0","87,695.0","97,258.0","99,346.0"
"32","14","    Nondurable goods","B691RC1","1,414.0","1,609.0","1,643.0","1,881.0","2,368.0","3,128.0","3,423.0","4,070.0","4,759.0","5,468.0","6,713.0","7,988.0","8,734.0","8,370.0","8,131.0","8,346.0","8,196.0","9,136.0","10,834.0","13,641.0","16,363.0","19,931.0","22,231.0","24,875.0","26,288.0","29,389.0","31,645.0","34,318.0","37,498.0","38,600.0","39,104.0","42,636.0","41,924.0","40,412.0","43,827.0","49,305.0","53,177.0","57,974.0","63,247.0","70,582.0","74,009.0","77,533.0","77,697.0","82,400.0"
"33","15","  Other","A643RC1","2,926.0","3,554.0","3,786.0","4,370.0","5,234.0","6,398.0","7,072.0","6,938.0","8,478.0","7,264.0","8,192.0","10,074.0","12,972.0","11,148.0","13,026.0","16,990.0","19,426.0","18,808.0","24,294.0","28,324.0","29,724.0","26,898.0","28,539.0","28,026.0","27,752.0","29,359.0","31,512.0","33,414.0","36,436.0","39,073.0","52,344.0","51,455.0","49,373.0","51,966.0","48,308.0","49,992.0","57,424.0","62,664.0","64,531.0","61,975.0","54,572.0","57,078.0","61,637.0","65,334.0"
"34","16","Exports of services \1\","A646RC1","13,661.0","15,164.0","17,406.0","19,049.0","21,345.0","25,669.0","29,077.0","31,745.0","35,697.0","41,484.0","46,088.0","54,992.0","66,135.0","68,202.0","69,695.0","76,749.0","80,959.0","94,988.0","106,385.0","118,802.0","134,920.0","155,216.0","171,344.0","185,075.0","194,838.0","210,847.0","229,502.0","249,224.0","266,075.0","272,086.0","277,706.0","297,201.0","285,091.0","292,121.0","302,589.0","350,316.0","385,067.0","430,426.0","500,413.0","545,503.0","519,115.0","565,082.0","627,551.0","659,932.0"
"35","17","  Transfers under U.S. military agency sales contracts","B267RC1","4,138.0","4,214.0","5,473.0","5,853.0","5,360.0","5,190.0","6,252.0","5,823.0","7,552.0","8,204.0","6,978.0","9,025.0","10,717.0","12,574.0","12,526.0","9,968.0","8,721.0","8,549.0","11,106.0","9,274.0","8,517.0","9,876.0","10,690.0","11,865.0","12,669.0","12,208.0","13,918.0","15,738.0","16,132.0","16,760.0","4,529.0","5,249.0","4,448.0","4,042.0","5,130.0","7,732.0","10,637.0","14,420.0","15,633.0","13,094.0","14,522.0","13,008.0","17,270.0","17,062.0"
"36","18","  Travel","B493RC1","2,043.0","2,331.0","2,534.0","2,817.0","3,412.0","4,032.0","4,697.0","5,742.0","6,150.0","7,183.0","8,441.0","10,588.0","12,913.0","12,393.0","10,947.0","17,177.0","17,764.0","20,387.0","23,563.0","29,434.0","36,204.0","43,006.0","48,386.0","54,742.0","57,875.0","58,416.0","63,394.0","69,809.0","73,426.0","71,325.0","75,161.0","82,892.0","72,639.0","67,359.0","65,159.0","75,465.0","82,160.0","86,187.0","97,355.0","110,423.0","94,187.0","103,463.0","115,552.0","126,214.0"
"37","19","  Passenger fares","B533RC1","450.0","544.0","615.0","699.0","975.0","1,104.0","1,039.0","1,229.0","1,366.0","1,603.0","2,156.0","2,591.0","3,111.0","3,174.0","3,610.0","4,066.0","4,411.0","5,585.0","7,002.0","8,977.0","10,658.0","15,299.0","15,856.0","16,618.0","16,528.0","16,999.0","18,908.0","20,422.0","20,868.0","20,098.0","19,425.0","20,197.0","17,181.0","16,291.0","15,091.0","17,932.0","20,609.0","21,638.0","25,187.0","30,957.0","26,103.0","30,986.0","36,763.0","39,360.0"
"38","20","  Other transportation","B683RC1","2,652.0","3,125.0","3,300.0","3,579.0","4,465.0","5,697.0","5,840.0","6,747.0","7,090.0","8,136.0","9,971.0","11,618.0","12,560.0","12,321.0","12,593.0","13,812.0","14,677.0","15,436.0","17,027.0","19,310.0","20,527.0","22,041.0","22,633.0","21,530.0","21,957.0","23,754.0","26,082.0","26,073.0","27,004.0","25,605.0","23,792.0","25,562.0","24,534.0","25,620.0","26,354.0","29,791.0","32,013.0","35,824.0","40,638.0","44,016.0","36,087.0","40,668.0","43,067.0","43,855.0"
"39","21","  Royalties and license fees","B684RC1","2,019.0","2,331.0","2,544.0","2,770.0","3,225.0","3,931.0","4,411.0","4,463.0","5,031.0","6,005.0","6,313.0","7,213.0","7,438.0","5,602.0","5,779.0","6,178.0","6,678.0","8,114.0","10,170.0","12,140.0","13,819.0","16,636.0","17,818.0","20,843.0","21,694.0","26,713.0","30,289.0","32,470.0","33,229.0","35,625.0","47,732.0","51,808.0","49,486.0","53,857.0","56,814.0","67,092.0","74,449.0","83,549.0","97,803.0","102,126.0","98,406.0","107,520.0","120,717.0","124,182.0"
"40","22","  Other private services","B720RC1","924.0","1,043.0","1,278.0","1,482.0","1,690.0","2,961.0","3,687.0","4,500.0","4,919.0","6,163.0","7,259.0","8,574.0","13,154.0","16,905.0","17,620.0","18,637.0","19,390.0","28,348.0","29,605.0","31,418.0","37,034.0","40,591.0","48,109.0","50,290.0","53,505.0","60,842.0","65,047.0","73,337.0","83,930.0","91,772.0","96,812.0","100,791.0","106,910.0","115,052.0","123,798.0","141,465.0","153,665.0","176,797.0","211,642.0","232,019.0","237,347.0","255,989.0","279,645.0","294,528.0"
"41","23","  Other","B980RC1","1,435.0","1,576.0","1,662.0","1,849.0","2,218.0","2,754.0","3,151.0","3,241.0","3,589.0","4,190.0","4,970.0","5,383.0","6,242.0","5,233.0","6,620.0","6,911.0","9,318.0","8,569.0","7,912.0","8,249.0","8,161.0","7,767.0","7,852.0","9,187.0","10,610.0","11,915.0","11,864.0","11,375.0","11,486.0","10,901.0","10,255.0","10,702.0","9,893.0","9,900.0","10,243.0","10,839.0","11,534.0","12,011.0","12,155.0","12,868.0","12,463.0","13,448.0","14,537.0","14,731.0"
"42","24","    Imports of goods and services","B021RC1","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,867.0","508,714.0","553,992.0","591,032.0","629,729.0","623,547.0","667,793.0","719,974.0","813,425.0","902,571.0","963,966.0","1,055,776.0","1,115,690.0","1,250,585.0","1,474,393.0","1,397,809.0","1,429,734.0","1,544,303.0","1,797,923.0","2,026,071.0","2,240,939.0","2,375,542.0","2,556,383.0","1,976,006.0","2,361,973.0","2,669,890.0","2,743,130.0"
"43","25","Imports of goods \1\","A255RC1","36,813.0","40,855.0","46,550.0","56,934.0","71,843.0","104,520.0","99,000.0","124,632.0","152,630.0","177,410.0","212,788.0","248,571.0","267,815.0","250,541.0","272,677.0","336,316.0","343,294.0","370,006.0","414,769.0","452,124.0","484,793.0","508,072.0","500,723.0","544,929.0","592,762.0","676,813.0","757,448.0","807,448.0","885,656.0","930,751.0","1,050,294.0","1,250,386.0","1,175,537.0","1,198,090.0","1,294,502.0","1,508,879.0","1,716,157.0","1,896,482.0","2,000,277.0","2,146,392.0","1,587,316.0","1,951,210.0","2,234,614.0","2,295,394.0"
"44","26","  Foods, feeds, and beverages","B647RC1","5,236.0","6,147.0","6,364.0","7,258.0","9,119.0","10,568.0","9,642.0","11,546.0","13,981.0","15,825.0","18,029.0","18,564.0","18,557.0","17,477.0","18,824.0","21,880.0","21,849.0","24,376.0","24,809.0","24,929.0","24,894.0","26,402.0","26,197.0","27,601.0","27,861.0","30,956.0","33,190.0","35,733.0","39,704.0","41,260.0","44,080.0","46,488.0","47,218.0","50,318.0","56,522.0","62,999.0","69,072.0","76,081.0","82,975.0","90,439.0","82,860.0","92,493.0","108,258.0","111,114.0"
"45","27","  Industrial supplies and materials, except petroleum and products","A649RC1","11,658.0","12,236.0","13,581.0","15,979.0","19,188.0","27,019.0","23,566.0","28,483.0","33,435.0","39,318.0","45,016.0","47,337.0","52,038.0","45,372.0","51,079.0","62,623.0","59,228.0","62,468.0","66,083.0","76,645.0","78,764.0","78,192.0","75,656.0","82,405.0","88,707.0","104,954.0","119,576.0","124,584.0","134,715.0","142,220.0","149,791.0","175,148.0","167,362.0","161,372.0","177,347.0","228,167.0","267,956.0","293,538.0","297,906.0","318,729.0","196,640.0","249,445.0","292,977.0","289,966.0"
"46","28","    Durable goods","A820RC1","7,147.0","7,462.0","8,329.0","9,918.0","12,149.0","17,073.0","14,068.0","16,258.0","19,900.0","23,648.0","26,696.0","26,493.0","28,363.0","22,285.0","26,292.0","32,804.0","30,511.0","33,381.0","33,995.0","39,643.0","40,153.0","38,477.0","35,625.0","39,171.0","43,064.0","53,455.0","59,679.0","63,005.0","69,067.0","75,969.0","80,064.0","90,146.0","81,983.0","83,196.0","86,083.0","121,451.0","137,097.0","164,352.0","159,943.0","161,489.0","95,502.0","125,189.0","149,816.0","151,410.0"
"47","29","    Nondurable goods","B696RC1","4,511.0","4,774.0","5,252.0","6,061.0","7,039.0","9,946.0","9,498.0","12,225.0","13,535.0","15,670.0","18,320.0","20,844.0","23,675.0","23,087.0","24,787.0","29,819.0","28,717.0","29,087.0","32,088.0","37,002.0","38,611.0","39,715.0","40,031.0","43,234.0","45,643.0","51,499.0","59,897.0","61,579.0","65,648.0","66,251.0","69,727.0","85,002.0","85,379.0","78,176.0","91,264.0","106,716.0","130,859.0","129,186.0","137,963.0","157,240.0","101,138.0","124,256.0","143,161.0","138,556.0"
"48","30","  Petroleum and products","B648RC1","2,649.0","2,927.0","3,650.0","4,650.0","8,415.0","26,608.0","27,018.0","34,572.0","44,982.0","42,554.0","60,430.0","79,514.0","78,373.0","61,951.0","55,088.0","58,050.0","51,384.0","34,279.0","42,944.0","39,632.0","50,912.0","62,296.0","51,740.0","51,579.0","51,482.0","51,276.0","56,029.0","72,746.0","71,771.0","50,904.0","72,118.0","126,141.0","109,424.0","109,272.0","140,391.0","189,921.0","263,175.0","316,667.0","346,688.0","476,128.0","267,706.0","353,647.0","462,148.0","433,868.0"
"49","31","  Capital goods, except automotive","A650RC1","3,422.0","3,978.0","4,334.0","5,919.0","8,263.0","9,819.0","10,166.0","12,282.0","13,985.0","19,288.0","24,610.0","31,578.0","37,135.0","38,447.0","43,734.0","60,367.0","61,287.0","71,990.0","85,129.0","102,202.0","112,294.0","116,369.0","121,107.0","134,815.0","153,153.0","185,016.0","222,147.0","228,415.0","253,579.0","269,830.0","296,096.0","347,708.0","299,150.0","284,923.0","297,643.0","346,117.0","382,833.0","422,612.0","449,116.0","458,698.0","374,056.0","450,407.0","513,480.0","551,684.0"
"50","32","    Civilian aircraft, engines, and parts","B932RC1","177.0","191.0","226.0","477.0","618.0","636.0","547.0","406.0","592.0","848.0","1,382.0","3,136.0","3,862.0","3,521.0","3,215.0","3,692.0","5,288.0","6,067.0","6,577.0","7,888.0","9,436.0","10,474.0","11,737.0","12,581.0","11,294.0","11,298.0","10,709.0","12,671.0","16,598.0","21,814.0","23,784.0","26,403.0","31,381.0","25,484.0","24,116.0","24,340.0","25,818.0","28,465.0","34,489.0","35,501.0","30,683.0","31,295.0","35,582.0","40,136.0"
"51","33","    Computers, peripherals, and parts","B852RC1","135.0","190.0","220.0","265.0","350.0","390.0","405.0","565.0","660.0","965.0","1,239.0","1,473.0","1,945.0","2,694.0","5,528.0","8,298.0","8,365.0","10,989.0","14,839.0","18,358.0","21,455.0","22,919.0","25,974.0","31,687.0","38,037.0","46,161.0","56,277.0","61,514.0","70,176.0","72,474.0","81,479.0","89,813.0","74,063.0","75,226.0","76,611.0","88,775.0","93,498.0","101,608.0","105,471.0","101,222.0","94,177.0","117,258.0","119,717.0","122,234.0"
"52","34","    Other","B853RC1","3,110.0","3,597.0","3,888.0","5,177.0","7,295.0","8,793.0","9,214.0","11,311.0","12,733.0","17,475.0","21,989.0","26,969.0","31,328.0","32,232.0","34,991.0","48,377.0","47,634.0","54,934.0","63,713.0","75,956.0","81,403.0","82,976.0","83,396.0","90,547.0","103,822.0","127,557.0","155,161.0","154,230.0","166,805.0","175,542.0","190,833.0","231,492.0","193,706.0","184,213.0","196,916.0","233,002.0","263,517.0","292,539.0","309,156.0","321,975.0","249,196.0","301,854.0","358,181.0","389,314.0"
"53","35","  Automotive vehicles, engines, and parts","B651RC1","5,057.0","5,682.0","7,556.0","8,991.0","10,708.0","12,425.0","12,085.0","16,782.0","19,359.0","25,038.0","26,629.0","28,257.0","30,990.0","34,294.0","43,045.0","56,522.0","64,906.0","78,060.0","85,174.0","87,948.0","87,400.0","88,200.0","85,459.0","91,462.0","102,055.0","118,129.0","123,724.0","128,742.0","139,429.0","148,636.0","178,241.0","194,954.0","188,745.0","202,777.0","209,172.0","227,332.0","238,715.0","255,962.0","258,498.0","233,204.0","159,188.0","225,641.0","255,229.0","298,531.0"
"54","36","  Consumer goods, except automotive","A652RC1","6,487.0","7,403.0","8,388.0","11,104.0","12,892.0","14,380.0","13,211.0","17,165.0","21,796.0","29,373.0","31,262.0","34,267.0","38,374.0","39,672.0","47,277.0","61,094.0","66,336.0","79,355.0","88,824.0","96,424.0","103,633.0","104,961.0","107,652.0","122,423.0","133,698.0","145,902.0","159,720.0","172,532.0","195,212.0","218,477.0","243,936.0","284,699.0","287,132.0","311,438.0","338,557.0","378,283.0","412,920.0","447,882.0","479,996.0","486,722.0","431,406.0","486,517.0","517,458.0","519,625.0"
"55","37","    Durable goods","B697RC1","3,979.0","4,412.0","5,044.0","6,945.0","8,054.0","9,153.0","7,664.0","9,591.0","13,404.0","18,044.0","19,106.0","21,078.0","23,387.0","23,439.0","27,437.0","34,856.0","38,309.0","45,624.0","48,982.0","52,812.0","56,989.0","55,654.0","56,879.0","63,932.0","70,223.0","77,155.0","83,676.0","90,885.0","100,830.0","113,577.0","128,112.0","151,967.0","148,999.0","163,762.0","175,236.0","202,346.0","224,791.0","244,909.0","264,514.0","267,354.0","226,592.0","260,558.0","273,483.0","277,995.0"
