"","Table 2#3#5U# Personal Consumption Expenditures by Major Type of","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Millions of dollars; quarters and months are seasonally adjusted at annual rates]                                                                                                                                                                        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 01, 2004 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2004 2:57:09 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8",NA,"PCE by Major Type of Product (From NIPA table 2.3.5):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","E1PCE1 A     Personal consumption expenditures","E1PCE10",317628,331725,342122,363283,382669,411415,443779,480859,507753,558032,605218,648465,701868,770602,852417,933427,1034394,1151913,1278609,1428535,1592215,1757133,1941060,2077268,2290557,2503286,2720305,2899724,3100234,3353616,3598496,3839937,3986066,4235265,4477887,4743286,4975787,5256832,5547400,5879483,6282474,6739378,7055038,7376059,7760880
"10","2","E1TDG1 A Durable goods","E1TDG10",42660,43319,41770,46870,51599,56654,63254,68284,70434,80772,85946,84991,96892,110365,123549,122327,133457,158850,181213,201721,214409,214161,231334,240227,280798,326477,363498,402988,421667,453589,471764,474204,453915,483588,526737,582221,611600,652563,692658,750198,817628,863326,883689,916170,950690
"11","3","E1TAP1 B   Motor vehicles and parts","E1TAP10",18871,19664,17812,21485,24370,25987,29925,30282,29994,36103,38360,35508,44520,51092,56139,49527,54801,71258,83521,93134,93478,87018,95825,102919,126503,152121,175918,194053,195043,209357,215299,212774,193476,213048,234004,260517,266690,284887,305120,336103,370787,386518,407885,426144,440086
"12","4","E1FUR1 B   Furniture and household equipment","E1FUR10",18083,17964,18251,19252,20650,23214,25116,28244,30009,32899,34711,35740,37806,42406,47887,51502,54504,60224,67213,74286,82726,86692,92101,93424,106622,118980,128531,142970,153399,163704,171553,171612,171718,178654,193391,213372,228625,242922,256164,273118,293866,312907,312088,319918,328001
"13","5","E1TOD1 B   Other","E1TOD10",5706,5691,5707,6133,6579,7453,8213,9758,10431,11770,12875,13743,14566,16867,19523,21298,24152,27368,30479,34302,38205,40451,43409,43884,47673,55376,59049,65964,73225,80528,84912,89818,88722,91886,99342,108332,116284,124755,131375,140977,152974,163901,163716,170109,182603
"14","6","E1TND1 A Nondurable goods","E1TND10",148459,152833,156581,162793,168150,178638,191546,208747,217065,235670,253141,271981,285493,308026,343082,384497,420729,458320,497147,550245,624459,696088,758887,787594,831164,884641,928702,958444,1015262,1083484,1166701,1249882,1284784,1330505,1379390,1437175,1485065,1555528,1618963,1683567,1804806,1947216,2017095,2080101,2200091
"15","7","E1TFD1 B   Food","E1TFD10",80643,82329,83985,86081,88247,93537,100710,109309,112438,122216,131483,143774,149686,161389,179612,201807,223210,242523,262643,289562,324670,355977,383515,403353,423761,447398,467578,492008,515205,553498,591639,636776,657503,669325,691850,720586,740851,768680,796200,829789,873119,925164,967911,1005829,1064519
