"","Table 4BU2# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","28","A   Durable goods industries","KS30DW0",101811,102044,101628,101541,101324,100969,101843,101905,101335,101303,101586,102717,103412,104260,105232,106755,107747,108269,108674,110051,109572,110672,110304,110760,108688,109005,110213,109214,109765,108883,110604,109690,110262,110308,111090,110563,110114,110424,109792,109295,108549,108651,107723,106499,105773,105592,106532,106348,106216,106002,105031,105405,104087,103059,102882,102333,101697,101511,100385,98939,98917,98627,95708,94663,94687,94677,94092,93746,93453,93006,92692,95044,94904,94990,94468,95289,95268,93698,93937,93848,93052,93665,93194,93913,94195,94288,93691,93626,93265,93599,94942,94470
"12","29","A     Wood product manufacturing","KS321W0",1743,1800,1782,1755,1775,1782,1797,1841,1827,1839,1818,1758,1751,1763,1884,1815,1850,1788,1760,1766,1769,1795,1852,1857,1871,1878,1889,1952,1872,1859,1863,1949,1938,1977,1963,1955,2116,2085,2083,2075,2026,2025,2035,2031,2028,2083,2110,2001,2026,2069,2000,1992,1912,1904,1916,2015,1975,2023,1964,1927,1990,2072,2029,2015,2133,2127,2084,2109,2138,2131,2121,2099,2068,2080,2030,2020,1999,1963,1950,1940,1951,1884,1898,1874,1945,2012,1938,1903,1919,1899,1890,1839
"13","30","A     Nonmetallic mineral product manufacturing","KS327W0",1296,1322,1319,1297,1341,1240,1258,1316,1335,1340,1323,1300,1333,1363,1343,1303,1298,1285,1316,1281,1263,1269,1265,1269,1287,1251,1236,1265,1267,1277,1289,1323,1322,1336,1323,1320,1298,1290,1297,1324,1305,1277,1267,1274,1260,1260,1278,1362,1356,1342,1338,1319,1306,1307,1296,1254,1289,1288,1279,1232,1219,1185,1178,1192,1199,1206,1215,1187,1194,1198,1211,1214,1197,1200,1221,1186,1179,1183,1174,1161,1162,1157,1153,1167,1169,1164,1158,1125,1137,1122,1100,1111
"14","31","A     Primary metal manufacturing","KS331W0",6741,6802,6940,6866,6885,6890,6980,6930,6851,6738,6786,6916,7093,7054,7080,7091,7030,6899,7098,7106,7064,7064,7155,7124,7356,7334,7338,7297,7482,7365,7477,7414,7311,7365,7484,7555,7703,7663,7548,7719,7682,7651,7699,7639,7520,7394,7304,7357,7228,7132,6969,6981,6879,6740,6809,6748,6716,6605,6552,6417,6414,6383,6196,6189,6133,6107,6160,6213,6112,6094,6188,6126,6275,6284,6206,6223,6162,5876,5858,5811,5536,5506,5463,5440,5529,5283,5471,5460,5270,5231,5244,5357
"15","32","A     Fabricated metal product manufacturing","KS332W0",8953,9025,9044,9123,9066,9269,9247,9248,9271,9305,9345,9449,9380,9267,9420,9529,9538,9660,9571,9632,9606,9522,9506,9526,9498,9405,9391,9379,9508,9338,9432,9427,9527,9658,9809,9731,9990,9962,9834,9917,10007,10070,10009,9962,9901,9900,9800,9727,9942,10026,9987,9986,9883,9887,9767,9751,9724,9659,9609,9378,9117,9107,9016,9037,9028,8946,8930,8876,8871,8776,8830,8833,8695,8661,8527,8613,8620,8599,8460,8584,8513,8613,8579,8613,8622,8628,8553,8529,8491,8437,8368,8239
"16","33","A     Machinery manufacturing","KS333W0",13158,12923,13057,13426,13219,13225,13126,13049,12905,12823,12801,12998,13036,13183,13016,12989,12968,13004,12870,13126,13161,13102,13095,12945,12809,12665,12751,12773,12938,12749,12891,12884,12712,12796,12588,12625,12996,13267,12895,12423,12831,13125,13075,12995,13134,13458,13649,14001,13670,13668,13761,13511,13403,13133,13048,12860,12702,12686,12376,11930,11864,11899,11711,11784,11736,11642,11495,11467,11399,11125,11133,11246,11046,10952,10912,11113,10971,10866,10835,11270,11424,11358,11366,11358,11554,11704,11594,11594,11802,11764,11913,11847
"17","34","A     Computer and electronic product manufacturing","KS334W0",17003,17034,17123,16982,17108,17287,17751,17806,18048,17802,18181,18799,18616,18878,19166,19241,19251,19242,19011,19150,18886,18884,18836,18702,18593,18718,18778,18945,19194,19036,19105,19112,19075,19081,18808,18827,18971,18900,18609,19581,20005,20378,20975,21084,19970,20808,21802,22316,22626,22960,22846,22864,21952,21914,21596,21480,20689,20472,20466,19515,19711,19843,19980,19477,19682,19605,19754,19560,19938,19769,19922,19985,19807,19505,19141,19378,19322,19238,19490,19345,19104,19751,20013,20271,19986,19976,20135,20557,20970,21044,21428,21725
"18","36","A     Electrical equipment, appliance, and component manufacturing","KS335W0",4768,4775,4808,4837,4873,4849,4888,4865,4846,4885,4878,4879,4887,4874,4821,4792,4760,4757,4808,4857,4880,4883,4898,4932,4887,4871,4931,4915,4929,4937,4838,4797,4936,4963,4950,4875,4883,4888,4780,4835,4883,4952,4953,4939,4905,4951,4986,5004,5013,5048,5030,5019,4963,4913,4880,4829,4808,4790,4732,4640,4613,4544,4569,4600,4595,4526,4453,4418,4358,4312,4301,4336,4350,4311,4278,4264,4237,4209,4207,4205,4204,4191,4209,4178,4194,4177,4158,4162,4184,4203,4170,4206
"19","37","A     Transportation equipment manufacturing","KS336W0",43056,43395,42588,42415,42150,41416,41731,41818,41147,41499,41261,41409,42141,42726,43186,44682,45829,46383,46929,47907,47787,49119,48612,49376,47306,47785,48823,47610,47448,47214,48640,47669,48273,48051,49056,48474,46981,47124,47498,46066,44456,43783,42281,41145,41521,40242,40089,39121,38838,38243,37656,38291,38377,37885,38075,38031,38473,38698,38142,38689,38737,38410,35973,35255,35067,35451,35028,34942,34491,34590,34031,36197,36270,36614,36508,36987,37245,36484,36298,35937,36245,36364,35498,36010,36176,36164,35583,35612,34937,35343,36042,35414
"20","38","D       Motor vehicle and parts manufacturing","KS3MVW0",7084,7176,7190,7324,7426,7190,7217,7354,8086,7367,7223,7269,7128,7118,7620,7105,6945,6514,6412,6229,6238,5943,6540,7095,6716,6408,7706,6738,6733,6964,7247,7161,7068,7277,7273,7221,7113,7221,6973,7074,7631,7368,7215,7218,7303,7342,7317,7274,7162,7148,7005,7254,7080,6943,6785,6686,6665,6525,6377,6283,6647,6404,6281,6483,6408,6793,6829,6827,6907,6999,6978,7040,6977,7369,7378,7399,7189,6941,7008,6906,6883,6903,6946,6849,6977,7024,7063,6921,6804,6975,6987,7000
"21","39","D       Other transportation equipment manufacturing","KS3OTW0",35963,36207,35382,35069,34698,34204,34491,34437,33009,34103,34013,34115,34993,35587,35528,37562,38879,39886,40538,41707,41574,43206,42085,42284,40591,41379,41119,40871,40715,40250,41393,40508,41206,40776,41785,41255,39868,39901,40525,38992,36825,36414,35066,33927,34219,32902,32774,31849,31679,31096,30652,31037,31297,30942,31289,31344,31806,32170,31762,32398,32091,32000,29693,28781,28665,28672,28215,28130,27602,27610,27072,29169,29302,29265,29149,29605,30067,29551,29301,29042,29370,29470,28565,29171,29212,29153,28535,28704,28147,28383,29070,28429
"22","40","A     Furniture and related product manufacturing","KS337W0",1389,1395,1361,1323,1349,1327,1371,1360,1355,1351,1342,1365,1368,1380,1430,1449,1462,1462,1503,1506,1497,1461,1458,1469,1513,1486,1468,1426,1434,1459,1453,1482,1422,1449,1502,1510,1523,1554,1561,1582,1568,1583,1580,1598,1588,1575,1588,1569,1594,1623,1600,1615,1603,1562,1550,1488,1477,1474,1468,1446,1500,1466,1452,1471,1489,1445,1443,1396,1414,1409,1394,1313,1363,1379,1413,1401,1332,1364,1388,1339,1331,1292,1270,1252,1300,1300,1294,1285,1275,1308,1301,1355
"23","41","A     Miscellaneous durable goods manufacturing","KS339W0",3869,3735,3706,3647,3645,3704,3653,3626,3648,3667,3737,3660,3662,3621,3713,3723,3646,3691,3745,3670,3622,3555,3609,3559,3570,3608,3609,3638,3679,3633,3609,3614,3734,3618,3609,3688,3632,3668,3674,3743,3752,3771,3815,3801,3913,3898,3915,3887,3919,3893,3845,3820,3797,3795,3925,3860,3822,3789,3772,3723,3709,3684,3613,3659,3652,3637,3564,3609,3600,3656,3646,3720,3849,3987,4190,4063,4146,3880,4269,4246,3544,3569,3823,3837,3760,3960,3890,3544,3535,3511,3799,3740
"24","42","A   Nondurable goods industries","KS30NW0",26418,26392,26394,26626,26969,26840,26951,27548,27838,28250,28526,28626,28155,28377,28212,28444,28557,28428,28451,28169,27974,27881,28363,28007,28260,28338,28570,29149,29484,29390,29095,28739,28729,29080,29437,29400,29017,28853,28967,29023,28908,29370,29741,29546,29364,30110,29843,29546,29267,29101,28951,28946,28926,28484,28387,28689,29052,28489,28347,28684,29098,29109,29360,29349,29578,29891,30320,31036,31095,30881,30576,30027,30020,30179,30442,29845,29584,30106,30397,30310,30105,30368,30540,29564,30013,30120,30461,30570,29666,30180,29722,29579
"25","43","A     Food manufacturing","KS311W0",4750,4816,4749,4781,4887,4843,4828,4910,4892,4940,4954,4894,4713,4678,4552,4616,4625,4573,4578,4622,4540,4531,4575,4595,4663,4684,4676,4646,4608,4649,4653,4607,4659,4666,4747,4732,4686,4697,4768,4797,4867,4847,4836,4818,4783,4628,4705,4839,4723,4730,4738,4705,4766,4647,4528,4607,4627,4569,4605,4616,4625,4668,4621,4592,4593,4638,4670,4687,4720,4826,4853,4850,4852,4871,4900,4952,4932,4917,4949,4948,4914,4885,4830,4869,4867,4862,4878,4904,4941,4939,4975,5092
"26","44","A     Beverage and tobacco product manufacturing","KS312W0",784,809,894,886,1004,998,1118,1313,1391,1436,1437,1524,1539,1583,1643,1683,1642,1651,1606,1367,1259,1300,1403,1516,1562,1623,1574,1585,1545,1553,1483,1443,1308,1461,1448,1437,1511,1511,1527,1646,1643,1721,1760,1728,1749,1779,1804,1913,1826,1885,1846,1905,1961,2001,2092,2161,2146,2122,2144,2127,2212,2228,2274,2220,2262,2207,2139,2215,2318,2272,2202,2253,2241,2231,2242,2281,2286,2284,2384,2438,2544,2533,2570,2604,2618,2585,2561,2629,2544,2678,2591,2760
"27","45","A     Textile mills","KS313W0",1738,1719,1676,1718,1716,1683,1678,1675,1672,1695,1682,1662,1651,1665,1653,1658,1616,1656,1671,1681,1681,1652,1646,1636,1633,1605,1610,1608,1598,1577,1594,1573,1582,1606,1632,1632,1622,1614,1595,1617,1631,1625,1539,1574,1555,1555,1515,1517,1499,1497,1505,1499,1479,1480,1454,1424,1417,1391,1388,1357,1319,1311,1279,1233,1228,1211,1201,1211,1117,1130,1117,1155,1183,1176,1163,1163,1227,1227,1225,1220,1223,1220,1215,1224,1221,1213,1218,1229,1206,1184,1177,1180
"28","46","A     Textile product mills","KS314W0",748,769,761,758,775,780,777,786,804,813,808,837,844,845,838,834,828,825,817,821,804,801,799,796,770,770,792,802,821,844,831,828,839,849,856,860,872,880,884,883,893,886,903,900,920,900,898,878,872,857,845,861,830,836,826,829,832,822,833,836,832,837,831,835,827,817,813,816,800,811,809,785,802,802,812,786,788,784,784,782,799,781,760,768,793,773,772,764,773,769,761,756
"29","47","A     Apparel manufacturing","KS315W0",1598,1629,1642,1654,1663,1701,1738,1712,1702,1726,1734,1795,1745,1691,1675,1670,1714,1679,1683,1697,1685,1662,1654,1636,1579,1589,1584,1653,1636,1703,1698,1751,1734,1821,1801,1813,1856,1859,1874,1815,1821,1833,1847,1827,1832,1780,1774,1731,1746,1697,1644,1614,1551,1468,1363,1352,1363,1358,1338,1300,1275,1265,1249,1246,1272,1277,1292,1315,1203,1199,1215,1221,1209,1184,1168,1155,1060,1111,1094,1086,1100,1106,1090,1071,1054,1063,1060,1058,1036,1018,1001,1026
"30","48","A     Leather and allied product manufacturing","KS316W0",317,324,336,343,339,340,317,324,328,335,354,334,340,347,334,330,327,314,316,311,304,301,307,318,312,304,298,302,295,301,310,306,319,330,320,319,315,319,307,308,310,316,304,309,318,297,301,298,308,299,302,292,279,271,267,272,270,266,265,261,256,253,248,244,250,253,248,240,228,231,220,217,204,203,202,194,192,185,188,185,192,201,223,215,221,215,206,208,200,200,191,195
"31","49","A     Paper manufacturing","KS322W0",1557,1569,1588,1579,1586,1571,1558,1572,1609,1602,1595,1627,1633,1615,1589,1587,1568,1495,1514,1518,1464,1447,1453,1501,1501,1516,1550,1535,1544,1562,1562,1563,1608,1613,1670,1606,1620,1614,1588,1592,1578,1610,1611,1597,1600,1586,1565,1527,1517,1529,1459,1447,1473,1444,1429,1453,1473,1502,1507,1517,1528,1493,1532,1560,1555,1566,1591,1628,1541,1505,1501,1472,1450,1440,1485,1475,1451,1438,1424,1422,1445,1448,1432,1363,1401,1396,1412,1430,1463,1444,1476,1492
"32","50","A     Printing and related support activities","KS323W0",1402,1285,1181,1241,1258,1192,1247,1450,1415,1406,1475,1378,1276,1310,1225,1325,1389,1368,1385,1331,1376,1283,1234,1259,1303,1286,1380,1581,1456,1457,1473,1260,1329,1370,1415,1422,1444,1508,1389,1295,1324,1346,1255,1345,1344,1436,1396,1295,1290,1257,1262,1202,1222,1239,1213,1266,1228,1127,1062,1169,1168,1062,1147,1184,1182,1282,1314,1306,1195,1338,1300,1152,1139,1187,1217,1100,1071,1029,1064,1088,1053,1051,1115,1089,985,1052,994,972,1143,1006,1031,1035
"33","51","A     Petroleum and coal product manufacturing","KS324W0",3728,3682,3757,3847,3800,3848,3816,3971,4118,4209,4325,4213,4064,4326,4369,4287,4343,4313,4239,3916,4195,4262,4052,3927,3810,3443,3735,3746,3659,3551,3465,3645,3597,3518,3749,3773,3763,3611,3593,3685,3642,3791,3795,3709,3762,4195,3826,3747,3734,3824,3762,3752,3817,3776,3862,3773,4079,3851,3838,4001,4047,3921,4316,4422,4483,4575,4664,4752,4756,4704,4472,4755,4653,4574,4701,4285,3884,4240,4463,4355,4158,4554,4319,4095,4325,4361,4294,4302,3509,3613,3800,3476
"34","52","A     Chemical manufacturing","KS325W0",7761,7725,7791,7817,7849,7807,7800,7803,7859,8098,8190,8341,8334,8394,8426,8509,8583,8605,8666,8722,8620,8649,9120,8624,8782,9010,8979,9247,9843,9682,9509,9349,9341,9441,9474,9455,9101,9038,9175,9118,8963,9187,9689,9548,9339,9759,9975,9587,9469,9263,9364,9445,9377,9144,9186,9370,9495,9331,9220,9391,9755,9962,9680,9660,9770,9978,10280,10759,11066,10721,10762,10057,10180,10385,10399,10322,10525,10663,10694,10719,10533,10503,10873,10140,10388,10481,10928,10961,10810,11202,10557,10458
"35","53","A     Plastics and rubber product manufacturing","KS326W0",2113,2129,2106,2105,2167,2172,2157,2145,2199,2161,2171,2183,2155,2162,2184,2172,2170,2197,2189,2254,2268,2266,2273,2304,2392,2373,2390,2417,2417,2413,2412,2376,2377,2347,2309,2349,2224,2198,2259,2258,2225,2199,2194,2185,2155,2176,2079,2212,2282,2268,2231,2234,2184,2192,2196,2183,2169,2161,2155,2148,2111,2104,2269,2260,2260,2201,2233,2223,2233,2241,2216,2199,2202,2236,2254,2236,2248,2316,2219,2155,2229,2187,2201,2211,2199,2176,2195,2166,2182,2242,2251,2251
