"","Table 1#17#1# Percent Change From Preceding Period in Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Percent]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 27, 2012     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2012 8:22:16 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8",NA,"Production in the United States:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Gross domestic product","A191RL1",-8.6,-6.5,-13.1,-1.3,10.9,8.9,13.1,5.1,-3.4,8.1,8.8,17.1,18.5,16.4,8.1,-1.1,-10.9,-0.9,4.4,-0.5,8.7,7.7,3.8,4.6,-0.6,7.2,2,2,-0.9,7.2,2.5,2.3,6.1,4.4,5.8,6.4,6.5,2.5,4.8,3.1
"10","2","    Gross domestic income","A261RL1",-7.5,-7.8,-12.6,-1.8,11.3,9.9,11.1,6.7,-4.2,7.4,9.1,18,19.4,16.8,5.9,-1.7,-9.8,-1.3,5.6,-1.4,9,7.1,4.1,4.3,-0.4,7.5,3,1.6,-1.1,7.3,2.8,2.3,5.9,4.6,5.5,6.3,5.9,2.8,4.9,3.3
"11","3","    Net domestic product \1\","A362RL1",-9.7,-7.2,-14.4,-1.1,12.8,10,14.4,5.3,-4,8.9,9.5,18.3,19.1,16.3,7.3,-2.1,-12.2,-0.8,5,-0.6,9.6,8.2,3.7,4.5,-1.2,7.6,1.8,1.9,-1.5,7.8,2.5,2.3,6.4,4.4,6,6.6,6.6,2.2,4.8,2.9
"12","4","    Net domestic income \1\","W256RL1",-8.5,-8.8,-14,-1.6,13.3,11.2,12.3,7.1,-4.9,8.2,9.9,19.3,20.1,16.8,4.9,-2.7,-11,-1.2,6.4,-1.6,9.9,7.5,4.1,4.2,-1,7.9,2.9,1.4,-1.7,8,2.9,2.2,6.2,4.6,5.7,6.5,5.9,2.5,4.9,3.1
"13",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","5","    Gross national product","A001RL1",-8.6,-6.6,-13.1,-1.4,10.7,8.9,12.9,5.2,-3.4,8.1,8.6,17.1,18.4,16.3,8.1,-1.2,-10.8,-0.7,4.5,-0.6,8.8,7.8,3.8,4.5,-0.6,7.2,2,2,-1,7.1,2.5,2.4,6.1,4.4,5.8,6.4,6.4,2.5,4.9,3.1
"15","6","    Gross national income","A023RL1",-7.5,-7.9,-12.7,-1.8,11.1,9.9,11,6.8,-4.2,7.4,9,18.1,19.3,16.7,5.8,-1.7,-9.7,-1.2,5.7,-1.4,9,7.2,4.1,4.3,-0.4,7.5,3,1.6,-1.2,7.3,2.8,2.3,5.9,4.6,5.5,6.3,5.8,2.8,4.9,3.3
"16","7","    Net national product \1\","A027RL1",-9.7,-7.3,-14.5,-1.2,12.7,10.1,14.3,5.5,-4,8.9,9.3,18.3,19,16.2,7.3,-2.1,-12,-0.6,5.1,-0.7,9.6,8.3,3.7,4.5,-1.2,7.6,1.8,1.9,-1.6,7.8,2.6,2.3,6.4,4.4,6,6.6,6.5,2.2,4.8,2.9
"17",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","8","    Gross domestic purchases","A712RL1",-8.4,-6.3,-12.9,-1.2,10.6,9.8,12.8,4.7,-4.3,8.1,8.3,18,19.8,17.5,8,-1.8,-14.7,-2,6.9,-0.6,10.2,6.9,4.5,5.3,-1,7.3,1.6,1.8,0,7.2,1.8,2.3,6.3,4.2,5.5,6.8,6.9,2.8,5.2,3.1
"19","9","    Final sales to domestic purchasers \2\","A713RL1",-6.6,-5.7,-11.2,-2.9,9.2,7.1,12.9,3.7,-2.3,7.4,6.3,17,22.3,19.1,8,-1.5,-17.4,1,4.2,2.3,7.3,6.3,6,5.7,-0.1,5.7,1.9,2.3,0.2,6.3,1.9,2.4,5.8,4.3,5.6,6.2,6.4,3.3,5.3,3.2
"20",NA,"Purchasing power of income: \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","10","    Command-basis gross domestic product","C191RL1",-8.2,-7,-13.1,-1.2,11.6,9,12.9,5.6,-4.3,8.2,9.2,17.5,18.3,16.2,8.2,-1.1,-11.2,-1.1,4.2,-0.8,8.7,7.8,3.5,4.7,-0.8,7.6,2,2,-0.8,7.2,2.5,2.4,6.1,4.3,5.7,6.5,6.5,2.7,4.9,3.1
"22","11","    Command-basis net domestic product \1\","C362RL1",-9.2,-7.8,-14.5,-1,13.7,10.1,14.2,5.8,-5,9,10,18.7,18.9,16.1,7.4,-2.1,-12.5,-0.9,4.8,-1,9.5,8.3,3.4,4.7,-1.5,8,1.8,1.8,-1.4,7.8,2.6,2.4,6.4,4.3,5.9,6.7,6.6,2.4,4.9,3
"23","12","    Command-basis gross national product","CB22RL1",-8.1,-7.1,-13.2,-1.3,11.5,9,12.7,5.7,-4.3,8.1,9.1,17.5,18.2,16.1,8.2,-1.2,-11.1,-0.9,4.3,-0.9,8.7,7.9,3.5,4.7,-0.8,7.6,2.1,2,-0.9,7.2,2.5,2.5,6.2,4.3,5.7,6.5,6.5,2.7,4.9,3.1
"24","13","    Command-basis net national product \1\","C027RL1",-9.2,-7.9,-14.5,-1.1,13.6,10.2,14,6,-4.9,8.9,9.9,18.8,18.8,16,7.4,-2.1,-12.3,-0.7,4.9,-1,9.6,8.3,3.4,4.6,-1.4,8,1.9,1.8,-1.5,7.8,2.6,2.4,6.5,4.3,5.9,6.7,6.5,2.4,4.9,2.9
"25",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","14","    Disposable personal income","A067RL1",-6.4,-3.5,-13.3,-2.9,9.7,9.7,12.6,3.4,-5.7,8.3,6.6,15,12.4,4.6,3.6,-1.3,-0.9,-3.8,5.4,0.6,9,2.9,3.2,4.9,1.4,6.8,4.9,2.4,1,4.4,2.6,3.4,4.9,3.8,7.2,6.2,5.3,4.4,4.6,3.2
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. In this table, the net measures are the corresponding gross measures less the depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
