"","Table 5#4#4# Price Indexes for Private Fixed Investment in Struc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2012 8:28:31 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Private fixed investment in structures","B349RG3",4.962,4.755,4.334,3.673,3.677,3.842,3.918,4.004,4.484,4.503,4.498,4.609,4.992,5.457,5.926,6.234,6.557,7.24,8.729,9.563,9.634,9.833,10.692,10.986,11.122,11.095,11.329,11.901,12.149,12.045,12.088,12.132,12.114,12.169,12.157,12.286,12.645,13.11,13.547,14.251,15.223
"9","2","Nonresidential","B009RG3",4.65,4.402,4.027,3.495,3.531,3.543,3.708,3.702,4.206,4.126,4.081,4.147,4.438,4.951,5.381,5.5,5.744,6.433,7.798,8.675,8.645,8.753,9.761,10.021,10.217,10.093,10.295,11.176,11.655,11.468,11.53,11.516,11.446,11.537,11.636,11.801,12.143,12.58,12.973,13.621,14.518
"10","3","  Commercial and health care","W001RG3",4.624,4.533,3.939,3.233,2.995,3.362,3.342,3.537,3.977,4.029,3.998,4.059,4.368,4.954,5.353,5.507,5.673,6.649,8.835,9.805,9.526,9.491,10.762,11.093,11.099,10.78,10.966,11.91,12.395,12.04,11.934,11.9,11.846,11.973,12.184,12.426,12.815,13.266,13.677,14.355,15.434
"11","4","    Office \1\","W031RG3",4.537,4.477,3.887,3.181,2.932,3.298,3.277,3.466,3.887,3.944,3.909,3.966,4.27,4.856,5.243,5.366,5.508,6.459,8.574,9.513,9.241,9.21,10.444,10.781,10.775,10.462,10.643,11.559,12.031,11.686,11.587,11.555,11.505,11.643,11.869,12.107,12.487,12.934,13.342,14.007,15.06
"12","5","    Health care","W032RG3",4.502,4.244,3.703,3.081,2.932,3.241,3.239,3.445,3.948,3.967,3.957,4.042,4.336,4.854,5.257,5.467,5.682,6.648,8.883,9.879,9.606,9.555,10.835,11.126,11.168,10.865,11.047,11.999,12.481,12.128,12.024,12.005,11.963,12.108,12.333,12.588,12.999,13.482,13.904,14.595,15.693
"13","6","      Hospitals and special care","C311RG3",4.401,4.056,3.544,2.965,2.868,3.124,3.141,3.36,3.913,3.913,3.913,4.012,4.296,4.782,5.182,5.401,5.626,6.576,8.821,9.822,9.554,9.498,10.772,11.05,11.103,10.809,10.987,11.934,12.41,12.062,11.957,11.943,11.905,12.049,12.273,12.526,12.939,13.424,13.843,14.532,15.625
"14","7","        Hospitals","W033RG3",4.4,4.056,3.544,2.965,2.867,3.124,3.141,3.359,3.913,3.912,3.913,4.012,4.296,4.782,5.182,5.401,5.626,6.576,8.82,9.821,9.553,9.497,10.771,11.049,11.102,10.808,10.986,11.933,12.409,12.066,11.962,11.947,11.909,12.053,12.277,12.531,12.944,13.429,13.848,14.537,15.63
"15","8","        Special care","W034RG3",4.407,4.062,3.549,2.969,2.872,3.129,3.145,3.364,3.919,3.918,3.919,4.018,4.302,4.789,5.19,5.409,5.634,6.586,8.833,9.835,9.567,9.511,10.787,11.066,11.118,10.824,11.002,11.951,12.427,12.056,11.952,11.937,11.899,12.043,12.267,12.52,12.933,13.418,13.837,14.525,15.617
"16","9","      Medical buildings","W035RG3",4.795,4.731,4.108,3.362,3.099,3.485,3.463,3.663,4.108,4.168,4.132,4.191,4.513,5.132,5.542,5.671,5.821,6.826,9.062,10.054,9.767,9.734,11.038,11.394,11.388,11.057,11.248,12.216,12.716,12.35,12.245,12.213,12.158,12.306,12.54,12.796,13.195,13.67,14.101,14.802,15.918
"17","10","    Multimerchandise shopping","W036RG3",4.654,4.593,3.988,3.264,3.009,3.383,3.362,3.556,3.988,4.046,4.011,4.068,4.381,4.982,5.379,5.505,5.651,6.627,8.797,9.76,9.481,9.449,10.715,11.06,11.055,10.733,10.919,11.859,12.344,11.989,11.892,11.857,11.807,11.95,12.179,12.426,12.816,13.277,13.694,14.378,15.458
"18","11","    Food and beverage establishments","W037RG3",4.666,4.604,3.998,3.272,3.016,3.392,3.37,3.565,3.998,4.056,4.021,4.079,4.392,4.994,5.393,5.519,5.665,6.643,8.818,9.784,9.504,9.473,10.742,11.088,11.082,10.76,10.946,11.888,12.374,12.019,11.917,11.886,11.832,11.976,12.205,12.458,12.839,13.307,13.718,14.407,15.491
"19","12","    Warehouses","W038RG3",4.727,4.664,4.05,3.315,3.055,3.436,3.414,3.611,4.05,4.109,4.073,4.132,4.449,5.059,5.463,5.591,5.739,6.73,8.933,9.912,9.628,9.596,10.882,11.232,11.227,10.9,11.089,12.043,12.536,12.175,12.072,12.041,11.987,12.132,12.364,12.615,13.005,13.476,13.901,14.589,15.693
"20","13","    Other commercial \2\","W039RG3",4.99,4.924,4.276,3.499,3.226,3.627,3.604,3.812,4.276,4.338,4.3,4.362,4.697,5.341,5.768,5.902,6.059,7.105,9.431,10.464,10.165,10.131,11.488,11.858,11.853,11.508,11.707,12.715,13.234,12.854,12.702,12.644,12.55,12.563,12.649,12.853,13.224,13.594,13.972,14.628,15.728
"21","14","  Manufacturing","B307RG3",4.388,3.941,3.411,3.083,3.125,3.653,3.738,3.94,4.429,4.37,4.207,4.511,4.981,5.757,6.245,6.005,6.327,7.673,9.083,10.114,9.838,9.781,11.092,11.379,11.433,11.13,11.313,12.289,12.779,12.419,12.312,12.297,12.257,12.406,12.636,12.897,13.323,13.822,14.253,14.963,16.087
"22","15","  Power and communication","W003RG3",5.663,5.354,5.062,4.489,4.467,4.873,4.997,5.192,5.563,5.546,5.516,5.638,6.017,6.457,6.715,6.735,6.899,7.899,9.385,10.377,10.843,11.287,12.262,12.525,13.137,13.363,13.692,14.88,15.643,15.813,16.157,16.249,16.21,16.041,16.1,16.141,16.524,16.929,17.45,18.329,19.189
"23","16","    Power","W028RG3",4.356,4.2,4.007,3.578,3.576,3.948,4.048,4.219,4.57,4.605,4.57,4.647,4.962,5.309,5.489,5.505,5.603,6.48,7.597,8.573,9.016,9.467,10.276,10.493,11.077,11.279,11.542,12.652,13.512,13.72,14.004,14.002,13.863,13.825,13.769,13.763,14.076,14.29,14.647,15.497,16.231
"24","17","      Electric","B571RG3",4.708,4.537,4.33,3.872,3.861,4.27,4.374,4.559,4.935,4.976,4.941,5.023,5.36,5.738,5.934,5.948,6.051,6.294,7.375,8.046,8.491,8.951,9.958,10.129,10.718,11.033,11.368,12.444,13.22,13.538,13.821,13.82,13.594,13.652,13.764,14.103,14.61,14.666,15.231,16.303,16.923
"25","18","      Other power","W029RG3",3.811,3.676,3.506,3.127,3.132,3.452,3.542,3.692,4.001,4.029,3.992,4.062,4.343,4.642,4.798,4.814,4.902,6.521,7.653,9.047,9.466,9.889,10.447,10.721,11.276,11.279,11.414,12.536,13.5,13.5,13.776,13.773,13.771,13.592,13.272,12.727,12.728,13.183,13.182,13.637,14.545
"26","19","    Communication","B314RG3",11.184,10.16,9.397,8.171,8.035,8.465,8.679,8.907,9.119,8.693,8.734,9.138,9.729,10.531,11.184,11.229,11.819,13.1,16.088,16.902,17.312,17.312,18.884,19.321,19.663,19.916,20.5,21.715,21.786,21.678,22.237,22.788,23.277,22.479,23.091,23.34,23.952,25.181,26.413,27.022,28.251
"27","20","  Mining exploration, shafts, and wells","E318RG3",2.669,2.601,3.092,2.463,2.98,2.101,2.593,2.177,2.799,2.615,2.567,2.473,2.54,2.855,3.561,3.941,4.132,3.924,4.217,4.69,4.569,4.544,5.148,5.279,5.312,5.166,5.252,5.71,5.935,5.777,5.988,5.919,5.775,5.887,5.682,5.689,5.807,6.173,6.397,6.699,7.018
"28","21","    Petroleum and natural gas","B319RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.689,3.929,4.37,4.258,4.234,4.796,4.919,4.95,4.814,4.894,5.321,5.53,5.384,5.592,5.524,5.383,5.49,5.279,5.279,5.384,5.733,5.943,6.223,6.502
"29","22","    Mining","B320RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.102,8.816,9.816,9.548,9.492,10.765,11.043,11.096,10.802,10.98,11.927,12.403,12.053,11.949,11.934,11.896,12.04,12.264,12.517,12.93,13.414,13.833,14.522,15.613
"30","23","  Other structures","W004RG3",5.577,5.246,4.66,4.182,4.061,4.204,4.186,4.304,4.769,4.687,4.676,4.751,5.075,5.648,5.919,5.918,6.218,6.948,8.615,9.638,9.512,9.605,10.691,11.016,11.23,11.107,11.358,12.29,12.794,12.581,12.507,12.5,12.452,12.6,12.808,13.045,13.449,13.932,14.353,15.09,16.19
"31","24","    Religious","C309RG3",4.413,4.071,3.556,2.979,2.859,3.112,3.165,3.374,3.925,3.927,3.943,4.022,4.31,4.809,5.203,5.489,5.613,6.59,8.839,9.842,9.574,9.518,10.794,11.073,11.126,10.831,11.009,11.959,12.436,12.085,11.981,11.966,11.928,12.073,12.297,12.551,12.965,13.451,13.871,14.561,15.655
"32","25","    Educational and vocational","W044RG3",4.461,4.121,3.595,3.02,2.901,3.164,3.206,3.423,3.968,3.983,3.979,4.058,4.37,4.87,5.269,5.559,5.726,6.682,8.954,9.969,9.698,9.641,10.934,11.216,11.27,10.971,11.152,12.114,12.597,12.242,12.136,12.121,12.082,12.229,12.456,12.713,13.132,13.624,14.05,14.749,15.858
"33","26","    Lodging","W045RG3",4.669,4.382,3.727,3.195,3.191,3.526,3.517,3.671,4.158,4.123,4.133,4.339,4.664,5.143,5.552,5.663,5.892,6.83,8.926,9.72,9.551,9.532,10.63,10.957,11.102,10.841,11.201,11.994,12.388,12.176,12.043,12.018,11.978,12.14,12.365,12.605,13.017,13.514,13.945,14.7,15.802
