"","Table 3#17# Selected Government Current and Capital Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 14, 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2012 8:26:43 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8",NA,"        Current expenditures \1\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,"Consumption expenditures:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","      Government","A955RC1",80.7,83.3,88.2,96.8,102.7,108.6,115.9,131.8,149.5,165.7,178.2
"11","2","General public service","G170021",4.5,4.9,5.4,5.7,6,6.6,7.2,7.8,8.3,9.4,11.4
"12","3","National defense","A997RC1",40.1,41,42.7,46.6,48.3,48.8,50.6,59.9,69.9,77.1,78.1
"13","4","Public order and safety","G170041",4.1,4.4,4.8,5,5.3,5.7,6.1,6.7,7.5,8.7,9.6
"14","5","Economic affairs","G170051",12,10.9,11.1,13.2,14.5,16.2,17.4,18.1,19.5,21.4,23.5
"15","6","Housing and community services","G170061",0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.9,1.1,1,1.1
"16","7","Health","G170071",3.8,4.1,4.5,4.6,5,5.4,5.6,6.2,6.8,7.6,8.5
"17","8","Recreation and culture","G170081",0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.4,1.6
"18","9","Education","G170091",14,15.7,17.3,18.9,20.7,22.8,25.3,29,32.7,36.3,41.2
"19","10","Income security","G170101",1,1,1.2,1.3,1.4,1.5,1.9,2.2,2.6,2.7,3.2
"20","11","      Federal","A957RC1",49.9,49.7,51.6,57.8,60.8,62.8,65.7,75.7,87,95.3,98.3
"21","12","General public service","G170121",1.7,1.9,2,2.1,2.3,2.5,2.7,2.7,2.6,2.7,3.3
"22","13","National defense","A997RC1",40.1,41,42.7,46.6,48.3,48.8,50.6,59.9,69.9,77.1,78.1
"23","14","Public order and safety","G170141",0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6
"24","15","Economic affairs","G170151",6.1,4.6,4.4,6.2,7,8.3,8.9,8.8,9.4,10.5,11.3
"25","16","Housing and community services","G170161",0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.2
"26","17","Health","G170171",1.2,1.3,1.4,1.6,1.7,1.8,1.9,2.2,2.5,2.8,3
"27","18","Recreation and culture","G170181",0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.3,0.3
"28","19","Education","G170191",0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.5,0.6,0.6,0.6
"29","20","Income security","G170201",0.3,0.3,0.4,0.5,0.5,0.5,0.7,0.8,0.9,0.7,0.8
"30","21","      State and local","A991RC1",30.7,33.5,36.6,39,41.9,45.8,50.2,56.1,62.6,70.4,79.8
"31","22","General public service","G170221",2.8,3,3.5,3.6,3.7,4.1,4.5,5.1,5.7,6.7,8
"32","23","Public order and safety","G170231",3.8,4.1,4.4,4.7,5,5.3,5.8,6.3,7,8.2,9
"33","24","Economic affairs","G170241",6,6.3,6.7,7,7.5,8,8.6,9.3,10.2,11,12.1
"34","25","Housing and community services","G170251",0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.9,0.9
"35","26","Health","G170261",2.6,2.8,3,3.1,3.3,3.5,3.8,4,4.3,4.8,5.5
"36","27","Recreation and culture","G170271",0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1.1,1.3
"37","28","Education","G170281",13.9,15.5,17.1,18.7,20.5,22.6,25,28.5,32,35.8,40.6
"38","29","Income security","G170291",0.7,0.7,0.7,0.8,0.9,1,1.2,1.4,1.7,2,2.4
"39",NA,"Government social benefits:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","30","      Government","W063RC1",22.9,24.7,28.4,29.1,30.7,31.7,34.4,38,46.3,53.9,59.6
"41","31","General public service","G170311",0.1,0.2,0.3,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.2
"42","32","Public order and safety","G170321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","33","Economic affairs","G170331",0,0,0,0,0,0.1,0.2,0.3,0.4,0.4,0.4
"44","34","Housing and community services","G170341",NA,NA,NA,NA,0,0,0,0,0,0,0
"45","35","Health","G170351",1.3,1.4,1.8,1.9,2.2,2.2,2.5,4.1,8.8,11.2,12.8
"46","36","Recreation and culture","G170361",NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"47","37","Education","G170371",0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.7,1.2,1.6,1.9
"48","38","Income security","G170381",20.9,22.6,25.9,26.8,28,28.8,31.1,32.8,35.8,40.5,44.2
