"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 26, 2012  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/25/2012 3:02:41 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","      National income without capital consumption adjustment","A422RC1",9061.6,9085.5,9019.2,9005.4,9093.6,9172.6,9217.2,9341.2,9441.3,9556.8,9700.2,9902.9,10107.7,10281.1,10486.5,10620.6,11082.4,11228.5,11444.9,11659.9,11954,12059.3,12177.5,12316.6,12353.8,12468.7,12517.6,12659.8,12611,12643.8,12659.1,12214.6,12071.5,11964.9,12064.5,12297.9,12560.4,12706.5,12853,12841.8,12965.5,13077.1,13169.4,13328.3,13788.3,13867.8,NA
"10","2","Domestic industries","A423RC1",9020.4,9035.9,8992.3,8915.4,9042.6,9139.8,9169.8,9276,9389.5,9491.2,9634.6,9811.1,9997.1,10195.2,10389.7,10548.9,10975.6,11132.3,11337.8,11581.5,11873.5,11983.8,12115.5,12244.9,12283.5,12389.3,12372.9,12461.2,12432.4,12462.5,12460.2,12096.9,11953.2,11849.1,11901.5,12120.8,12369,12490.7,12636.1,12628.8,12730.2,12827.1,12911.2,13064.4,13573.4,13620.5,NA
"11","3","  Private industries","A736RC1",7973.7,7975,7908.4,7824,7922.8,8007.8,8020.5,8108.9,8189.9,8276.3,8411.4,8579.8,8738.4,8924,9109.4,9256,9653.7,9803,9997.2,10231.9,10497,10593.9,10709.2,10823.6,10834.2,10928.6,10897.6,10972.1,10912.7,10928.1,10907.3,10530.8,10375.9,10257.8,10302.7,10514.9,10743.9,10853.1,11001.6,10992.8,11088.2,11180.2,11264.6,11424.4,11922.7,11967.5,NA
"12","4","    Agriculture, forestry, fishing, and hunting","N5004C1",73.7,71.5,72.8,72.5,63.5,61.4,70.5,74.9,75.9,83.1,85,89.3,108.5,108,98.7,101.2,92.8,92.7,93.2,92.5,86.6,88.9,92.7,99.6,106.9,106.3,108,118.7,129.7,123.7,115.4,114.1,104.9,109,111.1,118.6,113.1,117.4,121.7,123.7,132.1,128.8,133.5,131.9,134,132.8,NA
"13","5","    Mining","N5005C1",109.9,107.2,98.1,82.1,75.7,78.8,81.4,89,100.1,100.9,105.3,106.8,118.8,123.3,123.8,134.1,145.7,152.5,162.7,191.6,200.2,193.2,201.4,200.5,188.1,206.4,208,215.5,235.9,264.3,277,230,174.5,135.6,126.9,156,194.4,172.3,171.3,170.3,173.6,218.7,226.1,192.5,211,208.7,NA
"14","6","    Utilities","N5006C1",136.3,137.4,146.3,140.1,129,134.2,136,138.5,136.5,134.4,137.5,138.9,144.4,148.4,149.3,154.5,158.3,160,154.7,172,185,194.4,203.5,203,199.1,197.6,206.7,190,167.7,138.2,238.9,188.1,177.5,175.6,158.9,187,196.5,167.1,189.5,184.3,169.6,199,174.2,178.9,211.9,214.7,NA
"15","7","    Construction","N5007C1",511.8,511.8,510.6,503,510.1,510.9,514.3,521.7,529.7,526.7,534.3,548.4,551.6,570.9,596.7,614.1,626.7,650.3,667.4,683.6,717.2,707.3,696.8,685.9,692.4,690,680.9,680.1,658.7,640.8,619.5,597,566.5,541.7,543.1,539.1,536.6,546.3,541.1,533.6,540.5,550.2,554.9,562.6,585.6,585.8,NA
"16","8","    Manufacturing","N5008C1",1127.6,1113.9,1060.1,986.9,1023.9,1042.3,1038.6,1047.5,1060.8,1049.5,1066,1121.5,1123.3,1159.6,1193.5,1210.2,1282.5,1286.4,1315.3,1335,1385.4,1392.8,1428.1,1397.2,1416.1,1435.3,1367.2,1417.7,1353.6,1314.9,1356.1,1307.6,1176.9,1149.3,1154,1194,1245.9,1294.6,1326.1,1320.5,1338.9,1353.4,1383.4,1412.3,1521.9,1530.4,NA
"17","9","      Durable goods","N5009C1",665.6,637.4,584.2,537,577.8,600,601.8,603.7,610.4,605.3,602.5,637.2,634.3,654.8,672.2,677.1,723.3,736.8,753.2,762.8,795.3,763.4,801.5,805.2,804.8,796.9,786.4,815.7,788.7,743.5,762.8,705.2,631.3,618.9,624.4,653.1,695,717.6,736.1,740.4,747.3,753.4,772.9,801.5,865.2,877.3,NA
"18","10","      Nondurable goods","N5010C1",462,476.5,475.9,449.9,446.2,442.3,436.7,443.8,450.4,444.2,463.4,484.3,489,504.7,521.3,533.1,559.2,549.6,562.2,572.2,590.2,629.4,626.6,592,611.3,638.5,580.8,602.1,564.8,571.4,593.2,602.4,545.6,530.4,529.6,540.9,551,577,590.1,580.1,591.6,599.9,610.5,610.8,656.6,653.1,NA
"19","11","    Wholesale trade","N5011C1",561.3,557,560.6,575.5,565.7,566.4,555.6,560.1,564.2,575.3,591,598.8,614.4,633.3,649.5,639.9,671.9,695.9,686.3,699.3,730.6,734.4,747.1,752.7,765.6,777,774.5,759.4,734.4,739.7,756.3,788.7,730.3,690.3,685,698.9,719.7,745.8,745.1,723.3,744.9,770.3,782.4,789.5,831.6,852.8,NA
"20","12","    Retail trade","N5012C1",695.3,695.4,699.1,708.8,714.6,718.6,725.1,734.5,748.8,760.5,762.5,767.3,783.7,786,790.1,797.1,822.3,862.2,861.8,892.2,896.3,890.8,908,920.2,906.9,915.7,895.5,890.5,844,840.4,838.6,824.9,830.2,835.1,835.5,853.2,868.9,876.8,879.5,879.6,887.4,881,891.8,913,947.5,947.2,NA
"21","13","    Transportation and warehousing","N5013C1",273.2,275.9,254.5,262.3,260.1,259.5,262.5,268.5,272.9,268.4,278.5,283.8,291.8,305,303.9,304.6,323.9,330.1,335.1,342.5,356.6,362.1,360.4,363.8,357.1,365.2,361.3,360.4,359.8,364.8,361.6,364.3,349.8,334.2,333,346.2,357.1,373.8,384.4,371.5,379.2,386.2,390.1,394,416.5,417.7,NA
"22","14","    Information","N5014C1",306.3,312.9,293.3,275.2,298.2,301.3,297.1,302.3,262.3,300.8,339.5,336.5,332,353.1,372.7,372.7,396.5,413.7,410.5,411.6,414,431,432.9,420.1,437.7,447.1,452,475.7,459.5,480.7,448.9,367.7,389.1,416.3,423.8,441.3,421.6,424.3,437.7,418.2,429.9,450.7,440.1,443.4,486.7,497,NA
