"","Table 6#11D# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/25/2012 3:03:48 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","      Employer contributions for employee pension and insurance funds","B040RC0",535089,565422,615931,669131,747398,845564,874621,931569,960146,980494,1052365,1067165,1097343,1139046
"9",NA,"          By industry"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2","Domestic industries","B040RC0",535089,565422,615931,669131,747398,845564,874621,931569,960146,980494,1052365,1067165,1097343,1139046
"11","3","  Private industries","B4903C0",362229,381193,424680,464047,526052,592060,598176,631247,642179,640772,690202,687876,694771,722150
"12","4","    Agriculture, forestry, fishing, and hunting","N4904C0",1513,2596,1996,2632,2669,2654,4061,3220,4279,4404,3908,4935,4330,4565
"13","5","    Mining","N4905C0",3709,3702,3801,3777,3092,4424,5365,4777,6526,5624,7202,6845,6830,7084
"14","6","    Utilities","N4906C0",3426,6611,6629,9142,11708,11528,12644,11837,13952,12389,15798,16365,16538,17032
"15","7","    Construction","N4907C0",22175,24490,28391,29628,28402,31211,33860,36770,36345,36426,40789,36203,38406,40250
"16","8","    Manufacturing","N4908C0",88245,93949,101273,105364,126508,153537,134261,134557,130261,130888,145473,137474,134961,144299
"17","9","      Durable goods","N4909C0",60205,62391,68499,66866,78329,101975,85019,86445,80835,83156,87070,84511,79537,87215
"18","10","      Nondurable goods","N4910C0",28040,31558,32774,38498,48179,51562,49242,48111,49427,47732,58402,52963,55424,57084
"19","11","    Wholesale trade","N4911C0",32986,24319,25845,25681,28365,28755,29924,33896,33644,34456,36059,33989,35132,36574
"20","12","    Retail trade","N4912C0",35118,31571,31200,32969,39606,47299,46302,50386,50072,50433,49924,47815,46279,49024
"21","13","    Transportation and warehousing","N4913C0",18623,21218,22838,23980,23711,27144,29415,32451,31127,31092,31530,33539,35401,36045
"22","14","    Information","N4914C0",15925,15895,14926,17812,21404,29510,30083,28821,27621,30203,29997,34803,30271,32697
"23","15","    Finance, insurance, real estate, rental, and leasing","N4915C0",36824,40342,45060,52031,62916,57031,60321,69010,71489,68823,76395,72005,77396,79491
"24","16","    Professional and business services \1\","N4916C0",43170,41372,64135,74625,78839,85599,82820,92021,100624,97122,108632,107082,105454,112410
"25","17","    Educational services, health care, and social assistance","N4918C0",40236,49612,50267,55333,65798,77198,87834,92892,98702,97792,104195,115559,123514,120235
"26","18","    Arts, entertainment, recreation, accommodation, and food services","N4919C0",9230,14223,14976,16680,17515,20659,23376,22427,20570,22745,22054,21802,21623,22548
"27","19","    Other services, except government","N4929C0",11050,11292,13343,14392,15516,15510,17912,18184,16964,18374,18246,19460,18639,19895
"28","20","  Government","B4918C0",172859,184229,191251,205084,221346,253504,276445,300322,317967,339722,362163,379289,402572,416896
"29","21","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,"          By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
