"","Table 6#19B# Corporate Profits After Tax by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/25/2012 3:04:29 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Corporate profits after tax","A055RC0",51394,46235,54714,65883,84999,94991,93896,114451,136069,161278,182118,166352,159403,132113,153351,171077,158058,136286,192658
"9","2","Domestic industries","A3202C0",44799,39135,46859,56349,70101,77522,79265,97903,116956,138409,147507,130881,129724,99530,118292,134511,119953,96812,144646
"10","3","  Agriculture, forestry, and fishing","A3203C0",115,-13,87,323,597,211,537,458,342,887,833,230,2,-56,-308,-143,-401,1103,1382
"11","4","    Farms","B3204C0",42,-62,3,188,488,93,418,253,149,638,553,68,-175,-160,-310,-321,-534,540,522
"12","5","    Agricultural services, forestry, and fishing","B3205C0",73,49,84,135,109,118,119,205,193,249,280,162,177,104,2,178,133,563,860
