"","Table 5#3#1# Percent Change From Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 26, 2012  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/25/2012 2:59:57 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","    Private fixed investment","A007RL1",6.2,-2.1,7.6,12,9.1,-6.3,-10.7,9.9,14.4,12.1,5.6,-6.5,2.2,-7,7.3,16.9,5.3,1.2,0.5,3.3,3,-2.1,-6.5,5.9,8.6,9.4,6.4,9,9.2,10.9,9.3,7.4,-1.9,-4.2,3.5,7.4,6.5,2.4,-1.9,-7.1,-19,-0.2,6.6
"9","2","Nonresidential","A008RL1",7.6,-0.5,0,9.2,14.5,0.8,-9.9,4.9,11.3,15,10.1,-0.3,5.7,-3.8,-1.3,17.6,6.6,-2.9,-0.1,5.2,5.6,0.5,-5.4,3.2,8.7,9.2,10.5,9.3,12.1,12,10.4,9.8,-2.8,-7.9,1.4,6.2,6.7,8,6.5,-0.8,-18.1,0.7,8.6
"10","3","  Structures","B009RL1",5.4,0.3,-1.6,3.1,8.2,-2.2,-10.5,2.4,4.1,14.4,12.7,5.9,8,-1.6,-10.8,13.9,7.1,-11,-2.9,0.7,2,1.5,-11.1,-6,-0.6,1.8,6.4,5.7,7.3,5.1,0.1,7.8,-1.5,-17.7,-3.8,1.1,1.4,9.2,14.1,6.4,-21.1,-15.6,2.7
"11","4","    Commercial and health care","W001RL1",15.4,1.3,9.3,9.2,4.5,-6.3,-22.1,-1.4,5.3,13.9,19.2,10,8.2,8.9,-2.9,21.7,15.5,-7.1,-3.6,3,-1.3,-4,-22.3,-7.1,4,4.6,5.9,7.7,10.5,6.2,3.6,6.7,-4.8,-15.3,-6.3,2.5,-0.9,6.1,10,-3.7,-30.7,-25,-2.3
"12","5","    Manufacturing","C307RL1",5.1,-3.4,-17.4,-12.7,23.9,14,-4.1,-7.6,2.7,33.3,22.9,-16.4,13.5,-3.5,-27.7,3.4,11.9,-16,-2.5,5.5,19.8,13.3,-7.9,-8.2,-21.5,18.4,17.9,5.1,-4.5,3.4,-16.6,3.1,-2.8,-41.6,-7.3,4.9,17.3,10.3,18.2,24.8,4.6,-27.6,0.4
"13","6","    Power and communication","W003RL1",0,9.4,0.8,4.3,6.4,-6.4,-8,9,-1.5,4.8,3.8,1,2.6,-5.6,-14,2.2,-1.1,6.7,-11,-5.7,3.8,-7,18.8,6,-6.5,-9.4,2.1,-14,-3.6,17.4,18,15.3,3.2,-2.4,-7.9,-17,-2.3,7.8,39.2,9.1,0.7,-16.1,-9.1
"14","7","    Mining exploration, shafts, and wells","E318RL1",4.2,-5.9,-7.5,7.3,6.8,18.9,16.8,7.9,12.9,14,6.5,40.5,16.3,-7.6,-17.2,13.7,-10.9,-41.4,-2.2,9.7,-9.6,15.5,-2.2,-17.2,16.2,-2.8,-15.1,6.6,17.6,-12.5,-15.4,24.8,17.9,-26.9,14.1,16.4,10.3,14.5,6.1,8.4,-34.8,16.9,22.6
"15","8","    Other structures \1\","W004RL1",-0.8,-6,-6.2,1.1,7.8,-8.6,-11.8,5,5.5,13.6,9.9,-2.9,-3.2,-5.7,5.5,17.2,10,-6,6,-6.8,2.1,6.2,-13.2,-7.3,7.9,-2.2,11.9,17.6,13.4,5.3,0.1,3,-4.7,-15.7,-3.4,1.4,-5.5,9.2,15.4,12.6,-18.3,-26.7,-6.7
"16","9","  Equipment and software","B010RL1",8.8,-1,1,12.9,18.3,2.6,-9.5,6.3,15.1,15.2,8.7,-3.6,4.3,-5.2,5.4,19.8,6.4,1.9,1.4,7.5,7.3,0,-2.6,7.3,12.5,11.9,12,10.6,13.8,14.5,14.1,10.5,-3.2,-4.2,3.1,7.9,8.5,7.6,3.3,-4.3,-16.4,8.9,11
