"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 28, 2014 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/27/2014 1:42:02 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","      National income without capital consumption adjustment","A422RC1","7,776,289.0","8,225,544.0","8,817,473.0","9,072,026.0","9,253,348.0","9,691,264.0","10,392,469.0","11,339,789.0","12,124,367.0","12,443,486.0","12,368,457.0","12,088,325.0","12,662,644.0","13,130,004.0","14,016,011.0","....."
"20","2","Domestic industries","A423RC1","7,758,055.0","8,198,413.0","8,780,466.0","9,020,223.0","9,204,749.0","9,623,219.0","10,302,382.0","11,246,261.0","12,055,921.0","12,317,025.0","12,195,504.0","11,941,146.0","12,456,676.0","12,869,237.0","13,763,162.0","....."
"21","3","  Private industries","A736RC1","6,818,300.0","7,205,970.0","7,729,442.0","7,908,244.0","8,020,815.0","8,368,367.0","8,977,843.0","9,865,488.0","10,616,489.0","10,811,156.0","10,619,600.0","10,318,115.0","10,776,864.0","11,182,402.0","12,070,508.0","....."
"22","4","    Agriculture, forestry, fishing, and hunting","N5004C1","74,345.0","69,228.0","73,800.0","73,908.0","68,779.0","84,497.0","104,273.0","94,016.0","97,205.0","108,443.0","114,609.0","104,351.0","120,856.0","150,069.0","159,419.0","....."
"23","5","    Mining","N5005C1","72,651.0","70,862.0","90,748.0","102,599.0","87,098.0","108,760.0","129,173.0","174,955.0","209,108.0","204,905.0","260,131.0","149,218.0","185,290.0","232,957.0","254,451.0","....."
"24","6","    Utilities","N5006C1","130,806.0","138,195.0","137,267.0","139,512.0","134,273.0","137,427.0","149,712.0","162,068.0","195,989.0","196,742.0","180,955.0","176,991.0","190,833.0","171,813.0","201,965.0","....."
