"","Table 1#17#5# Gross Domestic Product, Gross Domestic Income, and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","                                                                                ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 28, 2014 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/27/2014 1:31:56 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19",NA,"Production in the United States:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","    Gross domestic product","A191RC1","1,019,879.0","1,075,884.0","1,167,769.0","1,282,449.0","1,428,548.0","1,548,824.0","1,688,922.0","1,877,587.0","2,085,951.0","2,356,571.0","2,632,143.0","2,862,505.0","3,210,949.0","3,344,985.0","3,638,129.0","4,040,686.0","4,346,725.0","4,590,145.0","4,870,205.0","5,252,616.0","5,657,676.0","5,979,568.0","6,174,020.0","6,539,273.0","6,878,690.0","7,308,727.0","7,664,028.0","8,100,165.0","8,608,478.0","9,089,133.0","9,665,696.0","10,289,748.0","10,625,252.0","10,980,187.0","11,512,237.0","12,277,037.0","13,095,426.0","13,857,893.0","14,480,312.0","14,720,254.0","14,417,942.0","14,958,261.0","15,533,839.0","16,244,586.0","16,797,502.0"
"21","2","    Gross domestic income","A261RC1","1,018,268.0","1,070,539.0","1,158,287.0","1,275,315.0","1,422,441.0","1,541,417.0","1,675,681.0","1,857,129.0","2,066,695.0","2,333,421.0","2,587,355.0","2,818,574.0","3,174,243.0","3,338,218.0","3,583,975.0","4,002,031.0","4,295,477.0","4,513,409.0","4,829,662.0","5,253,102.0","5,593,515.0","5,888,232.0","6,085,664.0","6,428,396.0","6,726,384.0","7,171,936.0","7,573,501.0","8,043,632.0","8,596,223.0","9,149,317.0","9,698,129.0","10,384,252.0","10,736,809.0","11,050,292.0","11,524,293.0","12,283,508.0","13,129,206.0","14,073,165.0","14,460,139.0","14,621,249.0","14,345,697.0","14,915,161.0","15,587,494.0","16,261,627.0","....."
"22","3","    Net domestic product \1\","A362RC1","895,016.0","939,101.0","1,018,904.0","1,121,552.0","1,250,468.0","1,342,656.0","1,451,385.0","1,618,378.0","1,797,617.0","2,031,508.0","2,261,010.0","2,436,498.0","2,725,903.0","2,810,669.0","3,077,583.0","3,446,352.0","3,710,072.0","3,907,982.0","4,142,253.0","4,470,229.0","4,821,566.0","5,092,739.0","5,242,895.0","5,579,548.0","5,875,092.0","6,253,155.0","6,541,245.0","6,924,145.0","7,368,523.0","7,778,862.0","8,264,835.0","8,775,508.0","9,021,273.0","9,318,119.0","9,785,017.0","10,445,338.0","11,113,470.0","11,721,874.0","12,215,962.0","12,356,881.0","12,049,560.0","12,576,670.0","13,081,266.0","13,701,721.0","14,150,623.0"
"23","4","    Net domestic income \1\","W256RC1","893,405.0","933,756.0","1,009,422.0","1,114,418.0","1,244,361.0","1,335,249.0","1,438,144.0","1,597,920.0","1,778,361.0","2,008,358.0","2,216,222.0","2,392,567.0","2,689,197.0","2,803,902.0","3,023,429.0","3,407,697.0","3,658,824.0","3,831,246.0","4,101,710.0","4,470,715.0","4,757,405.0","5,001,403.0","5,154,539.0","5,468,671.0","5,722,786.0","6,116,364.0","6,450,718.0","6,867,612.0","7,356,268.0","7,839,046.0","8,297,268.0","8,870,012.0","9,132,830.0","9,388,224.0","9,797,073.0","10,451,809.0","11,147,250.0","11,937,146.0","12,195,789.0","12,257,876.0","11,977,315.0","12,533,570.0","13,134,921.0","13,718,762.0","....."
"24",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","5","    Gross national product","A001RC1","1,025,994.0","1,082,277.0","1,175,363.0","1,291,007.0","1,441,167.0","1,564,344.0","1,701,926.0","1,894,434.0","2,106,243.0","2,378,152.0","2,664,074.0","2,896,690.0","3,243,884.0","3,381,495.0","3,675,214.0","4,076,976.0","4,372,090.0","4,607,102.0","4,887,693.0","5,275,273.0","5,682,465.0","6,014,260.0","6,205,606.0","6,570,350.0","6,910,688.0","7,332,592.0","7,692,786.0","8,131,947.0","8,632,580.0","9,107,367.0","9,692,827.0","10,326,755.0","10,677,055.0","11,028,786.0","11,580,282.0","12,367,124.0","13,188,954.0","13,926,339.0","14,606,773.0","14,893,207.0","14,565,121.0","15,164,229.0","15,794,606.0","16,497,435.0","....."
"26","6","    Gross national income","A023RC1","1,024,383.0","1,076,932.0","1,165,881.0","1,283,873.0","1,435,060.0","1,556,937.0","1,688,685.0","1,873,976.0","2,086,987.0","2,355,002.0","2,619,286.0","2,852,759.0","3,207,178.0","3,374,728.0","3,621,060.0","4,038,321.0","4,320,842.0","4,530,366.0","4,847,150.0","5,275,759.0","5,618,304.0","5,922,924.0","6,117,250.0","6,459,473.0","6,758,382.0","7,195,801.0","7,602,259.0","8,075,414.0","8,620,325.0","9,167,551.0","9,725,260.0","10,421,259.0","10,788,612.0","11,098,891.0","11,592,338.0","12,373,595.0","13,222,734.0","14,141,611.0","14,586,600.0","14,794,202.0","14,492,876.0","15,121,129.0","15,848,261.0","16,514,476.0","....."
"27","7","    Net national product \1\","A027RC1","901,131.0","945,494.0","1,026,498.0","1,130,110.0","1,263,087.0","1,358,176.0","1,464,389.0","1,635,225.0","1,817,909.0","2,053,089.0","2,292,941.0","2,470,683.0","2,758,838.0","2,847,179.0","3,114,668.0","3,482,642.0","3,735,437.0","3,924,939.0","4,159,741.0","4,492,886.0","4,846,355.0","5,127,431.0","5,274,481.0","5,610,625.0","5,907,090.0","6,277,020.0","6,570,003.0","6,955,927.0","7,392,625.0","7,797,096.0","8,291,966.0","8,812,515.0","9,073,076.0","9,366,718.0","9,853,062.0","10,535,425.0","11,206,998.0","11,790,320.0","12,342,423.0","12,529,834.0","12,196,739.0","12,782,638.0","13,342,033.0","13,954,570.0","....."
