"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","      National income without capital consumption adjustment","A422RC1","9,077,219.0","9,115,413.0","9,051,272.0","9,044,193.0","9,124,632.0","9,204,622.0","9,274,733.0","9,409,388.0","9,488,268.0","9,598,536.0","9,749,980.0","9,928,311.0","10,131,389.0","10,312,638.0","10,513,253.0","10,612,605.0","11,062,919.0","11,212,085.0","11,428,822.0","11,655,325.0","11,969,106.0","12,069,466.0","12,185,363.0","12,273,536.0","12,349,940.0","12,449,069.0","12,449,976.0","12,524,961.0","12,410,984.0","12,448,979.0","12,485,177.0","12,128,688.0","11,982,325.0","11,959,508.0","12,077,166.0","12,334,320.0","12,444,637.0","12,611,549.0","12,791,591.0","12,802,790.0","12,900,965.0","13,055,826.0","13,231,642.0","13,331,578.0","13,881,560.0","13,920,796.0","14,010,306.0","14,251,380.0","14,354,515.0","14,495,505.0","14,642,291.0","....."
"21","2","Domestic industries","A423RC1","9,036,716.0","9,065,703.0","9,024,445.0","8,954,018.0","9,073,445.0","9,172,077.0","9,227,903.0","9,345,555.0","9,437,245.0","9,533,721.0","9,685,068.0","9,836,881.0","10,021,505.0","10,227,774.0","10,417,644.0","10,542,614.0","10,959,059.0","11,119,346.0","11,325,517.0","11,581,116.0","11,892,781.0","11,998,208.0","12,127,437.0","12,205,260.0","12,280,425.0","12,357,342.0","12,301,083.0","12,329,253.0","12,229,256.0","12,263,697.0","12,282,220.0","12,006,844.0","11,859,794.0","11,839,900.0","11,910,652.0","12,154,256.0","12,241,197.0","12,406,371.0","12,591,856.0","12,587,269.0","12,652,627.0","12,805,615.0","12,959,435.0","13,059,267.0","13,633,530.0","13,662,055.0","13,762,688.0","13,994,370.0","14,117,106.0","14,248,668.0","14,379,350.0","....."
"22","3","  Private industries","A736RC1","7,951,766.0","7,964,619.0","7,898,146.0","7,818,437.0","7,911,471.0","7,997,418.0","8,036,358.0","8,137,999.0","8,200,330.0","8,283,027.0","8,424,751.0","8,565,401.0","8,716,993.0","8,907,639.0","9,086,074.0","9,200,677.0","9,591,123.0","9,744,411.0","9,939,886.0","10,186,530.0","10,472,516.0","10,566,900.0","10,680,842.0","10,745,701.0","10,794,063.0","10,859,999.0","10,788,287.0","10,802,275.0","10,675,070.0","10,695,861.0","10,697,203.0","10,410,267.0","10,254,326.0","10,219,328.0","10,281,725.0","10,517,099.0","10,578,369.0","10,720,804.0","10,906,304.0","10,901,970.0","10,968,916.0","11,115,575.0","11,269,645.0","11,375,474.0","11,937,210.0","11,968,981.0","12,071,940.0","12,303,902.0","12,432,853.0","12,568,563.0","12,704,261.0","....."
"23","4","    Agriculture, forestry, fishing, and hunting","N5004C1","74,065.0","72,839.0","74,576.0","74,158.0","65,378.0","62,432.0","71,099.0","76,201.0","76,862.0","84,158.0","86,059.0","90,911.0","109,093.0","108,415.0","98,889.0","100,686.0","94,225.0","94,733.0","94,572.0","92,532.0","93,051.0","94,839.0","98,182.0","102,753.0","108,048.0","104,696.0","106,312.0","114,718.0","123,113.0","117,180.0","110,389.0","107,754.0","98,812.0","100,059.0","104,149.0","114,397.0","111,010.0","118,156.0","124,881.0","129,378.0","147,968.0","143,725.0","152,921.0","155,656.0","158,315.0","159,939.0","159,623.0","159,796.0","226,355.0","220,349.0","224,192.0","....."
"24","5","    Mining","N5005C1","111,248.0","110,434.0","102,774.0","85,945.0","80,766.0","84,104.0","87,864.0","95,648.0","106,694.0","107,185.0","110,311.0","110,854.0","122,105.0","126,786.0","127,629.0","140,178.0","154,677.0","163,714.0","175,816.0","205,611.0","213,566.0","206,362.0","210,309.0","206,193.0","188,471.0","206,588.0","207,237.0","217,326.0","242,879.0","274,574.0","286,596.0","236,472.0","176,571.0","137,628.0","127,216.0","155,455.0","194,188.0","177,933.0","180,978.0","188,065.0","194,215.0","248,128.0","260,129.0","229,358.0","253,614.0","253,012.0","249,742.0","261,439.0","247,553.0","254,344.0","253,281.0","....."
"25","6","    Utilities","N5006C1","140,384.0","136,948.0","143,642.0","137,074.0","127,782.0","133,851.0","136,394.0","139,062.0","137,043.0","135,076.0","137,943.0","139,651.0","145,283.0","148,878.0","149,907.0","154,783.0","158,534.0","161,279.0","155,645.0","172,811.0","185,867.0","194,041.0","202,525.0","201,517.0","198,380.0","196,469.0","205,191.0","186,926.0","164,304.0","135,898.0","237,822.0","185,795.0","176,429.0","178,487.0","162,479.0","190,565.0","206,752.0","176,120.0","196,066.0","184,392.0","163,195.0","190,760.0","164,053.0","169,243.0","197,927.0","204,406.0","205,882.0","199,645.0","209,087.0","216,538.0","221,409.0","....."
"26","7","    Construction","N5007C1","507,415.0","511,674.0","511,207.0","504,325.0","509,787.0","510,917.0","512,924.0","519,514.0","523,727.0","520,926.0","527,353.0","544,843.0","548,392.0","570,116.0","595,810.0","607,474.0","616,976.0","639,393.0","657,565.0","681,542.0","719,449.0","711,304.0","698,409.0","684,947.0","692,661.0","683,639.0","671,692.0","668,400.0","648,006.0","634,338.0","615,414.0","596,906.0","561,219.0","539,947.0","542,551.0","539,131.0","525,810.0","524,855.0","519,023.0","514,306.0","525,565.0","538,238.0","549,415.0","551,003.0","580,304.0","579,675.0","583,240.0","604,351.0","618,237.0","628,994.0","638,677.0","....."
"27","8","    Manufacturing","N5008C1","1,172,773.0","1,155,435.0","1,099,802.0","1,025,063.0","1,057,575.0","1,071,407.0","1,071,987.0","1,078,283.0","1,088,082.0","1,082,066.0","1,102,094.0","1,149,886.0","1,152,860.0","1,178,580.0","1,213,677.0","1,229,594.0","1,307,614.0","1,309,728.0","1,331,915.0","1,357,719.0","1,404,699.0","1,424,852.0","1,465,185.0","1,433,441.0","1,455,391.0","1,483,369.0","1,414,691.0","1,463,512.0","1,398,749.0","1,371,577.0","1,416,276.0","1,355,622.0","1,216,486.0","1,196,326.0","1,202,990.0","1,250,348.0","1,275,495.0","1,354,780.0","1,404,546.0","1,392,899.0","1,378,761.0","1,395,643.0","1,429,324.0","1,444,229.0","1,561,642.0","1,567,355.0","1,542,193.0","1,574,766.0","1,568,084.0","1,558,918.0","1,575,623.0","....."
"28","9","      Durable goods","N5009C1","698,326.0","667,959.0","612,458.0","560,964.0","596,214.0","614,230.0","619,625.0","621,694.0","622,973.0","623,513.0","623,640.0","648,627.0","648,330.0","661,449.0","679,942.0","685,119.0","734,147.0","746,910.0","759,083.0","772,815.0","812,294.0","788,391.0","831,179.0","830,215.0","828,259.0","825,828.0","811,999.0","836,337.0","805,644.0","764,797.0","787,855.0","722,903.0","640,930.0","637,124.0","645,776.0","681,324.0","713,438.0","751,752.0","780,604.0","782,645.0","763,137.0","769,976.0","792,472.0","817,139.0","879,970.0","882,585.0","873,554.0","882,787.0","878,842.0","888,067.0","910,576.0","....."
"29","10","      Nondurable goods","N5010C1","474,447.0","487,478.0","487,344.0","464,100.0","461,361.0","457,177.0","452,361.0","456,589.0","465,111.0","458,550.0","478,458.0","501,259.0","504,530.0","517,133.0","533,734.0","544,477.0","573,468.0","562,821.0","572,833.0","584,905.0","592,405.0","636,460.0","634,008.0","603,226.0","627,132.0","657,540.0","602,692.0","627,177.0","593,103.0","606,783.0","628,421.0","632,719.0","575,557.0","559,202.0","557,214.0","569,026.0","562,057.0","603,028.0","623,942.0","610,251.0","615,621.0","625,669.0","636,851.0","627,090.0","681,673.0","684,773.0","668,639.0","691,977.0","689,241.0","670,083.0","665,046.0","....."
"30","11","    Wholesale trade","N5011C1","557,303.0","556,356.0","562,146.0","578,033.0","570,340.0","571,946.0","560,530.0","563,285.0","564,292.0","576,628.0","592,644.0","599,819.0","608,534.0","627,195.0","642,975.0","632,087.0","668,725.0","691,552.0","681,393.0","699,309.0","722,379.0","729,330.0","747,590.0","753,045.0","766,139.0","776,282.0","771,232.0","753,401.0","731,299.0","738,477.0","762,425.0","792,702.0","728,433.0","695,943.0","691,208.0","702,915.0","719,607.0","750,000.0","756,402.0","725,434.0","737,624.0","768,782.0","790,862.0","790,850.0","836,692.0","854,252.0","845,840.0","874,332.0","870,025.0","874,420.0","884,601.0","....."
"31","12","    Retail trade","N5012C1","692,458.0","695,861.0","701,961.0","711,350.0","721,982.0","722,797.0","728,583.0","736,689.0","750,256.0","760,364.0","763,713.0","770,836.0","783,021.0","784,433.0","788,863.0","795,391.0","821,625.0","859,532.0","856,894.0","889,901.0","897,679.0","894,182.0","909,476.0","920,371.0","914,585.0","922,703.0","898,469.0","889,239.0","851,475.0","846,225.0","837,698.0","826,593.0","826,953.0","837,462.0","837,085.0","858,578.0","861,240.0","874,545.0","876,641.0","876,421.0","885,303.0","887,754.0","901,398.0","919,992.0","957,013.0","950,740.0","950,342.0","977,851.0","971,410.0","995,775.0","997,983.0","....."
"32","13","    Transportation and warehousing","N5013C1","276,293.0","277,605.0","255,052.0","262,024.0","260,977.0","260,341.0","263,767.0","270,146.0","272,890.0","269,179.0","280,403.0","286,789.0","292,881.0","305,734.0","304,915.0","305,655.0","323,845.0","329,949.0","335,293.0","344,358.0","358,487.0","364,031.0","362,166.0","362,702.0","358,121.0","366,222.0","360,736.0","357,452.0","357,415.0","363,516.0","360,923.0","365,128.0","347,217.0","334,988.0","336,163.0","350,715.0","357,203.0","372,535.0","378,972.0","367,348.0","370,589.0","380,263.0","382,298.0","389,133.0","425,496.0","425,443.0","421,881.0","421,812.0","433,982.0","436,323.0","442,324.0","....."
"33","14","    Information","N5014C1","308,105.0","319,089.0","303,978.0","289,428.0","302,656.0","308,089.0","308,015.0","322,340.0","324,015.0","323,822.0","335,116.0","326,209.0","338,059.0","376,232.0","390,706.0","379,517.0","386,792.0","418,815.0","440,370.0","446,066.0","435,618.0","442,113.0","439,882.0","444,866.0","453,830.0","449,212.0","462,948.0","485,865.0","448,887.0","465,142.0","452,909.0","455,036.0","483,973.0","408,349.0","401,793.0","452,492.0","443,323.0","433,148.0","448,525.0","448,389.0","448,305.0","424,052.0","453,026.0","445,906.0","493,658.0","472,278.0","506,818.0","476,233.0","495,987.0","507,195.0","498,886.0","....."
"34","15","    Finance, insurance, real estate, rental, and leasing","N5015C1","1,623,764.0","1,623,961.0","1,623,942.0","1,624,559.0","1,626,163.0","1,633,257.0","1,615,816.0","1,628,072.0","1,633,023.0","1,673,824.0","1,710,516.0","1,710,013.0","1,738,094.0","1,756,598.0","1,781,996.0","1,835,072.0","1,953,589.0","1,922,043.0","1,982,402.0","2,018,223.0","2,072,157.0","2,090,728.0","2,087,086.0","2,124,809.0","2,132,713.0","2,115,671.0","2,105,967.0","2,035,213.0","2,006,057.0","2,007,389.0","1,863,325.0","1,852,994.0","1,978,095.0","2,151,912.0","2,227,570.0","2,184,297.0","2,125,587.0","2,120,862.0","2,143,470.0","2,169,629.0","2,188,956.0","2,155,440.0","2,134,370.0","2,226,870.0","2,267,801.0","2,280,776.0","2,336,404.0","2,366,347.0","2,418,940.0","2,448,063.0","2,517,569.0","....."
"35","16","    Professional and business services \1\","N5016C1","1,139,699.0","1,138,923.0","1,136,348.0","1,129,601.0","1,150,754.0","1,169,864.0","1,183,884.0","1,190,225.0","1,203,741.0","1,215,997.0","1,223,778.0","1,247,503.0","1,257,930.0","1,274,600.0","1,312,494.0","1,341,473.0","1,386,026.0","1,397,203.0","1,454,651.0","1,474,614.0","1,524,984.0","1,540,440.0","1,569,848.0","1,589,366.0","1,586,207.0","1,604,820.0","1,621,432.0","1,640,820.0","1,708,659.0","1,715,648.0","1,719,246.0","1,592,520.0","1,618,902.0","1,571,285.0","1,566,145.0","1,607,810.0","1,648,079.0","1,678,851.0","1,716,603.0","1,739,765.0","1,739,665.0","1,767,640.0","1,807,818.0","1,801,187.0","1,872,239.0","1,882,155.0","1,919,965.0","2,006,768.0","1,973,595.0","2,004,739.0","2,007,968.0","....."
"36","17","    Educational services, health care, and social assistance","N5017C1","728,434.0","742,752.0","758,486.0","776,318.0","794,006.0","813,387.0","830,762.0","844,194.0","853,391.0","862,185.0","874,224.0","893,300.0","908,557.0","928,307.0","948,140.0","951,211.0","965,163.0","984,871.0","996,267.0","1,007,406.0","1,032,334.0","1,050,531.0","1,061,114.0","1,078,518.0","1,089,634.0","1,098,451.0","1,114,242.0","1,132,232.0","1,152,419.0","1,182,752.0","1,195,315.0","1,213,307.0","1,227,215.0","1,246,886.0","1,256,255.0","1,279,384.0","1,273,758.0","1,290,343.0","1,300,441.0","1,305,602.0","1,316,272.0","1,329,747.0","1,344,487.0","1,346,804.0","1,386,691.0","1,390,110.0","1,397,785.0","1,413,132.0","1,423,746.0","1,438,891.0","1,445,681.0","....."
"37","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1","350,415.0","351,300.0","351,250.0","348,318.0","354,007.0","362,119.0","367,033.0","373,647.0","371,677.0","374,845.0","381,583.0","391,318.0","402,641.0","409,313.0","413,786.0","409,407.0","422,216.0","435,433.0","439,197.0","452,106.0","458,411.0","463,448.0","465,842.0","475,095.0","480,949.0","482,236.0","481,471.0","487,501.0","479,368.0","484,310.0","480,990.0","468,289.0","458,904.0","460,171.0","466,321.0","466,417.0","474,266.0","482,085.0","488,123.0","488,672.0","496,684.0","504,785.0","514,451.0","519,484.0","549,869.0","552,081.0","553,551.0","562,615.0","569,709.0","577,139.0","585,636.0","....."
"38","19","    Other services, except government","N5019C1","269,408.0","271,439.0","272,986.0","272,242.0","289,296.0","292,905.0","297,699.0","300,697.0","294,635.0","296,781.0","299,019.0","303,473.0","309,543.0","312,455.0","316,289.0","318,145.0","331,106.0","336,164.0","337,903.0","344,332.0","353,833.0","360,697.0","363,228.0","368,084.0","368,932.0","369,645.0","366,671.0","369,669.0","362,444.0","358,834.0","357,870.0","361,141.0","355,116.0","359,884.0","359,798.0","364,594.0","362,050.0","366,599.0","371,639.0","371,677.0","375,814.0","380,610.0","385,088.0","385,754.0","395,945.0","396,757.0","398,672.0","404,808.0","406,144.0","409,656.0","410,422.0","....."
"39","20","  Government","B436RC1","1,084,950.0","1,101,084.0","1,126,299.0","1,135,581.0","1,161,974.0","1,174,659.0","1,191,545.0","1,207,556.0","1,236,915.0","1,250,694.0","1,260,317.0","1,271,480.0","1,304,512.0","1,320,135.0","1,331,570.0","1,341,937.0","1,367,936.0","1,374,935.0","1,385,631.0","1,394,586.0","1,420,265.0","1,431,308.0","1,446,595.0","1,459,559.0","1,486,362.0","1,497,343.0","1,512,796.0","1,526,978.0","1,554,186.0","1,567,836.0","1,585,017.0","1,596,577.0","1,605,468.0","1,620,572.0","1,628,927.0","1,637,157.0","1,662,828.0","1,685,567.0","1,685,552.0","1,685,299.0","1,683,711.0","1,690,040.0","1,689,790.0","1,683,793.0","1,696,320.0","1,693,074.0","1,690,748.0","1,690,468.0","1,684,253.0","1,680,105.0","1,675,089.0","....."
"40","21","Rest of the world","A192RC1","40,503.0","49,710.0","26,827.0","90,175.0","51,187.0","32,545.0","46,830.0","63,833.0","51,023.0","64,815.0","64,912.0","91,430.0","109,884.0","84,864.0","95,609.0","69,991.0","103,860.0","92,739.0","103,305.0","74,209.0","76,325.0","71,258.0","57,926.0","68,276.0","69,515.0","91,727.0","148,893.0","195,708.0","181,728.0","185,282.0","202,957.0","121,844.0","122,531.0","119,608.0","166,514.0","180,064.0","203,440.0","205,178.0","199,735.0","215,521.0","248,338.0","250,211.0","272,207.0","272,311.0","248,030.0","258,741.0","247,618.0","257,010.0","237,409.0","246,837.0","262,941.0","....."
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
