"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Gross domestic product","A191RC1","243,080.0","246,267.0","250,115.0","260,309.0","266,173.0","272,897.0","279,497.0","280,656.0","275,370.0","271,692.0","273,262.0","270,984.0","281,209.0","290,735.0","308,510.0","320,320.0","336,372.0","344,455.0","351,774.0","356,579.0","360,195.0","361,414.0","368,084.0","381,241.0","388,472.0","392,259.0","391,696.0","386,521.0","385,924.0","386,716.0","391,596.0","400,348.0","413,753.0","422,226.0","430,925.0","437,787.0","440,491.0","446,771.0","451,983.0","461,278.0","470,578.0","472,835.0","480,315.0","475,681.0","468,353.0","472,786.0","486,653.0","500,380.0","511,063.0","524,241.0","525,196.0","529,322.0","543,347.0","542,697.0","546,012.0","541,063.0","545,949.0","557,430.0","568,228.0","581,624.0","595,176.0","602,580.0","609,575.0","613,131.0","622,680.0","631,835.0","644,960.0","654,840.0","671,150.0","680,758.0","692,806.0","698,424.0","719,247.0","732,368.0","750,184.0","773,105.0","797,327.0","807,153.0","820,799.0","834,864.0","846,046.0","851,058.0","866,614.0","883,201.0","911,135.0","936,297.0","952,347.0","970,129.0","995,419.0","1,011,361.0"
"21","2","       Final sales of domestic product","A190RC1","242,585.0","247,507.0","253,032.0","258,853.0","262,547.0","267,038.0","272,345.0","274,659.0","274,982.0","276,840.0","274,569.0","275,683.0","279,185.0","287,902.0","304,333.0","306,276.0","325,986.0","329,663.0","342,034.0","351,860.0","355,463.0","362,937.0","362,510.0","375,967.0","384,582.0","388,682.0","389,365.0","388,527.0","387,890.0","390,094.0","393,687.0","400,664.0","409,949.0","417,606.0","426,630.0","430,554.0","434,093.0","443,186.0","448,414.0","459,034.0","468,416.0","470,178.0","477,507.0","480,199.0","472,362.0","477,021.0","485,106.0","495,145.0","507,187.0","516,953.0","524,812.0","525,202.0","532,147.0","539,473.0","541,692.0","546,875.0","548,497.0","555,638.0","561,572.0","575,628.0","585,768.0","597,136.0","603,387.0","609,767.0","615,812.0","626,999.0","639,244.0","649,776.0","666,026.0","676,302.0","688,114.0","693,408.0","707,703.0","723,800.0","740,892.0","765,521.0","783,455.0","794,837.0","808,947.0","818,360.0","830,623.0","844,717.0","857,351.0","874,768.0","902,697.0","922,215.0","944,666.0","964,122.0","983,930.0","1,002,139.0"
"22","3","       Change in private inventories","A014RC1","495.0","-1,240.0","-2,917.0","1,456.0","3,626.0","5,859.0","7,152.0","5,997.0","388.0","-5,148.0","-1,307.0","-4,699.0","2,024.0","2,833.0","4,177.0","14,044.0","10,386.0","14,792.0","9,740.0","4,719.0","4,732.0","-1,523.0","5,574.0","5,274.0","3,890.0","3,577.0","2,331.0","-2,006.0","-1,966.0","-3,378.0","-2,091.0","-316.0","3,804.0","4,620.0","4,295.0","7,233.0","6,398.0","3,585.0","3,569.0","2,244.0","2,162.0","2,657.0","2,808.0","-4,518.0","-4,009.0","-4,235.0","1,547.0","5,235.0","3,876.0","7,288.0","384.0","4,120.0","11,200.0","3,224.0","4,320.0","-5,812.0","-2,548.0","1,792.0","6,656.0","5,996.0","9,408.0","5,444.0","6,188.0","3,364.0","6,868.0","4,836.0","5,716.0","5,064.0","5,124.0","4,456.0","4,692.0","5,016.0","11,544.0","8,568.0","9,292.0","7,584.0","13,872.0","12,316.0","11,852.0","16,504.0","15,423.0","6,341.0","9,263.0","8,433.0","8,438.0","14,082.0","7,681.0","6,007.0","11,489.0","9,222.0"
"23","4","Goods","A353RC1","125,925.0","127,345.0","128,720.0","135,196.0","139,308.0","141,206.0","144,669.0","144,101.0","137,920.0","132,959.0","134,218.0","129,957.0","137,020.0","141,366.0","154,591.0","161,639.0","167,428.0","170,269.0","171,410.0","172,379.0","171,774.0","166,278.0","169,796.0","178,023.0","180,578.0","180,958.0","180,191.0","173,467.0","172,792.0","172,685.0","174,021.0","179,594.0","187,631.0","194,463.0","199,218.0","203,768.0","203,303.0","204,040.0","207,714.0","211,433.0","216,896.0","217,065.0","221,467.0","211,011.0","206,338.0","205,957.0","214,495.0","221,700.0","227,301.0","234,290.0","232,364.0","234,915.0","246,958.0","243,322.0","244,754.0","233,879.0","236,986.0","243,525.0","250,998.0","256,347.0","263,407.0","262,943.0","266,720.0","266,404.0","272,462.0","274,653.0","281,070.0","284,265.0","292,166.0","295,903.0","303,215.0","304,119.0","318,709.0","320,963.0","329,245.0","339,405.0","357,093.0","357,229.0","363,763.0","372,530.0","371,757.0","368,715.0","374,291.0","376,765.0","388,378.0","400,528.0","405,362.0","408,313.0","424,600.0","425,396.0"
"24","5","    Final sales","A325RC1","125,430.0","128,585.0","131,637.0","133,740.0","135,682.0","135,347.0","137,517.0","138,104.0","137,532.0","138,107.0","135,525.0","134,656.0","134,996.0","138,533.0","150,414.0","147,595.0","157,042.0","155,477.0","161,670.0","167,660.0","167,042.0","167,801.0","164,222.0","172,749.0","176,688.0","177,381.0","177,860.0","175,473.0","174,758.0","176,063.0","176,112.0","179,910.0","183,827.0","189,843.0","194,923.0","196,535.0","196,905.0","200,455.0","204,145.0","209,189.0","214,734.0","214,408.0","218,659.0","215,529.0","210,347.0","210,192.0","212,948.0","216,465.0","223,425.0","227,002.0","231,980.0","230,795.0","235,758.0","240,098.0","240,434.0","239,691.0","239,534.0","241,733.0","244,342.0","250,351.0","253,999.0","257,499.0","260,532.0","263,040.0","265,594.0","269,817.0","275,354.0","279,201.0","287,042.0","291,447.0","298,523.0","299,103.0","307,165.0","312,395.0","319,953.0","331,821.0","343,221.0","344,913.0","351,911.0","356,026.0","356,334.0","362,374.0","365,028.0","368,332.0","379,940.0","386,446.0","397,681.0","402,306.0","413,111.0","416,174.0"
"25","6","    Change in private inventories","A014RC1","495.0","-1,240.0","-2,917.0","1,456.0","3,626.0","5,859.0","7,152.0","5,997.0","388.0","-5,148.0","-1,307.0","-4,699.0","2,024.0","2,833.0","4,177.0","14,044.0","10,386.0","14,792.0","9,740.0","4,719.0","4,732.0","-1,523.0","5,574.0","5,274.0","3,890.0","3,577.0","2,331.0","-2,006.0","-1,966.0","-3,378.0","-2,091.0","-316.0","3,804.0","4,620.0","4,295.0","7,233.0","6,398.0","3,585.0","3,569.0","2,244.0","2,162.0","2,657.0","2,808.0","-4,518.0","-4,009.0","-4,235.0","1,547.0","5,235.0","3,876.0","7,288.0","384.0","4,120.0","11,200.0","3,224.0","4,320.0","-5,812.0","-2,548.0","1,792.0","6,656.0","5,996.0","9,408.0","5,444.0","6,188.0","3,364.0","6,868.0","4,836.0","5,716.0","5,064.0","5,124.0","4,456.0","4,692.0","5,016.0","11,544.0","8,568.0","9,292.0","7,584.0","13,872.0","12,316.0","11,852.0","16,504.0","15,423.0","6,341.0","9,263.0","8,433.0","8,438.0","14,082.0","7,681.0","6,007.0","11,489.0","9,222.0"
"26","7","  Durable goods","A354RC1","49,412.0","49,704.0","51,669.0","50,079.0","53,024.0","51,621.0","53,691.0","54,656.0","53,155.0","50,426.0","54,374.0","49,355.0","52,848.0","59,505.0","67,776.0","72,220.0","71,025.0","74,030.0","75,108.0","72,952.0","73,696.0","69,168.0","67,116.0","77,187.0","81,143.0","81,416.0","82,314.0","73,126.0","71,193.0","72,201.0","72,034.0","76,749.0","82,420.0","88,834.0","91,206.0","93,004.0","91,554.0","91,112.0","91,716.0","96,323.0","98,902.0","99,109.0","100,819.0","93,699.0","84,606.0","83,942.0","89,231.0","95,205.0","102,243.0","107,808.0","103,916.0","104,486.0","114,775.0","108,842.0","110,183.0","101,973.0","99,556.0","105,860.0","113,385.0","116,918.0","121,742.0","120,965.0","125,315.0","123,455.0","126,185.0","129,548.0","133,114.0","134,519.0","140,625.0","142,548.0","147,414.0","145,884.0","158,541.0","156,872.0","163,113.0","163,825.0","178,311.0","177,005.0","182,444.0","186,274.0","180,196.0","179,826.0","182,679.0","186,640.0","189,414.0","195,476.0","199,031.0","204,884.0","212,650.0","208,988.0"
"27","8","    Final sales","A326RC1","46,976.0","48,384.0","49,157.0","50,579.0","51,888.0","50,894.0","52,749.0","53,404.0","52,901.0","54,324.0","53,920.0","53,377.0","53,628.0","56,141.0","65,651.0","62,405.0","66,406.0","64,288.0","67,213.0","70,872.0","71,321.0","71,233.0","66,529.0","73,444.0","77,367.0","78,456.0","79,366.0","76,734.0","74,865.0","76,001.0","74,586.0","76,901.0","80,062.0","84,704.0","88,480.0","88,636.0","87,218.0","89,144.0","91,392.0","94,415.0","98,168.0","97,019.0","98,601.0","96,685.0","90,850.0","89,418.0","90,195.0","93,633.0","98,935.0","101,548.0","104,528.0","101,978.0","105,675.0","108,338.0","108,575.0","106,533.0","105,092.0","107,272.0","109,629.0","113,942.0","116,294.0","118,541.0","120,599.0","122,359.0","123,453.0","126,420.0","129,802.0","133,155.0","136,881.0","139,076.0","142,674.0","142,536.0","149,573.0","151,032.0","155,917.0","160,857.0","168,795.0","167,697.0","172,220.0","175,210.0","173,448.0","177,522.0","178,427.0","180,552.0","186,382.0","189,512.0","196,107.0","198,620.0","206,602.0","204,956.0"
"28","9","    Change in private inventories \1\","A355RC1","2,436.0","1,320.0","2,512.0","-500.0","1,136.0","727.0","942.0","1,252.0","254.0","-3,898.0","454.0","-4,022.0","-780.0","3,364.0","2,125.0","9,815.0","4,619.0","9,742.0","7,895.0","2,080.0","2,375.0","-2,065.0","587.0","3,743.0","3,776.0","2,960.0","2,948.0","-3,608.0","-3,672.0","-3,800.0","-2,552.0","-152.0","2,358.0","4,130.0","2,726.0","4,368.0","4,336.0","1,968.0","324.0","1,908.0","734.0","2,090.0","2,218.0","-2,986.0","-6,244.0","-5,476.0","-964.0","1,572.0","3,308.0","6,260.0","-612.0","2,508.0","9,100.0","504.0","1,608.0","-4,560.0","-5,536.0","-1,412.0","3,756.0","2,976.0","5,448.0","2,424.0","4,716.0","1,096.0","2,732.0","3,128.0","3,312.0","1,364.0","3,744.0","3,472.0","4,740.0","3,348.0","8,968.0","5,840.0","7,196.0","2,968.0","9,516.0","9,308.0","10,224.0","11,064.0","6,748.0","2,304.0","4,252.0","6,088.0","3,032.0","5,964.0","2,924.0","6,264.0","6,048.0","4,032.0"
"29","10","  Nondurable goods","A356RC1","76,513.0","77,641.0","77,051.0","85,117.0","86,284.0","89,585.0","90,978.0","89,445.0","84,765.0","82,533.0","79,844.0","80,602.0","84,172.0","81,861.0","86,815.0","89,419.0","96,403.0","96,239.0","96,302.0","99,427.0","98,078.0","97,110.0","102,680.0","100,836.0","99,435.0","99,542.0","97,877.0","100,341.0","101,599.0","100,484.0","101,987.0","102,845.0","105,211.0","105,629.0","108,012.0","110,763.0","111,749.0","112,928.0","115,998.0","115,110.0","117,994.0","117,956.0","120,648.0","117,312.0","121,732.0","122,015.0","125,264.0","126,495.0","125,058.0","126,482.0","128,448.0","130,429.0","132,183.0","134,480.0","134,571.0","131,906.0","137,430.0","137,665.0","137,613.0","139,429.0","141,665.0","141,978.0","141,405.0","142,949.0","146,277.0","145,105.0","147,956.0","149,746.0","151,541.0","153,355.0","155,801.0","158,235.0","160,168.0","164,091.0","166,132.0","175,580.0","178,782.0","180,224.0","181,319.0","186,256.0","191,561.0","188,889.0","191,612.0","190,125.0","198,964.0","205,052.0","206,331.0","203,429.0","211,950.0","216,408.0"
"30","11","    Final sales","A334RC1","78,454.0","80,201.0","82,480.0","83,161.0","83,794.0","84,453.0","84,768.0","84,700.0","84,631.0","83,783.0","81,605.0","81,279.0","81,368.0","82,392.0","84,763.0","85,190.0","90,636.0","91,189.0","94,457.0","96,788.0","95,721.0","96,568.0","97,693.0","99,305.0","99,321.0","98,925.0","98,494.0","98,739.0","99,893.0","100,062.0","101,526.0","103,009.0","103,765.0","105,139.0","106,443.0","107,899.0","109,687.0","111,311.0","112,753.0","114,774.0","116,566.0","117,389.0","120,058.0","118,844.0","119,497.0","120,774.0","122,753.0","122,832.0","124,490.0","125,454.0","127,452.0","128,817.0","130,083.0","131,760.0","131,859.0","133,158.0","134,442.0","134,461.0","134,713.0","136,409.0","137,705.0","138,958.0","139,933.0","140,681.0","142,141.0","143,397.0","145,552.0","146,046.0","150,161.0","152,371.0","155,849.0","156,567.0","157,592.0","161,363.0","164,036.0","170,964.0","174,426.0","177,216.0","179,691.0","180,816.0","182,886.0","184,852.0","186,601.0","187,780.0","193,558.0","196,934.0","201,574.0","203,686.0","206,509.0","211,218.0"
"31","12","    Change in private inventories \1\","A357RC1","-1,941.0","-2,560.0","-5,429.0","1,956.0","2,490.0","5,132.0","6,210.0","4,745.0","134.0","-1,250.0","-1,761.0","-677.0","2,804.0","-531.0","2,052.0","4,229.0","5,767.0","5,050.0","1,845.0","2,639.0","2,357.0","542.0","4,987.0","1,531.0","114.0","617.0","-617.0","1,602.0","1,706.0","422.0","461.0","-164.0","1,446.0","490.0","1,569.0","2,864.0","2,062.0","1,617.0","3,245.0","336.0","1,428.0","567.0","590.0","-1,532.0","2,235.0","1,241.0","2,511.0","3,663.0","568.0","1,028.0","996.0","1,612.0","2,100.0","2,720.0","2,712.0","-1,252.0","2,988.0","3,204.0","2,900.0","3,020.0","3,960.0","3,020.0","1,472.0","2,268.0","4,136.0","1,708.0","2,404.0","3,700.0","1,380.0","984.0","-48.0","1,668.0","2,576.0","2,728.0","2,096.0","4,616.0","4,356.0","3,008.0","1,628.0","5,440.0","8,675.0","4,037.0","5,011.0","2,345.0","5,406.0","8,118.0","4,757.0","-257.0","5,441.0","5,190.0"
"32","13","Services \2\","A341RC1","96,561.0","97,956.0","97,744.0","98,052.0","99,094.0","101,764.0","104,036.0","106,485.0","108,312.0","109,566.0","108,961.0","109,167.0","110,543.0","112,826.0","114,440.0","119,234.0","128,569.0","134,433.0","141,020.0","144,590.0","147,725.0","153,709.0","156,457.0","159,899.0","163,430.0","166,627.0","167,115.0","168,419.0","168,012.0","167,783.0","169,803.0","171,786.0","174,881.0","175,392.0","179,071.0","181,712.0","183,515.0","187,565.0","188,424.0","194,117.0","197,620.0","199,838.0","202,801.0","208,717.0","207,114.0","212,261.0","215,651.0","218,750.0","220,887.0","225,721.0","229,236.0","232,854.0","232,877.0","237,433.0","239,433.0","244,483.0","245,174.0","251,452.0","253,048.0","258,821.0","264,861.0","270,885.0","273,600.0","277,576.0","280,321.0","284,068.0","289,071.0","294,850.0","300,480.0","305,883.0","310,150.0","314,158.0","319,013.0","326,453.0","334,207.0","344,337.0","349,295.0","360,281.0","367,893.0","375,578.0","387,091.0","393,036.0","400,757.0","410,983.0","424,657.0","435,228.0","445,523.0","456,166.0","461,801.0","475,431.0"
"33","14","Structures","A755RC1","20,594.0","20,967.0","23,652.0","27,061.0","27,771.0","29,927.0","30,792.0","30,070.0","29,138.0","29,167.0","30,083.0","31,860.0","33,646.0","36,543.0","39,479.0","39,447.0","40,375.0","39,753.0","39,343.0","39,610.0","40,696.0","41,427.0","41,831.0","43,319.0","44,464.0","44,674.0","44,390.0","44,636.0","45,120.0","46,248.0","47,772.0","48,967.0","51,241.0","52,371.0","52,636.0","52,307.0","53,673.0","55,166.0","55,846.0","55,728.0","56,061.0","55,932.0","56,047.0","55,952.0","54,902.0","54,567.0","56,507.0","59,930.0","62,875.0","64,230.0","63,596.0","61,553.0","63,512.0","61,942.0","61,825.0","62,701.0","63,789.0","62,453.0","64,182.0","66,456.0","66,908.0","68,751.0","69,255.0","69,151.0","69,897.0","73,114.0","74,819.0","75,725.0","78,504.0","78,972.0","79,440.0","80,146.0","81,525.0","84,953.0","86,732.0","89,362.0","90,939.0","89,642.0","89,143.0","86,756.0","87,197.0","89,307.0","91,566.0","95,454.0","98,100.0","100,540.0","101,463.0","105,650.0","109,018.0","110,534.0"
